,"User","Edited Articles","Bundesedit-Hit","Where?"
0,"77.56.53.183",31,"False","none"
1,"212.118.216.43",29,"False","none"
2,"129.187.244.28",29,"False","none"
3,"212.65.1.102",22,"False","none"
5,"62.153.71.162",17,"False","none"
7,"80.226.0.1",16,"False","none"
8,"131.165.143.1",15,"False","none"
9,"141.53.194.251",15,"False","none"
10,"84.153.8.156",13,"False","none"
11,"77.58.255.212",13,"False","none"
12,"194.95.177.101",12,"False","none"
13,"193.170.250.70",11,"False","none"
14,"62.45.140.164",11,"False","none"
18,"84.56.39.141",10,"False","none"
20,"139.18.1.5",10,"False","none"
21,"217.83.15.220",9,"False","none"
22,"79.233.0.11",9,"False","none"
23,"217.84.78.64",9,"False","none"
24,"93.208.96.187",9,"False","none"
25,"194.95.177.124",9,"False","none"
26,"193.188.197.6",9,"False","none"
27,"141.84.69.20",9,"False","none"
28,"137.226.140.45",9,"False","none"
29,"129.143.4.68",9,"False","none"
30,"134.93.61.117",8,"False","none"
31,"129.13.186.1",8,"False","none"
33,"194.95.179.132",8,"False","none"
35,"194.113.40.219",8,"False","none"
36,"212.9.184.28",8,"False","none"
37,"137.248.1.11",8,"False","none"
40,"192.108.72.190",8,"False","none"
41,"213.23.4.74",8,"False","none"
42,"195.50.146.138",7,"False","none"
43,"172.180.92.214",7,"False","none"
44,"217.231.253.46",7,"False","none"
45,"195.93.60.7",7,"False","none"
46,"84.153.14.150",7,"False","none"
47,"80.71.142.166",7,"False","none"
48,"217.231.250.45",7,"False","none"
49,"217.87.208.71",7,"False","none"
50,"188.195.53.236",7,"False","none"
52,"62.156.49.245",7,"False","none"
53,"62.143.83.157",7,"False","none"
54,"62.214.91.101",7,"False","none"
55,"194.113.141.20",7,"False","none"
56,"62.156.58.33",7,"False","none"
57,"62.156.35.209",6,"False","none"
58,"141.15.30.1",6,"False","none"
60,"194.95.177.102",6,"False","none"
61,"2003:E5:BBCC:DD29:E9F9:C076:AFD8:6B56",6,"False","none"
63,"141.76.1.121",6,"False","none"
64,"217.83.10.2",6,"False","none"
65,"141.91.240.162",6,"False","none"
66,"212.82.249.134",6,"False","none"
67,"194.95.177.123",6,"False","none"
70,"213.196.241.70",6,"False","none"
71,"62.12.137.154",6,"False","none"
72,"134.130.183.42",6,"False","none"
73,"194.76.232.148",6,"False","none"
74,"195.126.85.141",6,"False","none"
75,"193.22.32.200",6,"False","none"
76,"153.100.131.14",6,"False","none"
77,"84.227.3.110",6,"False","none"
78,"91.64.1.55",6,"False","none"
79,"62.214.12.44",6,"False","none"
80,"2A02:908:F841:8C80:8CB:F828:1C8E:DBA",6,"False","none"
81,"134.100.1.174",6,"False","none"
82,"84.128.141.33",6,"False","none"
83,"145.253.32.3",6,"False","none"
84,"84.153.45.47",6,"False","none"
85,"130.60.90.183",6,"False","none"
86,"129.143.4.66",6,"False","none"
87,"141.68.112.188",6,"False","none"
88,"132.231.54.1",6,"False","none"
89,"134.130.182.37",5,"False","none"
90,"193.175.73.218",5,"False","none"
91,"79.194.12.200",5,"False","none"
92,"84.153.59.20",5,"False","none"
93,"217.194.34.123",5,"False","none"
94,"217.229.55.182",5,"False","none"
95,"195.93.60.135",5,"False","none"
96,"141.2.102.20",5,"False","none"
97,"141.58.118.102",5,"False","none"
98,"62.156.56.254",5,"False","none"
99,"87.165.107.63",5,"False","none"
100,"137.248.1.31",5,"False","none"
101,"194.149.241.3",5,"False","none"
102,"138.232.1.229",5,"False","none"
103,"217.227.157.87",5,"False","none"
104,"141.16.65.35",5,"False","none"
