,Article,Views,Total Edits,Total Minors,Total Editors,Creator,Creation Date,Ratio (Edits/Editor)
11,Alternative für Deutschland,779218,9471,2568,1235,Rosenkohl,2012-11-18,"7,66882591093117"
243,Schwarze,72647,7385,386,2019,200.191.188.xxx,2001-12-05,"3,65775136206043"
13,Martin Luther,736377,5605,1600,1437,pop-mu-17-1-dialup-211.freesurf.ch,2001-09-07,"3,90048712595685"
43,Die Linke,380144,5123,1760,1484,E-qual,2005-07-18,"3,45215633423181"
0,Angela Merkel,2087760,4975,1935,2086,Trixium,2001-09-24,"2,3849472674976"
18,Sozialdemokratische Partei Deutschlands,564217,4959,1738,1986,Kurt Jansson,2002-06-24,"2,49697885196375"
48,Freie Demokratische Partei,339530,4879,1608,1757,Kurt Jansson,2002-06-24,"2,77689243027888"
152,Piratenpartei Deutschland,114315,4359,1595,1657,Tolanor,2006-01-08,"2,63065781532891"
29,Bündnis 90/Die Grünen,473297,4296,1380,1757,Tillwe,2004-10-17,"2,44507683551508"
35,Christlich Demokratische Union Deutschlands,412029,4204,1389,1719,Vinci,2003-01-13,"2,4456079115765"
20,Rote Armee Fraktion,553880,4094,1445,1273,Kurt Jansson,2001-09-23,"3,21602513747054"
66,Karl-Theodor zu Guttenberg,269375,3962,1428,1163,Srbauer,2005-05-23,"3,4067067927773"
23,Gerhard Schröder,528217,3951,1397,1865,pD9E6BFBC.dip.t-dialin.net,2002-06-20,"2,11849865951743"
121,Joachim Gauck,139522,3728,1344,1027,StefanRybo,2001-07-10,"3,62999026290166"
31,Helmut Kohl,466414,3509,1241,1504,Trixium,2001-09-24,"2,33311170212766"
79,Nationaldemokratische Partei Deutschlands,217908,3400,1254,1156,ErikDunsing,2003-06-06,"2,94117647058824"
4,Bundespräsident (Deutschland),1042007,3327,1340,1279,Flups,2002-09-04,"2,60125097732604"
22,Helmut Schmidt,543521,3223,1163,1644,217.0.154.52,2002-12-19,"1,96046228710462"
19,Konrad Adenauer,559980,3121,1139,1552,Vulture,2002-04-17,"2,01095360824742"
27,Kommunismus,481264,3098,896,942,bln2-t5-1.mcbone.net,2001-09-26,"3,28874734607219"
94,Christian Wulff,194435,3029,1160,1215,212.59.62.60,2003-02-02,"2,49300411522634"
21,Swastika,550677,2932,1051,905,Stefan Kühn,2003-08-13,"3,23977900552486"
59,Christlich-Soziale Union in Bayern,308477,2931,1030,1375,Vinci,2003-01-13,"2,13163636363636"
68,Neoliberalismus,253632,2884,734,824,pD9E76C0E.dip.t-dialin.net,2002-08-20,"3,5"
218,Ökologisch-Demokratische Partei,82189,2692,818,678,Kurt Jansson,2002-08-05,"3,97050147492625"
26,Willy Brandt,499623,2661,1127,1284,OE,2002-09-08,"2,07242990654206"
90,Liste der politischen Parteien in Deutschland,198412,2654,639,909,*g,2004-04-15,"2,91969196919692"
185,Partei des Demokratischen Sozialismus,98461,2629,823,957,Kurt Jansson,2002-07-06,"2,74712643678161"
3,Bundeskanzler (Deutschland),1046778,2592,1054,1228,Vulture,2002-05-09,"2,11074918566775"
113,Rechtsextremismus,157385,2547,903,804,Southpark,2004-01-20,"3,16791044776119"
142,Franquismus,123388,2422,872,585,80.108.19.63,2004-03-01,"4,14017094017094"
12,Faschismus,770909,2414,856,1008,Wst,2002-08-30,"2,39484126984127"
73,Anarchismus,226778,2412,868,763,62.104.204.68,2003-03-16,"3,16120576671035"
47,Oskar Lafontaine,342194,2404,729,912,Trixium,2001-09-24,"2,6359649122807"
65,Menschenrechte,277285,2389,838,1147,Rho,2002-11-23,"2,08282476024412"
197,Die Republikaner,90634,2313,693,690,212.93.22.133,2003-12-27,"3,35217391304348"
151,Linksextremismus,114505,2262,580,545,Pluriscient,2004-02-21,"4,15045871559633"
203,Deutsche Kommunistische Partei,88548,2172,578,751,217.2.227.236,2002-11-17,"2,89214380825566"
33,Franz Josef Strauß,433984,2136,740,1024,Stefan Kühn,2003-02-07,"2,0859375"
126,Horst Köhler,135792,2029,808,991,HenrikHolke,2004-03-04,"2,04742684157417"
227,Islamismus,78794,2021,617,1008,80.131.21.36,2002-12-31,"2,00496031746032"
17,Alexander Gauland,585896,2001,411,522,87.193.59.187,2006-07-24,"3,83333333333333"
246,Politische Korrektheit,71614,1990,668,661,Nerd,2003-01-05,"3,01059001512859"
41,Wladimir Iljitsch Lenin,382275,1987,885,741,Urbanus,2003-01-20,"2,68151147098516"
82,Spanischer Bürgerkrieg,212144,1973,660,777,Wst,2002-07-28,"2,53925353925354"
196,Freiheit,91594,1956,559,903,Ulrich.fuchs,2003-02-15,"2,16611295681063"
46,Jeanne d’Arc,343785,1953,738,1128,AlexR,2002-12-28,"1,7313829787234"
54,Sozialismus,322827,1949,631,815,217.88.225.57,2002-11-22,"2,39141104294479"
25,Ursula von der Leyen,506579,1845,607,952,80142116229,2004-07-23,"1,93802521008403"
76,Sozialistische Einheitspartei Deutschlands,222154,1838,716,771,Jboy~dewiki,2002-09-30,"2,38391699092088"
169,Politically Incorrect,106782,1838,792,366,JenniferHailey,2010-03-25,"5,02185792349727"
39,Frank-Walter Steinmeier,391459,1836,643,922,Buxul,2003-08-22,"1,99132321041215"
50,Wolfgang Schäuble,335553,1827,685,928,217.231.133.1,2003-08-30,"1,96875"
97,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",187359,1809,586,860,Reeno,2004-08-16,"2,10348837209302"
55,Apartheid,316218,1807,666,879,217.2.226.18,2002-11-18,"2,05574516496018"
30,Martin Schulz,467452,1786,576,665,62.104.206.81,2003-07-03,"2,68571428571429"
62,Joschka Fischer,298014,1778,630,943,Kurt Jansson,2001-09-24,"1,88547189819724"
67,Edmund Stoiber,265719,1775,617,898,RobertLechner,2002-01-27,"1,97661469933185"
204,Peer Steinbrück,87235,1740,526,798,212.59.62.26,2003-02-07,"2,18045112781955"
51,Liberalismus,331535,1733,536,681,195.3.96.94,2003-03-21,"2,54478707782673"
81,Ludwig Erhard,216839,1729,659,856,Ben-Zin,2002-04-14,"2,01985981308411"
45,GSG 9 der Bundespolizei,353120,1727,545,973,217.235.45.52,2002-11-07,"1,77492291880781"
134,Volksverteidigungseinheiten,128285,1638,495,266,TheoDor12,2012-12-01,"6,15789473684211"
9,Sahra Wagenknecht,875343,1594,503,757,Arne List,2004-02-10,"2,10568031704095"
24,Bundesregierung (Deutschland),508085,1591,585,853,JeLuF,2002-08-06,"1,8651817116061"
101,Ausschreitungen in Chemnitz 2018,177632,1544,577,238,Cyve,2018-08-28,"6,48739495798319"
164,Erika Steinbach,110641,1542,491,533,80.213.13.253,2003-12-13,"2,89305816135084"
44,Sigmar Gabriel,380104,1530,520,746,Charon65,2003-09-20,"2,05093833780161"
153,Protokolle der Weisen von Zion,113755,1524,558,552,Ulrich.fuchs,2003-06-23,"2,76086956521739"
53,Gregor Gysi,327786,1509,528,712,Ben-Zin,2002-04-18,"2,11938202247191"
