,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,NiTenIchiRyu,16,1,20160826051123,20171017063430,unknown
1,Dr-Victor-von-Doom,13,5,20160901081413,20190101093155,unknown
2,87.182.105.182,7,0,20160826073514,20160826103255,unknown
3,W. Edlmeier,7,1,20180224095310,20190118122049,unknown
4,Alnilam,6,1,20160825231920,20180107223714,unknown
5,FelixFuchs,5,0,20171009195607,20171016144116,unknown
6,Eichstegener,4,0,20160906162122,20160906162559,unknown
7,JLKiel,4,2,20160826061554,20160827182159,unknown
8,Nillurcheier,3,0,20171010064633,20180315084640,unknown
9,Girus,3,3,20181230084231,20190101100602,unknown
10,164.133.154.130,3,0,20170505072159,20170505073414,unknown
11,32X,3,2,20160826071233,20171009231121,unknown
12,Regi51,3,3,20161203185251,20180117113919,unknown
13,178.14.175.115,2,0,20180314184713,20180315001644,unknown
14,91.4.65.163,2,0,20160825230403,20160825233411,unknown
15,87.182.102.191,2,0,20160831164213,20160831174229,unknown
16,AHZ,2,0,20160826000339,20160826000700,unknown
17,Flossenträger,2,0,20171009100119,20171009100606,unknown
18,AcE,2,1,20180215161022,20180215161249,unknown
19,Steinsplitter,2,1,20170605110431,20170605110448,unknown
20,Horst Gräbner,2,2,20160826115459,20161026175314,unknown
21,Corvus2016,2,1,20171025202028,20171025202130,unknown
22,Informationswiedergutmachung,2,1,20160826053511,20160826053538,unknown
23,Uwe Martens,2,1,20171012094126,20171012094904,unknown
24,Jergen,2,1,20160830095945,20161124075827,unknown
25,Mama Leone,2,0,20171023212515,20180216155430,unknown
26,Pittimann,2,2,20170505073430,20171016102054,unknown
27,Rex250,2,1,20160826062442,20160906201621,unknown
28,190.155.180.179,2,0,20160826044625,20160826050921,unknown
29,Nicola,1,1,20171009100642,20171009100642,unknown
30,Der Unbestechliche,1,0,20181229210413,20181229210413,unknown
31,91.4.66.48,1,0,20160827162646,20160827162646,unknown
32,5.15.94.65,1,0,20171025014727,20171025014727,unknown
33,Eingangskontrolle,1,0,20161020125827,20161020125827,unknown
34,InternetArchiveBot,1,0,20180328123646,20180328123646,unknown
35,217.234.36.247,1,0,20170208085603,20170208085603,unknown
36,Karim,1,1,20160826065338,20160826065338,unknown
37,178.14.150.244,1,0,20180112214801,20180112214801,unknown
38,Robberey1705,1,0,20180710171418,20180710171418,unknown
39,Goris,1,1,20171009201149,20171009201149,unknown
40,217.110.71.82,1,0,20171012093931,20171012093931,unknown
41,Jaellee,1,1,20160826221116,20160826221116,unknown
42,Plüschhai,1,0,20161019170210,20161019170210,unknown
43,46.5.0.147,1,0,20161110224140,20161110224140,unknown
44,2001:4DD0:FF00:9CAF:1966:C01E:4A4A:81CE,1,0,20160827220243,20160827220243,unknown
45,Aka,1,1,20171016183557,20171016183557,unknown
46,Jivee Blau,1,1,20161110224202,20161110224202,unknown
47,87.139.208.123,1,0,20160826022421,20160826022421,unknown
48,178.5.116.231,1,0,20171029101431,20171029101431,unknown
49,Cartinal,1,1,20180215221611,20180215221611,unknown
50,Sänger,1,1,20181221104824,20181221104824,unknown
51,Mupa280868,1,1,20180106164923,20180106164923,unknown
52,88.70.148.235,1,0,20161021135311,20161021135311,unknown
53,Qaswed,1,0,20160826070627,20160826070627,unknown
54,95.208.243.110,1,0,20160826115419,20160826115419,unknown
55,217.230.70.227,1,0,20180117113914,20180117113914,unknown
56,Asperatus,1,0,20181221104422,20181221104422,unknown
57,91.23.117.45,1,0,20171016102040,20171016102040,unknown
58,2001:A62:257:AC01:907D:12E1:CA85:4246,1,0,20161124075745,20161124075745,unknown
59,Ephraim33,1,0,20180225164058,20180225164058,unknown
60,82.113.98.80,1,0,20160830105242,20160830105242,unknown
61,MrBrook,1,0,20160915141508,20160915141508,unknown
62,Serols,1,1,20170505072306,20170505072306,unknown
63,82.113.106.217,1,0,20160826035412,20160826035412,unknown
64,2003:46:193D:F16F:C8D7:782A:84B5:EC8D,1,0,20180106164902,20180106164902,unknown
65,185.10.222.184,1,0,20170727160615,20170727160615,unknown
66,ChikagoDeCuba,1,1,20160826125436,20160826125436,unknown
67,109.84.1.141,1,0,20161026090337,20161026090337,unknown
68,Schokofreund,1,0,20160912172647,20160912172647,unknown
69,2A02:8108:0:2B:8B:DDFF:B84E:C79,1,0,20160827121408,20160827121408,unknown
70,5.28.93.191,1,0,20180215221517,20180215221517,unknown
71,89.15.84.63,1,0,20171018180607,20171018180607,unknown
72,Agathenon,1,1,20171115110219,20171115110219,unknown
73,Hardcorebambi,1,1,20180803034343,20180803034343,unknown
74,2A02:8109:8A40:4754:ACFA:673F:FD96:83B1,1,0,20161203185211,20161203185211,unknown
75,Andy king50,1,1,20180314184731,20180314184731,unknown
76,87.182.100.62,1,0,20160830214525,20160830214525,unknown
77,Robert Weemeyer,1,0,20160826081746,20160826081746,unknown
78,91.60.139.138,1,0,20180107200027,20180107200027,unknown
79,Amilamia,1,1,20171029101715,20171029101715,unknown
80,95.33.1.35,1,0,20170922203725,20170922203725,unknown
81,Enyavar,1,0,20170727163543,20170727163543,unknown
82,Are-Witas,1,0,20190115215659,20190115215659,unknown
83,2A02:8109:A53F:EB18:5E1:48A:D3E2:B3D5,1,0,20161026175256,20161026175256,unknown
