,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Qualiabavariae,33,0,20121109140046,20150116174350,unknown
1,Andol,22,5,20110617134911,20130820181406,unknown
2,Alɛxander Dobrindt,17,0,20171212002124,20171212002956,unknown
3,EH⁴²,13,4,20130310172438,20141108135852,unknown
4,Turnstange,12,11,20161019080215,20171008205823,unknown
5,Aka,10,10,20121108204316,20190115222255,unknown
6,RoBri,9,8,20120105095122,20180702004314,unknown
7,Regi51,8,8,20100731202750,20170531214718,unknown
8,Zio,8,2,20130809104838,20130820200033,unknown
9,Anti.,7,2,20130916154449,20130916160329,unknown
10,Inkowik,6,6,20101128151743,20141112194933,unknown
11,"Werner, Deutschland",6,0,20190115210625,20190115211434,unknown
12,Horst Gräbner,6,4,20140913120740,20161001150653,unknown
13,Yoda1893,6,1,20090209103822,20131217113717,unknown
14,J. Patrick Fischer,5,0,20120923133005,20131023132733,unknown
15,Pwagenblast,5,5,20120131191849,20121012152851,unknown
16,188.194.44.229,5,0,20101128151737,20101128151912,unknown
17,Neun-x,5,0,20120202132227,20180105181047,unknown
18,178.142.42.52,5,0,20170730090012,20170730141112,unknown
19,Rettet den Sonnabend,4,2,20131120083745,20131209092747,unknown
20,LIU,4,2,20100705202924,20131004143417,unknown
21,Drahtloser,4,0,20180416092027,20180507150715,unknown
22,TeesJ,4,3,20110807073927,20120506200907,unknown
23,BurgerBen,4,4,20120130133957,20120223122347,unknown
24,BurghardRichter,4,4,20180215181032,20180623155152,unknown
25,Supertrouper,4,0,20130517080939,20130517085120,unknown
26,JosFritz,4,1,20130517081324,20130530073231,unknown
27,Olaf Kosinsky,3,2,20160319172228,20160319175244,unknown
28,84.61.135.16,3,0,20150317202132,20150317202645,unknown
29,Luke081515Bot,3,0,20161103215331,20161211220853,unknown
30,Schweißer,3,2,20090209091810,20090209113202,unknown
31,Stefan64,3,2,20131031100016,20131031101750,unknown
32,Dealerofsalvation,3,0,20170726094334,20180308050213,unknown
33,Giftmischer,3,2,20111002152159,20141110084221,unknown
34,217.234.46.153,3,0,20121011205739,20121011210003,unknown
35,Björn Hagemann,3,3,20150317202143,20150317202659,unknown
36,Scooter,3,2,20051130210528,20110115111501,unknown
37,87.180.240.222,3,0,20110809133905,20110809134048,unknown
38,PeterGuhl,3,3,20171212002530,20171212002941,unknown
39,217.234.86.121,3,0,20110223223714,20110223224423,unknown
40,JøMa,3,0,20121104110922,20141103135338,unknown
41,77.4.154.202,3,0,20161204035303,20161204171605,unknown
42,TMFS,2,0,20070313124719,20070923204629,unknown
43,Miltrak,2,0,20130216234557,20130312104649,unknown
44,Baba Wijnia,2,1,20040723180151,20040723180957,unknown
45,Hs-berlin,2,0,20150303120502,20150303122933,unknown
