,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Miltrak,793,2,20130903165746,20170821123544,unknown
1,Schilderwaldmeister,33,6,20180422153945,20190309164041,unknown
2,HV,28,2,20160529212350,20160610111541,unknown
3,JosFritz,25,2,20150530000439,20161013215607,unknown
4,Altsprachenfreund,24,12,20160530130332,20190124133211,unknown
5,Jensbest,23,8,20171031104528,20180617125316,unknown
6,Anti.,22,3,20161130201955,20180605101413,unknown
7,Berichtbestatter,20,2,20150104160700,20180603205734,unknown
8,Horst Gräbner,20,17,20150131155241,20181012131759,unknown
9,62.204.165.222,19,0,20160214130133,20171226191329,unknown
10,Cyve,17,2,20160605140930,20180517144111,unknown
11,KomDok,13,1,20141217195124,20150111140957,unknown
12,LdlV,12,2,20150128081812,20160605151244,unknown
13,Benqo,12,2,20161013214813,20180627230204,unknown
14,Sänger,11,2,20160531161621,20190306170527,unknown
15,Phi,11,2,20160610143854,20181111104221,unknown
16,AlternativesLebensglück,10,2,20171025025303,20180627230051,unknown
17,Natsu Dragoneel,10,6,20160719170135,20190217215232,unknown
18,Felix von Yozgat,9,9,20160521104900,20160521112639,unknown
19,Mandarinentraum,9,4,20130425212110,20130425214849,unknown
20,Lektor w,8,1,20160530042935,20160530232313,unknown
21,Aka,8,8,20120818181357,20190125190257,unknown
22,Gabel1960,8,0,20140818113310,20160609012801,unknown
23,Regi51,8,8,20160225181852,20181102190737,unknown
24,2A01:598:B880:6FAD:1:2:CBDD:2E79,7,0,20170926112103,20170926113127,unknown
25,87.178.9.201,7,0,20180517182852,20180517203743,unknown
26,RoBri,7,6,20160825143742,20190224190904,unknown
27,Lutheraner,7,2,20160325132549,20180517144247,unknown
28,Khatschaturjan,6,1,20170407162504,20170407164153,unknown
29,Ute Erb,6,6,20150108072844,20150708165628,unknown
30,Lukati,6,0,20141222183432,20170424193044,unknown
31,Armin P.,6,5,20150207230512,20180513181906,unknown
32,BlaBla123456,6,0,20171224115702,20171224120256,unknown
33,Kurator71,6,4,20160605170737,20180109091402,unknown
34,Count Count,6,5,20180513182929,20180727130334,unknown
35,Olaf Kosinsky,5,1,20160320104251,20180105131808,unknown
36,Seilbahn121,5,4,20180108185518,20180404122211,unknown
37,EH⁴²,5,1,20130425174200,20130426112333,unknown
38,Brodkey65,5,2,20160529111300,20180109123828,unknown
39,Agathenon,5,2,20170826153528,20170920172457,unknown
40,91.9.190.154,5,0,20170821112833,20170822160555,unknown
41,Schnabeltassentier,5,4,20160531154911,20180916075210,unknown
42,Grip99,5,1,20130417221600,20141222002540,unknown
43,Carol.Christiansen,5,5,20130314052515,20140310081117,unknown
44,Michsteffen,5,2,20171106130838,20171201193959,unknown
45,77.58.123.101,5,0,20160603160654,20160603163310,unknown
46,Macabu,5,3,20150518062931,20150518074117,unknown
47,Rmcharb,5,3,20160603180906,20190123080326,unknown
48,Zxmt,5,3,20180101160530,20180605163251,unknown
49,Martin Sell,5,0,20130314122603,20171230151517,unknown
50,Majo statt Senf,4,0,20170423114529,20180605170941,unknown
51,Zahnputzbecher,4,4,20170911100320,20181026095959,unknown
52,2003:C2:63E1:7165:1911:A2AB:1EB6:A33D,4,0,20171029200654,20171029202336,unknown
53,JonskiC,4,1,20171205110650,20180113144039,unknown
54,Kleiner Stampfi,4,1,20130830091208,20131226185546,unknown
55,Ambara Cici Coco,4,0,20160531154740,20160531161929,unknown
56,2A02:8108:44BF:C3D8:3577:F656:FD9D:2CD3,4,0,20180101150324,20180101152534,unknown
57,32X,4,1,20150808112556,20170514224038,unknown
58,Martin Sg.,4,1,20180603165622,20180603195615,unknown
59,T§,4,4,20140517172459,20141223205433,unknown
60,Stefan64,4,3,20170119001428,20181010140952,unknown
61,Sportfreund.php,4,4,20150228204143,20190124170253,unknown
62,Magicman0361,4,4,20180811071533,20180811221825,unknown
63,Apple tree1234,4,2,20180626194240,20190227115726,unknown
64,Kuebi,4,4,20170415180819,20181102185438,unknown
65,SamWinchester000,4,0,20160217061904,20160306211145,unknown
66,Corvus2016,4,0,20170827165503,20170926112643,unknown
67,Fiona B.,4,0,20180125090806,20180206133144,unknown
68,Squarerigger,4,3,20160529195608,20161012175603,unknown
69,KL052,4,4,20170828213238,20170911172320,unknown
70,Horst-schlaemma,4,0,20170304090958,20171205110344,unknown
71,Orik,4,2,20150805053905,20150805094036,unknown
72,Der Unbestechliche,3,2,20170831173820,20180520151054,unknown
73,Fossa,3,1,20170828214444,20170829124155,unknown
74,84.57.22.255,3,0,20180909152011,20180909194937,unknown
75,Stegosaurus Rex,3,2,20150207074037,20150510133842,unknown
76,Xqt,3,3,20150805101234,20160529111951,unknown
77,Über-Blick,3,0,20130404081258,20150611090721,unknown
78,Arieswings,3,2,20180125221244,20180911174930,unknown
79,Luke081515Bot,3,0,20161119213010,20161129173600,unknown
80,A11w1ss3nd,3,0,20170813150125,20170813151602,unknown
81,Mupa280868,3,3,20171203143358,20181007134742,unknown
82,Vexillum,3,3,20170926112242,20170926113022,unknown
83,Vincent Eisfeld,3,1,20171202192932,20171215153025,unknown
84,Berthold Werner,3,0,20160604180155,20170305171816,unknown
85,Nyan Dog,3,2,20141216142534,20141216192033,unknown
86,Leineschaf,3,3,20170911152146,20170911152453,unknown
87,Kabob,3,3,20150130095614,20180911114944,unknown
88,THausherr,3,1,20070628172625,20110310195346,unknown
89,Jbergner,3,1,20160611060752,20160611122233,unknown
90,Wibramuc,3,0,20170922143702,20190120143135,unknown
91,HSV4life,3,3,20180120214629,20180606150710,unknown
92,Sprachpfleger,3,1,20150721154713,20180727130016,unknown
93,Koenraad,3,2,20171215164249,20171215164738,unknown
94,Logograph,3,3,20171211112037,20180530010142,unknown
95,Göte,3,3,20150102184849,20170101125934,unknown
96,SKopp,3,0,20150208145400,20150208153731,unknown
97,Philraith12,3,2,20131006155222,20141021144538,unknown
98,2003:65:E448:BDEE:38C5:1013:D94E:C3C0,3,0,20160719164911,20160719171245,unknown
99,79.205.27.15,3,0,20150621161435,20150621161639,unknown
100,Slökmann,3,3,20070919161338,20070926074148,unknown
101,WinfriedSchneider,3,3,20180201224841,20180201232528,unknown
102,DestinyFound,3,1,20171207130248,20180125082205,unknown
103,KurtR,3,1,20180626201428,20181111035925,unknown
104,GDEA,3,0,20140818201822,20141021145235,unknown
105,Kängurutatze,3,1,20140314084706,20150128131527,unknown
106,Gustav von Aschenbach,3,1,20160603161358,20180509193257,unknown
107,He3nry,2,2,20160612144744,20170926112150,unknown
108,Tusculum,2,0,20171201195636,20171201200139,unknown
109,Jesi,2,0,20170131182123,20180420151335,unknown
110,Voyager1500,2,0,20171022060444,20171022060546,unknown
111,Clemens Stockner,2,2,20180516211654,20180516211811,unknown
