,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Gabel1960,10,0,20160215164938,20160215193430,unknown
1,Derim Hunt,9,6,20131023161555,20190118172526,unknown
2,SanFran Farmer,5,0,20181127200616,20181206201642,unknown
3,Learyx2012,4,0,20140918062412,20140925153622,unknown
4,Aka,4,4,20140918194058,20181128144652,unknown
5,77.235.246.84,4,0,20181128201749,20181129134412,unknown
6,Jakob Gottfried,3,0,20130924104049,20141018174256,unknown
7,Berlinschneid,3,3,20140118200456,20181206193112,unknown
8,RoBri,2,2,20181128202913,20190216073143,unknown
9,Olbertz,2,1,20170728164145,20170728165010,unknown
10,Horst Gräbner,2,0,20150610162821,20151021065218,unknown
11,FA2010,1,0,20140121150618,20140121150618,unknown
12,Sol1,1,1,20171129212614,20171129212614,unknown
13,RobertLechner,1,1,20141219213916,20141219213916,unknown
14,2A02:8109:9C80:2C7C:5836:598D:839E:62B2,1,0,20190109232556,20190109232556,unknown
15,Bgressor,1,0,20131117154944,20131117154944,unknown
16,Webmgr,1,0,20181126203804,20181126203804,unknown
17,Singidunum1,1,0,20151020215540,20151020215540,unknown
18,Randolph33,1,1,20140922132621,20140922132621,unknown
19,Olaf Kosinsky,1,0,20140824182727,20140824182727,unknown
20,84.152.44.83,1,0,20181129233809,20181129233809,unknown
21,Eingangskontrolle,1,1,20130924112202,20130924112202,unknown
22,Louis Wu,1,0,20171226124616,20171226124616,unknown
23,5.146.78.211,1,0,20161005092056,20161005092056,unknown
24,Sebbot,1,0,20150214061459,20150214061459,unknown
25,2A01:E35:2FDE:E8A0:5965:55B3:E687:9357,1,0,20190110123928,20190110123928,unknown
26,MorbZ-Bot,1,1,20131128173241,20131128173241,unknown
27,Informationswiedergutmachung,1,1,20170828094821,20170828094821,unknown
28,D3athaura,1,1,20151125114003,20151125114003,unknown
29,Williwilli,1,1,20140925151022,20140925151022,unknown
30,Foto-AG Gymnasium Melle,1,0,20140911155026,20140911155026,unknown
31,Dk1909,1,1,20181207231610,20181207231610,unknown
32,InternetArchiveBot,1,0,20180325101254,20180325101254,unknown
33,Vincent Amadeus von Goethe,1,0,20170118211933,20170118211933,unknown
34,93.86.231.148,1,0,20150610160333,20150610160333,unknown
35,Scooter,1,1,20140918194413,20140918194413,unknown
36,2003:6:33E4:9965:6C77:BF3:AA0F:D6FE,1,0,20190216071200,20190216071200,unknown
37,Bori48,1,0,20171008161948,20171008161948,unknown
38,Nuuk,1,1,20160201154350,20160201154350,unknown
39,DerHexer,1,0,20141117001552,20141117001552,unknown
40,WikiAnika,1,0,20140911155441,20140911155441,unknown
41,Friedo Goe,1,1,20181208125924,20181208125924,unknown
42,46.78.166.222,1,0,20131101230303,20131101230303,unknown
43,Nixnubix,1,0,20180619140002,20180619140002,unknown
44,95.119.40.252,1,0,20170607041619,20170607041619,unknown
45,193.17.243.2,1,0,20140922132613,20140922132613,unknown
