,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Lukati,60,2,20170104000615,20170524011028,unknown
1,Berichtbestatter,28,1,20170113010353,20170920083203,unknown
2,Daniel749,26,10,20170928165719,20181115194527,unknown
3,Jensbest,25,5,20170517231943,20181018205439,unknown
4,Flk-Brdrf,23,0,20161230174111,20170108025321,unknown
5,KurtR,23,4,20170427130942,20181123195825,unknown
6,Altsprachenfreund,19,11,20170901133739,20180815225727,unknown
7,2001:A61:12B6:3001:25BF:8F67:38CF:9C2E,19,0,20161230193504,20161230225946,unknown
8,Gert Lauken,17,7,20170427171021,20170906153919,unknown
9,HSV4life,14,14,20180120210804,20181004142744,unknown
10,Wibramuc,14,1,20170107215625,20181112143300,unknown
11,Stefan Weil,12,2,20181112072904,20181120175747,unknown
12,Schilderwaldmeister,12,1,20180408184358,20181115193056,unknown
13,62.204.165.222,12,0,20170521071229,20171107165936,unknown
14,Don-kun,11,3,20170501193629,20180128200724,unknown
15,Petruz,11,7,20170103220936,20181116033302,unknown
16,MagentaGreen,10,1,20170622112719,20170831205740,unknown
17,AlternativesLebensglück,10,0,20170917160137,20180605150434,unknown
18,Stefan64,10,4,20170424135754,20180412153803,unknown
19,Albin Schmitt,10,1,20170914163201,20170915084246,unknown
20,Hungchaka,10,10,20170424171010,20170503161812,unknown
21,分液漏斗,10,9,20180609124522,20181117154658,unknown
22,T.m.schwarz,9,0,20170916104214,20170916115755,unknown
23,Lutheraner,9,2,20170425143504,20171110143112,unknown
24,Beademung,9,3,20170915064954,20171103143824,unknown
25,Sandstein,9,0,20170427173702,20170502100042,unknown
26,Filzstift,8,0,20181113133233,20181113135432,unknown
27,JosFritz,7,3,20170521092225,20171006195931,unknown
28,Fossa,7,0,20170829124335,20170906191932,unknown
29,-jkb-,7,3,20170915214609,20180727140532,unknown
30,Agathenon,7,3,20170826154247,20170920171946,unknown
31,Houmian,5,0,20180815233557,20181017230633,unknown
32,Artregor,5,4,20170515110255,20171111044511,unknown
33,Majo statt Senf,5,0,20170423114424,20170925175019,unknown
34,Mah2703,5,0,20181115190017,20181117133531,unknown
35,Arieswings,5,5,20170515074753,20181115103810,unknown
36,Horst Gräbner,5,4,20170109111431,20171121195715,unknown
37,Konstanter,5,0,20170502112655,20170503073848,unknown
38,Horst-schlaemma,5,3,20170424060437,20170502213911,unknown
39,ElmarG,5,3,20170105083036,20170114232120,unknown
40,RoBri,4,3,20170511184200,20180111142640,unknown
41,Carolus.Abraxas,4,3,20170131201047,20170202180635,unknown
42,MAGISTER,4,3,20170107163102,20170505212757,unknown
43,Cyve,4,0,20170302151626,20170906081324,unknown
44,Tokota,4,0,20170821093721,20180531082845,unknown
45,Regi51,4,4,20170423213233,20171121214849,unknown
46,Codc,4,3,20170509225850,20181115190126,unknown
47,Aka,4,4,20171103160650,20181123124645,unknown
48,GregorHelms,4,2,20171130072953,20181115124828,unknown
49,Corvus2016,4,1,20170517105412,20170919162132,unknown
50,Fleritarus,4,0,20170831215142,20180108220126,unknown
51,Seilbahn121,4,0,20180108200113,20180605143749,unknown
52,YoungDylan,3,3,20170423142504,20170423142954,unknown
53,Knkrdnz,3,3,20181112171931,20181114193903,unknown
54,Alexpl,3,0,20170906090450,20170907175859,unknown
55,Atomiccocktail,3,0,20170509063400,20170517104703,unknown
56,Wagenrad,3,0,20171122205818,20171122233400,unknown
57,Seewolf,3,2,20170502180053,20181024175316,unknown
58,Werner von Basil,3,2,20170625124721,20171002074128,unknown
59,Felistoria,3,2,20170425152355,20171107215545,unknown
60,Der Albtraum,3,1,20181120122646,20181121120816,unknown
61,Logograph,3,2,20170307225103,20170425145639,unknown
62,80.187.123.67,3,0,20170519171842,20170519172048,unknown
63,Sprachpfleger,3,3,20170516163132,20170929120143,unknown
64,Amanog,3,0,20170919161706,20170920042905,unknown
65,80.141.62.20,3,0,20170425145057,20170425145323,unknown
66,Rita2008,3,0,20170424133027,20170915163616,unknown
67,Manorainjan,3,0,20170519191223,20170522135449,unknown
68,LdlV,3,0,20170916084248,20170930194352,unknown
69,79.243.101.183,3,0,20171110142935,20171110225605,unknown
70,AnnaS.aus I.,3,1,20170509030116,20170509030604,unknown
71,Soenke96,2,0,20170906072856,20170906074418,unknown
72,Aschmidt,2,0,20181123165546,20181123165948,unknown
73,80.187.113.108,2,0,20170905151104,20170905151231,unknown
74,Armin P.,2,0,20170423204110,20170517103323,unknown
75,Phi,2,1,20180902090640,20180902090729,unknown
76,Ot,2,0,20170502032626,20170503035342,unknown
77,Unknownplayers,2,0,20170425151957,20170425152546,unknown
78,Michsteffen,2,0,20171030174035,20171106130858,unknown
79,Emergency doc,2,2,20170907181941,20170914153916,unknown
80,Zollernalb,2,2,20170502153854,20170519215709,unknown
81,Kurator71,2,1,20170106155104,20170106155127,unknown
82,JFH-52,2,2,20181123181718,20181123182400,unknown
