,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Lukati,821,91,20130315180338,20170607143935,unknown
1,EH⁴²,541,151,20130315130217,20180424150027,unknown
2,Q-ß,502,118,20130318101020,20170530144308,unknown
3,JosFritz,371,144,20130416022512,20190307200144,unknown
4,Kopilot,316,28,20130622220435,20190115194019,unknown
5,Miltrak,213,2,20130828135831,20170218231053,unknown
6,Alberto568,190,43,20130315170359,20140310204927,unknown
7,Kängurutatze,188,7,20130325123413,20170227100346,unknown
8,Fiona B.,172,48,20130325144707,20170930020921,unknown
9,Schwarze Feder,153,4,20130413170349,20190115123051,unknown
10,Philraith12,152,58,20130809144338,20150620171429,unknown
11,Ich901,149,0,20130315183101,20140316193546,unknown
12,Alkim Y,139,28,20130315112439,20131017204054,unknown
13,Verzettelung,104,79,20130405091054,20161002210323,unknown
14,Kleiner Stampfi,101,38,20130322225019,20150708203026,unknown
15,Eishöhle,97,72,20140318183459,20170720185922,unknown
16,Mandarinentraum,92,16,20130405102945,20130512114422,unknown
17,Häuslebauer,89,11,20160317102640,20180530115044,unknown
18,Striegistalzwerg,89,1,20130318120558,20131018101747,unknown
19,Giftzwerg 88,80,3,20131002223331,20190120151017,unknown
20,Daniel749,77,29,20160801083151,20190223145645,unknown
21,Oltau,72,23,20130322173146,20151204135637,unknown
22,In dubio pro dubio,66,59,20130315224006,20160824211517,unknown
23,Thmonline,64,23,20130807120212,20160522205004,unknown
24,Sabrina Ebeling,63,6,20130414043209,20130528132019,unknown
25,Martin Sell,62,3,20130315083939,20181015043219,unknown
26,Jensbest,61,9,20160117151939,20180827121400,unknown
27,Niedergrund,57,28,20130325160011,20170327120546,unknown
28,33cln33,53,32,20150704202149,20171129112830,unknown
29,PsY.cHo,53,53,20130422164906,20160514083652,unknown
30,Über-Blick,52,0,20130404215925,20161114225704,unknown
31,Arabsalam,51,8,20130318112116,20140331164831,unknown
32,Paul Peplow,51,23,20130325135207,20140519173109,unknown
33,Schilderwaldmeister,49,15,20180410171900,20190219183113,unknown
34,JD,44,20,20130406110312,20190303185953,unknown
35,Mathesar,43,10,20130316135109,20140901161208,unknown
36,Carolus.Abraxas,41,5,20130324231430,20180329222529,unknown
37,Saidmann,41,4,20141031182519,20150704181105,unknown
38,Micha.Kramer,39,7,20130406090812,20190203110618,unknown
39,KorrekTOM,37,26,20130924114608,20190118182929,unknown
40,Msuess,36,35,20121214042659,20130422173547,unknown
41,Horst Gräbner,36,29,20130406171555,20180921172019,unknown
42,JagielloXXwieku,35,12,20130318061730,20140905092136,unknown
43,111Alpha,33,3,20131202011720,20190129001420,unknown
44,Johnnyalidee,31,2,20130315223125,20130322204226,unknown
45,JanZwanzig,31,1,20130322194236,20180424203120,unknown
46,Cartinal,31,14,20160501115115,20190110220919,unknown
47,Tous4821,30,6,20130316014019,20131011143307,unknown
48,Sitacu,30,12,20160917134127,20181209161550,unknown
49,Jwollbold,30,5,20180810215308,20190307195554,unknown
50,Der Unbestechliche,28,8,20141225110251,20190308180556,unknown
51,Petruz,28,18,20170515180101,20190212130419,unknown
52,Connoisseur of politics,26,12,20131228104355,20180602114214,unknown
53,KomDok,26,2,20140916135241,20150708235228,unknown
54,Pamuk,25,2,20130415172026,20130520162330,unknown
55,Sprachpfleger,24,18,20130323111405,20180727122018,unknown
56,Grip99,23,6,20121128223657,20141031032837,unknown
57,Momo Monitor,23,0,20160324173321,20160508133726,unknown
58,Itti,23,21,20130331170608,20161108175507,unknown
59,Stefanbw,22,0,20130416234336,20180721222709,unknown
60,Aka,21,21,20130813191253,20190226201528,unknown
61,Perfect Tommy,21,4,20130322170209,20150125190057,unknown
62,GDEA,21,1,20140818183510,20140924235304,unknown
63,Hveghi,20,0,20160905140549,20181218155831,unknown
64,Vollekanne45,20,0,20130630171133,20130821172344,unknown
65,SanFran Farmer,20,5,20130324233556,20160708022511,unknown
66,Cyve,20,3,20140126120306,20190206175228,unknown
67,Virtualiter,20,1,20130622163344,20170425230123,unknown
68,Vincent Eisfeld,19,3,20150708073221,20180713071554,unknown
69,Lindenfreund,19,0,20150710071050,20150726132611,unknown
70,GS63,19,2,20130926141340,20151128181101,unknown
71,Gustav von Aschenbach,19,15,20131031133217,20180924215225,unknown
72,AlternativesLebensglück,19,3,20170925122429,20180726002956,unknown
73,Jergen,19,14,20130324135024,20161231131833,unknown
74,Rosenkohl,18,2,20121118010811,20190308205911,unknown
75,House1630,18,5,20130929123522,20160906220332,unknown
76,Corvus2016,18,1,20160320000337,20171005195119,unknown
77,Benqo,17,5,20160317161350,20180426210533,unknown
78,Okin,16,9,20160518152352,20170323114725,unknown
79,Felix König,16,11,20130404174106,20160510213751,unknown
80,Patavium,16,1,20130329105503,20130407141449,unknown
81,ElTres,16,0,20121202060959,20190111091158,unknown
82,Ulitz,16,12,20130622151043,20181002191124,unknown
83,Cuius,16,2,20130513134701,20130709184835,unknown
84,Be11,16,0,20151104183258,20160513165850,unknown
85,Neun-x,15,0,20130914072830,20180325162557,unknown
86,Mautpreller,15,2,20130315082006,20141014133626,unknown
87,Rademacher2015,15,10,20160707183351,20180306070907,unknown
88,Bujo,15,1,20130318123511,20130505181055,unknown
89,Polentarion,15,4,20130821040714,20131011130356,unknown
90,Ochrid,14,1,20150123221316,20150901092108,unknown
91,H7,14,8,20160312142155,20190307143652,unknown
92,BeverlyHillsCop,14,2,20130406115659,20150712175100,unknown
93,Alexpl,14,7,20130914211134,20181014083142,unknown
94,Benatrevqre,14,5,20160708152013,20180406113931,unknown
95,Athanasian,13,0,20130325222850,20130328173417,unknown
96,Majo statt Senf,13,1,20141003113317,20180817010855,unknown
97,Holiday,13,0,20130910131640,20131011010208,unknown
98,Wistula,13,3,20130526180110,20130927161645,unknown
99,Hardenacke,13,4,20130408155402,20190131171712,unknown
100,Fund24,13,5,20181008190231,20181012112911,unknown
101,Roxedl,13,2,20130404180402,20141023112515,unknown
102,Regi51,13,13,20140306144502,20180821145939,unknown
103,SamWinchester000,13,0,20150527192646,20171203194620,unknown
104,Atomiccocktail,13,0,20130923114624,20160502063835,unknown
105,Seilbahn121,13,8,20180304170908,20180609202931,unknown
106,AbundzuMalHinterfragen,13,0,20140113110625,20140113193749,unknown
107,Lutheraner,12,4,20130323130631,20180404141255,unknown
108,Jonas.behn,12,9,20130331164816,20141217123150,unknown
109,Sargoth,12,4,20130830092457,20181030210643,unknown
110,Pass3456,12,0,20130509195624,20131003180652,unknown
111,Louis Wu,12,1,20150203084735,20170712145628,unknown
112,Lex parsimoniae,11,3,20130315104635,20130316224732,unknown
113,WeiterWeg,11,1,20170924213133,20180104013931,unknown
114,Feliks,11,0,20150602185853,20170902203450,unknown
115,Wikswat,11,9,20130315145849,20130912195924,unknown
116,Sänger,11,2,20160620105017,20180815144633,unknown
117,Martin Siegert,11,2,20151227180549,20161025210914,unknown
118,Chaddy,11,11,20130316181247,20130328162857,unknown
119,Anti.,11,3,20170318163605,20190226202323,unknown
120,Agathenon,11,7,20130411142855,20171112193039,unknown
121,Olaf Kosinsky,11,0,20150707090234,20171202222818,unknown
122,Lg09,10,10,20130422224642,20130919134953,unknown
123,Berichtbestatter,10,2,20160326212841,20171015181021,unknown
124,Bwag,10,2,20131010215038,20131017185859,unknown
125,Schnabeltassentier,10,4,20160606060600,20190301134113,unknown
126,Sivizius,10,7,20130919162746,20170918225845,unknown
127,-jkb-,10,6,20130316174238,20150325182638,unknown
128,Jenny Klein,10,6,20130317231138,20130327105553,unknown
129,Count Count,10,6,20170927090710,20181209162126,unknown
130,Robberey1705,10,0,20170725092832,20180721095822,unknown
131,Albin Schmitt,10,0,20180821100641,20190126135737,unknown
132,Beate neuhaus,10,0,20161113204618,20161114090112,unknown
133,Kuebi,10,6,20130325112347,20180818052651,unknown
134,Joobo,10,1,20160503222558,20170301211448,unknown
135,Pittimann,9,7,20130923101811,20180615144053,unknown
136,Stobaios,9,3,20130906151200,20170924225851,unknown
137,Tools4Men,9,1,20181003033322,20181003200642,unknown
138,Andim,9,9,20170326201745,20181007205907,unknown
139,Hydro,8,8,20130415084318,20160620121103,unknown
140,Goliath613,8,0,20130827205934,20130828051912,unknown
141,Amtiss,8,5,20140919132103,20170407015750,unknown
142,DavidHume1,8,0,20130404215242,20130406085228,unknown
143,Verum,8,2,20130520124253,20180217212134,unknown
144,Nobody perfect,8,3,20151209102558,20170203115727,unknown
145,Ragdy,8,0,20140816124332,20150901064044,unknown
146,"Tim""DerTimotheus""Rice",8,0,20160617004145,20160618104915,unknown
147,Wibramuc,8,3,20171201162320,20180325152204,unknown
148,Mupa280868,8,7,20171017104256,20190307142418,unknown
149,Rob567,8,1,20130414092623,20180530171738,unknown
150,Wosch21149,8,0,20130623113337,20150901065014,unknown
151,Bogenhausner,8,0,20130924205641,20130926085853,unknown
152,Gerold Broser,8,5,20121126015908,20121127142219,unknown
153,Andy king50,8,6,20130727120054,20161113122050,unknown
154,Muaddin,8,3,20130612141713,20130910112901,unknown
155,Hungchaka,8,7,20170503185428,20181103131537,unknown
156,62.204.165.222,8,0,20160605180314,20161113113800,unknown
157,Happolati,8,3,20130413155323,20160502193209,unknown
158,Bmstr,8,1,20180430141043,20180821205150,unknown
159,MBq,8,8,20130318130035,20170910134653,unknown
160,Carol.Christiansen,8,7,20130307042427,20140504195815,unknown
161,D.825,7,0,20130315192331,20130318034933,unknown
162,Frze,7,6,20130610220035,20160708181906,unknown
163,Urgelein,7,6,20140329104451,20170926130001,unknown
164,Pyrometer,7,1,20130323140758,20130405213827,unknown
165,Komischn,7,7,20130415072903,20160831093109,unknown
166,Adornix,7,0,20130927160029,20131211175046,unknown
167,Sve14,7,0,20170930150605,20190223194509,unknown
168,Hannover86,7,3,20180131203243,20181030105317,unknown
169,Ute Erb,7,7,20141225165225,20170227111326,unknown
170,Cami de Son Duc,7,0,20170402120624,20170405170036,unknown
171,Khatschaturjan,7,0,20160905074230,20160907202358,unknown
172,Neudabei,7,2,20160320084644,20170923200645,unknown
173,SlartibErtfass der bertige,7,1,20130415082349,20181008191107,unknown
174,Nillurcheier,7,0,20140317090200,20180114101620,unknown
175,Zbrnajsem,7,0,20131006152359,20181023185452,unknown
176,Catholicus,7,0,20130417183818,20141016122221,unknown
177,Str1977,7,1,20150710193327,20150711092106,unknown
178,Nightfly85,7,0,20130910225353,20130926131745,unknown
179,Centenier,7,7,20160120074005,20180815144236,unknown
180,Boshomi,6,1,20160303192145,20161129215246,unknown
181,KarlV,6,0,20130705133808,20180713102810,unknown
182,Silmarillion81,6,1,20130502082141,20130714112307,unknown
183,Stephan.rehfeld,6,2,20130414144427,20160223230106,unknown
184,Miraki,6,5,20150721172902,20180818063025,unknown
185,W. Edlmeier,6,1,20130325132630,20130623105724,unknown
186,Unscheinbar,6,6,20160117123134,20170903183830,unknown
187,Ne discere cessa!,6,2,20130325154957,20130928153108,unknown
188,Rax,6,4,20160223232341,20160710192006,unknown
189,LdlV,6,1,20140716114729,20140828072633,unknown
190,DaizY,6,0,20180406133352,20181011133053,unknown
191,Rmcharb,6,3,20150310074753,20180826161956,unknown
192,88.70.208.205,6,0,20160531214019,20160531215010,unknown
193,FMrz,6,2,20140601070215,20140608091553,unknown
194,Mick149,6,6,20181030122526,20181031114824,unknown
195,Altsprachenfreund,6,2,20160613162731,20180910112408,unknown
196,Franz Tausendfeuer,6,0,20151212135606,20151212141000,unknown
197,Dandelo,6,3,20131207230835,20180423173022,unknown
198,MNRothbard,6,1,20130325144117,20130331165720,unknown
199,Fw wiki00,5,0,20161021080707,20170305094335,unknown
200,Brodkey65,5,3,20131011071532,20180529070323,unknown
201,Stefan64,5,3,20140616150248,20180713135245,unknown
202,Seewolf,5,5,20130731103400,20160520121037,unknown
203,BurghardRichter,5,4,20170327012900,20171201173353,unknown
204,2001:4C80:40:624:21D:D8FF:FEB7:1DB1,5,0,20130913132608,20130913133625,unknown
205,FNORD,5,0,20130614195345,20130828222531,unknown
206,Alnilam,5,4,20130328183147,20190303030259,unknown
207,Koenraad,5,4,20131023162226,20150730163127,unknown
208,Hephaion,5,4,20130316224818,20140821105259,unknown
209,GastLeser89,5,0,20150816141823,20150816143051,unknown
210,Interessierterch,5,0,20170421084104,20171001121440,unknown
211,Snoopy1964,5,5,20141010113234,20161124120846,unknown
212,Luke081515Bot,5,0,20161120164347,20161213230521,unknown
213,Ireas,5,3,20151013081733,20160416020459,unknown
214,Serols,5,4,20150317080513,20161005072056,unknown
215,Jivee Blau,5,4,20140314222236,20160505223809,unknown
216,MX8,5,2,20130820164750,20181003170038,unknown
217,GregorHelms,5,0,20180228212124,20181017080307,unknown
218,Armin P.,5,3,20150917130434,20170319213309,unknown
219,Siehe-auch-Löscher,5,0,20130828115327,20141126142645,unknown
220,Dominik.Kuehl,5,1,20131011013559,20131106214839,unknown
221,Baumfreund-FFM,5,5,20141207161630,20151106061708,unknown
222,Cymothoa exigua,5,5,20130524114959,20160118122858,unknown
223,Florian Rupp,5,0,20150706090247,20161209072404,unknown
224,Bill Pointer,5,0,20130323043113,20130323093218,unknown
225,Jendrich,5,0,20140125000528,20140228185334,unknown
226,Antemister,5,0,20130329131901,20140329223625,unknown
227,Hakilon,5,4,20130509214849,20130510203053,unknown
228,IgorCalzone1,5,1,20150427161014,20161126173715,unknown
229,212.118.216.43,5,0,20130405173043,20150712124430,unknown
230,Der Fußballgott,5,0,20141101062750,20141102105754,unknown
231,Tomdraescher,5,2,20130404214203,20130630233146,unknown
232,Distelfinck,5,0,20160309203222,20171006145857,unknown
233,Ontopofthehill,5,0,20150511065809,20150625072905,unknown
234,Spuk968,5,4,20160504100517,20160509000127,unknown
235,Parvolus,4,0,20180424151556,20190227052955,unknown
236,LatinumPulchrum,4,1,20130520201136,20130525220019,unknown
237,Korkwand,4,0,20150706105155,20150706121822,unknown
238,Macuser10,4,3,20130406161755,20150325155150,unknown
239,JonskiC,4,0,20160822231126,20180428001210,unknown
240,Rolf acker,4,4,20131009192716,20170720200700,unknown
241,Excolis,4,2,20140125120947,20160327115950,unknown
242,Kabob,4,4,20151122003907,20160429205953,unknown
243,Striegistaler,4,1,20130405173743,20130420205728,unknown
244,Mullerkingdom,4,0,20130415180115,20130415183528,unknown
245,EierlegendeWollmilchsau,4,4,20131020223205,20131020224059,unknown
246,Florian Blaschke,4,3,20170425033912,20170926195029,unknown
247,SDI,4,2,20130322220321,20130411110914,unknown
248,Bernd Winterstille,4,0,20150513153413,20150518154938,unknown
249,He3nry,4,3,20130319134115,20140902114555,unknown
250,Bernhardvonrungholt,4,1,20150716170225,20170426105234,unknown
251,Zinnmann,4,2,20170905173120,20181008091442,unknown
252,HSV4life,4,3,20180118185646,20180831154426,unknown
253,Bond491,4,0,20160831211913,20171008123735,unknown
254,Borion,4,0,20130828100102,20150716195345,unknown
255,Nuuk,4,4,20160521105739,20180619164516,unknown
256,Altdenker,4,4,20180404135748,20180406133109,unknown
257,77.23.85.243,4,0,20160101112352,20160116220137,unknown
258,Gonzo.Lubitsch,4,0,20130325230238,20151001145713,unknown
259,Kotzi97,4,0,20140530220256,20141024155141,unknown
260,Pelz,4,2,20131101210251,20161109152749,unknown
261,AHZ,4,3,20150325155742,20170812215146,unknown
262,OlafDrei,4,0,20160502102128,20160502103812,unknown
263,79.209.17.77,4,0,20150722120159,20150722130911,unknown
264,Showmeheaven,4,4,20161122230100,20161122230301,unknown
265,Tenorhornist5798,4,0,20150519181731,20180827121020,unknown
266,KurtR,4,2,20170303030337,20190304044004,unknown
267,Karsten11,4,1,20130322094903,20130909101443,unknown
268,Tastaturtest,4,0,20151101121422,20151118005106,unknown
269,Zottmann,4,2,20170906211136,20170906214422,unknown
270,Hgulf,4,2,20130318100947,20140210113051,unknown
271,Cekay,4,2,20130413151410,20141230040552,unknown
272,Liberaler Humanist,4,0,20130415133238,20140501012905,unknown
273,Codc,4,4,20131218235743,20180930173035,unknown
274,WAH,4,4,20160825190444,20180415103103,unknown
275,Ephraim33,4,0,20160313191603,20160316095819,unknown
276,Phi,4,0,20180321212351,20181111142018,unknown
277,Varnhagen12,4,3,20140119092807,20140119130643,unknown
278,Willi P,4,0,20190112125629,20190307163333,unknown
279,Zynoplasma,4,1,20180210212432,20180315220100,unknown
280,Woodlanddragon,4,0,20160324224208,20160324231818,unknown
