,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Sargoth,278,124,20070105201142,20181120111441,unknown
1,Arcy,50,5,20040817164617,20090322121132,unknown
2,Fakten,13,3,20070913130746,20071001122643,unknown
3,X~dewiki,12,3,20050308201626,20050913171117,unknown
4,D,12,6,20040130115849,20080109192450,unknown
5,Aka,11,10,20050805203906,20181002172124,unknown
6,Der Eberswalder,10,3,20070127060908,20070203084313,unknown
7,C.Löser,9,2,20060503205350,20070218223757,unknown
8,LKD,8,8,20060420210550,20110124222138,unknown
9,F2hg.amsterdam,8,2,20081218060554,20120306102808,unknown
10,Pittimann,8,8,20091208112900,20130207201945,unknown
11,Sister Ray,7,6,20060404114111,20060417065735,unknown
12,Regi51,7,7,20080905104736,20190227141916,unknown
13,Fräggel,6,2,20070208183158,20070209164500,unknown
14,80.121.74.43,6,0,20070318180646,20070318184141,unknown
15,Xqbot,5,5,20090306075148,20121012110805,unknown
16,Zwobot,5,5,20031204094628,20060122072025,unknown
17,Gorlingor,5,1,20160329235530,20170728225022,unknown
18,Jorges,5,3,20040328202129,20040705000643,unknown
19,Reclus,5,4,20120810141945,20180817160451,unknown
20,80.132.80.22,4,0,20080109191304,20080109192242,unknown
21,80.138.232.137,4,0,20060110073656,20060110074442,unknown
22,Southpark,4,4,20041130235847,20060727180813,unknown
23,JAnDbot,4,4,20071108070201,20110119111446,unknown
24,The.unexpected.bob,4,4,20111231010059,20120108234702,unknown
25,Benatrevqre,4,0,20111102124212,20161218235320,unknown
26,Ulitz,4,2,20090208195024,20101209184731,unknown
27,Yuren,4,0,20040704080311,20040828215600,unknown
28,Ot,4,4,20070330222459,20130503064831,unknown
29,84.142.91.64,4,0,20070922101024,20070922103653,unknown
30,212.144.177.224,4,0,20070429120542,20070429121242,unknown
31,83.78.50.81,4,0,20070207211150,20070207211231,unknown
32,87.176.96.216,3,0,20121016054643,20121016055041,unknown
33,84.156.137.221,3,0,20061011205627,20061011205729,unknown
34,Keimzelle,3,3,20050430130252,20050625171550,unknown
35,91.60.54.210,3,0,20071111190223,20071111191101,unknown
36,Kopfwerker,3,0,20060913100837,20060913190125,unknown
37,62.203.154.46,3,0,20080920205437,20080920210313,unknown
38,Chiron McAnndra,3,0,20070507075927,20110526172027,unknown
39,Peter200,3,3,20070916185213,20120309192317,unknown
40,217.87.25.254,3,0,20070809123511,20070809123726,unknown
41,Jergen,3,2,20050426174838,20051206155659,unknown
42,77.178.252.4,3,0,20070421185923,20070421190256,unknown
43,King of the Bongo,3,0,20070630195444,20070630195612,unknown
44,Antemister,3,0,20120110201810,20120414084934,unknown
45,Sinn,3,3,20070605081318,20080502061451,unknown
46,84.112.96.185,3,0,20061116232801,20070111164746,unknown
47,NL,3,1,20040429075344,20040703044741,unknown
48,217.232.64.53,3,0,20080905104501,20080905104541,unknown
49,84.20.161.170,3,0,20070625194738,20070625195641,unknown
50,Semper,3,3,20060429083132,20070515071500,unknown
51,130.149.47.15,3,0,20070917144537,20070927120401,unknown
52,Kookaburra sits in the old gum tree,3,0,20070101022043,20070324205519,unknown
53,Feba,3,2,20060614091637,20060614091949,unknown
54,213.196.135.171,3,0,20070202075412,20070202080048,unknown
55,82.135.69.79,3,0,20070611182455,20070611183014,unknown
56,Frado,3,1,20071012184721,20071012191524,unknown
57,V-Mann Joe,3,0,20060429221546,20060429222209,unknown
58,85.179.9.159,3,0,20060811223155,20060812042734,unknown
59,217.231.116.64,3,0,20031025151838,20031026060257,unknown
60,Diba,3,3,20060422121346,20060803083647,unknown
61,84.169.48.53,3,0,20050706194215,20050706194313,unknown
