,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Sargoth,451,205,20060925012318,20180929183507,unknown
1,Ulitz,218,57,20040518163454,20150421175811,unknown
2,Arcy,164,13,20040826170103,20091017231353,unknown
3,F2hg.amsterdam,52,20,20080918115840,20130529154729,unknown
4,Koroesu,49,7,20080425181152,20120529193338,unknown
5,Uyfing,40,15,20120827074117,20121203113114,unknown
6,Vinci,40,34,20040104054349,20060610230545,unknown
7,Ceterum censeo,36,34,20050828161730,20050830020014,unknown
8,Southpark,26,21,20040105224428,20050929131134,unknown
9,X~dewiki,25,8,20050308202834,20060317031218,unknown
10,Zoe2007Henry,23,0,20070309131619,20070316220707,unknown
11,Phi,21,0,20110608194320,20180517051033,unknown
12,Zeno Gantner,15,7,20040215181532,20050220093317,unknown
13,80.108.96.171,14,0,20040629185544,20040629193220,unknown
14,217.251.166.121,13,0,20050826151811,20050826163546,unknown
15,Reclus,12,1,20120517140007,20170728124142,unknown
16,Zwobot,11,11,20031217100219,20070921021436,unknown
17,Uthland,11,0,20061125112758,20061126114841,unknown
18,Zulu13,11,1,20090131161101,20090222214952,unknown
19,Eichhörnchen,10,1,20050822231704,20050830214059,unknown
20,Nuuk,8,3,20071006085219,20071008193459,unknown
21,RobertLechner,8,6,20030316174140,20080627171648,unknown
22,OB-LA-DI,8,1,20070703133822,20071015073920,unknown
23,145.254.34.210,8,0,20050827110021,20050827144228,unknown
24,Ca$e,8,4,20070929072728,20140401213159,unknown
25,Sister Ray,8,8,20070117032531,20070424103230,unknown
26,217.227.168.97,8,0,20040729091810,20040729094106,unknown
27,HuckTwain,7,1,20071218201051,20080125211554,unknown
28,Der Stachel,7,1,20070928200547,20071006153907,unknown
29,Fräggel,7,0,20070126065132,20080610172149,unknown
30,Aka,7,7,20111215200436,20180515214042,unknown
31,62.134.88.216,7,0,20050827125119,20050827175611,unknown
32,Xqbot,6,6,20100710040456,20130710012641,unknown
33,217.230.187.156,6,0,20040723113036,20040723122846,unknown
34,El surya,6,2,20040905122626,20050610182821,unknown
35,Sechmet,6,6,20050730115214,20050730124451,unknown
36,Teodor Webin,6,0,20060622221529,20060704161527,unknown
37,Igo,6,4,20070203151207,20070209151621,unknown
38,Gonzo Greyskull,6,0,20081229002623,20130223172351,unknown
39,145.254.33.2,6,0,20050203192401,20050203195558,unknown
