,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Volkstribun 2.0,22,7,20130905043831,20180423103328,unknown
1,Asdrubal,19,2,20061117122218,20080528152320,unknown
2,Karsten11,17,6,20070702135450,20180122085708,unknown
3,Über-Blick,14,0,20180212003356,20180218000257,unknown
4,Der wahre Jakob,14,4,20170224174121,20190211143213,unknown
5,Natsu Dragoneel,13,11,20160211200605,20190217215506,unknown
6,THausherr,13,1,20060521192154,20070630045531,unknown
7,Subamaggus,10,3,20170925194640,20180226124604,unknown
8,80.136.129.234,10,0,20051031221725,20051031230622,unknown
9,Chronist 47,10,5,20080528183034,20180422140140,unknown
10,Gustav von Aschenbach,10,7,20100211163447,20181213225809,unknown
11,Alfred Grudszus,10,0,20051031161342,20051031224246,unknown
12,Berlin-Jurist,9,5,20051031222630,20081025193508,unknown
13,Regi51,8,8,20080528093400,20181025141010,unknown
14,PibeDeOuro,8,0,20180213200622,20190307045025,unknown
15,J. Patrick Fischer,8,1,20170806101347,20180220211422,unknown
16,Bene16,8,3,20081016151342,20081016200956,unknown
17,Mundartpoet,8,6,20050907204024,20061118104316,unknown
18,TMFS,7,3,20051103111434,20080313093305,unknown
19,KimHolgerKelting,6,0,20180207180917,20180212141845,unknown
20,Agp,6,1,20091005203520,20131215103519,unknown
21,Smit,6,2,20050927113956,20110221094832,unknown
22,Geitost,6,3,20080318184540,20091011110913,unknown
23,Horst Gräbner,6,4,20130520131213,20180829131553,unknown
24,19Wilhelm18,6,6,20180217084934,20180322113039,unknown
25,78.53.13.57,6,0,20170525155637,20170525160453,unknown
26,Lectorium,6,0,20180920085244,20181110113022,unknown
27,Perrak,5,0,20161011123900,20180510214940,unknown
28,Rudolph Buch,5,1,20170927151855,20190215140821,unknown
29,91.34.82.178,5,0,20070615193115,20070615194351,unknown
30,Jordan1976,5,3,20051031140642,20080106230027,unknown
31,Andropov,5,1,20150309105618,20180423065826,unknown
32,62.134.176.207,5,0,20051102215904,20051102221442,unknown
33,Nov3rd17,5,2,20180208192700,20180208194936,unknown
34,Aka,5,5,20051103103051,20180208144729,unknown
35,Frauke32,5,0,20180423173620,20180510210640,unknown
36,78.52.198.76,5,0,20180211233217,20180211235251,unknown
37,HSV4life,5,5,20180122191826,20180214173747,unknown
38,Eifeljanes,5,3,20121117075615,20190215125909,unknown
39,Mupa280868,5,5,20180122133545,20190212160345,unknown
40,PhilFS,4,0,20090801103316,20091116163638,unknown
41,Cyve,4,0,20170930124555,20180424075114,unknown
42,93.193.123.182,4,0,20080904062526,20080904062854,unknown
43,Fossa,4,0,20070615143242,20090409224518,unknown
44,MA5,4,1,20050819074456,20050906075802,unknown
45,Claus Ableiter,4,0,20100530142009,20100530203410,unknown
46,Dmicha,4,4,20141127103614,20180216080004,unknown
47,Routedesk,4,0,20070701202451,20070702131655,unknown
48,Mr. Mustard,4,0,20090409123038,20090409224304,unknown
49,Werner von Basil,4,4,20180122134013,20180627082323,unknown
50,92.228.18.190,4,0,20180122133532,20180122133947,unknown
51,Von Eden,4,4,20111003191001,20111025125253,unknown
52,84.59.31.184,4,0,20070627143729,20070627144204,unknown
