,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Yardsrules,68,14,20080808101509,20190220145319,unknown
1,Feliks,25,0,20160918201856,20160920181406,unknown
2,Qualiabavariae,22,0,20141020154421,20170516123724,unknown
3,RHD,21,5,20060929103933,20160211190407,unknown
4,Nomygon,19,4,20190124114232,20190220114745,unknown
5,Pass3456,15,0,20160920182721,20190218185137,unknown
6,JFH-52,12,10,20110612160039,20190210101510,unknown
7,Rmcharb,9,0,20160918145933,20160922192046,unknown
8,Fritz3721,9,2,20190204072959,20190218103307,unknown
9,Natsu Dragoneel,8,6,20150618111948,20190207124802,unknown
10,Toto~dewiki,7,0,20060409092518,20131222070437,unknown
11,Horst Gräbner,6,5,20140222150914,20181229143950,unknown
12,84.56.94.136,6,0,20051216004333,20051216015445,unknown
13,Aka,6,6,20141021100058,20190220165829,unknown
14,Berichtbestatter,5,0,20160920160521,20160926140528,unknown
15,Prognosic,5,0,20051223184925,20060111010837,unknown
16,Hardenacke,5,3,20090517190613,20141116131001,unknown
17,Lämpel,4,1,20190216131458,20190217161440,unknown
18,Darina,4,3,20051206203054,20051218173908,unknown
19,WiPo-Troll,4,0,20160926114909,20160926153203,unknown
20,KL052,4,1,20180310220336,20190129221722,unknown
21,Olaf Kosinsky,4,2,20160319172415,20170920211858,unknown
22,InternetArchiveBot,3,0,20180325101647,20180825142841,unknown
23,80.130.90.154,3,0,20051129082419,20051129083623,unknown
24,Max Plenert,3,0,20051013095200,20051013152239,unknown
25,84.141.8.219,3,0,20160330204046,20160330214250,unknown
26,Alabasterstein,3,0,20190130074826,20190131142410,unknown
27,84.143.176.220,3,0,20060403105732,20060403105849,unknown
28,Maddinowitch35,3,0,20190131134122,20190131140250,unknown
29,Itti,3,3,20130905101541,20181205164858,unknown
30,Voyager1500,3,3,20140118114336,20140119124245,unknown
31,Roehrensee,3,0,20160920074918,20160920153310,unknown
32,Zwobot,3,3,20061001130855,20070126212703,unknown
33,Superbass,3,0,20101123104004,20101123104717,unknown
34,Kreisverkehrsampel,3,1,20170626203238,20181207092325,unknown
35,Emmridet,3,3,20180314212131,20180315130555,unknown
