,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Abe Lincoln,176,23,20051026090208,20100226220123,unknown
1,Tfjt,80,45,20100815180627,20180317162715,unknown
2,Berlin-Jurist,77,20,20050527060336,20091229124619,unknown
3,Mogelzahn,56,35,20051122101143,20130904144723,unknown
4,Aka,52,52,20050609185926,20190211224706,unknown
5,Lley,38,9,20100727091017,20160622083451,unknown
6,KL052,38,2,20171216114207,20180329233211,unknown
7,Meier99,37,32,20151209191918,20160709094923,unknown
8,Gustav von Aschenbach,36,26,20070830163059,20171118193548,unknown
9,D,30,27,20050616185943,20060122001034,unknown
10,Ich901,30,0,20130216105645,20130620205246,unknown
11,TMFS,30,10,20031103012610,20080506001927,unknown
12,Phi,29,7,20120203151710,20190120104336,unknown
13,HaeB,27,9,20040605221824,20060902181346,unknown
14,Southpark,26,21,20040217164010,20051223212751,unknown
15,Rita2008,25,4,20080228103631,20181230135425,unknown
16,Unscheinbar,24,17,20050525153133,20170609134355,unknown
17,Hans Dunkelberg,23,21,20091229122404,20101011172405,unknown
18,Lettres,22,3,20090908223341,20181103190843,unknown
19,217.248.94.204,20,0,20060103015941,20060103031357,unknown
20,Michael G. Lind,19,4,20160323211003,20181029131451,unknown
21,Horst Gräbner,19,13,20121208074727,20190118175331,unknown
22,Gert Lauken,19,2,20110801124204,20170516185332,unknown
23,Hansele,19,0,20050605145701,20070101171831,unknown
24,EBB,18,16,20050920133355,20060225182040,unknown
25,SamWinchester000,18,0,20150528175452,20180527075923,unknown
26,Kan900,18,2,20050606091328,20060730100156,unknown
27,John Red,18,11,20080512113317,20120226082547,unknown
28,Horst-schlaemma,17,3,20160125130932,20180314094059,unknown
29,Neun-x,16,4,20120517192313,20170319193926,unknown
30,Sprachfreund49,16,2,20101121233403,20101122165311,unknown
31,Andropov,15,3,20140410145452,20181207235749,unknown
32,Ralf Roletschek,15,1,20070731170337,20171121120112,unknown
33,Magnus Nufer,14,3,20050523220305,20050703091944,unknown
34,Sprachpfleger,13,8,20101124145800,20190305215917,unknown
35,Eck,13,0,20060803141541,20060804050707,unknown
36,Zaphiro,13,10,20050626113639,20051126222608,unknown
37,Drgkl,12,10,20151031131854,20151103031528,unknown
38,MAY,12,0,20100914215040,20181110220750,unknown
39,Kängurutatze,12,1,20130907151547,20180808085256,unknown
40,M 93,12,1,20091019194955,20131222114721,unknown
41,Dachris,11,0,20050819141130,20060102231928,unknown
42,Xqbot,11,11,20090316075912,20120614072035,unknown
43,Dundak,11,9,20050530164618,20070716203906,unknown
44,Leit,11,3,20060817140744,20130627144401,unknown
45,Frank der Lexikafreak,11,7,20070109133719,20070109140634,unknown
46,Stuttgart1950,11,11,20110228234148,20110301231653,unknown
47,Alnilam,11,9,20110912101947,20161212092252,unknown
48,KastusK,11,0,20130220165617,20131122213031,unknown
49,Boshomi,10,1,20121008220424,20151124171346,unknown
50,195.93.60.116,10,0,20050523212241,20051123101409,unknown
51,BerlinerSchule,10,6,20080208211602,20090206004329,unknown
52,Polentarion,10,3,20130924012229,20140301215144,unknown
53,Kleiner Stampfi,10,0,20130213130045,20130611232116,unknown
54,Majo statt Senf,10,2,20130917181239,20170831150645,unknown
55,Kuebi,10,6,20071011194325,20151106080402,unknown
56,Austriantraveler,10,1,20150603173451,20170310144650,unknown
57,Hafenbar,10,5,20050921015140,20060130211923,unknown
58,Dmicha,9,9,20120505075224,20170526081723,unknown
59,Bavarian Sailor,9,1,20170323093528,20170917154150,unknown
60,Dcon,9,6,20060812075159,20060812125920,unknown
61,Leyo,9,7,20150206075837,20190106234140,unknown
62,Zollernalb,9,9,20141107132902,20181030213950,unknown
63,Fossa,9,1,20070425132252,20090730132308,unknown
64,Cartinal,9,4,20101230170521,20170521033630,unknown
65,Weissmann,9,9,20070518064418,20070519135240,unknown
66,Stefan64,9,6,20051123003607,20170917121807,unknown
