,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Cyve,12,1,20180330072241,20180330080632,unknown
1,Zumthie,5,5,20130924125512,20130924132955,unknown
2,Cirdan,5,0,20180225193442,20181125183416,unknown
3,AnnaS.aus I.,5,2,20170916134954,20190225040933,unknown
4,ClntnH,4,1,20181125080733,20181125095518,unknown
5,47.68.249.11,4,0,20150420200931,20150420201321,unknown
6,EH⁴²,4,0,20181123163225,20181125121642,unknown
7,Der wahre Jakob,3,1,20180225222724,20180326184611,unknown
8,Über-Blick,3,1,20181122122150,20181122122413,unknown
9,Hbroeckel,3,0,20180710141642,20180710142445,unknown
10,Aka,3,3,20160808104503,20181125202653,unknown
11,Alstersegler,3,0,20170924213559,20170924213747,unknown
12,KL052,3,0,20180310221008,20180311132839,unknown
13,78.52.21.220,3,0,20180225162352,20180225221312,unknown
14,J.-H. Janßen,2,0,20130922194656,20130922202555,unknown
15,Aalfons,2,0,20180225183239,20180312081331,unknown
16,31.16.249.164,2,0,20181214092912,20181214093048,unknown
17,Neun-x,2,0,20180226185044,20181108200118,unknown
18,193.219.105.155,2,0,20180710140421,20180710140439,unknown
19,91.64.239.81,2,0,20180225183445,20180311151045,unknown
20,Zimt-Speculatius,2,2,20181214093013,20181214093058,unknown
21,Altsprachenfreund,2,1,20180225164403,20181123173454,unknown
22,Anti.,2,1,20180226101102,20180226101221,unknown
23,Kresspahl,2,2,20180225183618,20180225183827,unknown
24,Rmcharb,2,0,20180225162304,20180920144730,unknown
25,Converto,2,1,20180312201341,20180312201755,unknown
26,Willi P,2,0,20181215230144,20181215231545,unknown
27,Rabanusmaurus,2,0,20180225192128,20180227170554,unknown
28,Cducsu,1,1,20140217142540,20140217142540,unknown
29,Horst-schlaemma,1,0,20180228114348,20180228114348,unknown
30,84.118.72.53,1,0,20181120051905,20181120051905,unknown
31,BeimelJ,1,0,20180805075345,20180805075345,unknown
32,Lünnemann EDV,1,0,20180120112743,20180120112743,unknown
33,2A02:2454:8878:1200:B03F:1445:57F6:1554,1,0,20190223213158,20190223213158,unknown
34,RobertLechner,1,1,20141219213742,20141219213742,unknown
35,Feliks,1,0,20180311175907,20180311175907,unknown
36,Grey Geezer,1,0,20131112131349,20131112131349,unknown
37,80.187.119.117,1,0,20180225192600,20180225192600,unknown
38,92.252.13.67,1,0,20181102190729,20181102190729,unknown
39,RoBri,1,1,20180225162420,20180225162420,unknown
40,Neuenkirchener,1,0,20170819124512,20170819124512,unknown
41,Leit,1,0,20180314172424,20180314172424,unknown
42,Leyo,1,1,20190107000245,20190107000245,unknown
43,Kängurutatze,1,0,20140217164101,20140217164101,unknown
44,Laniakea-rubikon,1,0,20180304163314,20180304163314,unknown
45,Frozen Donkai Kong,1,1,20181125095802,20181125095802,unknown
46,Informationswiedergutmachung,1,1,20180226002002,20180226002002,unknown
47,88.153.178.49,1,0,20181122085846,20181122085846,unknown
48,Brunost16,1,0,20180918142412,20180918142412,unknown
49,Grimgorg,1,0,20180225162224,20180225162224,unknown
50,109.42.3.46,1,0,20180416152108,20180416152108,unknown
51,93.133.102.55,1,0,20190225005808,20190225005808,unknown
52,Nillurcheier,1,0,20180311210545,20180311210545,unknown
53,Gödeke,1,1,20131115160111,20131115160111,unknown
54,Watzmann,1,1,20180226211830,20180226211830,unknown
55,Regi51,1,1,20181102190907,20181102190907,unknown
56,InternetArchiveBot,1,0,20180325102001,20180325102001,unknown
57,Braganza,1,0,20190222172934,20190222172934,unknown
58,Foto-AG Gymnasium Melle,1,0,20140912085304,20140912085304,unknown
59,5.62.39.70,1,0,20180305103222,20180305103222,unknown
60,91.53.90.9,1,0,20181125131051,20181125131051,unknown
61,212.95.112.208,1,0,20131112130831,20131112130831,unknown
62,Tsungam,1,1,20181122090434,20181122090434,unknown
63,2A02:908:8B3:C260:D551:95B1:D99:1550,1,0,20180920114621,20180920114621,unknown
64,Slökmann,1,1,20180416152844,20180416152844,unknown
65,Bgressor,1,0,20131117152934,20131117152934,unknown
66,Koyaanisqatsi01,1,1,20180227202942,20180227202942,unknown
67,213.197.181.26,1,0,20181123205447,20181123205447,unknown
68,Itti,1,1,20180225222512,20180225222512,unknown
69,Hardcorebambi,1,1,20181112224448,20181112224448,unknown
70,Hebo98,1,0,20180225181135,20180225181135,unknown
71,Derim Hunt,1,0,20180730094003,20180730094003,unknown
72,CDUDeutschlands,1,0,20180326142222,20180326142222,unknown
73,Raumfahrtingenieur,1,1,20190223100522,20190223100522,unknown
74,DerHexer,1,0,20141116231353,20141116231353,unknown
75,Girus,1,1,20181126053324,20181126053324,unknown
76,Louis Bafrance,1,0,20131112130944,20131112130944,unknown
77,Komischn,1,1,20180226162104,20180226162104,unknown
78,46.18.62.1,1,0,20181122110343,20181122110343,unknown
79,2A02:810D:9C0:7954:806:1F44:BCC6:4797,1,0,20181015055837,20181015055837,unknown
80,Invisigoth67,1,1,20180427132137,20180427132137,unknown
81,93.244.244.191,1,0,20170726233833,20170726233833,unknown
82,Holger1974,1,0,20180314132829,20180314132829,unknown
83,Norschweden,1,1,20181230043309,20181230043309,unknown
