,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Scheint sinnig,14,7,20140703105304,20180209105851,unknown
1,AxelHH,9,0,20171107210604,20180127191003,unknown
2,Aka,8,8,20140710192423,20181209123803,unknown
3,DerHexer,6,2,20140924133703,20141219124358,unknown
4,Coyote III,4,0,20190110172836,20190110174034,unknown
5,80.71.142.166,4,0,20181118195304,20190110071835,unknown
6,Befirst39,4,0,20130224141104,20130306151936,unknown
7,Anti.,4,0,20181110180419,20190110074630,unknown
8,KorrekTOM,4,3,20171211115831,20190110190141,unknown
9,Stepro,3,2,20180131035348,20180209172616,unknown
10,HeBB,3,2,20151230110441,20180128101942,unknown
11,Kotofeij K. Bajun,2,1,20130822144317,20130822144343,unknown
12,2003:80:AE3E:840E:5C6D:1FA6:2BDB:B948,2,0,20180128141537,20180128141600,unknown
13,Graf Foto,2,0,20181030070719,20181129104407,unknown
14,12kohl,2,0,20180127120655,20180127121052,unknown
15,Olaf Kosinsky,2,1,20140808193144,20150216122449,unknown
16,91.7.57.61,2,0,20171214000534,20171214000837,unknown
17,Komischn,2,1,20130902173037,20150121143613,unknown
18,Zynoplasma,2,1,20180127120825,20180127125220,unknown
19,WikiWikinger,2,0,20131117165221,20131117174219,unknown
20,2.201.95.234,2,0,20190110125605,20190111092815,unknown
21,Rabanusmaurus,2,1,20180121095607,20180121095711,unknown
22,78.50.202.223,2,0,20171211134138,20171211221548,unknown
23,Frommbold,2,2,20140413221754,20140413221841,unknown
24,193.17.243.1,2,0,20170310120220,20170310120426,unknown
25,Holder,2,0,20140921180817,20190109044659,unknown
26,Bernardoni,2,0,20180108160526,20180110142213,unknown
27,Máel Milscothach,1,1,20171125001502,20171125001502,unknown
28,Morimont,1,0,20091218110030,20091218110030,unknown
29,SFfmL,1,1,20170428221853,20170428221853,unknown
30,178.3.77.195,1,0,20180127153345,20180127153345,unknown
31,Sebbot,1,0,20150517050038,20150517050038,unknown
32,89.204.138.249,1,0,20180706201156,20180706201156,unknown
33,2003:DD:171B:ECEA:4D66:C790:19E0:104B,1,0,20190119123615,20190119123615,unknown
34,Bgressor,1,0,20131117144717,20131117144717,unknown
35,Benny26,1,1,20171210190941,20171210190941,unknown
36,KPFC,1,1,20180202154739,20180202154739,unknown
37,CamelBot,1,1,20190108211924,20190108211924,unknown
38,Florean Fortescue,1,1,20121117180033,20121117180033,unknown
39,85.180.225.71,1,0,20171019072936,20171019072936,unknown
40,Stefan,1,1,20180127210757,20180127210757,unknown
41,80.187.116.139,1,0,20181110181356,20181110181356,unknown
42,Informationswiedergutmachung,1,1,20161120144821,20161120144821,unknown
43,Hlambert63,1,1,20180127132111,20180127132111,unknown
44,BMG12,1,0,20180110112542,20180110112542,unknown
45,80.151.14.157,1,0,20180831143641,20180831143641,unknown
46,Neun-x,1,0,20171211123102,20171211123102,unknown
47,HSV4life,1,1,20180527164617,20180527164617,unknown
48,P. W. Siebert,1,1,20190111093150,20190111093150,unknown
49,2003:80:AE39:98A3:A089:87FB:9D0A:4B10,1,0,20171210140813,20171210140813,unknown
50,84.147.72.6,1,0,20181129074946,20181129074946,unknown
51,80.86.167.100,1,0,20100224132226,20100224132226,unknown
52,92.75.191.41,1,0,20170914170828,20170914170828,unknown
53,Rommersberg,1,0,20180127172348,20180127172348,unknown
54,80.187.116.93,1,0,20181110173846,20181110173846,unknown
55,GiftBot,1,0,20150807224943,20150807224943,unknown
56,Foto-AG Gymnasium Melle,1,0,20140910131240,20140910131240,unknown
57,Dietrich,1,0,20171217121000,20171217121000,unknown
58,109.41.192.111,1,0,20180813165933,20180813165933,unknown
59,46.28.87.200,1,0,20190205211054,20190205211054,unknown
60,Frank Kuehne,1,1,20171210213521,20171210213521,unknown
61,SamWinchester000,1,0,20180210151417,20180210151417,unknown
62,62.204.165.222,1,0,20171022063359,20171022063359,unknown
63,2A0A:A541:8E05:0:1818:33FA:59D3:AA58,1,0,20180128003456,20180128003456,unknown
64,Horst Gräbner,1,0,20181110181508,20181110181508,unknown
65,193.17.236.2,1,0,20170310115132,20170310115132,unknown
66,Jcornelius,1,0,20180127145152,20180127145152,unknown
67,Pelz,1,1,20141110224949,20141110224949,unknown
68,Perrak,1,0,20181001210629,20181001210629,unknown
69,Invisigoth67,1,0,20140704204023,20140704204023,unknown
70,Tokota,1,0,20180609053941,20180609053941,unknown
71,Dobke123,1,1,20190111102146,20190111102146,unknown
72,Felix König,1,0,20130906161716,20130906161716,unknown
73,2003:7A:8C11:8A00:111C:4672:18C1:3E90,1,0,20171210181227,20171210181227,unknown
74,2A02:1205:5010:310:14F2:2E23:80F0:AC6A,1,0,20180131142758,20180131142758,unknown
75,Yoda1893,1,0,20181208133448,20181208133448,unknown
76,Be-first37,1,0,20100721113608,20100721113608,unknown
77,Polarlys,1,0,20170925205457,20170925205457,unknown
78,87.144.23.161,1,0,20180127190225,20180127190225,unknown
79,2A01:598:B109:6345:1:1:680C:1039,1,0,20181110174353,20181110174353,unknown
80,109.91.203.158,1,0,20180127121106,20180127121106,unknown
81,79.247.96.127,1,0,20140915122527,20140915122527,unknown
82,2A02:8109:8980:4299:C87A:F950:E9FA:4D5A,1,0,20180106123629,20180106123629,unknown
83,Rmcharb,1,0,20180813170024,20180813170024,unknown
84,Zxmt,1,1,20171210214819,20171210214819,unknown
85,46.5.30.250,1,0,20180312081049,20180312081049,unknown
86,Serols,1,1,20190110125630,20190110125630,unknown
87,Blech,1,0,20130310221136,20130310221136,unknown
88,2.247.255.184,1,0,20180128101006,20180128101006,unknown
89,Squasher,1,1,20181110184534,20181110184534,unknown
90,Thomas Schulte im Walde,1,1,20180127150042,20180127150042,unknown
91,Mellebga,1,1,20181008181102,20181008181102,unknown
92,Eddgel,1,1,20141221181029,20141221181029,unknown
93,Tenorhornist5798,1,0,20180125141748,20180125141748,unknown
94,2001:16B8:60C6:8D00:F1:D2:83FC:5657,1,0,20171212224243,20171212224243,unknown
95,Nixnubix,1,0,20180615171503,20180615171503,unknown
96,Bormaschine,1,1,20190111102310,20190111102310,unknown
97,Ephraim33,1,0,20130926135121,20130926135121,unknown
98,O0TsRVi7,1,1,20171210183017,20171210183017,unknown
99,Bernd Winnig,1,0,20180131145053,20180131145053,unknown
100,217.244.8.60,1,0,20181219081849,20181219081849,unknown
101,Deltongo,1,1,20101204125319,20101204125319,unknown
102,Kresspahl,1,1,20170927151959,20170927151959,unknown
103,Altsprachenfreund,1,1,20180127191841,20180127191841,unknown
104,Semlino,1,0,20161114145844,20161114145844,unknown
105,2A02:8108:30BF:C594:E082:10E5:E8F7:7990,1,0,20180127130002,20180127130002,unknown
106,Cirdan,1,0,20180822152348,20180822152348,unknown
107,193.17.244.2,1,0,20140507111023,20140507111023,unknown
108,Lfrancesco,1,0,20180316203458,20180316203458,unknown
