,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Simplicius,54,2,20121016123313,20130316130858,unknown
1,212.202.224.62,39,0,20040303182528,20040303193410,unknown
2,Uwe Lück,34,4,20180303222143,20180306100846,unknown
3,TMFS,23,3,20051017131929,20070705141406,unknown
4,Qualiabavariae,23,0,20121015152338,20130223155852,unknown
5,Vsop,23,3,20130207100806,20180810080901,unknown
6,Schampus-os,21,21,20140511041604,20140807212130,unknown
7,Happolati,19,9,20120503091451,20130212225509,unknown
8,Quadtrivium,19,5,20130615134941,20130729170710,unknown
9,Paco1985,18,5,20130205001351,20130303212021,unknown
10,Nemissimo,16,1,20120823103638,20130701081220,unknown
11,Zollernalb,16,16,20101101170500,20170225154124,unknown
12,Neun-x,15,0,20111004204726,20180106162700,unknown
13,Turris Davidica,15,4,20120819154941,20140515113329,unknown
14,Aka,15,15,20050707154714,20190205164237,unknown
15,ManfredFX,14,1,20130206142952,20170703214026,unknown
16,Chricho,14,4,20121021204757,20180201181730,unknown
17,Sol1,13,4,20120503224715,20131002004027,unknown
18,Volkstribun 2.0,13,1,20121221104358,20131106105552,unknown
19,Mama Leone,11,6,20121014180644,20140515131900,unknown
20,Andys,11,3,20121020212630,20121224081653,unknown
21,Verzettelung,10,5,20130227175435,20180303225349,unknown
22,Wangen,10,0,20051221194638,20130305181830,unknown
23,Berlin-Jurist,10,6,20051129224020,20061219181224,unknown
24,Der wahre Jakob,9,3,20140418184322,20180707192904,unknown
25,Braveheart,9,3,20080703194824,20140515142345,unknown
26,Andreas Franziskus,9,7,20140507143130,20150309212035,unknown
27,Feliks,9,0,20091124074644,20091124093012,unknown
28,YMS,9,2,20120502184606,20141125075823,unknown
29,92.226.160.189,8,0,20130223133215,20130223135506,unknown
30,Dr Lol,8,0,20190227152906,20190227154359,unknown
31,CauchyFolge,8,2,20130205193054,20130205195340,unknown
32,JuergenL,8,6,20040824182929,20051128190406,unknown
33,Mietschlossherr,8,4,20121014091411,20121014151952,unknown
34,Wefa,8,1,20121015154504,20151003202111,unknown
35,Docmo,7,0,20151110102848,20181008122339,unknown
36,Qaswa,7,6,20121014144237,20140321192658,unknown
37,Grindinger,7,1,20121020220023,20121101080410,unknown
38,Horst Gräbner,6,4,20140324164841,20170219192753,unknown
39,Tets,6,1,20130205192738,20130206002037,unknown
40,Politics,6,3,20091023222123,20091226220127,unknown
41,Regi51,6,6,20110411171718,20170524180509,unknown
42,Jonaster,6,2,20121020205130,20170308004806,unknown
43,Jurist2,6,0,20121014111158,20121015201859,unknown
44,LIU,6,2,20140507103642,20140730190117,unknown
45,78.52.202.197,5,0,20170219192517,20170219193706,unknown
46,SEM,5,3,20121014213638,20121211190013,unknown
47,Scooter,5,3,20051204235332,20061223005448,unknown
48,Sonnost,5,2,20120810103642,20120911095212,unknown
49,217.226.108.186,5,0,20040303194318,20040303194603,unknown
50,84.155.169.202,5,0,20051128114756,20051128115315,unknown
51,Paul Peplow,5,1,20130211192559,20130214092505,unknown
52,Eishöhle,5,0,20140322222008,20140411214848,unknown
53,91.19.244.10,5,0,20140428193033,20140428194137,unknown
54,Bene16,5,5,20070208225341,20070208231417,unknown
55,He3nry,5,5,20051209110536,20150306151010,unknown
56,80.141.146.231,5,0,20040919010230,20040919010753,unknown
57,Felix König,5,2,20120818152956,20130828142500,unknown
58,217.249.146.82,4,0,20051124163903,20051124164248,unknown
59,Stern,4,0,20041018121418,20060708174902,unknown
60,Streifengrasmaus,4,4,20051030180522,20060921140520,unknown
61,Wasserbart,4,0,20121016195558,20121016202644,unknown
62,217.249.158.131,4,0,20060612202508,20060612205834,unknown
63,Radschläger,4,4,20081214174939,20090131190707,unknown
64,Wilske,4,3,20130930184937,20130930185620,unknown
65,Miltrak,4,0,20130206092202,20170219132447,unknown
66,Arbitro,4,1,20130210170913,20130217130600,unknown
67,WolfgangRieger,4,1,20130208010123,20130209152631,unknown
68,RoBri,4,1,20170219192813,20170525155315,unknown
69,Bgm2011,4,3,20130215181347,20130215182143,unknown
70,Rmcharb,4,3,20130729173725,20170522173023,unknown
71,Kleiner Stampfi,4,1,20130205203634,20130210090346,unknown
72,Bhuck,4,0,20050825084719,20050825085403,unknown
73,Agathenon,4,2,20140203130730,20140205110904,unknown
74,Boshomi,4,1,20140805175014,20161129205431,unknown
75,IvaBerlin,4,3,20140702100921,20140827105640,unknown
76,Achim Raschka,4,4,20121016184317,20121224135507,unknown
77,Pelz,3,3,20111220213029,20141111225531,unknown
78,Brodkey65,3,0,20130206065410,20130207064949,unknown
79,Eriom,3,2,20140801164927,20160706132413,unknown
80,InternetArchiveBot,3,0,20180325102230,20190308222819,unknown
81,Seoulmember,3,0,20061005072353,20061005072449,unknown
82,Southpark,3,2,20040303205721,20040309210239,unknown
83,84.73.123.149,3,0,20120506111319,20121219085939,unknown
84,Rosenzweig,3,1,20050211170157,20051009174428,unknown
85,Matt1971,3,1,20140322134110,20140323082625,unknown
86,Giftmischer,3,1,20130209222336,20160513150410,unknown
87,Carol.Christiansen,3,2,20130223134623,20130223171715,unknown
88,Indeedous,3,0,20130208212119,20140329210634,unknown
89,130.91.205.43,3,0,20120215195054,20120215195319,unknown
90,Luke081515Bot,3,0,20161116221641,20161129174210,unknown
91,M 93,3,0,20130209130142,20130223133432,unknown
92,Hubertl,3,1,20121014110914,20121020223825,unknown
93,AndreasSchepers,3,0,20091028214304,20110311145726,unknown
94,92.225.124.193,3,0,20130323201022,20130323212753,unknown
95,217.249.158.251,3,0,20060613064754,20060613065627,unknown
96,Hafenbar,3,1,20050824132122,20090505000253,unknown
97,Pixewakb,3,1,20130206164412,20130209192313,unknown
98,193.135.25.34,3,0,20051128115342,20051128143045,unknown
99,Grafite,3,1,20140416174346,20140418162725,unknown
100,Andropov,3,1,20140811151737,20150125124800,unknown
101,Sprachfreund49,3,0,20121014162553,20130205225154,unknown
102,Wiegels,3,3,20051017120042,20140205000225,unknown
103,91.3.204.214,3,0,20121014202938,20121014204020,unknown
104,Licentiatus,3,2,20041026231501,20150901093742,unknown
105,Enslin,3,1,20040722164214,20041031083431,unknown
106,Hadibe,2,2,20140509221535,20140511082237,unknown
107,Olaf Kosinsky,2,2,20150209160708,20150209160723,unknown
108,80.171.191.246,2,0,20130127142724,20130127144831,unknown
109,Alnilam,2,2,20120702171921,20121022135102,unknown
110,Widerborst,2,0,20130206150148,20130206150301,unknown
111,78.52.147.59,2,0,20171117181723,20171117182003,unknown
112,Uncopy,2,1,20130209142352,20130209142707,unknown
113,Conny,2,2,20130206133828,20130209131206,unknown
114,Pinguin55,2,0,20130929110035,20131001215128,unknown
115,Jergen,2,1,20051122161217,20051123171213,unknown
116,217.249.58.183,2,0,20060730134148,20060730135120,unknown
117,123.217.255.175,2,0,20130123170535,20130123171700,unknown
118,Deckshand,2,0,20130209130845,20130209131015,unknown
119,Sir-Jean,2,0,20170425162849,20170425163039,unknown
120,Hansbaer,2,0,20130208102322,20130208102347,unknown
121,AchimP,2,0,20150902100147,20150902113026,unknown
122,Ot,2,0,20130305050104,20141011051659,unknown
123,Zwobot,2,2,20040508093005,20040526063301,unknown
