,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Allonsenfants,267,9,20160420151513,20170522072936,unknown
1,Kopilot,243,35,20150920191911,20181229184046,unknown
2,Jesusfreund,84,10,20060722204446,20100826194134,unknown
3,Arcy,56,6,20080131215509,20110105115507,unknown
4,Rita2008,45,1,20090308174300,20171215175804,unknown
5,Jeldrik,45,10,20051024091045,20061010102959,unknown
6,Hardenacke,36,20,20060829175451,20181229164407,unknown
7,Häuslebauer,25,5,20080531141842,20160905075854,unknown
8,Ulitz,24,4,20060225115728,20120108190448,unknown
9,House1630,20,4,20160930073746,20161003075912,unknown
10,Aka,18,18,20051127122554,20180506223102,unknown
11,Karsten11,12,0,20060810190526,20061010084816,unknown
12,Tohma,12,0,20131212182507,20161003075713,unknown
13,The Brainstorm,11,3,20090726152015,20100831070600,unknown
14,Pluriscient,10,5,20051206140227,20070907131906,unknown
15,Benatrevqre,9,4,20121011112251,20180620181425,unknown
16,Gonzo.Lubitsch,9,3,20120115195709,20130308232608,unknown
17,Yikrazuul,7,3,20110706180516,20120619160057,unknown
18,Rikuti,7,3,20170427122848,20170515083823,unknown
19,Slopianka,7,0,20161215184840,20161224122425,unknown
20,Mannerheim,7,3,20081122090338,20081230000347,unknown
21,JB-Firefox,6,3,20170722183627,20180814083318,unknown
22,Zietz,6,0,20121003173325,20121004075800,unknown
23,Gonzo Greyskull,6,2,20080803164541,20110706203858,unknown
24,Faschos dissen,6,0,20070720051037,20070720052128,unknown
25,84.137.63.102,6,0,20121003175119,20121003183301,unknown
26,Nuuk,5,5,20100302184122,20180314174421,unknown
27,Hoss,5,1,20170525091809,20180415085939,unknown
28,Sargoth,5,3,20070907132042,20101030154148,unknown
29,Alkim Y,5,1,20130311084819,20130311100733,unknown
30,Fossa,5,0,20061007121132,20070906234242,unknown
31,Jaellee,4,4,20161012214307,20170528184102,unknown
32,Victor Neuss,4,0,20080107235517,20080108002010,unknown
33,Columbin,4,0,20080803150258,20080803164813,unknown
34,Richard Lenzen,4,3,20171027194753,20171027202732,unknown
35,Khatschaturjan,4,1,20180402190243,20180402190516,unknown
36,Altsprachenfreund,4,3,20170501182946,20170519114438,unknown
37,84.147.217.236,4,0,20090426155404,20090426160030,unknown
38,JosFritz,4,3,20120115194522,20131228082215,unknown
39,84.57.88.90,4,0,20070201195656,20070202013340,unknown
40,Krabbeltier,4,0,20080616221627,20080617144804,unknown
41,Osika,4,3,20090426155504,20100914171400,unknown
42,Eberhard64,3,0,20060723132105,20060922095008,unknown
43,Luckas-bot,3,3,20100508234706,20120220222150,unknown
44,Tönjes,3,3,20070202012919,20070202013527,unknown
45,Das selbe Gelb,3,1,20090807185023,20090807190527,unknown
46,Xqbot,3,3,20090420163804,20100810204016,unknown
47,Permanenter Antifa-Kampf,3,0,20100707165925,20100707170222,unknown
48,Blunt.,3,2,20100124090107,20100225193625,unknown
49,Reclus,3,1,20120814162348,20130822122846,unknown
50,91.17.241.116,3,0,20161004183732,20161004194807,unknown
51,Bunnyfrosch,3,3,20120108172958,20120115205223,unknown
52,Der Stachel,3,1,20070501121759,20070731210427,unknown
53,Pittimann,3,3,20090807185230,20140328072826,unknown
54,Feldwebel,3,0,20070906233456,20070906233911,unknown
55,Rufus46,3,2,20060708211941,20060722220041,unknown
56,85.177.185.68,3,0,20070902132432,20070902132702,unknown
57,LKD,3,3,20080207165353,20091210184944,unknown
58,Altkatholik62,3,2,20161030171737,20181227050335,unknown
59,217.244.117.53,3,0,20160930201857,20160930202540,unknown
60,84.59.70.236,3,0,20060226130619,20060226132905,unknown
61,217.6.9.50,3,0,20100612154938,20100612174557,unknown
62,Mushushu,2,2,20161124152314,20161124152846,unknown
63,Sozwid,2,0,20121003175733,20121003175951,unknown
64,Matthiasb,2,0,20070328175303,20070328175348,unknown
65,Wissling,2,2,20090816210448,20090902150535,unknown
66,Asthma,2,1,20060325163945,20060621200431,unknown
67,Jochim Schiller,2,2,20080509132744,20080510235606,unknown
68,84.137.37.99,2,0,20120108152028,20120108155229,unknown
69,Boshomi,2,0,20121103124915,20150222161529,unknown
70,Sowie,2,0,20060807174922,20060807180259,unknown
71,Phi,2,1,20180515055147,20180620185830,unknown
72,Gottkaiser,2,1,20110403171443,20110403171546,unknown
73,TheLiberator,2,2,20070730181334,20070730181433,unknown
74,82.83.108.130,2,0,20060301082242,20060301083306,unknown
75,91.17.255.205,2,0,20160101150358,20160101150754,unknown
76,95.208.112.196,2,0,20150104144708,20150104144844,unknown
77,Xqt,2,0,20161015142404,20161017085911,unknown
78,Geesome,2,0,20071024165914,20071024170022,unknown
79,Prawda2000,2,0,20080826215150,20080826230636,unknown
80,DerHexer,2,2,20080702111635,20110216104741,unknown
81,80.171.40.128,2,0,20090526170108,20090526170338,unknown
82,Ernesto Thälmann,2,0,20070614222931,20070614223228,unknown
83,141.58.118.200,2,0,20060223114233,20060223114629,unknown
84,212.42.252.2,2,0,20060808133207,20060808144152,unknown
85,Jarroson99,2,2,20171120204354,20171120204616,unknown
86,91.54.224.7,2,0,20080616155331,20080616155531,unknown
87,Uncle Silver,2,2,20160711094648,20170805184026,unknown
88,Tessmeier,2,0,20130311094734,20130311095334,unknown
89,Georg Hügler,2,0,20180409062738,20180410055910,unknown
90,62.220.29.154,2,0,20080829124327,20080829124434,unknown
91,91.42.36.164,2,0,20100205154324,20100205154415,unknown
92,TXiKiBoT,2,2,20080730154749,20080808120312,unknown
93,212.201.82.12,2,0,20060512150835,20060512150933,unknown
94,ToShorter,2,0,20131227230905,20131228104918,unknown
95,MorbZ-Bot,2,2,20090610164309,20130301111613,unknown
96,Gridditsch,2,2,20161011132759,20161011132835,unknown
97,5.147.6.30,2,0,20180314174311,20180314174525,unknown
98,Miraki,2,1,20120517181034,20170406053512,unknown
99,217.229.38.159,2,0,20140311225554,20140311230045,unknown
100,78.52.139.196,2,0,20130311095615,20130311100320,unknown
101,Sänger,2,0,20170112154459,20180712200817,unknown
102,ArminKow,2,1,20120107213906,20120107214125,unknown
103,Alexbot,2,2,20071222020722,20080109063651,unknown
104,Inkowik,2,2,20100205154334,20100205154421,unknown
105,JFKCom,2,1,20060719164831,20060730154533,unknown
106,VonMythenmetz,2,1,20120229145435,20120229163547,unknown
107,89.57.75.129,2,0,20070730173458,20070730173849,unknown
108,CapainFuture,2,1,20061117015445,20061117015515,unknown
109,Gustav von Aschenbach,2,1,20120108174501,20130926120454,unknown
110,Ratz Faz,1,1,20130307173318,20130307173318,unknown
111,BlaueBlüte,1,0,20151017041856,20151017041856,unknown
112,Freund der Wahrheit,1,1,20070515212448,20070515212448,unknown
113,91.1.62.34,1,0,20180712200510,20180712200510,unknown
114,Ziko,1,0,20081204123951,20081204123951,unknown
115,217.39.13.187,1,0,20111210101834,20111210101834,unknown
116,195.93.60.108,1,0,20051228152242,20051228152242,unknown
117,Eike Dietert,1,0,20140829182806,20140829182806,unknown
118,172.177.29.240,1,0,20071022201658,20071022201658,unknown
119,Aspiriniks,1,1,20180314174555,20180314174555,unknown
120,89.52.183.31,1,0,20080822134953,20080822134953,unknown
121,88.196.155.247,1,0,20091210184335,20091210184335,unknown
122,Ulrich.fuchs,1,1,20030924110402,20030924110402,unknown
123,KastusK,1,0,20120618180601,20120618180601,unknown
124,134.76.62.194,1,0,20060711150126,20060711150126,unknown
125,Don Magnifico,1,1,20140314160840,20140314160840,unknown
126,Wehrhaftes Christentum,1,0,20070210094140,20070210094140,unknown
127,Squasher,1,1,20161003080556,20161003080556,unknown
128,91.7.127.187,1,0,20070902223218,20070902223218,unknown
129,Regi51,1,1,20171120204707,20171120204707,unknown
130,89.27.217.99,1,0,20080702111628,20080702111628,unknown
131,84.141.182.243,1,0,20110216104724,20110216104724,unknown
132,Cholo Aleman,1,0,20131213102903,20131213102903,unknown
133,Jurijewitsch,1,0,20070128184611,20070128184611,unknown
134,Philipp Wetzlar,1,1,20160807093004,20160807093004,unknown
135,85.178.53.55,1,0,20070702102817,20070702102817,unknown
136,DumZiBoT,1,1,20090511131631,20090511131631,unknown
137,173.166.50.177,1,0,20100831024421,20100831024421,unknown
138,84.137.41.169,1,0,20120115200221,20120115200221,unknown
139,Itti,1,1,20130311100823,20130311100823,unknown
140,Nelty~dewiki,1,0,20061009160517,20061009160517,unknown
141,BotMultichill,1,1,20070611070944,20070611070944,unknown
142,Badgon,1,0,20170113134524,20170113134524,unknown
143,Zvpunry,1,1,20080221114710,20080221114710,unknown
144,TorAc,1,1,20190304140358,20190304140358,unknown
145,141.20.120.197,1,0,20060221163718,20060221163718,unknown
146,2A02:2028:822:A601:3808:2B3E:629D:46C9,1,0,20150728104113,20150728104113,unknown
147,84.160.208.104,1,0,20070501120240,20070501120240,unknown
148,HRoestTypo,1,1,20161103063109,20161103063109,unknown
149,STBR,1,1,20081002234126,20081002234126,unknown
150,LucienBOT,1,1,20100205161911,20100205161911,unknown
151,Umherirrender,1,1,20111003193700,20111003193700,unknown
152,Kolja21,1,1,20120922213329,20120922213329,unknown
153,Ri st,1,1,20060719223425,20060719223425,unknown
154,Natsu Dragoneel,1,1,20140526155320,20140526155320,unknown
155,Euku,1,1,20070308105021,20070308105021,unknown
156,31.17.254.78,1,0,20161011132531,20161011132531,unknown
157,Gudrun Meyer,1,1,20180204195933,20180204195933,unknown
158,95.130.112.132,1,0,20091103015634,20091103015634,unknown
159,84.137.45.218,1,0,20120319202700,20120319202700,unknown
160,Triggerhappy,1,1,20060521170821,20060521170821,unknown
161,84.147.243.166,1,0,20140104145303,20140104145303,unknown
162,Andy king50,1,1,20160930202736,20160930202736,unknown
163,ZéroBot,1,1,20101226170059,20101226170059,unknown
164,46.128.172.185,1,0,20130926115713,20130926115713,unknown
165,Gestumblindi,1,0,20061218031432,20061218031432,unknown
166,B.A.Enz,1,1,20160709180821,20160709180821,unknown
167,Tsui,1,1,20070616140920,20070616140920,unknown
168,EscoBier,1,0,20080409184929,20080409184929,unknown
169,84.137.52.193,1,0,20120108192044,20120108192044,unknown
170,80.145.253.122,1,0,20060922094552,20060922094552,unknown
171,Karl Murx,1,0,20070520212826,20070520212826,unknown
172,Baumfreund-FFM,1,1,20080202153830,20080202153830,unknown
173,Fit,1,0,20180905202245,20180905202245,unknown
174,82.82.60.214,1,0,20081229193222,20081229193222,unknown
175,ArthurBot,1,1,20100327111802,20100327111802,unknown
176,134.2.242.215,1,0,20111212184747,20111212184747,unknown
177,217.110.121.226,1,0,20060113131434,20060113131434,unknown
178,Pm,1,0,20121003183606,20121003183606,unknown
179,84.141.100.20,1,0,20060723183411,20060723183411,unknown
180,80.228.38.238,1,0,20070413121140,20070413121140,unknown
181,84.137.85.213,1,0,20110706203731,20110706203731,unknown
182,Pendulin,1,1,20060711150208,20060711150208,unknown
183,Ambo35,1,0,20140325213704,20140325213704,unknown
184,DodekBot,1,1,20070211080827,20070211080827,unknown
185,Hartmut Banske,1,0,20070902223511,20070902223511,unknown
186,Krdbot,1,1,20171125020312,20171125020312,unknown
187,MamaJohnny,1,0,20090902135513,20090902135513,unknown
188,80.139.65.68,1,0,20110309134115,20110309134115,unknown
189,80.132.4.25,1,0,20060402164754,20060402164754,unknown
190,Rosenkohl,1,0,20131219163105,20131219163105,unknown
191,84.183.109.185,1,0,20070131115228,20070131115228,unknown
192,Hanekomi,1,0,20160904181854,20160904181854,unknown
193,Olei,1,0,20070702102923,20070702102923,unknown
194,Ulula,1,0,20080514055354,20080514055354,unknown
195,Schwarz HAT.,1,0,20100913114303,20100913114303,unknown
196,Upper AgeJens,1,0,20120115204029,20120115204029,unknown
197,KLBot2,1,1,20130327201914,20130327201914,unknown
198,89.58.43.220,1,0,20061017203203,20061017203203,unknown
199,91.17.255.253,1,0,20160420183637,20160420183637,unknown
200,Textkontrolle,1,1,20170319090329,20170319090329,unknown
201,217.191.214.108,1,0,20080224212857,20080224212857,unknown
202,77.11.218.225,1,0,20090330164252,20090330164252,unknown
203,Lakoke,1,0,20100510065332,20100510065332,unknown
204,Liberaler Humanist,1,0,20130202130000,20130202130000,unknown
205,L.Safranek,1,0,20150920191800,20150920191800,unknown
206,Frank Doerry,1,0,20161112183000,20161112183000,unknown
207,Matthias Dalig,1,0,20080113114658,20080113114658,unknown
208,ValleK22,1,0,20180612151307,20180612151307,unknown
209,Doris Bernbacher,1,1,20081122053428,20081122053428,unknown
210,213.135.203.218,1,0,20100222131432,20100222131432,unknown
211,88.78.51.77,1,0,20111104211656,20111104211656,unknown
212,84.190.247.231,1,0,20051213100208,20051213100208,unknown
213,Scherben,1,1,20060721105525,20060721105525,unknown
214,Chricho,1,1,20140718105221,20140718105221,unknown
215,ESNRZ,1,0,20070328105633,20070328105633,unknown
216,2A02:8109:43F:8428:A170:127D:BD74:C239,1,0,20161011132610,20161011132610,unknown
217,Gernheim,1,0,20070910035356,20070910035356,unknown
218,Sprachpfleger,1,1,20180306214123,20180306214123,unknown
219,Vaterländler,1,0,20091207163432,20091207163432,unknown
220,78.42.202.63,1,0,20110501152941,20110501152941,unknown
221,84.137.73.135,1,0,20120320184952,20120320184952,unknown
222,Wiegels,1,1,20060623021715,20060623021715,unknown
223,Tavok,1,0,20140104145347,20140104145347,unknown
224,84.153.127.112,1,0,20070205140441,20070205140441,unknown
225,217.244.105.99,1,0,20161001064932,20161001064932,unknown
226,B-Hörnchen,1,0,20070730225227,20070730225227,unknown
227,Jed,1,1,20110105092309,20110105092309,unknown
228,Mnh,1,1,20060301082327,20060301082327,unknown
229,86.56.33.127,1,0,20130927170429,20130927170429,unknown
230,81.217.121.201,1,0,20070112154559,20070112154559,unknown
231,81.173.149.242,1,0,20070620012850,20070620012850,unknown
232,77.10.132.115,1,0,20080410154807,20080410154807,unknown
233,LaaknorBot,1,1,20100820110532,20100820110532,unknown
234,S.Didam,1,1,20061006145323,20061006145323,unknown
235,Pappenheim,1,1,20160103035015,20160103035015,unknown
236,Stockente,1,1,20070525150117,20070525150117,unknown
237,TaxonBot,1,1,20170106021238,20170106021238,unknown
238,Thomas675675657675675,1,1,20080207165339,20080207165339,unknown
239,2.247.240.74,1,0,20190303175830,20190303175830,unknown
240,194.197.79.18,1,0,20090220092811,20090220092811,unknown
241,82.83.123.238,1,0,20100405154032,20100405154032,unknown
242,84.137.49.99,1,0,20111212191342,20111212191342,unknown
243,62.46.223.44,1,0,20060208144829,20060208144829,unknown
244,80.171.19.253,1,0,20060723183612,20060723183612,unknown
245,Neun-x,1,0,20150122033720,20150122033720,unknown
246,193.170.238.58,1,0,20070418104234,20070418104234,unknown
247,Jesi,1,0,20161025163113,20161025163113,unknown
248,VolkovBot,1,1,20071118082747,20071118082747,unknown
249,ChuispastonBot,1,1,20110717214824,20110717214824,unknown
250,Plauz,1,0,20051108161102,20051108161102,unknown
251,RobertLechner,1,1,20120831170529,20120831170529,unknown
252,Faber-Castell,1,0,20060712135911,20060712135911,unknown
253,84.119.110.56,1,0,20140328072800,20140328072800,unknown
254,RobotQuistnix,1,1,20070220232521,20070220232521,unknown
255,Sf67,1,1,20161005115724,20161005115724,unknown
256,Agathoclea,1,0,20171125133855,20171125133855,unknown
257,Numbo3-bot,1,1,20090905022717,20090905022717,unknown
258,Armin P.,1,0,20110309224140,20110309224140,unknown
259,Feliks,1,0,20170810171911,20170810171911,unknown
260,86.32.43.87,1,0,20080524174819,20080524174819,unknown
261,Knitterprofessor,1,1,20101030154120,20101030154120,unknown
262,KarlV,1,1,20120127103203,20120127103203,unknown
263,Komischn,1,1,20130408125341,20130408125341,unknown
264,Überflüssig,1,0,20061110185642,20061110185642,unknown
265,FNBot,1,0,20160501131707,20160501131707,unknown
266,84.136.233.48,1,0,20070615094926,20070615094926,unknown
267,Altweltmäuschen,1,0,20170416201234,20170416201234,unknown
268,89.13.216.190,1,0,20080310141311,20080310141311,unknown
269,77.130.27.26,1,0,20090403114834,20090403114834,unknown
270,PhJ,1,0,20100521161623,20100521161623,unknown
271,Codc,1,1,20120108173335,20120108173335,unknown
272,Mehlauge,1,0,20130305154935,20130305154935,unknown
273,89.57.10.123,1,0,20070515105140,20070515105140,unknown
274,Anton Sevarius,1,1,20161117095902,20161117095902,unknown
275,Kaiser Bob,1,1,20080131165029,20080131165029,unknown
276,Horst Gräbner,1,0,20180612151716,20180612151716,unknown
277,Miacek (usurped),1,1,20100227212107,20100227212107,unknown
278,Martin1978,1,1,20111104211707,20111104211707,unknown
279,Wst,1,1,20051226203846,20051226203846,unknown
280,Louis Wu,1,0,20140824214410,20140824214410,unknown
281,Schreibvieh,1,0,20070328131918,20070328131918,unknown
282,Drozgovic,1,0,20070911205003,20070911205003,unknown
283,APPERbot,1,1,20080814201502,20080814201502,unknown
284,81.19.5.23,1,0,20091207163632,20091207163632,unknown
285,82.119.30.151,1,0,20110622204614,20110622204614,unknown
