,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Lysippos,145,13,20081123220953,20181104174703,unknown
1,Vanellus,49,15,20090203185414,20171203085110,unknown
2,Amanita Phalloides,33,0,20060611193842,20070102172257,unknown
3,Napa,30,20,20040201144107,20050711151422,unknown
4,Chaka KwaZulu,29,1,20100721051721,20100724063345,unknown
5,Pittimann,22,22,20091202120519,20181123105819,unknown
6,Pittigrilli,21,1,20091214100630,20130102163831,unknown
7,Snoop~dewiki,18,6,20050612133630,20100906090704,unknown
8,Tsui,16,5,20050127233933,20160913203305,unknown
9,Aka,15,15,20051108083425,20190117200348,unknown
10,Horst Gräbner,13,9,20120813063114,20170608083055,unknown
11,Xqbot,11,11,20090319063135,20120611183114,unknown
12,Buster Baxter,11,2,20080923000615,20100130192406,unknown
13,Peter200,10,10,20061213110138,20121002064102,unknown
14,Cleph,10,8,20171018064806,20171018075325,unknown
15,84.164.114.147,9,0,20070205075224,20070205081114,unknown
16,Braveheart,9,6,20051223194028,20101129184145,unknown
17,Sinn,8,5,20070329083857,20080407160531,unknown
18,Engie,8,8,20080114163451,20160309190551,unknown
19,Afrikaaner,8,0,20060913104814,20060913132019,unknown
20,SieBot,8,8,20070809110037,20091226181138,unknown
21,TXiKiBoT,7,7,20070511113140,20101121034240,unknown
22,Howwi,7,6,20091108103222,20121105071830,unknown
23,790,7,2,20061227020731,20070114182359,unknown
24,Thijs!bot,7,7,20061019051848,20070620004611,unknown
25,EmausBot,7,7,20100925075614,20121102023226,unknown
26,Feliks,6,0,20111110173849,20130118073716,unknown
27,Philrock,6,1,20100812124950,20111017132308,unknown
28,87.184.65.102,6,0,20080114163339,20080114170029,unknown
29,Dealerofsalvation,6,1,20081216215701,20090927060631,unknown
30,84.141.71.226,6,0,20060817121547,20060817134447,unknown
31,Giro,6,0,20061216161759,20070113222711,unknown
32,217.7.150.122,6,0,20120613175245,20120614100200,unknown
33,FNDE,6,6,20151106105658,20160428100717,unknown
34,Geos,6,4,20050621085319,20080110161047,unknown
35,Atamari,6,4,20050609184939,20070918195011,unknown
36,Zwobot,5,5,20031203235824,20081222145319,unknown
37,Diba,5,5,20100127080748,20130301071213,unknown
38,YourEyesOnly,5,5,20070117110623,20100209072355,unknown
39,198.54.202.254,5,0,20061101001457,20061101002019,unknown
40,Gustav von Aschenbach,5,4,20091014115347,20190117164307,unknown
41,Bertramz,5,2,20110216191542,20131206085856,unknown
42,Snoopy1964,5,4,20140527125849,20151124094346,unknown
43,83.121.120.127,5,0,20061105134346,20061105134700,unknown
