,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Armin P.,437,328,20061010140652,20190131201935,unknown
1,StefanC,92,48,20050825123948,20140102163234,unknown
2,Rominator,70,45,20070121235832,20070414061953,unknown
3,Alexander Leischner,37,30,20070413071556,20170317085458,unknown
4,Phi,20,7,20080420092807,20190106124842,unknown
5,Hilbersheimer,16,0,20110717232838,20110718000423,unknown
6,Emkaer,12,7,20070516162210,20100923135250,unknown
7,194.113.141.20,11,0,20060210121927,20060210124150,unknown
8,Pittimann,11,11,20100709112603,20180226095154,unknown
9,Bernd Preiss,7,2,20170420230914,20190121085057,unknown
10,80.137.35.20,7,0,20041203000529,20041203001539,unknown
11,Benowar,7,4,20080924152406,20170127144934,unknown
12,Cosal,7,7,20060629212549,20070204121532,unknown
13,Sprachfreund49,6,1,20110830143420,20110830154355,unknown
14,Nassauer27,6,6,20140623195937,20190307213134,unknown
15,Ekkehart baals,6,3,20151129161414,20160925215607,unknown
16,Artemisia,6,0,20071028095937,20071030200411,unknown
17,Aeranthropos,6,6,20150721102251,20151110135822,unknown
18,Tusculum,6,2,20120128172722,20190120192316,unknown
19,Regi51,5,5,20120515112236,20160406180156,unknown
20,Procopius,5,4,20130929003605,20140421004725,unknown
21,Drekamu,5,5,20130614013839,20130615150348,unknown
22,Luckas-bot,5,5,20100727091734,20120418180600,unknown
23,Randolph33,5,5,20130417064315,20170508101920,unknown
24,Marcus Cyron,5,5,20060607064648,20151008015908,unknown
25,Kku,5,3,20040323195037,20040323214517,unknown
26,Bullenwächter,5,3,20060306205324,20070914120144,unknown
27,Carbidfischer,5,3,20060901160320,20150615093259,unknown
28,Hartmann Linge,5,2,20070607124435,20091109145158,unknown
29,Gerdes007,4,0,20111227174404,20111227181237,unknown
30,GrouchoBot,4,4,20080923200758,20120408201745,unknown
31,EmausBot,4,4,20120201044818,20130110000736,unknown
32,93.135.127.207,4,0,20100321104412,20100321105215,unknown
33,Horst Gräbner,4,3,20131003103331,20170914133313,unknown
34,2A02:908:D513:23C0:24AF:52C8:43B8:A945,4,0,20170218094648,20170218094853,unknown
35,Landmensch 2,4,0,20160327194536,20180803003911,unknown
36,87.78.57.104,4,0,20170508101337,20170508101913,unknown
37,195.126.85.141,4,0,20060124151644,20070201094738,unknown
38,Ephraim33,4,0,20060724174425,20080120112308,unknown
39,Wiegels,3,2,20050404012054,20080421021931,unknown
40,Odin,3,3,20030831202418,20030831202619,unknown
41,WolfgangRieger,3,0,20131108150341,20131108151424,unknown
42,178.160.200.127,3,0,20100703094530,20100703101012,unknown
43,Alex1011,3,2,20061219174720,20070729181157,unknown
44,Gebu,3,2,20050507182756,20050507192334,unknown
45,Avoided,3,3,20081020125634,20090529122025,unknown
46,Sonnenwind,3,2,20040224224042,20040417192849,unknown
47,Jivee Blau,3,3,20100519123136,20180924121542,unknown
48,Owain Knight,3,0,20160723102509,20160723102706,unknown
49,Moguntiner,3,3,20060210122037,20060210142615,unknown
50,GMH,3,3,20101114210406,20120209213145,unknown
51,YourEyesOnly,3,3,20070710144312,20090317080131,unknown
52,79.202.217.213,3,0,20090317075634,20090317080119,unknown
53,Jonathan Groß,3,2,20070517102956,20100311193222,unknown
54,Zerohuman,3,1,20120830151209,20120830151553,unknown
55,Plasticon,3,3,20040403064535,20040414103043,unknown
56,FlaBot,3,3,20050601200313,20080827145123,unknown
57,Maxus96,3,0,20150131014904,20150131165505,unknown
58,89.182.133.80,3,0,20160821121041,20160821121313,unknown
59,BS Thurner Hof,2,0,20040806224550,20040806224833,unknown
60,Aka,2,2,20131106190950,20180531153407,unknown
61,My name,2,0,20070412223743,20070518042221,unknown
62,Tuxman,2,2,20090531180340,20100731032504,unknown
63,NEXT903125,2,0,20100513222115,20100513225239,unknown
64,84.120.161.101,2,0,20070717144717,20070717144852,unknown
65,89.244.180.217,2,0,20071222211221,20071222211310,unknown
66,62.159.66.246,2,0,20040324120541,20040325140959,unknown
67,88.73.127.160,2,0,20081112174746,20081112174852,unknown
68,Sabisteb,2,0,20090401065332,20090401065402,unknown
69,172.173.82.174,2,0,20070611150842,20070611151101,unknown
70,JAnDbot,2,2,20070105134009,20080103163443,unknown
71,84.191.38.87,2,0,20050810215518,20050810215633,unknown
72,80.143.218.37,2,0,20060603093908,20060603093951,unknown
73,TXiKiBoT,2,2,20080419093550,20090212214417,unknown
74,Bdk,2,0,20040617210854,20040617213335,unknown
75,Anathema,2,2,20040403155635,20040403155713,unknown
76,Rl,2,0,20050604112411,20050811120148,unknown
77,Xocolatl,2,2,20150514084835,20150514085047,unknown
78,MAY,2,1,20060125124924,20060125125310,unknown
79,2003:75:2D32:BD00:3418:9C7B:EE47:DA,2,0,20161231131035,20161231131627,unknown
80,87.164.81.181,2,0,20101107152535,20101107152609,unknown
81,Ruydefanez,2,2,20150217103306,20150223185830,unknown
82,212.7.142.21,2,0,20060107143406,20060107143855,unknown
83,APPERbot,2,2,20100308174311,20131012121835,unknown
84,DodekBot,2,2,20070131013331,20070211115636,unknown
85,92.252.86.27,2,0,20110829101154,20110829101238,unknown
86,Zwobot,2,2,20031217113145,20031219064416,unknown
87,Itti,2,2,20121214115206,20121214115503,unknown
88,Jogo30,2,0,20090303105713,20090303105847,unknown
89,Tk,2,1,20051023080757,20051023080846,unknown
90,78.52.173.139,2,0,20090920205754,20090920205905,unknown
91,84.150.246.244,2,0,20110526190311,20110526190432,unknown
92,84.136.196.86,2,0,20070515081938,20070515082338,unknown
93,Hans-Jürgen Hübner,2,2,20170818055408,20170818055805,unknown
94,79.193.240.17,2,0,20120311181158,20120311181822,unknown
95,GDK,2,1,20080306125737,20091211081440,unknown
96,84.171.100.9,2,0,20061019223222,20061019223241,unknown
97,109.91.227.150,2,0,20150321180206,20150322100853,unknown
98,Kam Solusar,2,2,20060117184012,20100823232007,unknown
99,Zedler,2,2,20100922094232,20100922094415,unknown
