,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Blacky75,38,7,20090204092911,20120318210759,unknown
1,Ole,30,6,20090108192431,20110305165451,unknown
2,Goodgirl,17,6,20081222105231,20110321100328,unknown
3,Luitold,15,0,20160303154923,20180911070055,unknown
4,Hoppetosse13,14,5,20170121182444,20181201143621,unknown
5,Joni-Wolli,9,1,20090222114804,20101022134946,unknown
6,Janjonas,9,8,20130426182541,20190224154550,unknown
7,Domracheva,8,7,20150214162743,20151208170209,unknown
8,Mirroende,8,4,20130821154029,20180911145829,unknown
9,Cybercraft,6,4,20100315115721,20110107181412,unknown
10,Marcus Cyron,6,5,20090111144126,20180211122649,unknown
11,Andi.Wez2001,6,0,20181215142422,20190307182744,unknown
12,93.219.119.99,6,0,20110305110134,20110305110601,unknown
13,JuTe CLZ,5,1,20110313145013,20180422064750,unknown
14,155.56.68.217,5,0,20110204183127,20110204183547,unknown
15,Vogelfreund,5,0,20180212125038,20180223224042,unknown
16,Mupa280868,5,1,20170224182055,20180211121527,unknown
17,GraceKelly,5,5,20090131233246,20110601072044,unknown
18,79.201.40.108,5,0,20110204154837,20110204155013,unknown
19,Tipitaka,4,0,20140109201627,20140321111503,unknown
20,TingeltangelTOM,4,0,20180211120551,20180211120909,unknown
21,79.214.224.236,4,0,20110308163159,20110308164349,unknown
22,129.187.207.197,4,0,20120202152524,20120202152956,unknown
23,178.0.31.151,3,0,20111210104503,20111210104634,unknown
24,Luckas-bot,3,3,20100126040713,20110305151902,unknown
25,31.19.212.91,3,0,20120204150104,20120204152600,unknown
26,77.21.1.46,3,0,20110318194918,20110318195426,unknown
27,93.221.112.218,3,0,20100123143131,20100123143518,unknown
28,Dirkgeo,3,0,20100327135943,20100327161224,unknown
29,Aka,3,3,20100116182138,20180713142348,unknown
30,84.173.101.186,3,0,20090115194638,20090115195532,unknown
31,Konrad Lackerbeck,3,0,20150906085751,20150913153730,unknown
32,Mr407SW,2,1,20090110180704,20090110183257,unknown
33,91.64.45.9,2,0,20100123161020,20100123161227,unknown
34,91.96.183.251,2,0,20110311201710,20110311201853,unknown
35,83.161.129.110,2,0,20110305101735,20110305101801,unknown
36,Wikijunkie,2,1,20090219114558,20180119101052,unknown
37,Twckr,2,0,20100328130102,20100328130321,unknown
38,Anmey10112,2,0,20181227134616,20190307191045,unknown
39,InternetArchiveBot,2,0,20180330131423,20180826140831,unknown
40,Diopuld,2,1,20160116193955,20160207235232,unknown
41,80.187.108.233,2,0,20090824161753,20090824162154,unknown
42,Wurstwicht,2,0,20150214142508,20151206103336,unknown
43,84.58.196.134,2,0,20090326141526,20090326142216,unknown
44,Jivee Blau,2,2,20110311201728,20110311201859,unknown
45,84.58.246.90,2,0,20090408095001,20090408143017,unknown
46,92.206.151.247,2,0,20140303182244,20140303190227,unknown
47,Noebse,2,0,20100219172031,20100221194852,unknown
48,DieCutterin,2,0,20110928215258,20110928215501,unknown
49,93.219.122.79,2,0,20110312153313,20110312153538,unknown
50,Yoda1893,2,0,20110305104340,20150314164426,unknown
51,84.163.109.228,2,0,20120108131859,20120108131924,unknown
52,93.203.141.145,2,0,20170319144726,20170319144800,unknown
53,LZ6387,2,2,20140104114846,20140104114934,unknown
54,DerHans04,2,0,20100123145309,20100124145010,unknown
55,Jonas123,2,2,20091218002422,20110204202840,unknown
56,79.198.42.193,2,0,20120927115909,20120927120057,unknown
57,195.242.213.115,2,0,20180211115748,20180211120023,unknown
58,VolkovBot,2,2,20090302174253,20090327090916,unknown
59,Detlefbauer,2,0,20190308125057,20190308134444,unknown
60,TobeBot,2,2,20100314115439,20100323181307,unknown
61,89.15.236.45,1,0,20170107182552,20170107182552,unknown
62,2003:D4:83D3:D400:1906:C0CD:C10B:60EB,1,0,20180520165400,20180520165400,unknown
63,Don Magnifico,1,0,20130616100413,20130616100413,unknown
64,88.217.181.21,1,0,20180226184701,20180226184701,unknown
65,91.64.162.123,1,0,20100115114524,20100115114524,unknown
66,62.178.72.8,1,0,20120309154112,20120309154112,unknown
67,TStephan,1,0,20180211121759,20180211121759,unknown
68,KilianPaulUlrich,1,1,20090401130354,20090401130354,unknown
69,Carport,1,0,20110204163502,20110204163502,unknown
70,93.104.59.148,1,0,20141001144616,20141001144616,unknown
71,2A02:8108:99C0:B70:5DE5:8845:6E61:C8F8,1,0,20180119142131,20180119142131,unknown
72,92.206.126.156,1,0,20140227203446,20140227203446,unknown
73,2A02:8109:100:3CC4:D5B2:F538:4BF2:FC61,1,0,20170311113710,20170311113710,unknown
74,94.180.37.177,1,0,20090116202525,20090116202525,unknown
75,109.45.1.95,1,0,20131219185608,20131219185608,unknown
76,Schnabeltassentier,1,0,20161025142903,20161025142903,unknown
77,77.22.142.233,1,0,20090108190016,20090108190016,unknown
78,84.155.96.56,1,0,20100123142823,20100123142823,unknown
79,87.173.223.105,1,0,20110305163850,20110305163850,unknown
80,217.250.239.55,1,0,20130216160917,20130216160917,unknown
81,141.72.225.35,1,0,20180211151340,20180211151340,unknown
82,217.252.71.23,1,0,20110205085006,20110205085006,unknown
83,93.104.167.166,1,0,20110107175352,20110107175352,unknown
84,84.163.124.123,1,0,20110424215807,20110424215807,unknown
85,Goharze1,1,1,20140325193737,20140325193737,unknown
86,Loper12321,1,1,20171215152702,20171215152702,unknown
87,Muro Bot,1,1,20090205160346,20090205160346,unknown
88,Hons1111,1,1,20140117152625,20140117152625,unknown
89,Kassandro,1,0,20180713130544,20180713130544,unknown
90,77.187.30.77,1,0,20100124144903,20100124144903,unknown
91,2003:4C:6F30:9CB3:5C54:E7AC:7A66:4D9F,1,0,20160312155509,20160312155509,unknown
