,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Gamba,37,7,20180808114259,20190220170734,unknown
1,Willi P,31,3,20180804194647,20190220131749,unknown
2,Aschmidt,26,3,20180804210524,20180906171837,unknown
3,Cyve,14,0,20180803155841,20180904113227,unknown
4,Tokota,10,0,20180803161407,20180810115957,unknown
5,Rolf acker,7,5,20180810221228,20181217105946,unknown
6,Themediaman,6,0,20181126135404,20181217005736,unknown
7,78.35.139.47,5,0,20180808085800,20180808100721,unknown
8,Rotesdiadem,4,1,20180803114420,20180826005052,unknown
9,RoBri,4,4,20180910201704,20190220083958,unknown
10,2003:C5:770C:1000:3D96:41C9:61A0:F227,3,0,20190220081509,20190220083857,unknown
11,Schnabeltassentier,3,0,20180905015655,20181116061608,unknown
12,2003:ED:6700:AD00:6565:BEC1:C954:329A,3,0,20180910201350,20180910201622,unknown
13,Aka,3,3,20180807181304,20190310123202,unknown
14,217.91.191.3,2,0,20180803213301,20180803215513,unknown
15,PrechtlBua,2,0,20181215065053,20181215065235,unknown
16,2003:85:AE5E:9000:B0E9:3D4:DA05:B1E3,2,0,20180904084915,20180904090819,unknown
17,KorrekTOM,2,2,20180805084726,20180908090842,unknown
18,Albin Schmitt,2,0,20180803142920,20180803142953,unknown
19,MBrie1954,2,0,20181010075700,20181010080004,unknown
20,Qaswa,2,0,20180904092518,20180904093004,unknown
21,Horst Gräbner,2,0,20180826144641,20181005205609,unknown
22,Frebox,1,0,20180904143713,20180904143713,unknown
23,91.20.8.181,1,0,20180821162701,20180821162701,unknown
24,Rita2008,1,0,20180810165416,20180810165416,unknown
25,Bwiesem,1,0,20190310013735,20190310013735,unknown
26,77.191.28.44,1,0,20181215111723,20181215111723,unknown
27,MyContribution,1,0,20180910201448,20180910201448,unknown
28,SpiegelDich,1,1,20181115231547,20181115231547,unknown
29,Zollernalb,1,1,20180904165755,20180904165755,unknown
30,Florian Schneider,1,0,20181212114655,20181212114655,unknown
31,176.199.208.231,1,0,20180906060031,20180906060031,unknown
32,Slartibartfass,1,0,20180904143646,20180904143646,unknown
33,Tohma,1,0,20190202112059,20190202112059,unknown
34,2003:45:5C3A:2000:D8AA:C477:ED17:25C0,1,0,20180814084344,20180814084344,unknown
35,2003:51:AE05:7901:A088:B4AE:6905:E471,1,0,20190115113848,20190115113848,unknown
36,Braganza,1,0,20180805171636,20180805171636,unknown
37,Bonpland,1,1,20180828193611,20180828193611,unknown
38,2.247.241.88,1,0,20180914184120,20180914184120,unknown
39,Furfur,1,1,20190310101751,20190310101751,unknown
40,Sitacu,1,0,20180913023411,20180913023411,unknown
41,2003:E5:FBD1:877B:15FF:EDCD:EE53:F34,1,0,20180904171738,20180904171738,unknown
42,分液漏斗,1,1,20180905064852,20180905064852,unknown
43,178.11.205.155,1,0,20180823173331,20180823173331,unknown
44,Perrak,1,0,20181101101810,20181101101810,unknown
45,Wheeke,1,0,20180804064335,20180804064335,unknown
46,2A02:908:D88:B840:186B:43F6:DAD4:1C7E,1,0,20180806111542,20180806111542,unknown
47,2003:C5:6F34:9AB0:405D:CBFB:3A9:CC91,1,0,20181216180136,20181216180136,unknown
48,89.246.26.76,1,0,20180907143824,20180907143824,unknown
49,J.-H. Janßen,1,0,20181020211340,20181020211340,unknown
50,Cedrichoyer,1,0,20181104225938,20181104225938,unknown
51,2003:85:AE5E:9000:94BF:AF8F:95A4:EBA5,1,0,20180904103349,20180904103349,unknown
52,Leyo,1,1,20190107000445,20190107000445,unknown
53,83.135.226.25,1,0,20180816080925,20180816080925,unknown
54,Petruz,1,0,20181225230730,20181225230730,unknown
55,Zimt-Speculatius,1,0,20181211114339,20181211114339,unknown
56,46.18.62.65,1,0,20181022113956,20181022113956,unknown
57,Manib,1,1,20180904162346,20180904162346,unknown
58,2003:85:AE5E:9000:5077:BA1D:C44A:5FFC,1,0,20180905020350,20180905020350,unknown
59,DieAlraune,1,1,20180904091303,20180904091303,unknown
60,78.55.72.75,1,0,20180826112107,20180826112107,unknown
61,Stefan Bellini,1,1,20180807164118,20180807164118,unknown
62,2003:C5:7724:8800:5113:3A2:34EC:F0A6,1,0,20181228104251,20181228104251,unknown
63,Silberštejn,1,0,20180804211638,20180804211638,unknown
64,Der.Traeumer,1,0,20180904153637,20180904153637,unknown
65,Gutmensch1995,1,0,20180819110511,20180819110511,unknown
66,Zxmt,1,0,20180803162511,20180803162511,unknown
67,Max221B,1,0,20180905021630,20180905021630,unknown
68,2003:D9:B3EA:9A54:548:E2EC:5805:304,1,0,20180904144012,20180904144012,unknown
69,2.juni,1,0,20181015180120,20181015180120,unknown
70,83.221.234.170,1,0,20180817081152,20180817081152,unknown
71,Jensbest,1,0,20180821193444,20180821193444,unknown
72,Mario-WL,1,1,20181215113015,20181215113015,unknown
73,Wikiobacht,1,0,20180914065832,20180914065832,unknown
74,95.208.58.148,1,0,20181211114300,20181211114300,unknown
