,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Schilderwaldmeister,155,49,20180829151410,20181219174042,unknown
1,In dubio pro dubio,134,117,20180829195642,20180910220035,unknown
2,JosFritz,131,58,20180830090648,20181110014539,unknown
3,WeiterWeg,84,11,20180830114702,20180922035741,unknown
4,分液漏斗,79,78,20180829080240,20190304084306,unknown
5,Habitator terrae,75,1,20180828160746,20190128144806,unknown
6,Richard Viren,69,0,20180830074345,20180903020517,unknown
7,Sivizius,39,39,20180902160426,20181002095310,unknown
8,Prüm,37,15,20180828180358,20180915094418,unknown
9,Petruz,37,6,20180828165537,20181002120434,unknown
10,Phi,34,4,20180830153141,20181228164422,unknown
11,Bluemel1,31,0,20180830100042,20180908123428,unknown
12,Parvolus,27,3,20180830201803,20181208133119,unknown
13,Khatschaturjan,26,0,20180918184742,20180925111050,unknown
14,Cyve,23,1,20180828155419,20180907130447,unknown
15,Wikifreund,20,0,20180901095854,20180908160459,unknown
16,Anti.,19,6,20180904131131,20190120142323,unknown
17,Sprachpfleger,18,10,20180919094423,20190103095625,unknown
18,KorrekTOM,15,10,20180830035354,20181114080458,unknown
19,Pipe Tobacco,13,0,20180829211711,20180829213855,unknown
20,Altsprachenfreund,13,5,20180829092853,20181106000558,unknown
21,Ronny Bierbaum,11,2,20180830171208,20180901160309,unknown
22,Braganza,11,0,20180831161823,20180906180633,unknown
23,Jordi,11,4,20181001094905,20181004110527,unknown
24,Aka,10,10,20180831191433,20190216200733,unknown
25,Jocian,9,7,20180831205559,20180902094016,unknown
26,Wibramuc,9,1,20180904215207,20181208125340,unknown
27,Hannes GL,8,0,20180904095007,20180918131502,unknown
28,TheJon33,8,7,20180901005303,20180922010931,unknown
29,Stefan Bellini,8,2,20180904095137,20180927181712,unknown
30,Woodie Wood,8,0,20180830070737,20180830150833,unknown
31,Rmcharb,8,2,20180830182410,20180830224359,unknown
32,Corradox,7,1,20180905080141,20180924153650,unknown
33,Volker-Morath,7,0,20180829184911,20180906110527,unknown
34,Belegfreund,7,2,20180830164236,20180907062058,unknown
35,Ennimate,7,7,20180829192103,20180901195601,unknown
36,Miebner,7,0,20180828193509,20180830191244,unknown
37,Mfgsu,6,3,20180906001629,20190129042827,unknown
38,RoBri,6,4,20180910201740,20180929192915,unknown
39,AlohaMüller,6,0,20180831194846,20180906164659,unknown
40,Qaswa,6,0,20180829080856,20180829104516,unknown
41,MartinV,6,6,20180908093638,20180924233048,unknown
42,Olli aus C.,5,0,20180828164733,20180828174002,unknown
43,2003:EE:83C8:B600:9427:5D0D:D947:5099,5,0,20180829163740,20180829194559,unknown
44,HSV4life,5,5,20180831153845,20180909094945,unknown
45,Jensbest,4,0,20180831230451,20180831231806,unknown
46,KurtR,4,1,20180831033743,20180914192930,unknown
47,WiPo-Troll,4,0,20180905155333,20180906133604,unknown
48,Clemens Stockner,4,4,20180830130938,20180907224203,unknown
49,Ute Erb,4,4,20180829121002,20180831064108,unknown
50,Steffen Löwe Gera,4,3,20180901121251,20180903021324,unknown
51,Amilamia,4,2,20180830165348,20180904204602,unknown
52,Dr. Bernd Gross,4,1,20180923054437,20180924152409,unknown
53,Carolin,4,1,20180901074748,20180908100051,unknown
54,Tönjes,4,1,20180828161025,20180830061950,unknown
55,Orik,3,0,20180914065356,20181005161726,unknown
56,Nuuk,3,3,20180903081306,20181005162030,unknown
57,Seewolf,3,3,20180830181655,20181125200939,unknown
58,DanBR480,3,0,20181104180936,20181104181449,unknown
59,87.170.206.252,3,0,20180909060046,20180909063258,unknown
60,Horst Gräbner,3,3,20180830171649,20180831204916,unknown
61,Dinock90,3,0,20180831145156,20180831152045,unknown
62,Fraknö,3,2,20180910090557,20180913045807,unknown
63,Munibert,3,0,20180902035847,20180902174627,unknown
64,2A02:908:1963:180:7C9B:8B8F:78A5:2D5E,3,0,20180929161331,20180929221138,unknown
65,84.184.127.127,3,0,20180910061300,20180910061925,unknown
66,2003:EE:83C8:B600:99E6:97D4:B4B0:7060,3,0,20180830193150,20180830201853,unknown
67,Girus,3,3,20180831053052,20180909052539,unknown
68,Veliensis,3,0,20180908110742,20180921144653,unknown
69,BlaueWunder,3,1,20180830005746,20180830010428,unknown
70,Nico b.,3,3,20180831131548,20180904095922,unknown
71,Kängurutatze,3,1,20180830121348,20180908142421,unknown
72,Ulitz,3,1,20180908214327,20180910204029,unknown
73,Zollernalb,2,2,20180831211841,20180912174712,unknown
74,2A03:E600:100:0:0:0:0:12,2,0,20181009174923,20181013215429,unknown
75,Dmicha,2,2,20180830101020,20180830103928,unknown
76,Rote4132,2,1,20180829075347,20180829214224,unknown
77,88.217.115.135,2,0,20180830075240,20180830080208,unknown
78,Martin Gühmann,2,1,20181208003546,20181212013502,unknown
79,77.21.92.216,2,0,20180907080816,20180907082703,unknown
80,WalterNeumann,2,0,20180906181006,20180907205840,unknown
81,Horst-schlaemma,2,1,20180905083420,20180905083519,unknown
82,Lord van Tasm,2,0,20180901101449,20181105072345,unknown
83,2A02:8109:88C0:5130:F1BD:405D:EEE6:E121,2,0,20180908212447,20180908212641,unknown
84,Xxlfussel,2,0,20180831165301,20180831165410,unknown
85,95.104.113.58,2,0,20180910201946,20180910202056,unknown
86,79.251.147.13,2,0,20180829185750,20180829190810,unknown
87,Korlmorxstädter,2,0,20181004210037,20181004210144,unknown
88,Lutz Jödicke,2,2,20180828191528,20180829133535,unknown
89,88.72.122.11,2,0,20180831191114,20180904064830,unknown
90,Agathenon,2,2,20180829173819,20180909124314,unknown
91,Itu,2,0,20180830092329,20180830095916,unknown
92,Normal-Otto,2,1,20180909073847,20180909075013,unknown
93,Enzyian,2,2,20180830193437,20180902175419,unknown
94,95.115.112.185,2,0,20180910201708,20180910201855,unknown
95,Dandelo,2,0,20180829183916,20180912200306,unknown
96,C21H22N2O2,2,2,20180829142031,20180904204742,unknown
97,Gripweed,2,2,20180901154751,20190102182506,unknown
98,JD,1,1,20180904093256,20180904093256,unknown
99,Rhabarberg,1,1,20180908115505,20180908115505,unknown
100,2A01:598:8082:7A72:5199:DAE4:B4AF:824B,1,0,20181222221024,20181222221024,unknown
101,Nicor,1,1,20180830182550,20180830182550,unknown
102,188.96.225.216,1,0,20180831173358,20180831173358,unknown
103,Gtou,1,0,20180907135901,20180907135901,unknown
104,Graphikus,1,1,20180910202305,20180910202305,unknown
105,88.75.176.192,1,0,20181113191154,20181113191154,unknown
106,Conspiration,1,1,20180829194802,20180829194802,unknown
107,94.222.190.222,1,0,20180831134408,20180831134408,unknown
108,Konjo72,1,0,20180902150527,20180902150527,unknown
109,2A02:1206:45B4:A951:7988:4778:2D99:FD8B,1,0,20180910090229,20180910090229,unknown
110,Riepichiep,1,0,20180829163521,20180829163521,unknown
111,Einar Moses Wohltun,1,1,20180830134737,20180830134737,unknown
112,Daveler888,1,0,20180831010145,20180831010145,unknown
113,Heinrich Puschmann,1,0,20180901190453,20180901190453,unknown
114,109.41.1.126,1,0,20180909130432,20180909130432,unknown
115,Hans Haase,1,0,20180928180003,20180928180003,unknown
116,Samiclaus,1,0,20180829130900,20180829130900,unknown
117,92.225.207.140,1,0,20180830194805,20180830194805,unknown
118,193.175.73.218,1,0,20180904111012,20180904111012,unknown
119,JuTe CLZ,1,0,20180908190657,20180908190657,unknown
120,Afforever,1,1,20190130101753,20190130101753,unknown
121,X2liro,1,0,20180831193215,20180831193215,unknown
122,Pakeha,1,1,20180903112300,20180903112300,unknown
123,2003:E0:670D:B359:8512:64A2:FCC9:74BE,1,0,20180908102056,20180908102056,unknown
124,H8149,1,1,20180912212847,20180912212847,unknown
125,Codc,1,0,20180829211347,20180829211347,unknown
126,Niels Wrschowitz,1,1,20180902172744,20180902172744,unknown
127,Nessaalk,1,1,20180831122539,20180831122539,unknown
128,Tommes,1,0,20180902094856,20180902094856,unknown
129,Angerdan,1,0,20180905115940,20180905115940,unknown
130,JonskiC,1,0,20180909214014,20180909214014,unknown
131,Über-Blick,1,0,20181004073046,20181004073046,unknown
132,87.150.136.73,1,0,20180829145722,20180829145722,unknown
133,Giebenrath,1,1,20180830121631,20180830121631,unknown
134,Boenki,1,1,20180830211807,20180830211807,unknown
135,UKoch,1,1,20180901162947,20180901162947,unknown
136,Bendix Grünlich,1,0,20180904181331,20180904181331,unknown
137,MX8,1,0,20180920173307,20180920173307,unknown
138,Madmax1993,1,0,20180829104858,20180829104858,unknown
139,Schorle,1,0,20180830095923,20180830095923,unknown
140,86.32.123.81,1,0,20180908145343,20180908145343,unknown
141,RainMhein,1,0,20180914132848,20180914132848,unknown
142,91.20.4.150,1,0,20180828184728,20180828184728,unknown
143,2A03:2260:3003:14:5C9:B8EA:8043:1CC0,1,0,20181228163914,20181228163914,unknown
144,Manib,1,1,20180830070411,20180830070411,unknown
145,JoRo2014,1,1,20180830190229,20180830190229,unknown
146,Delabarquera,1,0,20180831173938,20180831173938,unknown
147,Rolf acker,1,1,20180903085839,20180903085839,unknown
148,2A02:8388:2801:3A00:5458:CC73:55BA:A971,1,0,20180907234923,20180907234923,unknown
149,DanySahne85,1,0,20180912061805,20180912061805,unknown
150,Eingangskontrolle,1,0,20180828160206,20180828160206,unknown
151,188.100.70.192,1,0,20181124233600,20181124233600,unknown
152,CamelBot,1,1,20180902154108,20180902154108,unknown
153,Jaellee,1,1,20181012225042,20181012225042,unknown
154,FaktenSucher,1,0,20180830134928,20180830134928,unknown
155,217.149.174.169,1,0,20180909153535,20180909153535,unknown
156,77.179.247.200,1,0,20180829133737,20180829133737,unknown
157,Feliks,1,0,20180830102118,20180830102118,unknown
158,GGraf,1,1,20180919083851,20180919083851,unknown
159,54.240.197.238,1,0,20190211082608,20190211082608,unknown
160,Carol.Christiansen,1,1,20180904065017,20180904065017,unknown
161,Regi51,1,1,20180908102117,20180908102117,unknown
162,Eisbaer44,1,1,20180913004243,20180913004243,unknown
163,P3Y229,1,0,20181215123443,20181215123443,unknown
164,5.61.176.197,1,0,20180830182338,20180830182338,unknown
165,WikiPimpi,1,1,20180902195719,20180902195719,unknown
166,2A01:598:9904:7E90:B03B:7A2D:68E7:CE13,1,0,20180907114457,20180907114457,unknown
167,Hildeoc,1,0,20181107184327,20181107184327,unknown
168,Mirkur,1,0,20180830164807,20180830164807,unknown
169,193.197.133.126,1,0,20180831123128,20180831123128,unknown
170,LangerFuchs,1,1,20180902111016,20180902111016,unknown
171,DynaMoToR,1,0,20180830212216,20180830212216,unknown
172,LoRo,1,0,20180901171225,20180901171225,unknown
173,Mps,1,0,20180904200608,20180904200608,unknown
174,GünniX,1,1,20180909060204,20180909060204,unknown
175,Senechthon,1,1,20180922093103,20180922093103,unknown
176,91.1.210.211,1,0,20180908170641,20180908170641,unknown
177,Jwollbold,1,0,20180918081153,20180918081153,unknown
178,NebelSTEFAN,1,1,20181229213153,20181229213153,unknown
179,Schopfheimer,1,0,20180903094009,20180903094009,unknown
180,2A02:8108:48C0:794D:7CCD:1385:8B62:E008,1,0,20180908012703,20180908012703,unknown
181,Doc.Heintz,1,0,20180912153634,20180912153634,unknown
182,Alnilam,1,0,20181125005904,20181125005904,unknown
183,Schwums,1,0,20180829200659,20180829200659,unknown
184,80.187.115.2,1,0,20180830174437,20180830174437,unknown
185,2003:C4:F16:6422:75C8:FD1:48C5:BA5D,1,0,20180831151806,20180831151806,unknown
186,VC10,1,1,20180907044109,20180907044109,unknown
187,79.101.17.218,1,0,20180910200942,20180910200942,unknown
188,2A02:8109:88C0:3F4:ADA9:A5F1:634E:D7B7,1,0,20181026210218,20181026210218,unknown
189,Bujo,1,0,20180830144641,20180830144641,unknown
190,Dormamo,1,1,20180902041236,20180902041236,unknown
191,Mick149,1,1,20180905093607,20180905093607,unknown
192,Icy2008,1,1,20180909160947,20180909160947,unknown
193,46.95.64.183,1,0,20180829134744,20180829134744,unknown
194,77.7.20.191,1,0,20180830205540,20180830205540,unknown
195,Sms2sms,1,1,20180904163522,20180904163522,unknown
196,91.55.163.153,1,0,20180908213108,20180908213108,unknown
197,Logistic Worldwide,1,0,20190227192838,20190227192838,unknown
198,46.95.68.211,1,0,20180904083043,20180904083043,unknown
199,Haage42,1,0,20180913113440,20180913113440,unknown
200,80.187.116.81,1,0,20180828171217,20180828171217,unknown
201,Lómelinde,1,1,20181216095500,20181216095500,unknown
202,Pne11,1,1,20180831173134,20180831173134,unknown
203,33cln33,1,1,20180903041120,20180903041120,unknown
204,Beyond Remedy,1,0,20180907114608,20180907114608,unknown
205,47.105.88.52,1,0,20180910202244,20180910202244,unknown
206,188.106.76.16,1,0,20181109235513,20181109235513,unknown
207,Plani,1,0,20180902142539,20180902142539,unknown
208,AlexanderRahm,1,1,20180905160423,20180905160423,unknown
209,2A02:810D:1500:2950:75C1:5A47:922A:B45E,1,0,20180910071812,20180910071812,unknown
210,Revoluzza,1,1,20181006183454,20181006183454,unknown
211,Stefanbw,1,0,20180829155359,20180829155359,unknown
212,212.121.159.50,1,0,20180830131544,20180830131544,unknown
213,87.175.36.151,1,0,20180830223750,20180830223750,unknown
214,Mah2703,1,0,20180901181508,20180901181508,unknown
215,European Networks,1,1,20180829123535,20180829123535,unknown
216,Rolf-Peter Wille,1,0,20180830100807,20180830100807,unknown
217,Coup Danmark,1,0,20180904101148,20180904101148,unknown
218,2001:999:0:3184:10E:2022:C91A:43A0,1,0,20180908185703,20180908185703,unknown
219,Kabob,1,0,20180918155945,20180918155945,unknown
220,Leyo,1,1,20190107000458,20190107000458,unknown
221,Elvaube,1,0,20180903101422,20180903101422,unknown
222,Neufund,1,1,20180912164341,20180912164341,unknown
223,88.75.56.29,1,0,20181125200302,20181125200302,unknown
224,Sokrates 399,1,0,20180829201821,20180829201821,unknown
225,2.200.182.195,1,0,20180830181638,20180830181638,unknown
226,Frostzwerg,1,0,20180902161858,20180902161858,unknown
227,Schnabeltassentier,1,1,20180907050640,20180907050640,unknown
228,Hungchaka,1,1,20181028152424,20181028152424,unknown
229,Sokrates2987,1,0,20180831120627,20180831120627,unknown
230,Der Marsianer,1,1,20180902085515,20180902085515,unknown
231,77.179.154.86,1,0,20180905115233,20180905115233,unknown
232,Kalorie,1,1,20180909173349,20180909173349,unknown
233,Don-kun,1,0,20181003172757,20181003172757,unknown
234,Brodkey65,1,0,20180830205814,20180830205814,unknown
235,Dodo von den Bergen,1,0,20180904171228,20180904171228,unknown
236,Alexpl,1,1,20180920052639,20180920052639,unknown
237,109.70.99.177,1,0,20180830094730,20180830094730,unknown
