,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Benatrevqre,231,70,20070719145852,20190301145746,unknown
1,Leit,26,10,20060220181112,20160101225930,unknown
2,Eisbaer44,25,17,20051202194959,20110430180317,unknown
3,Miraki,19,9,20100528142857,20170126073655,unknown
4,T.M.L.-KuTV,15,10,20080903195825,20090120020015,unknown
5,Holger1974,13,0,20091026184236,20180314124457,unknown
6,Trillian Astra,12,3,20120123141531,20120420133851,unknown
7,Mannerheim,12,3,20080816115634,20090121162310,unknown
8,GrandpaScott,12,0,20100701102155,20110512140432,unknown
9,Ziko,12,0,20070517184841,20160103145706,unknown
10,Zeitgeschichtler,12,5,20060621182026,20080226012715,unknown
11,Aka,11,11,20060628192131,20190120142127,unknown
12,Magadan,10,0,20051122144555,20051122164420,unknown
13,137.226.140.45,9,0,20051026100917,20051124115805,unknown
14,Sehund,9,9,20101024181500,20101029085744,unknown
15,Phi,9,2,20070719152338,20180319123208,unknown
16,Hubon,9,0,20170414122145,20170414124845,unknown
17,PsY.cHo,8,8,20131218205514,20160820204833,unknown
18,Mogelzahn,8,6,20040707111158,20101222133815,unknown
19,Intimidator,8,0,20060608212420,20160401122206,unknown
20,88.73.141.63,8,0,20080115210415,20080115221004,unknown
21,84.188.161.214,8,0,20051123165757,20051123195438,unknown
22,Erarehumanumest,8,1,20120116234935,20170824151857,unknown
23,WIr lagen vor Madagaskar,7,1,20171226173917,20180318195421,unknown
24,Sargoth,7,3,20080221010528,20080221012442,unknown
25,Qlined,6,5,20061222161101,20081120123836,unknown
26,141.68.110.188,6,0,20141216175454,20151103185745,unknown
27,EBB,6,5,20031020135252,20051010090915,unknown
28,Seewolf,6,6,20080226013116,20100922123915,unknown
29,Bear,6,5,20030815184734,20030815214722,unknown
30,EHFeddersen,6,2,20120508153328,20120608133417,unknown
31,Gilles Perrault,6,1,20080626064047,20080708194838,unknown
32,Prawda2000,5,0,20060728235429,20060815213049,unknown
33,87.152.135.145,5,0,20110103201231,20110103211022,unknown
34,.Manu.,5,3,20040704180038,20061101152722,unknown
35,Sproink,5,5,20060311113800,20060311114051,unknown
36,Marzahn,5,0,20070730090425,20071023193906,unknown
37,Sciurus,5,3,20041107223935,20050323201644,unknown
38,Philipp Wetzlar,5,1,20080915122610,20151110144212,unknown
39,83.109.159.8,4,0,20051222181527,20051223163354,unknown
40,Hubert Schilling,4,4,20100521153506,20100521165158,unknown
41,141.68.112.140,4,0,20180827152853,20180827155030,unknown
42,Pinneberg,4,4,20101127120920,20101127150552,unknown
43,Rita2008,4,1,20090803173942,20120120173114,unknown
44,Horst Gräbner,4,0,20160330085546,20190114125201,unknown
45,Florian.Keßler,4,4,20050321235429,20060117134352,unknown
46,83.109.163.112,4,0,20051105034109,20051105034554,unknown
47,149.172.254.85,4,0,20151229193648,20151229195201,unknown
48,84.190.224.41,4,0,20080221010347,20080221013918,unknown
49,Alopex,4,3,20051122144123,20071224165947,unknown
50,84.72.77.233,4,0,20050610132242,20050713184738,unknown
51,Flominator,4,1,20051008134748,20051008190738,unknown
52,Bwbuz,4,1,20141212213220,20161218191858,unknown
53,Ovrandow,4,2,20070622132146,20071010112240,unknown
54,PolskiNiemiec,4,0,20100604122640,20100604132055,unknown
55,87.175.80.234,3,0,20070921063109,20070921065721,unknown
56,84.153.14.150,3,0,20060312215258,20060312215453,unknown
57,Diwibo,3,1,20160330051308,20160330104005,unknown
58,Willicher,3,3,20060905010017,20070104010621,unknown
59,141.20.120.184,3,0,20080115160511,20080115161312,unknown
60,212.82.249.134,3,0,20040328151058,20040328153726,unknown
61,2A02:8109:D80:1DB:6D30:8840:62D8:ADED,3,0,20131215191723,20131215192100,unknown
62,Hbroeckel,3,0,20180312192814,20180312193705,unknown
63,Micha2,3,1,20101112222830,20101119000614,unknown
64,Frank W. Matisse,3,0,20140814102220,20180316161215,unknown
65,Grand Tour,3,0,20101021084035,20101021085707,unknown
66,Neun-x,3,1,20110730074534,20140530194120,unknown
67,FlaBot,3,2,20041206014530,20051220164842,unknown
68,88.73.69.82,3,0,20060906230216,20060907000855,unknown
69,New10n,3,3,20110321132606,20110323082653,unknown
70,Sansculotte,3,2,20040831173911,20050312161102,unknown
71,84.137.202.154,3,0,20050809205558,20050809210056,unknown
72,Girl.friday,3,1,20061001172137,20061001173557,unknown
73,LIU,3,2,20050127062104,20140120150555,unknown
74,MAK,3,0,20051223163309,20051223175435,unknown
75,62.226.112.211,3,0,20110711070756,20110711070955,unknown
76,87.245.51.120,3,0,20091028141331,20091028141503,unknown
77,Zollernalb,3,3,20121123230345,20150629211808,unknown
78,Mehlauge,3,1,20170515165025,20170515165547,unknown
79,80.134.195.96,3,0,20050402173302,20050402174126,unknown
80,Boshomi,3,1,20140928092136,20150508195958,unknown
81,TMFS,3,0,20031118191016,20050916094124,unknown
82,InternetArchiveBot,3,0,20180331015801,20181201171408,unknown
83,Tfjt,3,3,20150425181944,20150426082939,unknown
84,194.95.179.177,3,0,20060206121417,20060206123001,unknown
85,Iiigel,3,0,20100304005509,20100305133344,unknown
86,ChrisBMIAA,3,0,20151031155926,20151031162524,unknown
87,Braveheart,3,1,20051223163510,20101028103155,unknown
88,Ralf Roletschek,3,0,20121126145621,20121126145751,unknown
89,Starwash,3,0,20050610150057,20050709230716,unknown
90,44Pinguine,3,0,20150202171010,20150206100732,unknown
91,89.245.73.124,2,0,20120303130621,20120303135641,unknown
92,Jakilinternational,2,0,20140508123920,20140524170036,unknown
93,Scooter,2,1,20070105004437,20120404214025,unknown
94,BLueFiSH.as,2,1,20050816112719,20070829175256,unknown
95,Goodgirl,2,2,20081225132316,20081225133540,unknown
96,84.189.10.47,2,0,20051127144715,20051127144745,unknown
97,Zwobot,2,2,20040706091313,20060122062720,unknown
98,141.20.121.119,2,0,20080115135706,20080115135800,unknown
99,ZéroBot,2,2,20111201080432,20111231123634,unknown
100,Excolis,2,1,20131203183725,20131203183854,unknown
101,JamesP,2,2,20141216173735,20151209193850,unknown
102,Jcornelius,2,2,20060621191511,20060711234336,unknown
103,Anima,2,1,20101111211702,20101111213221,unknown
104,Wiegels,2,2,20070211140920,20070323180237,unknown
105,217.230.223.162,2,0,20031218053503,20031218053614,unknown
106,84.132.119.168,2,0,20060913130256,20060913130433,unknown
107,Matthäus Wander,2,2,20041124143402,20041124143550,unknown
108,Nis Randers,2,1,20080225211824,20100825185643,unknown
109,Faber-Castell,2,0,20070102225034,20070102225125,unknown
110,DorisAntony,2,1,20070626195438,20070629062005,unknown
111,Nb,2,1,20050718153939,20050718154022,unknown
112,Irenäus,2,0,20081122025425,20081128075232,unknown
113,Regi51,2,2,20091025183728,20101030144043,unknown
114,Frīheidasliova,2,0,20171029112146,20171029112233,unknown
115,217.87.208.71,2,0,20060809063717,20060809071300,unknown
116,Persor,2,0,20110122062236,20110122182719,unknown
117,87.183.173.238,2,0,20111231130142,20111231130357,unknown
118,87.174.94.61,2,0,20070508122622,20070508122641,unknown
119,Georg Hügler,2,0,20160221121129,20160517153916,unknown
120,Pm,2,2,20120508153354,20121024071001,unknown
121,129.13.72.197,2,0,20180308152610,20180308152856,unknown
122,Cholo Aleman,2,0,20130616081455,20130616081533,unknown
123,Bigbug21,2,2,20070921145020,20070921145117,unknown
124,Lotse3,2,1,20080220233140,20080225013028,unknown
125,Matt1971,2,2,20110216182442,20130720140257,unknown
126,Erwin E aus U,2,2,20061222202132,20061222202442,unknown
127,62.224.9.211,2,0,20131219011248,20131219011916,unknown
128,Actany28,2,0,20180314181057,20180314181955,unknown
129,Sinniki,2,0,20061120001010,20061120001040,unknown
130,Webverbesserer,2,2,20090909113201,20120403142931,unknown
131,87.123.119.135,2,0,20061018155841,20061018160053,unknown
132,80.144.80.136,2,0,20071006135521,20071006140142,unknown
133,Benedikt2008,2,0,20151110215848,20170127100155,unknown
134,Hozro,2,0,20090427072612,20120903081639,unknown
135,Southpark,2,1,20051223165036,20051223165118,unknown
136,Schotterebene,2,1,20180205065304,20180529185903,unknown
137,79.243.83.176,2,0,20130519143341,20130519143725,unknown
138,Diopuld,2,2,20150723161401,20150723161602,unknown
139,EEngelke,2,2,20120117155717,20120120145530,unknown
140,Viet2001,2,0,20171107121347,20171121181618,unknown
141,83.129.190.131,2,0,20061125141740,20061125141936,unknown
142,ProloSozz,2,0,20160309225555,20160309230828,unknown
143,141.68.112.164,2,0,20180314144613,20180314152031,unknown
144,Emkaer,2,0,20101128180850,20110403150106,unknown
145,Merkið,2,2,20131110163941,20131218201250,unknown
146,80.86.224.103,2,0,20071107190925,20071107191701,unknown
147,Tmid,2,2,20180309105540,20180309142505,unknown
148,NewYorker2000,2,2,20140529082706,20140529083231,unknown
149,Tulov~dewiki,2,0,20060428233335,20060428233431,unknown
150,DragonRainbow,2,0,20180111010247,20180111010358,unknown
