,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Msuess,257,250,20120716174746,20130915122501,unknown
1,AF666,70,3,20050404121441,20060211192147,unknown
2,Altaripensis,63,16,20110505205040,20140526153510,unknown
3,Plinganser,47,2,20130527171141,20170122135451,unknown
4,Mogelzahn,29,13,20040805083259,20140126094300,unknown
5,DerSalamander,27,15,20101215023137,20160102230318,unknown
6,Noricum2012,23,14,20120804221535,20120815111522,unknown
7,Igotyou,23,6,20120811082929,20120814174034,unknown
8,Qualiabavariae,19,0,20110712090307,20110718102236,unknown
9,ElTres,18,1,20080426185829,20140701090240,unknown
10,Bayernparteiler,17,9,20060814194456,20090928110038,unknown
11,HerrAdams,17,4,20161201112416,20190228200314,unknown
12,Aka,16,16,20101228171023,20181130102837,unknown
13,212.118.216.43,14,0,20121003173755,20130927051937,unknown
14,Miiichale,12,7,20180415060754,20181013071631,unknown
15,Kagul,12,1,20080929040139,20130924091753,unknown
16,Benatrevqre,11,0,20130605104515,20130605115804,unknown
17,Spacecaptain,10,9,20041012191627,20041019121400,unknown
18,Sitnesch,10,0,20120915205228,20130222160120,unknown
19,Jendrich,9,1,20050411054214,20161108143827,unknown
20,88.217.171.150,9,0,20120817092817,20120817174036,unknown
21,Demokrat21,7,0,20160330160357,20160409231119,unknown
22,88.64.20.73,7,0,20120817071511,20120817072319,unknown
23,87.178.9.101,7,0,20150225153323,20150225210518,unknown
24,84.154.71.76,7,0,20121227142921,20121227145446,unknown
25,MPK,7,4,20120718143431,20130120210229,unknown
26,Urgelein,6,3,20151014184743,20190125162555,unknown
27,Unscheinbar,6,6,20050130232257,20160102111520,unknown
28,88.65.46.200,6,0,20120728101630,20120728121049,unknown
29,Slökmann,6,4,20071005022125,20160126212549,unknown
30,33cln33,6,0,20150225204631,20160123164830,unknown
31,WikiMax,6,3,20060101185953,20080723175235,unknown
32,Nillurcheier,6,0,20180113155332,20190207082432,unknown
33,Sir Quickly,5,2,20051106034405,20071202231913,unknown
34,Qhx,5,1,20090423145927,20101123215718,unknown
35,Spuk968,5,3,20120821210153,20120821212507,unknown
36,Schwarzer Abt,5,1,20070208093015,20081001093458,unknown
37,Felix König,5,2,20101103211511,20130921093112,unknown
38,JDavis,5,2,20120103234720,20120728200131,unknown
39,Wetterwolke,5,4,20140707224551,20180318142519,unknown
40,213.6.60.11,5,0,20051231154043,20051231155001,unknown
41,84.154.12.6,4,0,20071123113541,20071123114040,unknown
42,Frantisek,4,0,20060324101752,20060326084946,unknown
43,217.233.209.167,4,0,20151029191827,20151101113022,unknown
44,Luke081515Bot,4,0,20161116211121,20161210222451,unknown
45,Zwobot,4,4,20041204210427,20070911100213,unknown
46,Tommes,4,1,20120915220317,20130816202925,unknown
47,Oberpfaelzer2012,4,3,20120718142930,20120722174155,unknown
48,Pm,4,3,20120817174737,20120817175008,unknown
49,Bernd aus Bayern,4,1,20040821082716,20040821125922,unknown
50,Kevin L.,4,0,20090123223142,20140105194259,unknown
51,88.64.12.134,4,0,20130801213822,20130809212521,unknown
52,93.222.121.195,3,0,20130209103203,20130209103430,unknown
53,87.178.253.217,3,0,20120616184936,20120617144113,unknown
54,Nere,3,3,20150401201547,20160513204755,unknown
55,84.178.193.195,3,0,20160330154829,20160409180932,unknown
56,Mautpreller,3,0,20120817075859,20120817080017,unknown
57,87.178.46.41,3,0,20110212160726,20110212163859,unknown
58,85.178.70.255,3,0,20070924081252,20070924081751,unknown
59,Chotaire,3,2,20050903014715,20050903142245,unknown
60,YurikBot,3,3,20060317075606,20060723081738,unknown
61,Gamma9,3,3,20081027210331,20081027210916,unknown
62,Schnabeltassentier,3,1,20150731155641,20180712012332,unknown
63,Anton.rechenberg,3,3,20180502114401,20181008150039,unknown
64,78.49.83.182,3,0,20080313145502,20080313151029,unknown
