,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,TMFS,31,11,20031030211139,20070131162822,unknown
1,Seal44,9,4,20070128140137,20070128142229,unknown
2,Kresspahl,7,7,20050926165126,20160724232153,unknown
3,80.135.22.220,7,0,20070131151117,20070131151825,unknown
4,MrsMyer,7,0,20070917181815,20080121224704,unknown
5,Aka,6,6,20050603092422,20170927160113,unknown
6,172.158.214.145,5,0,20070325034416,20070325034814,unknown
7,Sir,5,3,20050622102052,20060727171715,unknown
8,172.181.104.87,5,0,20070129203210,20070129204632,unknown
9,N.Eschenhagen,5,0,20061207184815,20140528151426,unknown
10,Buchbibliothek,5,2,20140726140110,20160206233349,unknown
11,Zwobot,5,5,20040104190009,20060123182523,unknown
12,Jed,4,4,20040207143131,20060129193008,unknown
13,1970gemini,4,2,20100619084953,20150603065520,unknown
14,84.56.143.215,4,0,20050717173842,20050717174230,unknown
15,78.34.9.121,3,0,20080823221905,20080823222053,unknown
16,Jürgen Engel,3,1,20160531102206,20170723151315,unknown
17,Adiole1971,3,3,20110705174630,20110705175406,unknown
18,Reinhard Kraasch,3,3,20050615013040,20050615013215,unknown
19,Mac CH,3,3,20051216203744,20051216203836,unknown
20,Heiko,3,2,20040910092803,20040928152414,unknown
21,Stefan Kühn,2,2,20031101132337,20040817154317,unknown
22,212.202.113.190,2,0,20050121090716,20050121091832,unknown
23,212.202.113.214,2,0,20051024082315,20051024082351,unknown
24,217.227.86.149,2,0,20161101190113,20161101190921,unknown
25,84.140.234.36,2,0,20060823175402,20060823175416,unknown
26,Thijs!bot,2,2,20071005185725,20071025110154,unknown
27,193.174.111.250,2,0,20090316114712,20090316114855,unknown
28,80.134.141.133,2,0,20060326151300,20060326151803,unknown
29,MAY,2,0,20160222184949,20160222185242,unknown
30,172.182.38.37,2,0,20060116201251,20060116201342,unknown
31,Sebastian Gasseng,2,0,20180503085647,20180503085836,unknown
32,David Wintzer,2,2,20120205115008,20130905140700,unknown
33,Hasselklausi,2,1,20160606174737,20170907214313,unknown
34,Head,2,2,20040224163010,20040224163100,unknown
35,Chjb,2,1,20110725091444,20110725212759,unknown
36,H.bruhns,2,0,20150814165759,20150814170101,unknown
37,217.231.247.106,2,0,20030918013746,20030918013852,unknown
38,NEXT903125,2,0,20100613033456,20100613033543,unknown
39,Nixus Minimax,2,0,20170302135629,20180311183825,unknown
40,172.179.207.53,2,0,20061025194534,20061025195529,unknown
41,80.140.8.111,2,0,20050615142729,20050615142806,unknown
42,DaB.,2,0,20031221134111,20041223154033,unknown
43,195.2.236.165,2,0,20090118142805,20090207195347,unknown
44,Nine1969,2,2,20170809173734,20170809174106,unknown
45,Mink95,2,1,20050803103107,20050803103801,unknown
46,WinfriedSchneider,2,2,20161022230954,20161022231139,unknown
47,84.61.55.4,2,0,20060802131858,20060802131923,unknown
48,FredericII,2,2,20070918052100,20070918052204,unknown
49,Rybak,2,2,20041222153303,20041222153323,unknown
50,194.55.216.139,2,0,20051117141432,20051117141924,unknown
51,172.173.149.246,2,0,20070128213516,20070128213929,unknown
52,Pelz,2,1,20080517212327,20111124212515,unknown
53,46.115.0.77,1,0,20110725205902,20110725205902,unknown
54,92.230.248.118,1,0,20160206231459,20160206231459,unknown
55,213.39.218.201,1,0,20060115221647,20060115221647,unknown
56,Karnickelbogen,1,1,20081211165655,20081211165655,unknown
57,188.111.83.60,1,0,20110203194847,20110203194847,unknown
58,Udo T.,1,1,20140907200503,20140907200503,unknown
59,212.59.62.73,1,0,20030205100225,20030205100225,unknown
60,Dschungelfan,1,0,20180406122713,20180406122713,unknown
61,FlaBot,1,0,20041206014804,20041206014804,unknown
62,87.122.87.238,1,0,20061231213047,20061231213047,unknown
63,87.173.236.117,1,0,20100717030954,20100717030954,unknown
64,79.168.51.74,1,0,20130307001555,20130307001555,unknown
65,Ilja Lorek Schaffhausen,1,1,20170917140032,20170917140032,unknown
66,MAK,1,1,20040807151355,20040807151355,unknown
67,217.184.137.72,1,0,20050805141900,20050805141900,unknown
68,Fräggel,1,0,20061025200158,20061025200158,unknown
69,78.49.192.166,1,0,20071202071538,20071202071538,unknown
70,Sebbot,1,0,20091127000204,20091127000204,unknown
71,Crazy1880,1,0,20120530191034,20120530191034,unknown
72,213.23.42.161,1,0,20040418212843,20040418212843,unknown
73,Pittimann,1,1,20120119094319,20120119094319,unknown
74,158.75.203.1,1,0,20050427212417,20050427212417,unknown
75,Don Magnifico,1,0,20070717134944,20070717134944,unknown
76,BHBIHB,1,0,20150603070459,20150603070459,unknown
77,193.170.250.70,1,0,20030717090847,20030717090847,unknown
78,RoBri,1,1,20180529202446,20180529202446,unknown
79,Mps,1,0,20041223212501,20041223212501,unknown
80,MarkusHagenlocher,1,1,20051119145713,20051119145713,unknown
81,Str1977,1,0,20081103172820,20081103172820,unknown
82,84.63.113.221,1,0,20101119160053,20101119160053,unknown
83,Malki1211,1,0,20130802103615,20130802103615,unknown
84,Ruprecht,1,1,20171224213732,20171224213732,unknown
85,Bettenlager,1,0,20040901233238,20040901233238,unknown
86,217.251.43.92,1,0,20061209143220,20061209143220,unknown
87,Hennx,1,1,20080604073340,20080604073340,unknown
88,TheBo,1,0,20100404104403,20100404104403,unknown
89,91.35.58.152,1,0,20120825182426,20120825182426,unknown
90,Itti,1,0,20170111084025,20170111084025,unknown
91,Arnomane,1,1,20040716233849,20040716233849,unknown
92,St.Krekeler,1,0,20050720223001,20050720223001,unknown
93,Piflaser,1,0,20061003160028,20061003160028,unknown
94,78.55.4.136,1,0,20071126202006,20071126202006,unknown
95,85.233.12.166,1,0,20090922125637,20090922125637,unknown
96,134.245.141.206,1,0,20120404161335,20120404161335,unknown
97,Wikkipäde,1,1,20160906114051,20160906114051,unknown
98,62.214.48.7,1,0,20040329105423,20040329105423,unknown
99,84.61.62.236,1,0,20060729104806,20060729104806,unknown
100,217.86.106.34,1,0,20070914221643,20070914221643,unknown
101,Gödeke,1,1,20111209132254,20111209132254,unknown
102,Magnus,1,1,20031101135127,20031101135127,unknown
103,Scooter,1,1,20050216210948,20050216210948,unknown
104,EdiTor,1,1,20070325071823,20070325071823,unknown
105,Foundert,1,0,20081215201418,20081215201418,unknown
106,ArthurBot,1,1,20110224154520,20110224154520,unknown
107,PerfektesChaos,1,1,20141005190354,20141005190354,unknown
108,212.59.62.122,1,0,20030205101329,20030205101329,unknown
109,Zeno Gantner,1,1,20041206213847,20041206213847,unknown
110,192.124.237.8,1,0,20051110142134,20051110142134,unknown
111,StillesGrinsen,1,1,20070101050531,20070101050531,unknown
112,ChrisiPK,1,1,20080823221950,20080823221950,unknown
113,Jkbw,1,1,20100717035233,20100717035233,unknown
114,82.83.88.0,1,0,20130416221956,20130416221956,unknown
115,Chrisahn,1,0,20170918103650,20170918103650,unknown
116,62.214.91.101,1,0,20040812124919,20040812124919,unknown
117,AndreasGothe,1,0,20050811102047,20050811102047,unknown
118,172.183.251.29,1,0,20061025223125,20061025223125,unknown
119,Ziko,1,0,20080121223131,20080121223131,unknown
120,Horik,1,0,20091208223440,20091208223440,unknown
121,Stefanf74,1,1,20120615085926,20120615085926,unknown
122,Middelmarch,1,1,20161114151947,20161114151947,unknown
123,193.188.197.6,1,0,20040513104925,20040513104925,unknown
124,Stechlin,1,0,20050622145209,20050622145209,unknown
125,194.149.241.3,1,0,20060828063617,20060828063617,unknown
126,88.76.43.60,1,0,20071013222008,20071013222008,unknown
127,RedBot,1,1,20090723141248,20090723141248,unknown
128,85.73.187.176,1,0,20050524214218,20050524214218,unknown
129,62.245.207.10,1,0,20060412172256,20060412172256,unknown
130,Don Leut,1,1,20070819123453,20070819123453,unknown
131,Jürgen Oetting,1,1,20181211135211,20181211135211,unknown
132,217.245.31.182,1,0,20041227220251,20041227220251,unknown
133,134.107.5.23,1,0,20051209131142,20051209131142,unknown
134,Steschke,1,0,20081112193100,20081112193100,unknown
135,Inkowik,1,1,20101119160059,20101119160059,unknown
136,Kku,1,1,20130912084328,20130912084328,unknown
137,Klaaschwotzer,1,0,20180302222135,20180302222135,unknown
138,62.104.83.170,1,0,20040909210631,20040909210631,unknown
139,172.181.146.104,1,0,20051009155624,20051009155624,unknown
140,MiraculixHB,1,0,20061223222505,20061223222505,unknown
141,91.35.56.53,1,0,20080720125326,20080720125326,unknown
142,Achsenzeit,1,1,20121104222732,20121104222732,unknown
143,Glglgl,1,0,20040717072701,20040717072701,unknown
144,Christian Günther,1,1,20050730215018,20050730215018,unknown
145,JPense,1,1,20071126202117,20071126202117,unknown
146,Juliabackhausen,1,0,20090924170255,20090924170255,unknown
147,Xqbot,1,1,20120404222425,20120404222425,unknown
148,Oalexander,1,0,20160930003110,20160930003110,unknown
149,62.214.12.44,1,0,20040401084047,20040401084047,unknown
150,SchwarzerKrauser,1,0,20060731163120,20060731163120,unknown
151,Ivla,1,1,20120115211051,20120115211051,unknown
152,Nichtraucher789,1,0,20160525162239,20160525162239,unknown
153,Ahoerstemeier,1,1,20050411111024,20050411111024,unknown
154,Bunt,1,1,20060125090244,20060125090244,unknown
155,Ulsimitsuki,1,1,20070404103209,20070404103209,unknown
156,BurghardRichter,1,1,20110309225437,20110309225437,unknown
157,Johannes44,1,0,20150116065707,20150116065707,unknown
158,Kixx~dewiki,1,0,20030430175459,20030430175459,unknown
159,Rondonia9,1,0,20180506220738,20180506220738,unknown
160,Hinrich,1,1,20041214194005,20041214194005,unknown
161,134.93.204.33,1,0,20051110145016,20051110145016,unknown
162,62.104.88.64,1,0,20080828052925,20080828052925,unknown
163,94.100.245.126,1,0,20100804170637,20100804170637,unknown
164,Hasenläufer,1,0,20130527012404,20130527012404,unknown
165,Neun-x,1,0,20170927141000,20170927141000,unknown
166,Bu-Lee,1,1,20040830125402,20040830125402,unknown
167,Hildegund,1,1,20050818202633,20050818202633,unknown
168,Stefan,1,1,20080125211450,20080125211450,unknown
169,APPERbot,1,1,20100310124220,20100310124220,unknown
170,Kuebi,1,1,20120707062059,20120707062059,unknown
171,HerrAdams,1,0,20170110110833,20170110110833,unknown
172,217.231.233.161,1,0,20040603184724,20040603184724,unknown
173,He3nry,1,1,20050711153841,20050711153841,unknown
174,80.171.165.109,1,0,20060902114136,20060902114136,unknown
175,85.179.146.12,1,0,20071017033740,20071017033740,unknown
176,217.232.31.185,1,0,20090809104643,20090809104643,unknown
177,UW,1,1,20120209110601,20120209110601,unknown
178,GeorgDerReisende,1,1,20160730165734,20160730165734,unknown
179,212.7.131.26,1,0,20040311141500,20040311141500,unknown
180,85.74.178.11,1,0,20050524225943,20050524225943,unknown
181,Leithian,1,1,20060620162752,20060620162752,unknown
182,87.160.226.131,1,0,20070912153001,20070912153001,unknown
183,LIU,1,1,20110725091800,20110725091800,unknown
184,89.204.130.210,1,0,20160206202343,20160206202343,unknown
185,Dromedar61,1,0,20190224225048,20190224225048,unknown
186,Araba,1,1,20041228121143,20041228121143,unknown
187,91.89.66.213,1,0,20070202183742,20070202183742,unknown
188,Asthma,1,0,20081211050052,20081211050052,unknown
189,אֲדֹנָי,1,0,20101122000024,20101122000024,unknown
190,Zeitungsente0815,1,1,20180323193114,20180323193114,unknown
191,165.139.22.67,1,0,20051019174505,20051019174505,unknown
192,Slökmann,1,1,20061224175839,20061224175839,unknown
193,TobiasGr,1,0,20080818212056,20080818212056,unknown
194,80.145.33.138,1,0,20130123104415,20130123104415,unknown
195,Anathema,1,0,20040717102949,20040717102949,unknown
196,Hardenacke,1,0,20061025194611,20061025194611,unknown
197,89.196.26.246,1,0,20071201161740,20071201161740,unknown
198,Radschläger,1,1,20091023173350,20091023173350,unknown
199,FrankKrüger,1,0,20120506132425,20120506132425,unknown
200,62.214.14.177,1,0,20040405105137,20040405105137,unknown
201,Nopherox,1,0,20050615152937,20050615152937,unknown
202,Graphikus,1,0,20090212231716,20090212231716,unknown
203,217.91.22.183,1,0,20120119094242,20120119094242,unknown
204,JFKCom,1,0,20160526065627,20160526065627,unknown
205,217.224.43.6,1,0,20050424200703,20050424200703,unknown
206,84.59.71.210,1,0,20060301023632,20060301023632,unknown
207,141.89.44.100,1,0,20070528175421,20070528175421,unknown
208,188.193.117.67,1,0,20110704142513,20110704142513,unknown
209,Olaf Kosinsky,1,1,20150216180035,20150216180035,unknown
210,Igelball,1,0,20030430182435,20030430182435,unknown
211,2003:E2:D3C8:A00:79A5:6281:3A0A:378C,1,0,20180529202238,20180529202238,unknown
212,Gamma9,1,0,20080909153617,20080909153617,unknown
213,Berni53,1,0,20101101063807,20101101063807,unknown
214,Ologn,1,1,20130608182622,20130608182622,unknown
215,Delabarquera,1,1,20171012114212,20171012114212,unknown
216,Paddy,1,1,20040830193126,20040830193126,unknown
217,RobotQuistnix,1,1,20050822001045,20050822001045,unknown
218,Kh80,1,1,20061207193312,20061207193312,unknown
219,Ephraim33,1,0,20100320103042,20100320103042,unknown
220,46.5.40.23,1,0,20120714073727,20120714073727,unknown
221,92.224.99.120,1,0,20170111083936,20170111083936,unknown
222,Gersve,1,1,20040708080045,20040708080045,unknown
223,PH2005,1,1,20060908095741,20060908095741,unknown
224,Martinmaus,1,1,20071123165314,20071123165314,unknown
225,Hofres,1,1,20090810104644,20090810104644,unknown
226,Alexander Fischer,1,0,20120403133055,20120403133055,unknown
227,Heebi,1,1,20160826083018,20160826083018,unknown
228,Southpark,1,1,20040312102157,20040312102157,unknown
229,80.144.0.11,1,0,20060727170755,20060727170755,unknown
230,Thommyk-ms,1,1,20070914103551,20070914103551,unknown
