,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Rita2008,12,1,20070613141052,20100714122856,unknown
1,Erwin E aus U,10,0,20040416184338,20040422115011,unknown
2,84.140.220.35,8,0,20060616104253,20060616110836,unknown
3,House1630,7,1,20151106203810,20151106210552,unknown
4,Southpark,7,7,20051020192933,20080917082805,unknown
5,Giro,6,3,20060828130410,20090120191827,unknown
6,Radh,6,2,20090809085555,20090809131539,unknown
7,Bunnyfrosch,5,2,20100316151531,20100325143404,unknown
8,77walter,5,2,20060619184954,20061118135439,unknown
9,217.186.154.188,5,0,20040729152211,20040729153143,unknown
10,Herr Andrax,4,0,20041228165050,20070205085652,unknown
11,Luckas-bot,4,4,20100718131144,20120227024716,unknown
12,Diba,4,4,20091027203627,20091027203844,unknown
13,Khatschaturjan,4,0,20160803163306,20160803190319,unknown
14,Aka,4,4,20060207111525,20180602115253,unknown
15,163.150.198.62,4,0,20091027203617,20091027203838,unknown
16,87.180.169.208,4,0,20061129132301,20061129132439,unknown
17,Matt1971,3,3,20110917074009,20131206162740,unknown
18,Syrcro,3,3,20061017125621,20061113171906,unknown
19,37.4.16.37,3,0,20130128174743,20130128174935,unknown
20,212.190.72.17,3,0,20061113164417,20061113164706,unknown
21,Borisbaran,3,0,20060710093330,20061206103813,unknown
22,Juergen Schroeder,3,1,20061231160727,20161202233308,unknown
23,78.35.16.86,3,0,20080911110058,20080918110512,unknown
24,Horst Gräbner,3,2,20130926090759,20160624180601,unknown
25,84.59.19.203,3,0,20070104152850,20070104162213,unknown
26,84.146.179.3,3,0,20110303080823,20110303080959,unknown
27,YurikBot,3,3,20051018194856,20060723110159,unknown
28,Engie,3,3,20080911110149,20110601101655,unknown
29,217.229.85.156,3,0,20040419132457,20040419132641,unknown
30,Klarerwiki,3,0,20100714121657,20100714121824,unknown
31,Schnabeltassentier,2,2,20181101162205,20190206091631,unknown
32,Louperibot,2,2,20080719225203,20100703084003,unknown
33,217.227.244.73,2,0,20070219114543,20070219114711,unknown
34,Bartleby08,2,2,20141207213531,20141207213626,unknown
35,84.141.95.82,2,0,20061207174806,20061207175047,unknown
36,Arabsalam,2,0,20180828180535,20190307183819,unknown
37,SashatoBot,2,2,20070816174417,20070905173331,unknown
38,141.38.50.133,2,0,20060604075548,20060604075620,unknown
39,Mattes,2,2,20161117175308,20170408175025,unknown
40,62.101.94.100,2,0,20060415035051,20060415035215,unknown
41,Sozi,2,2,20061129132348,20061129132517,unknown
42,Loveless,2,2,20080129122441,20080331173636,unknown
43,2003:55:4F11:2415:954C:4986:C5A8:F0A3,2,0,20140508155041,20140508155133,unknown
44,Kladson,2,1,20071024112818,20071024113214,unknown
45,Napa,2,1,20040416191205,20040615190335,unknown
46,Halbarath,2,2,20130128174751,20130128174838,unknown
47,212.166.58.206,2,0,20150204113102,20150204113213,unknown
48,VolkovBot,2,2,20080305093311,20090308120359,unknown
49,Ubuy,2,1,20100223150021,20100223150230,unknown
50,F2hg.amsterdam,2,2,20090919064957,20100322143358,unknown
51,131.220.115.227,2,0,20061114125635,20061114125846,unknown
52,82.149.182.81,2,0,20090316150749,20090316150819,unknown
53,84.156.89.143,2,0,20060721085200,20060721085241,unknown
54,87.184.14.81,2,0,20150203095006,20150203095119,unknown
