,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,T.M.L.-KuTV,19,11,20081027183149,20081206160326,unknown
1,Phi,10,2,20100816153118,20180521185848,unknown
2,Gonzo Greyskull,8,1,20081027190429,20130922090330,unknown
3,Rita2008,8,1,20061108160715,20150611205104,unknown
4,Richard Lenzen,5,5,20130727075210,20180626041312,unknown
5,62.80.61.107,4,0,20040406130752,20040406160807,unknown
6,Edgar8,4,1,20080314213832,20080402172131,unknown
7,Rumbero,4,1,20171103201852,20180325195153,unknown
8,Goliath613,4,1,20120730180530,20120730182913,unknown
9,Horst Gräbner,4,3,20121210085959,20180410162702,unknown
10,185.113.146.173,3,0,20181120134958,20181120135115,unknown
11,93.219.30.222,3,0,20140211124651,20140211124952,unknown
12,Gurgelgonzo,3,1,20050817225605,20060421112317,unknown
13,Asthma,3,1,20061025164328,20081116021546,unknown
14,84.171.208.30,3,0,20061025141642,20061025143344,unknown
15,91.10.113.70,3,0,20110818122254,20110818122526,unknown
16,Pimgrim,3,3,20181120135005,20181120135127,unknown
17,Skriptor,3,1,20040406140527,20040406144207,unknown
18,Dr. Manuel,3,1,20090514182829,20100701073016,unknown
19,Benatrevqre,3,1,20120227101024,20120227101519,unknown
20,77.6.76.239,3,0,20110216145343,20110216145436,unknown
21,145.254.35.171,3,0,20050721230415,20050721231842,unknown
22,Seewolf,3,3,20061025134037,20110508174552,unknown
23,Aka,3,3,20081227194958,20180414210153,unknown
24,Nuuk,3,1,20100927184107,20180906064856,unknown
25,Alex1011,2,0,20051218231309,20051218231525,unknown
26,Jivee Blau,2,2,20110216145350,20110216145420,unknown
27,5.146.129.7,2,0,20180521184709,20180521185008,unknown
28,Stefan Kühn,2,2,20031022155900,20031022165032,unknown
29,94.139.13.127,2,0,20110518200956,20110518201105,unknown
30,Konrad Stein,2,0,20121130004033,20121130004258,unknown
31,217.88.118.245,2,0,20050208135756,20050208135907,unknown
32,Jochen2707,2,1,20150322074553,20150322075245,unknown
33,Fräggel,2,0,20080325190712,20080325191259,unknown
34,62.47.135.73,2,0,20051002212210,20051002212249,unknown
35,LKD,2,2,20061025143217,20061025143313,unknown
36,Regi51,2,2,20110518201005,20120627172347,unknown
37,Pittimann,2,2,20101127143628,20120112105657,unknown
38,87.178.234.68,2,0,20160319165303,20160319170019,unknown
39,Hans Bug,2,0,20060510074948,20060510105121,unknown
40,Dynamo,2,1,20060125195148,20060127042157,unknown
41,80.153.174.200,2,0,20110406140306,20110406140349,unknown
42,91.233.9.55,2,0,20131103140308,20131103140330,unknown
43,Zwobot,2,2,20050503091750,20080508201216,unknown
44,Gardini,2,2,20061025143355,20061025150830,unknown
45,Markobr,2,2,20130416123351,20160512080406,unknown
46,Label5,2,2,20100720180159,20100720180220,unknown
47,84.168.196.252,2,0,20060620203815,20060620203832,unknown
48,Invisigoth67,2,2,20110701125518,20180919162942,unknown
49,Albert Krantz,2,1,20080624154851,20080624155356,unknown
50,Tets,2,2,20061225023723,20061225023831,unknown
51,Gustav von Aschenbach,2,2,20160127171914,20181210163552,unknown
52,79.213.116.160,1,0,20120522062146,20120522062146,unknown
53,Saukerl88,1,1,20150211065417,20150211065417,unknown
54,84.159.223.195,1,0,20060413105621,20060413105621,unknown
55,FrankAltenhofen,1,0,20081104114155,20081104114155,unknown
56,91.23.240.155,1,0,20110606103923,20110606103923,unknown
57,77.119.129.231,1,0,20180212102612,20180212102612,unknown
58,80.144.158.212,1,0,20031021202911,20031021202911,unknown
