,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Kellerassel,16,2,20040505154148,20050220130421,unknown
1,Erwin E aus U,12,10,20031027221142,20031030135121,unknown
2,Prüm,12,5,20111113104313,20170403052755,unknown
3,193.175.207.195,11,0,20051124182419,20051124211050,unknown
4,Lucius Castus,9,9,20140708040053,20180616124615,unknown
5,BS Thurner Hof,8,1,20060603133741,20060603195524,unknown
6,EWriter,7,7,20080807181558,20110413075110,unknown
7,Aka,7,7,20061101174122,20180121172051,unknown
8,Pittimann,6,6,20100617080640,20170213105014,unknown
9,Dicker Pitter,6,0,20070627165523,20070627205910,unknown
10,RobotQuistnix,6,6,20050826192356,20071113173106,unknown
11,BeverlyHillsCop,6,0,20130328161825,20140610115037,unknown
12,Cosal,6,6,20061015201124,20070121234403,unknown
13,Dr-Victor-von-Doom,6,4,20160420090849,20181113061533,unknown
14,Mps,5,5,20101206232035,20150819142830,unknown
15,193.175.207.241,5,0,20070821091446,20070821093933,unknown
16,Pappenheim,5,2,20100503055948,20110525075457,unknown
17,84.176.230.185,5,0,20060111002431,20060111003454,unknown
18,Zwobot,5,5,20040310143751,20050715173733,unknown
19,Chrischerf,5,4,20101114203412,20120406192812,unknown
20,David Wintzer,5,2,20041213103430,20061203125356,unknown
21,Semper,5,5,20060505075617,20070510065801,unknown
22,Peter200,5,5,20080406073535,20110606064526,unknown
23,84.135.107.71,5,0,20050905073912,20050905074344,unknown
24,195.37.165.53,4,0,20100707131442,20100708071421,unknown
25,Julius1990,4,0,20060325201801,20120528092648,unknown
26,89.1.10.82,4,0,20131212080458,20131212082519,unknown
27,92.228.150.55,4,0,20180823090455,20180823174158,unknown
28,Luckas-bot,4,4,20100907102437,20120331213814,unknown
29,Bin2232578,4,3,20140703074330,20150305013345,unknown
30,Gerd Wiechmann,4,0,20100310204550,20120515195842,unknown
31,79.203.251.45,4,0,20110606062050,20110606064504,unknown
32,GiordanoBruno,4,2,20170223151445,20180115173714,unknown
33,134.91.6.211,4,0,20070302093739,20070302094630,unknown
34,Olenz,4,4,20060227133557,20060227134108,unknown
35,Triggerhappy,4,4,20070121154922,20080214082237,unknown
36,AndreasPraefcke,4,2,20041214191628,20120621174236,unknown
37,Horst Gräbner,4,3,20120414101921,20181219105159,unknown
38,Suirenn,4,4,20140709130205,20171229195534,unknown
39,Neun-x,4,1,20121114103713,20130328052143,unknown
40,Jo Weber,3,2,20081012211630,20100306190740,unknown
41,WikitanvirBot,3,3,20110213083644,20110514140550,unknown
42,212.100.57.56,3,0,20180928063012,20180928063503,unknown
43,83.228.180.93,3,0,20070708050640,20070708051408,unknown
44,217.88.0.59,3,0,20140522100735,20140522101012,unknown
45,Anathema,3,3,20050216201443,20050822131223,unknown
46,134.95.33.91,3,0,20150415060105,20150415060408,unknown
47,Williwilli,3,3,20160517050343,20180828060749,unknown
48,87.78.134.181,3,0,20070228145732,20070228150853,unknown
49,Richard Lenzen,3,3,20181115074343,20181115075353,unknown
50,Jack74,3,1,20111130111117,20111130141524,unknown
51,Syrcro,3,3,20090519143650,20090612202212,unknown
52,193.170.138.226,3,0,20080406073208,20080406074127,unknown
53,Waldersee,3,2,20060928233003,20060928233326,unknown
54,Magnus,3,3,20031027222739,20031027231634,unknown
55,SpesBona,3,3,20090712181845,20100814182544,unknown
56,84.171.79.91,3,0,20080131080431,20080131080707,unknown
57,91.52.6.15,3,0,20130427161956,20130427163847,unknown
58,145.254.137.125,3,0,20040920160605,20040920160840,unknown
59,Valentim,3,2,20150115175826,20150115180413,unknown
60,130.83.23.93,3,0,20181101115201,20181112135726,unknown
61,213.168.107.52,3,0,20040817140955,20040817141547,unknown
62,Ephraim33,2,0,20061022151043,20070104182454,unknown
63,He3nry,2,2,20060505080250,20090825113046,unknown
64,DerHexer,2,2,20070302094636,20070320115754,unknown
65,YourEyesOnly,2,2,20080131080718,20100211081152,unknown
66,Florian.Keßler,2,2,20060830221700,20090629163159,unknown
67,87.165.222.69,2,0,20130513080322,20130513080558,unknown
68,HaeB,2,1,20040930192515,20060907173444,unknown
69,Ennimate,2,0,20110908172644,20110908172733,unknown
70,Ute Erb,2,2,20140303084351,20160118121009,unknown
71,84.191.194.169,2,0,20080411104239,20080411105839,unknown
72,195.14.202.45,2,0,20050625003158,20050625003337,unknown
73,St.Krekeler,2,1,20050326010341,20050326012427,unknown
74,Graphikus,2,2,20101110201307,20150225200015,unknown
75,BotMultichill,2,2,20070503220842,20100921134647,unknown
76,LoisJAbel,2,2,20150905212308,20150905215512,unknown
77,Kalorie,2,0,20170708095508,20170708101115,unknown
78,Gpvos,2,2,20051015155630,20060217165734,unknown
79,89.12.68.81,2,0,20110410190443,20110410190540,unknown
80,Chrislb,2,1,20060926052956,20060926053436,unknown
81,DHN-bot~dewiki,2,2,20080204063527,20080420121119,unknown
82,FlaBot,2,2,20041127201634,20041230074928,unknown
83,84.73.217.54,2,0,20060329014343,20060330201621,unknown
84,Superzerocool,2,2,20070919002331,20070928045546,unknown
85,84.146.24.252,2,0,20060729160018,20060729160124,unknown
86,MAY,2,0,20051208174042,20051208174108,unknown
87,Reilinger,2,2,20121004195312,20131101204053,unknown
88,Astra66,2,0,20140316192238,20140316192452,unknown
89,Bernhard Wallisch,2,2,20081211111911,20120612221518,unknown
90,217.88.24.116,2,0,20060505074209,20060505080238,unknown
91,87.171.56.51,2,0,20110310100945,20110310101001,unknown
92,62.143.77.117,2,0,20060907175120,20060907175312,unknown
93,87.165.114.88,2,0,20130616163423,20130616164339,unknown
94,SieBot,2,2,20080112200053,20101003144130,unknown
95,80.130.95.211,2,0,20070909123559,20070909143646,unknown
96,Dexbot,2,2,20140903173402,20150103122455,unknown
97,87.185.218.163,2,0,20100604091453,20100604091922,unknown
98,Serols,2,2,20140522100800,20140522101019,unknown
99,80.144.169.240,2,0,20040604205909,20040604210058,unknown
100,217.227.89.40,2,0,20050415095444,20050415095546,unknown
101,Harka2,2,0,20120903132531,20120903133317,unknown
102,194.99.122.193,2,0,20070510064054,20070510071034,unknown
103,Zollernalb,2,2,20140131200321,20140131200520,unknown
104,Zhou Yi,2,1,20050302133338,20050304075650,unknown
105,80.139.251.34,2,0,20110411103402,20110411103657,unknown
106,A. Wagner,2,0,20130521205404,20130521212437,unknown
107,Xqbot,2,2,20100415200331,20110520024431,unknown
108,84.137.70.195,2,0,20070605091311,20070605092846,unknown
109,Clanget,2,1,20090210105951,20090331083650,unknown
110,84.134.114.195,2,0,20050314183542,20050314183735,unknown
111,Iste Praetor,2,2,20110310100952,20110310101011,unknown
112,Joergens.mi,2,0,20081008105338,20180120213922,unknown
113,Hadibe,2,2,20161205065909,20170331185751,unknown
114,The real Marcoman,2,2,20120128185939,20120213114910,unknown
115,Tönjes,2,2,20070909123611,20080131080608,unknown
116,Mkill,2,0,20050720230735,20091020134159,unknown
117,JAnDbot,2,2,20080425071349,20090828102718,unknown
118,RonMeier,2,2,20120915200941,20150522193726,unknown
119,Echoray,2,2,20040222182001,20040309194841,unknown
120,80.171.103.109,2,0,20090206203500,20090206203535,unknown
121,217.224.139.61,2,0,20050303163052,20050303163617,unknown
122,ArthurBot,2,2,20100908120934,20110719080733,unknown
123,Regi51,2,2,20110411103423,20110411103704,unknown
124,Avoided,2,2,20080211120201,20080304134457,unknown
125,KaiMartin,2,0,20060801222838,20090902174152,unknown
126,AlnoktaBOT,2,2,20070817003914,20071021044751,unknown
127,Mastermaus,2,0,20090619180949,20121205152959,unknown
128,Dr. Meierhofer,2,2,20050615215901,20050616220433,unknown
129,Bonzo*,2,0,20061203210408,20070121173335,unknown
130,Skyhawk4,1,0,20110831140226,20110831140226,unknown
131,Egonist,1,0,20120711101741,20120711101741,unknown
132,YonaBot,1,1,20070428233141,20070428233141,unknown
133,Diba,1,1,20131212082542,20131212082542,unknown
134,62.47.187.232,1,0,20080313232503,20080313232503,unknown
135,ErikDunsing,1,1,20031210101701,20031210101701,unknown
136,95.113.222.93,1,0,20150819140543,20150819140543,unknown
137,Brmf,1,1,20081228132324,20081228132324,unknown
138,217.248.80.49,1,0,20050215213753,20050215213753,unknown
139,85.181.6.84,1,0,20170613204654,20170613204654,unknown
140,Inkowik,1,1,20091105161159,20091105161159,unknown
141,82.70.202.206,1,0,20051006235817,20051006235817,unknown
142,TXiKiBoT,1,1,20100907070755,20100907070755,unknown
143,Armin P.,1,1,20110402130117,20110402130117,unknown
144,217.110.11.93,1,0,20060919082255,20060919082255,unknown
145,91.36.190.138,1,0,20120522105637,20120522105637,unknown
146,84.163.36.82,1,0,20130623112957,20130623112957,unknown
147,Käppe,1,1,20130806235709,20130806235709,unknown
148,124.127.168.216,1,0,20150228034425,20150228034425,unknown
149,Bierdimpfl,1,1,20041123065229,20041123065229,unknown
150,Drüfft,1,1,20170112144850,20170112144850,unknown
151,Geos,1,1,20090908193758,20090908193758,unknown
152,84.59.71.76,1,0,20050814194208,20050814194208,unknown
153,Dr. Karl-Heinz Best,1,0,20181123172516,20181123172516,unknown
154,RedBot,1,1,20120227122315,20120227122315,unknown
155,Ricky59,1,1,20070123184333,20070123184333,unknown
156,Complex,1,1,20070909143700,20070909143700,unknown
157,Mef.ellingen,1,0,20141101151134,20141101151134,unknown
158,Immanuel Giel,1,1,20080703081240,20080703081240,unknown
159,77.166.41.102,1,0,20160709141630,20160709141630,unknown
160,LinkFA-Bot,1,0,20090709135233,20090709135233,unknown
161,Sputnik,1,1,20050721060209,20050721060209,unknown
162,Philipp Wetzlar,1,1,20100604091933,20100604091933,unknown
163,84.160.42.139,1,0,20060124143543,20060124143543,unknown
164,Andy429,1,1,20060726225054,20060726225054,unknown
165,213.144.157.18,1,0,20120103153956,20120103153956,unknown
166,Shiyaki,1,1,20061213111219,20061213111219,unknown
167,S8472,1,0,20121227190535,20121227190535,unknown
168,Hartmut Haberland,1,1,20140610113303,20140610113303,unknown
169,OKBot,1,1,20080502190312,20080502190312,unknown
170,141.28.2.19,1,0,20040804043656,20040804043656,unknown
171,185.17.204.227,1,0,20160510022709,20160510022709,unknown
172,Wicket,1,1,20090606204135,20090606204135,unknown
173,195.145.160.195,1,0,20050503081921,20050503081921,unknown
174,Felistoria,1,1,20180429205418,20180429205418,unknown
175,VJSC263IO,1,1,20100309180322,20100309180322,unknown
176,MarcoBorn,1,1,20051208072821,20051208072821,unknown
177,Nuuk,1,0,20061109123322,20061109123322,unknown
178,JBirken,1,1,20120924001007,20120924001007,unknown
179,DerGrobi,1,1,20070602144756,20070602144756,unknown
180,Katharina,1,1,20040308185545,20040308185545,unknown
181,Schnabeltassentier,1,1,20151104092919,20151104092919,unknown
182,Tpetschauer,1,1,20090207105354,20090207105354,unknown
183,66.177.138.113,1,0,20050305200856,20050305200856,unknown
184,Bene66,1,1,20170711134201,20170711134201,unknown
185,NjardarBot,1,1,20091230181542,20091230181542,unknown
186,Achim Raschka,1,0,20051028112951,20051028112951,unknown
187,88.71.26.186,1,0,20101016060731,20101016060731,unknown
188,172.174.13.202,1,0,20060526201154,20060526201154,unknown
189,194.149.247.24,1,0,20110525073937,20110525073937,unknown
190,H.L.,1,0,20061002084508,20061002084508,unknown
191,134.3.239.92,1,0,20120528091740,20120528091740,unknown
192,84.137.100.63,1,0,20070330100621,20070330100621,unknown
193,217.227.213.46,1,0,20080214081219,20080214081219,unknown
194,Dishayloo,1,1,20031030114851,20031030114851,unknown
195,Kriddl,1,0,20150614094300,20150614094300,unknown
196,91.6.200.26,1,0,20081211111901,20081211111901,unknown
197,Piefke,1,1,20041224033655,20041224033655,unknown
198,Matthiask de,1,1,20170329111202,20170329111202,unknown
199,Viktor82,1,0,20091008162729,20091008162729,unknown
200,Littl,1,0,20050905074416,20050905074416,unknown
201,RoBri,1,1,20190217121157,20190217121157,unknown
202,Hlamerz,1,0,20100727074225,20100727074225,unknown
203,217.185.80.199,1,0,20060502160904,20060502160904,unknown
204,188.23.86.18,1,0,20110309200814,20110309200814,unknown
205,217.146.144.66,1,0,20060907155406,20060907155406,unknown
206,37.49.22.196,1,0,20120418125118,20120418125118,unknown
207,217.93.74.38,1,0,20070223141529,20070223141529,unknown
208,ChoG,1,0,20130611131745,20130611131745,unknown
209,Kresspahl,1,1,20071227181029,20071227181029,unknown
210,Gerd Leibrock,1,0,20150214093538,20150214093538,unknown
211,212.117.97.138,1,0,20080904143116,20080904143116,unknown
212,213.23.34.237,1,0,20041103185015,20041103185015,unknown
213,Luke081515Bot,1,0,20161129175744,20161129175744,unknown
214,80.144.243.44,1,0,20090825112954,20090825112954,unknown
215,Grossernarr,1,1,20050814092516,20050814092516,unknown
216,Sb008,1,0,20181102062955,20181102062955,unknown
217,Tobias Nüssel,1,0,20060131082930,20060131082930,unknown
218,62.117.23.84,1,0,20060809163226,20060809163226,unknown
219,78.52.43.119,1,0,20120123164845,20120123164845,unknown
220,85.180.8.23,1,0,20070120083556,20070120083556,unknown
221,KLBot2,1,1,20130402111211,20130402111211,unknown
222,Buchbibliothek,1,0,20140829224607,20140829224607,unknown
223,217.110.152.114,1,0,20080623084209,20080623084209,unknown
224,213.196.200.120,1,0,20040818183505,20040818183505,unknown
225,Poliglott,1,1,20160623083514,20160623083514,unknown
226,88.67.138.96,1,0,20090629170548,20090629170548,unknown
227,84.137.117.96,1,0,20110114104247,20110114104247,unknown
228,Geruxenfux,1,1,20111129170356,20111129170356,unknown
229,80.136.47.188,1,0,20061205171755,20061205171755,unknown
230,178.8.88.219,1,0,20121118141337,20121118141337,unknown
231,91.62.217.184,1,0,20080424114836,20080424114836,unknown
232,217.232.4.91,1,0,20040602064040,20040602064040,unknown
233,Michael Dirauf,1,1,20160313160945,20160313160945,unknown
234,Gamma9,1,1,20090406124324,20090406124324,unknown
235,2003:E8:D3CD:49B1:759F:F183:511:9084,1,0,20180115173252,20180115173252,unknown
236,Milgesch,1,1,20100209092142,20100209092142,unknown
237,LeonardoRob0t,1,1,20051129214307,20051129214307,unknown
238,85.216.36.115,1,0,20060618225848,20060618225848,unknown
239,149.217.72.1,1,0,20110902100733,20110902100733,unknown
240,Amphibium,1,0,20061029125623,20061029125623,unknown
241,85.176.133.14,1,0,20120902081049,20120902081049,unknown
242,Markoz,1,0,20131226113721,20131226113721,unknown
243,80.171.110.136,1,0,20080403080845,20080403080845,unknown
244,80.144.187.176,1,0,20040111151735,20040111151735,unknown
245,Jed,1,1,20090105215906,20090105215906,unknown
246,91.96.59.159,1,0,20091119182336,20091119182336,unknown
247,84.186.82.143,1,0,20060517062119,20060517062119,unknown
248,Trigonomie,1,1,20120522105655,20120522105655,unknown
249,80.140.201.228,1,0,20070302144046,20070302144046,unknown
250,BuschBohne,1,1,20130623113017,20130623113017,unknown
251,Ernestito,1,0,20130811132525,20130811132525,unknown
252,RobertLechner,1,1,20031027221516,20031027221516,unknown
253,Gruß Tom,1,1,20081128112932,20081128112932,unknown
254,80.128.196.26,1,0,20170213104951,20170213104951,unknown
255,94.216.5.185,1,0,20090915070334,20090915070334,unknown
