,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Rylha,30,12,20150918144731,20181007110401,unknown
1,Aka,16,16,20151029110757,20190221171212,unknown
2,131.188.3.227,16,0,20180420183626,20181217214556,unknown
3,131.188.3.226,16,0,20180421185041,20181123124313,unknown
4,Woodie Wood,16,1,20180607230023,20180612110608,unknown
5,Alexpl,15,3,20150917102021,20180619052856,unknown
6,Carolin,10,1,20151212195918,20180902210856,unknown
7,Cyve,9,0,20150918140511,20180607094925,unknown
8,Falkmart,9,0,20170822121324,20180511125950,unknown
9,Filterkaffee,8,4,20141222162640,20150918145957,unknown
10,Woehlecke,8,0,20160218072843,20181012183506,unknown
11,Neun-x,6,0,20110108090745,20150917170502,unknown
12,Pass3456,6,0,20180523121750,20180617111442,unknown
13,Boonekamp,5,4,20100303191732,20180502144142,unknown
14,Rufus46,5,5,20150705081612,20151005060942,unknown
15,Lololein,4,4,20171215101205,20180109112649,unknown
16,PsY.cHo,4,4,20150917145628,20160317155803,unknown
17,217.85.170.190,4,0,20150705081431,20150705083911,unknown
18,217.85.174.22,4,0,20150203192956,20150203194709,unknown
19,77.87.228.70,4,0,20151007094527,20160617144001,unknown
20,Funkruf,4,4,20150918150923,20150918170905,unknown
21,Eandré,4,4,20170109051607,20171129184110,unknown
22,Rabanusmaurus,4,3,20151228100315,20161227105717,unknown
23,Natsu Dragoneel,4,3,20160120084401,20160217165452,unknown
24,WeiterWeg,3,0,20180528190846,20180529100012,unknown
25,Grigory Grin~dewiki,3,1,20041010194159,20041010201001,unknown
26,178.11.202.223,3,0,20180617194142,20180617200046,unknown
27,Bear,3,2,20050819081624,20050819082224,unknown
28,84.176.194.35,3,0,20050418081513,20050418082115,unknown
29,Guido Hollstein,3,3,20180518083434,20180518083845,unknown
30,92.206.228.81,3,0,20150926122803,20150926122844,unknown
31,He3nry,3,2,20050418083637,20050422143425,unknown
32,Petruz,3,0,20180820112228,20180820112342,unknown
33,Goliath613,3,0,20110607180142,20130929203349,unknown
34,Nico Ci.,2,0,20170313171507,20170313180327,unknown
35,2003:80:8E1C:2636:C62C:3FF:FE1B:DB35,2,0,20180529212116,20180529215824,unknown
36,UHT,2,2,20101112101116,20101116115343,unknown
37,Cholo Aleman,2,0,20081121140756,20081121140938,unknown
38,Crazy1880,2,1,20130528165836,20160206094555,unknown
39,ArwenTauriel,2,0,20150926123332,20150926123515,unknown
40,ElNuevoEinstein,2,0,20180617102130,20180617102338,unknown
41,Zielfahnder,2,1,20090223141318,20090223141352,unknown
42,Ansgar Wernst,2,0,20160610121930,20160610122130,unknown
43,Atlasowa,2,1,20150510190013,20150510193025,unknown
44,Dag Tagen,2,0,20150923055034,20150925081740,unknown
45,Diopuld,2,2,20150917192653,20150917193108,unknown
46,RoBri,2,2,20180922221538,20180922221551,unknown
47,Markobr,2,2,20150926122816,20150926122834,unknown
48,AWI,2,1,20060816004832,20090312180813,unknown
49,Koyaanisqatsi01,2,2,20171209202113,20180620215153,unknown
50,Invisigoth67,2,1,20180613180858,20181020212443,unknown
51,Forevermore,2,2,20041024151731,20041024151824,unknown
52,Malabon,2,1,20130520143534,20151007203249,unknown
53,GünniX,2,2,20180616073235,20180622183616,unknown
54,178.24.182.42,2,0,20150918170027,20150918170115,unknown
55,Schwäbin,2,1,20110108142341,20110112104058,unknown
56,176.4.36.226,2,0,20150917104940,20150917122918,unknown
57,SamWinchester000,1,0,20190304224354,20190304224354,unknown
58,Simplicius,1,1,20050418140526,20050418140526,unknown
59,84.174.208.140,1,0,20100303180031,20100303180031,unknown
60,Snoopy1964,1,1,20150616094908,20150616094908,unknown
61,2003:E7:23C2:397C:B91F:F442:118F:4D33,1,0,20170113064037,20170113064037,unknown
62,2001:638:607:205:0:0:0:30,1,0,20180524121549,20180524121549,unknown
63,2A02:810A:8C0:958D:A0E1:E60F:4CFE:DB56,1,0,20180828051920,20180828051920,unknown
64,LichtStrahlen,1,1,20090209184945,20090209184945,unknown
65,Chemischer Bruder,1,0,20151003131226,20151003131226,unknown
66,129.206.136.37,1,0,20160528171224,20160528171224,unknown
67,Yardsrules,1,0,20180514150115,20180514150115,unknown
68,80.131.204.44,1,0,20070904180859,20070904180859,unknown
69,195.50.183.212,1,0,20121217094012,20121217094012,unknown
70,Optimum,1,1,20150925152735,20150925152735,unknown
71,79.238.165.209,1,0,20160217165422,20160217165422,unknown
72,Hyllvegu,1,0,20180614131607,20180614131607,unknown
73,Dr. Steller,1,0,20060715125437,20060715125437,unknown
74,Matt1971,1,1,20110222101346,20110222101346,unknown
75,Der.Traeumer,1,0,20170708154502,20170708154502,unknown
76,89.1.10.122,1,0,20150917084546,20150917084546,unknown
77,Boshomi,1,0,20160109162654,20160109162654,unknown
78,Hadibe,1,1,20170121230359,20170121230359,unknown
79,88.77.21.4,1,0,20180525174528,20180525174528,unknown
80,88.72.227.120,1,0,20181012174750,20181012174750,unknown
81,Echtner,1,1,20090514173033,20090514173033,unknown
82,Alex 805,1,0,20150510135701,20150510135701,unknown
83,217.236.67.153,1,0,20161012201534,20161012201534,unknown
84,P3Y229,1,0,20180522053740,20180522053740,unknown
85,114.247.23.61,1,0,20180720123949,20180720123949,unknown
86,Fruchtfliegenfeind,1,0,20160227141544,20160227141544,unknown
87,L&K-Bot,1,1,20061103192251,20061103192251,unknown
88,188.174.31.51,1,0,20110729011254,20110729011254,unknown
89,2A02:908:EE43:5580:304E:9023:AF21:D898,1,0,20150921171510,20150921171510,unknown
90,77.87.224.101,1,0,20171117170029,20171117170029,unknown
91,2003:80:8E1C:2641:C62C:3FF:FE1B:DB35,1,0,20180608221028,20180608221028,unknown
92,Kandschwar,1,1,20060329174405,20060329174405,unknown
93,212.200.126.231,1,0,20110118163734,20110118163734,unknown
94,Ronny Michel,1,1,20160131190656,20160131190656,unknown
95,Reclus,1,0,20170317220114,20170317220114,unknown
96,2003:80:8E1C:2689:C62C:3FF:FE1B:DB35,1,0,20180528222237,20180528222237,unknown
97,84.176.250.204,1,0,20050422140355,20050422140355,unknown
98,BurghardRichter,1,1,20151214231539,20151214231539,unknown
99,BlackEyedLion,1,0,20170113095051,20170113095051,unknown
100,Blaues-Monsterle,1,0,20180525130735,20180525130735,unknown
101,VC10,1,1,20180906072959,20180906072959,unknown
102,AHZ,1,0,20041010194928,20041010194928,unknown
103,Bolero 2030,1,0,20151005055010,20151005055010,unknown
104,188.96.232.98,1,0,20180618125949,20180618125949,unknown
105,85.8.105.189,1,0,20080218162115,20080218162115,unknown
106,Nightflyer,1,1,20121217094023,20121217094023,unknown
107,Rmcharb,1,0,20160217165803,20160217165803,unknown
108,130.180.45.234,1,0,20180109122235,20180109122235,unknown
109,88.215.89.140,1,0,20180615180225,20180615180225,unknown
110,Wst,1,1,20060812075108,20060812075108,unknown
111,MerlIwBot,1,1,20110318185652,20110318185652,unknown
112,Cenjur,1,0,20170720100945,20170720100945,unknown
113,Lexberlin,1,0,20180530140315,20180530140315,unknown
114,Zikke,1,0,20051121210418,20051121210418,unknown
115,62.159.42.134,1,0,20101209091949,20101209091949,unknown
116,212.65.1.102,1,0,20150917085954,20150917085954,unknown
117,Aarp65,1,1,20160116105942,20160116105942,unknown
118,2A02:8109:9A40:1778:0:0:0:2,1,0,20170210151936,20170210151936,unknown
119,Hydro,1,1,20180526071544,20180526071544,unknown
120,Hans Haase,1,0,20181108053514,20181108053514,unknown
121,Dickbauch,1,1,20050418083125,20050418083125,unknown
122,87.181.150.211,1,0,20090921124059,20090921124059,unknown
123,Fb8,1,0,20151113172743,20151113172743,unknown
124,2003:75:AF4B:4565:C876:6CFF:A3E1:2C65,1,0,20170106182154,20170106182154,unknown
125,80.187.122.151,1,0,20180522184613,20180522184613,unknown
126,Hawling,1,0,20180722062544,20180722062544,unknown
127,Frankenland,1,0,20081207081756,20081207081756,unknown
128,88.70.190.226,1,0,20140516165024,20140516165024,unknown
129,ICCCC,1,1,20150926123349,20150926123349,unknown
130,R2Dine,1,0,20160228103036,20160228103036,unknown
131,Urgelein,1,0,20180617133810,20180617133810,unknown
132,Willicher,1,1,20070103002918,20070103002918,unknown
133,77.7.14.212,1,0,20110906173838,20110906173838,unknown
134,MaxBE,1,1,20171208152807,20171208152807,unknown
135,2003:80:8E1C:2603:C62C:3FF:FE1B:DB35,1,0,20180609222110,20180609222110,unknown
136,84.149.92.203,1,0,20060521145059,20060521145059,unknown
