,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Agatha Bauer,65,4,20110716202621,20141001223044,unknown
1,Universalamateur,29,6,20180919092411,20181027144813,unknown
2,HAH,22,5,20061012073613,20110208202641,unknown
3,Herr Andrax,21,5,20050609223848,20070714174334,unknown
4,Pruefer,21,20,20060821135652,20060821144615,unknown
5,Eiskalt11,20,5,20111119182439,20130621220156,unknown
6,Schreibvieh,19,8,20060903202144,20070307093904,unknown
7,Asperatus,16,0,20181115152900,20190203112109,unknown
8,C.Löser,16,10,20041212203520,20070302122926,unknown
9,Mitteleuropäer,14,3,20060221083719,20060326080915,unknown
10,Carolus.Abraxas,13,2,20130630121415,20130630145717,unknown
11,Berlin-Jurist,12,5,20060111181944,20161018211901,unknown
12,Prawda2000,11,0,20060624104311,20060702145852,unknown
13,Lung,11,3,20050129022807,20050803161606,unknown
14,81.173.165.29,11,0,20040810182039,20040810184127,unknown
15,Mussklprozz,10,3,20051014143354,20180327212106,unknown
16,Braveheart,10,3,20061116085131,20110419224617,unknown
17,Pinneberg,9,7,20110405133906,20110406183457,unknown
18,House1630,9,2,20161003212153,20161005125216,unknown
19,KarlV,9,3,20070302124609,20161004154633,unknown
20,Feliks,9,0,20100222130441,20120704054318,unknown
21,Pfeifadeggl,8,3,20130415212556,20130712070328,unknown
22,Sebmol,8,2,20051227160215,20070228094051,unknown
23,Ulitz,8,2,20070419190653,20161201222339,unknown
24,Sanandros,7,2,20140820071309,20190117201738,unknown
25,Aka,7,7,20081202210046,20190117120122,unknown
26,Boshomi,7,3,20150411213640,20161129201502,unknown
27,213.39.141.88,7,0,20060707201609,20060707202555,unknown
28,Pittigrilli,7,1,20070316191723,20120922145316,unknown
29,Ot,7,5,20071017061056,20130206063715,unknown
30,Mps,7,7,20110406125212,20170730092912,unknown
31,In dubio pro dubio,7,6,20111206203410,20181105231427,unknown
32,Kasselklaus,7,5,20040414112625,20040414114018,unknown
33,Scooterman,7,0,20060306062249,20080911230211,unknown
34,Stefan Kühn,6,3,20030430163138,20040714145637,unknown
35,Tohma,6,0,20100709112641,20150925142335,unknown
36,Rita2008,6,1,20090412203737,20180615163837,unknown
37,GS,6,0,20060728103202,20100211113219,unknown
38,132.176.224.218,6,0,20060622205626,20060622215930,unknown
39,Luke081515Bot,6,0,20151011211953,20161210225314,unknown
40,81.173.165.67,6,0,20040812105524,20040812110759,unknown
41,Hafenbar,6,2,20040713205628,20050802195414,unknown
42,Thorbjoern,6,4,20050323083422,20051202084455,unknown
43,Neue Freiheit,5,0,20070228091134,20070316104815,unknown
44,Nationaldadaistische Angestellten- und Beamtenpartei,5,0,20061231113307,20061231113710,unknown
45,Benatrevqre,5,2,20100805115314,20100805115824,unknown
46,Fgb,5,0,20040819225203,20050701002846,unknown
47,Feucht rasiert,5,0,20060326085754,20060326090355,unknown
