,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Agatha Bauer,19,0,20120703193202,20130804205042,unknown
1,Lung,17,4,20050220005404,20051021101205,unknown
2,Mietschlossherr,16,5,20111120122647,20130218081917,unknown
3,Bungert55,13,8,20141008155656,20181128154527,unknown
4,Skyman gozilla,11,5,20070131175737,20100403120349,unknown
5,Catorom,11,8,20170801084421,20181024080953,unknown
6,Asperatus,8,0,20181021212237,20190212165953,unknown
7,217.248.111.106,6,0,20080630061511,20080630062532,unknown
8,Aka,6,6,20121120190950,20170831173102,unknown
9,TUBS,5,1,20080630111058,20080729083752,unknown
10,Miltrak,5,0,20141011154349,20161215115859,unknown
11,Florian.Keßler,5,3,20041226001615,20050321232739,unknown
12,DaHe,5,3,20050923143811,20070705111553,unknown
13,Wikifreund,4,0,20110106015335,20110106054909,unknown
14,St.Krekeler,4,3,20050218210325,20050313004355,unknown
15,84.63.39.13,4,0,20070704200802,20070704202249,unknown
16,Sanandros,4,0,20090407215052,20150613160420,unknown
17,92.204.23.181,4,0,20101207064411,20101207070254,unknown
18,Wiki-observer,3,1,20130811224949,20150615222041,unknown
19,88.73.247.87,3,0,20121121215604,20121121225222,unknown
20,DerPaulianer,3,3,20120912131850,20120912132507,unknown
21,AKor4711,3,0,20130627191344,20130627193853,unknown
22,Sonaz,3,3,20060408094038,20090223124625,unknown
23,Kyren221,3,1,20180916123527,20180916124031,unknown
24,Malabon,3,1,20130707141700,20150701202430,unknown
25,Luke081515Bot,3,0,20151031145311,20161119150202,unknown
26,Snookerado,3,3,20180916123541,20180916124058,unknown
27,82.83.169.49,3,0,20050618184909,20050618185148,unknown
28,Innere Sicherheit,3,2,20090313110425,20090313115807,unknown
29,94.221.104.208,3,0,20140709195310,20140709202555,unknown
30,SKopp,2,0,20160325203640,20160325203759,unknown
31,Gunnar.offel,2,2,20180927024323,20180927032511,unknown
32,FWHS,2,1,20050930070432,20050930071408,unknown
33,Hero3105,2,1,20111112132741,20111112132834,unknown
34,195.200.70.53,2,0,20130218064811,20130218064954,unknown
35,HolgerB,2,1,20090810163942,20140222135828,unknown
36,Matt1971,2,2,20110127200248,20121122002354,unknown
37,Anti.,2,2,20131208140809,20131208140934,unknown
38,84.133.239.180,2,0,20101214055847,20101214060734,unknown
39,217.187.28.138,2,0,20050106114143,20050106120716,unknown
40,UW,2,2,20061217174537,20061217174638,unknown
41,TeesJ,2,2,20100416052514,20131129065758,unknown
42,EWriter,2,2,20130403191640,20150820143013,unknown
43,Schusterjunge 2,2,1,20170102133941,20170629085822,unknown
44,StrangeRover,2,2,20140820195002,20140820195240,unknown
45,Boshomi,2,1,20151026111711,20161103214146,unknown
46,80.135.119.79,2,0,20070201114421,20070201114601,unknown
47,NeXXor,2,2,20101031133244,20110419141948,unknown
48,Feliks,2,0,20120302142720,20120717054945,unknown
49,92.194.14.134,2,0,20130219113450,20130219113517,unknown
