,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Mediatus,305,304,20070627233002,20171111082759,unknown
1,HolgerB,38,23,20050909132854,20110227102906,unknown
2,Giro,15,5,20070403214543,20080808215433,unknown
3,195.126.85.141,11,0,20090619212237,20090905145322,unknown
4,KuK,9,1,20100404093050,20130820200306,unknown
5,Medsailor,9,0,20110116102100,20151214100608,unknown
6,Aka,7,7,20070811131919,20181027112212,unknown
7,Gerd Wiechmann,6,0,20110817111107,20170521170419,unknown
8,80.137.156.138,6,0,20051014122905,20051014124015,unknown
9,Wikifreund,6,2,20060506054426,20081214212108,unknown
10,92.224.198.168,5,0,20101114224318,20101114231631,unknown
11,Reng teng teng,5,4,20130923143156,20170404045825,unknown
12,129.187.244.19,5,0,20180108082120,20180321141009,unknown
13,Nikodemus13,4,0,20130713055103,20131022061831,unknown
14,El Kael,4,3,20080323161952,20081213220244,unknown
15,Concord,4,3,20081212003524,20081212004145,unknown
16,History-info,4,0,20130324131330,20130324131727,unknown
17,88.75.134.11,4,0,20081004223937,20081004233853,unknown
18,Johannes Maximilian,3,1,20180131221056,20190210114538,unknown
19,Smial,3,3,20081215104505,20091104184736,unknown
20,Güwy,3,0,20120706173413,20140929100449,unknown
21,AHZ,3,1,20090827063351,20090827063929,unknown
22,93.209.220.216,3,0,20110121103141,20110121164939,unknown
23,Duden-Dödel,3,0,20061030204158,20061030205220,unknown
24,Uwe W.,3,2,20060413182058,20060413182431,unknown
25,HeinzWörth,3,3,20101014092130,20140619114409,unknown
26,Lou.gruber,3,0,20120327110555,20120327110833,unknown
27,Hypnosekröte,3,3,20051204113025,20051204113343,unknown
28,Boshomi,2,0,20150914173911,20150916202941,unknown
29,Comporrestoria,2,0,20170829070419,20170829070818,unknown
30,Spear~dewiki,2,0,20070711215945,20070711220251,unknown
31,193.29.115.13,2,0,20050905123532,20050905123654,unknown
32,Schmitty,2,2,20060317175831,20060324020141,unknown
33,Starwhooper,2,2,20110529124429,20110529134019,unknown
34,RonMeier,2,2,20121008123818,20130716100247,unknown
35,84.145.239.166,2,0,20070520194619,20070520195125,unknown
36,Bergfalke2,2,2,20110102115138,20110102115322,unknown
37,Repat,2,2,20071115110508,20071115110548,unknown
38,79.208.64.118,2,0,20090915062857,20090915063048,unknown
39,89.52.100.45,2,0,20060802074105,20060802074130,unknown
40,Hieronymus Bock,2,0,20110412130840,20110412131447,unknown
41,62.226.149.149,2,0,20060616110843,20060616111048,unknown
42,Hoschi72,2,1,20070421130942,20070901183257,unknown
43,Diopuld,2,2,20150825005250,20150825005637,unknown
44,84.148.82.98,2,0,20090820191831,20090820192041,unknown
45,Sandmann4u,2,1,20100827125250,20100830002245,unknown
46,79.192.238.222,2,0,20090623151111,20090623151427,unknown
47,CeGe,2,1,20070628142212,20180910133117,unknown
48,77.24.175.95,2,0,20080707205232,20080707212403,unknown
49,BerndWber,2,0,20140324135555,20140324141024,unknown
50,2.85.9.207,2,0,20130419015046,20130419015524,unknown
51,Hochrot,2,0,20171007190554,20171113154234,unknown
52,Koerpertraining,2,2,20090707140855,20091003125236,unknown
53,Kandschwar,2,1,20060827145849,20061104124949,unknown
54,5.146.133.240,2,0,20170611184350,20170611191559,unknown
55,91.8.213.235,2,0,20110506131726,20110506132936,unknown
56,Haysel,2,0,20060616234808,20060619164157,unknown
57,Max-78,2,2,20130912065207,20130912065357,unknown
58,91.18.57.42,2,0,20081018224502,20081018224551,unknown
59,217.238.109.2,2,0,20061111222444,20061111222707,unknown
60,217.224.184.31,2,0,20070830173749,20070830174726,unknown
61,87.193.10.122,2,0,20070706111242,20070706111344,unknown
62,Wiener Fisch,2,1,20170112120242,20170112120613,unknown
63,95.88.4.97,2,0,20110225112725,20110225112840,unknown
64,Dreizung,2,2,20160526171651,20160526171738,unknown
65,CommonsDelinker,2,1,20080411173515,20151129155730,unknown
66,176.7.251.120,2,0,20131211172150,20131211172502,unknown
67,217.87.54.107,2,0,20070411103341,20070411103405,unknown
68,JamesP,2,2,20151130093514,20160128155025,unknown
69,2003:DB:53CF:7800:E06A:4250:B003:2F30,2,0,20180112161929,20180112162715,unknown
70,Euku,2,1,20070918074847,20090915072820,unknown
71,2001:16B8:2C55:5E00:AD22:CD7D:A71F:41BC,2,0,20190210105626,20190210161451,unknown
72,Horst Gräbner,2,2,20161202142020,20180316111156,unknown
73,HotChip,2,0,20091128223429,20091128225306,unknown
74,AxelHH,1,0,20140301183215,20140301183215,unknown
75,217.228.38.53,1,0,20070519190823,20070519190823,unknown
76,193.190.109.8,1,0,20160411092154,20160411092154,unknown
77,91.46.236.21,1,0,20080219081753,20080219081753,unknown
78,Scooter,1,1,20090930085206,20090930085206,unknown
79,Darkone,1,1,20060401191739,20060401191739,unknown
80,Complex,1,1,20070315162149,20070315162149,unknown
81,Megavoid,1,0,20071103101455,20071103101455,unknown
82,88.77.204.255,1,0,20180106141747,20180106141747,unknown
83,BeeKaaEll,1,1,20081024042222,20081024042222,unknown
84,92.230.196.160,1,0,20100830000205,20100830000205,unknown
85,Rdb,1,0,20050701122233,20050701122233,unknown
86,Jed,1,1,20120220195515,20120220195515,unknown
87,80.128.109.64,1,0,20060301071039,20060301071039,unknown
88,Mathias.P,1,1,20070113145033,20070113145033,unknown
89,84.134.89.37,1,0,20150503202415,20150503202415,unknown
90,83.236.166.210,1,0,20070905154037,20070905154037,unknown
91,BMW-Kuh,1,0,20080910151322,20080910151322,unknown
92,Florian.Keßler,1,1,20090706202903,20090706202903,unknown
93,Wolfgang H.,1,1,20100622123438,20100622123438,unknown
94,Christian1985,1,0,20110807114854,20110807114854,unknown
95,84.170.139.130,1,0,20060120194845,20060120194845,unknown
96,Polarlys,1,0,20130324134036,20130324134036,unknown
97,Phj.meurer,1,0,20060727080044,20060727080044,unknown
98,46.114.154.140,1,0,20141102221513,20141102221513,unknown
99,2003:CE:63CF:5900:482D:FD9:B0EE:541A,1,0,20170402125822,20170402125822,unknown
100,MFM,1,1,20080714085715,20080714085715,unknown
101,Asperatus,1,0,20181216135610,20181216135610,unknown
102,Blunt.,1,1,20090419101925,20090419101925,unknown
103,Onkelkoeln,1,1,20100323193205,20100323193205,unknown
104,WWSS1,1,0,20110226084616,20110226084616,unknown
105,MarcoBorn,1,1,20051122075918,20051122075918,unknown
106,Rita2008,1,0,20121231173011,20121231173011,unknown
107,Doc.Heintz,1,0,20140601071824,20140601071824,unknown
108,129.70.170.11,1,0,20070605173139,20070605173139,unknown
109,80.133.127.220,1,0,20160801154201,20160801154201,unknown
110,88.70.92.117,1,0,20080430190747,20080430190747,unknown
111,Drulli2191,1,1,20180620093857,20180620093857,unknown
112,Meister-Lampe,1,1,20090111004008,20090111004008,unknown
113,Fentakyam,1,1,20091120141414,20091120141414,unknown
114,84.171.250.43,1,0,20051011142339,20051011142339,unknown
115,P.koestner,1,0,20120806073744,20120806073744,unknown
116,217.228.60.19,1,0,20060528131703,20060528131703,unknown
117,Matt1971,1,1,20140115180311,20140115180311,unknown
118,85.178.70.66,1,0,20070414124554,20070414124554,unknown
119,32X,1,1,20151212145658,20151212145658,unknown
120,Hewa,1,1,20080101155124,20080101155124,unknown
121,93.196.66.10,1,0,20180113214508,20180113214508,unknown
122,WIKImaniac,1,1,20081206134230,20081206134230,unknown
123,Thorbjoern,1,1,20090923081916,20090923081916,unknown
124,Succu,1,1,20101030132259,20101030132259,unknown
125,111Alpha,1,0,20120421155356,20120421155356,unknown
126,84.156.92.217,1,0,20070308210014,20070308210014,unknown
127,Söndervig,1,0,20150722135231,20150722135231,unknown
128,213.102.98.154,1,0,20070921182114,20070921182114,unknown
129,Oliver Ebbe Sørenson,1,1,20171216122753,20171216122753,unknown
130,88.75.119.79,1,0,20081005123220,20081005123220,unknown
131,95.88.193.96,1,0,20090820003641,20090820003641,unknown
