,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,EBB,262,215,20040527223433,20171126192013,unknown
1,Berlin-Jurist,46,13,20050208075545,20080210190604,unknown
2,Ziko,34,1,20071017223541,20181114152902,unknown
3,Benatrevqre,33,4,20100418111352,20180706170117,unknown
4,Southpark,33,30,20040211214157,20090311171356,unknown
5,Abe Lincoln,20,2,20041117145738,20081230175740,unknown
6,SamWinchester000,20,0,20121018195921,20160907064430,unknown
7,Unscheinbar,19,13,20050330220630,20051228221127,unknown
8,Harry8,17,12,20130209093505,20180314110723,unknown
9,Pittimann,17,17,20110324101003,20140520171232,unknown
10,Iiigel,16,0,20100304153233,20150226180738,unknown
11,Der-Wir-Ing,16,1,20160215134810,20180329011821,unknown
12,Pistazienfresser,15,0,20110929203452,20111110183659,unknown
13,Horst Gräbner,15,12,20121220102221,20180706072915,unknown
14,Messi,14,14,20050815180641,20050908105634,unknown
15,SchnitteUK,14,6,20161104130143,20190213164530,unknown
16,CherryX,13,3,20120601183724,20130927084352,unknown
17,Aka,13,13,20051123085821,20180305220337,unknown
18,Meier99,13,12,20131217110930,20131217175625,unknown
19,Geitost,12,3,20081223193005,20081223231517,unknown
20,C.Löser,12,6,20051127124812,20060410100948,unknown
21,Roentgenium111,12,3,20100422185611,20181031142220,unknown
22,Se4598,10,10,20130426101411,20150115085804,unknown
23,Carlos-X,9,2,20071107022000,20150322211502,unknown
24,Uwe W.,9,8,20051012072705,20051012171940,unknown
25,Spuk968,9,9,20101017095826,20141126142803,unknown
26,Mannerheim,8,5,20080503114048,20090102133219,unknown
27,Vertigo Man-iac,8,1,20091028104000,20120530134313,unknown
28,Peter200,8,8,20060807203402,20131007132644,unknown
29,Definitiv,8,6,20120224101847,20171222070916,unknown
30,Leit,8,5,20060412194056,20190109164119,unknown
31,Phlixx,8,8,20130904150819,20140319043923,unknown
32,Gustav von Aschenbach,8,6,20081017175945,20150520210205,unknown
33,Dioskorides,7,0,20180705150705,20180706132926,unknown
34,Sir James,7,6,20080506201253,20090314221112,unknown
35,Rita2008,7,2,20090217171352,20120527163515,unknown
36,Jobu0101,7,2,20090928083824,20151111132015,unknown
37,Kängurutatze,7,0,20131003104927,20131217163810,unknown
38,Don Magnifico,6,0,20070717133534,20120813100459,unknown
39,Deadhead,6,6,20050918230729,20050918235951,unknown
40,Diba,6,6,20060404150119,20101110065435,unknown
41,*g,6,0,20050207220102,20050210175918,unknown
42,Regi51,6,6,20090308195440,20150425172246,unknown
43,Skyman gozilla,6,5,20070505130612,20071215190936,unknown
