,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Emmridet,51,46,20080204122329,20190120002617,unknown
1,Leit,28,9,20060310143913,20180825145832,unknown
2,C.Löser,14,4,20051126175058,20080321234848,unknown
3,LIU,9,2,20050313090620,20121023140326,unknown
4,BLueFiSH.as,9,7,20050707013247,20080331202044,unknown
5,Mannerheim,8,6,20080503115628,20081123110746,unknown
6,Sümpf,8,8,20070919180645,20080918115049,unknown
7,Rage71,8,2,20080216234041,20080401110258,unknown
8,137.226.140.45,7,0,20051026103454,20051026105039,unknown
9,Ludenberg 54,6,2,20100721140716,20100805153912,unknown
10,Abe Lincoln,6,1,20060828212854,20070202132502,unknown
11,Koschi73,6,1,20170815170052,20181105092753,unknown
12,80.134.200.101,6,0,20050401215000,20050401221050,unknown
13,Intimidator,6,1,20060602133230,20100108174629,unknown
14,PsY.cHo,5,5,20131223103729,20160814192710,unknown
15,Horst Gräbner,5,2,20120421133554,20170701071037,unknown
16,Mephisto-Munic,5,5,20060516192739,20061106190305,unknown
17,Bigbug21,5,4,20071212183857,20130906163349,unknown
18,Qualle,4,2,20050310191716,20070216203331,unknown
19,Mogelzahn,4,3,20050711140550,20060509121622,unknown
20,GiordanoBruno,4,0,20160524183154,20160909133229,unknown
21,217.232.121.6,4,0,20061223160325,20061223161227,unknown
22,87.166.202.107,4,0,20070910142105,20070910142824,unknown
23,Shatabisha,4,0,20120210174257,20120213175313,unknown
24,Diopuld,4,3,20150618162533,20150618163427,unknown
25,Friedrich.Kromberg,4,3,20040602153050,20041101184634,unknown
26,Srittau,4,4,20040718152012,20041203214921,unknown
27,LangeNacht,4,4,20070530165123,20070811210432,unknown
28,Michelhausen,3,0,20120203182735,20120612101854,unknown
29,TMFS,3,0,20050823221247,20080410092320,unknown
30,APPER,3,3,20051227182924,20150802194709,unknown
31,134.76.61.54,3,0,20080328141524,20080331211705,unknown
32,Luckas-bot,3,3,20110201183043,20111011212648,unknown
33,HBS~dewiki,3,1,20051215164105,20051219152722,unknown
34,R2Dine,3,0,20160909124850,20160909131401,unknown
35,Thijs!bot,3,3,20070107145631,20110305015552,unknown
36,Asperatus,3,0,20180630153007,20181217173843,unknown
37,217.94.211.221,3,0,20061113203458,20061113204546,unknown
38,Aka,3,3,20071028155501,20140612161916,unknown
39,Ball1212,3,3,20140611192900,20140611200513,unknown
40,Lebohemien,3,3,20070502080506,20070502080748,unknown
41,80.134.10.235,3,0,20060531145532,20060531145706,unknown
42,ZéroBot,3,3,20111016101141,20120929132207,unknown
43,Berliner Schildkröte,3,3,20080705085724,20081117155203,unknown
44,Pingubusa,3,0,20060106162916,20060106164227,unknown
45,92.228.195.99,2,0,20101117003042,20101117003120,unknown
46,Rmcharb,2,1,20180624092029,20181015180256,unknown
47,Wolfskindt,2,2,20040313002932,20040313005212,unknown
48,80.134.195.96,2,0,20050402161551,20050402162825,unknown
49,84.147.108.201,2,0,20061105132347,20061105132402,unknown
50,SieBot,2,2,20071006205547,20091009210944,unknown
51,Philipp Wetzlar,2,0,20080915161643,20080915161746,unknown
52,77.176.169.10,2,0,20141019120553,20141019120613,unknown
53,AlexanderRahm,2,2,20070507172859,20070612202242,unknown
54,62.158.107.163,2,0,20050416163831,20050416163851,unknown
55,195.93.60.147,2,0,20051115003454,20051218135051,unknown
56,Klxtctc,2,2,20060115221057,20060118170803,unknown
57,84.188.143.205,2,0,20060818105151,20060818105228,unknown
58,FlaBot,2,2,20050208021244,20050423010856,unknown
59,H005,2,1,20050821211043,20050901110840,unknown
60,78.42.29.146,2,0,20090925163339,20090925163518,unknown
61,93.205.101.159,2,0,20131227121957,20131227122856,unknown
62,80.130.239.131,2,0,20060227195536,20060227195614,unknown
63,WilliMuc,2,0,20030709002923,20030709003042,unknown
64,Sansculotte,2,2,20050311042134,20050312164603,unknown
65,Wnme,2,2,20111021095446,20130226110142,unknown
66,Spazion,2,1,20050928190700,20050928190834,unknown
67,JPB,2,1,20060127200416,20060902232739,unknown
68,Andreas75,2,0,20050827071536,20050827072144,unknown
69,93.197.170.61,2,0,20141114105649,20141114105805,unknown
70,89.246.114.110,2,0,20170125062002,20170125062056,unknown
71,87.78.85.236,2,0,20070314161501,20070314161529,unknown
72,Nixred,2,2,20080122095919,20080122100235,unknown
73,Udos treuer Fan,2,0,20090914171916,20090914172009,unknown
74,MattoxLp,2,0,20131217080750,20131217153500,unknown
75,Florian.Keßler,2,2,20050322005902,20050322005947,unknown
76,84.170.185.2,2,0,20111214113357,20111214113635,unknown
77,84.58.138.213,2,0,20060115222940,20060115223234,unknown
78,Kai Burghardt,2,2,20150514133425,20150514133624,unknown
79,84.129.98.234,2,0,20110512122747,20110512123253,unknown
80,84.59.1.115,2,0,20051217230650,20051217230731,unknown
81,CedricBLN,2,1,20060629050219,20060629051018,unknown
82,217.87.73.40,2,0,20090930081023,20090930081147,unknown
83,Nikolai Schwerg,2,2,20040718142020,20040718142128,unknown
84,217.233.1.26,2,0,20070127205820,20070127210120,unknown
85,Hhdw,2,0,20040405074653,20040405074731,unknown
86,Definitiv,2,2,20120224101705,20120224101723,unknown
87,El Matzos,2,2,20070824173526,20151127213023,unknown
88,88.75.46.97,2,0,20080705085343,20080705090216,unknown
89,JFH-52,2,2,20130330093914,20171210193411,unknown
90,93.230.252.228,2,0,20150420102611,20150420102630,unknown
