,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Wo st 01,106,32,20060812132522,20150305202744,unknown
1,Kandschwar,65,21,20051015232009,20151117130414,unknown
2,Leit,20,16,20060309200649,20070411182333,unknown
3,Gabel1960,16,0,20160130143203,20170513202729,unknown
4,C.Löser,12,4,20041112164856,20070520160802,unknown
5,GiordanoBruno,10,2,20140324193748,20190113184841,unknown
6,Giro,9,0,20070419202640,20070905201205,unknown
7,Bestoernesto,9,1,20190221041026,20190221054224,unknown
8,MARK,8,5,20061030202752,20090404174044,unknown
9,Neozoon,8,2,20090327225143,20090910220531,unknown
10,Stefan Kühn,7,5,20030430154012,20050707113424,unknown
11,Aka,6,6,20110429193204,20190308190510,unknown
12,Uwe Martens,6,2,20171230020027,20171230022942,unknown
13,H.schimanski,6,1,20171208144757,20181207162214,unknown
14,Agatha Bauer,6,2,20120222072048,20130329215328,unknown
15,173.245.84.253,6,0,20110406084324,20110406091320,unknown
16,Schreiben,5,0,20130911185855,20130916115542,unknown
17,AHK,5,2,20050518154750,20051022100937,unknown
18,MB-one,5,3,20050628202844,20140207162643,unknown
19,Ike52,5,5,20041209123547,20050219121639,unknown
20,Matt1971,5,3,20050618115953,20130911200811,unknown
21,Der Polizist,5,1,20060824013642,20110312085200,unknown
22,194.95.177.124,4,0,20061201064429,20070523151348,unknown
23,Cyper,4,0,20060824143130,20060914122534,unknown
24,Skyman gozilla,4,3,20070105005929,20071215193947,unknown
25,Pinneberg,4,2,20101120112318,20111002101332,unknown
26,Karl Gruber,4,4,20050423062325,20060824062924,unknown
27,217.255.104.252,3,0,20040320233354,20040320233729,unknown
28,Krdbot,3,3,20170112183944,20180311211211,unknown
29,84.169.75.33,3,0,20051118205112,20051118205436,unknown
30,84.169.47.26,3,0,20060802163759,20060802164101,unknown
31,PortalBot,3,3,20070206204323,20070617171014,unknown
32,Tohma,3,0,20141103152454,20190309180104,unknown
33,77.87.228.65,3,0,20111107120130,20111107125159,unknown
34,Jimmykreislauf,3,0,20140103203053,20181114174002,unknown
35,Jesi,3,0,20091009040708,20120412110004,unknown
36,BLueFiSH.as,3,3,20060515161754,20061224144242,unknown
37,80.82.209.127,3,0,20100817173638,20100817174035,unknown
38,Miraki,3,1,20110930054428,20150719193849,unknown
39,173.245.84.141,3,0,20110407102358,20110407104311,unknown
40,HolgerB,3,0,20100531095251,20100603200713,unknown
41,WBernd,3,0,20140127095207,20140328135401,unknown
42,Lindenschmit,3,2,20070213125045,20071024070425,unknown
43,培养皿,3,0,20150407075827,20150407080725,unknown
44,MattoxLp,3,1,20130408003227,20130411043451,unknown
45,87.123.33.34,3,0,20061107123808,20061107124144,unknown
46,129.143.111.98,3,0,20160811164955,20190117163819,unknown
47,Feel free,3,1,20080508192416,20080624110545,unknown
48,AxelHH,3,0,20100702153958,20100723222744,unknown
49,Diopuld,3,3,20150824213337,20150824213910,unknown
50,Max-78,3,3,20100214224436,20170725205125,unknown
51,Tommes,2,1,20150421181254,20180907192819,unknown
52,ESFP,2,0,20120205191541,20120209014808,unknown
53,YurikBot,2,2,20060613121342,20060723135729,unknown
54,Kiste11,2,1,20180818133258,20190110154646,unknown
55,88.69.243.173,2,0,20090727053329,20090727053610,unknown
56,Libro,2,0,20060316222514,20060316230713,unknown
57,Zero Thrust,2,0,20140712011935,20161121150453,unknown
58,137.226.140.45,2,0,20070425101154,20070425101217,unknown
59,J. E. Hoover,2,0,20080515094238,20080515095039,unknown
60,Taxiarchos228,2,1,20080201074327,20080201074421,unknown
61,Swoon,2,2,20041019094655,20041019100559,unknown
62,94.217.110.98,2,0,20171229223410,20171230004449,unknown
63,Saltose,2,2,20100105163607,20100126141733,unknown
64,84.245.173.96,2,0,20050915071838,20050915071915,unknown
65,Molch-Entertainment,2,2,20101210165559,20101210165704,unknown
66,Rita2008,2,0,20190304161638,20190309175817,unknown
67,Zielfahnder,2,1,20090421170452,20090421171526,unknown
68,217.86.12.221,2,0,20041123223912,20041123224130,unknown
69,Fäberer,2,1,20060102235047,20060111234942,unknown
70,109.41.194.206,2,0,20180119084442,20180119090028,unknown
71,Visi-on,2,1,20081118141104,20081118144502,unknown
72,Aries~dewiki,2,0,20040723012429,20090514083517,unknown
73,LIU,2,1,20120216221722,20120510175334,unknown
74,Simplicius,2,1,20060708125346,20060708125413,unknown
75,Buchbibliothek,2,2,20170114184340,20170114184439,unknown
76,94.220.223.8,2,0,20090803215911,20090803215955,unknown
77,Heinz Ehrich,2,1,20130310180651,20130310180835,unknown
78,157.161.51.83,2,0,20070331212909,20070331213108,unknown
79,Koraben2000,2,2,20100504183700,20100504183923,unknown
80,Der wahre Jakob,2,1,20120621174041,20180119093701,unknown
81,Salomis,2,2,20110225141356,20121010223617,unknown
82,Zwobot,2,2,20070209040638,20080110020806,unknown
83,84.169.156.185,2,0,20141126211304,20141126211354,unknown
84,Markobr,2,2,20080617162405,20160609091501,unknown
85,Jobu0101,2,2,20121008174103,20140612103914,unknown
86,BansheeOne,2,1,20091219131849,20091219173514,unknown
87,Phr~dewiki,2,0,20060721051216,20060721051727,unknown
88,Flor!an,2,2,20061111194921,20070216184420,unknown
89,Sinn,2,0,20070331213130,20070513191509,unknown
90,VolkovBot,2,2,20080413071411,20090208174716,unknown
91,Sebbot,2,0,20120816130036,20121115060124,unknown
92,85.178.233.97,2,0,20071013094034,20071013094415,unknown
93,Seewolf,2,2,20060809150342,20060905173622,unknown
94,EvaK,2,2,20080901081618,20080901082740,unknown
95,BurgerBen,2,2,20120131202945,20120131203051,unknown
96,92.224.110.139,2,0,20110815093448,20110815093509,unknown
97,217.245.228.161,2,0,20060130073921,20060130073954,unknown
98,84.58.181.156,2,0,20070328143636,20070328143717,unknown
99,77.87.228.67,2,0,20140305134319,20140305134417,unknown
100,JH Kirsch,2,2,20150718142259,20170816160436,unknown
101,Grindinger,2,0,20090910214058,20090910214344,unknown
102,Torex,2,1,20040204221141,20040205202339,unknown
103,87.153.239.39,2,0,20101127114941,20101127115023,unknown
104,77.87.228.68,2,0,20111209084301,20111209084407,unknown
105,Luke081515Bot,2,0,20161103220728,20161116213834,unknown
106,Eingangskontrolle,2,1,20110908230303,20130925093308,unknown
107,84.166.33.23,2,0,20060925192520,20060925192554,unknown
108,Zaibatsu,2,2,20120329195305,20120329202802,unknown
109,Bungert55,2,1,20140127121752,20140127125005,unknown
110,Wiegels,2,1,20070223130550,20070526110825,unknown
111,151.64.70.38,1,0,20070902095514,20070902095514,unknown
112,AadaamS,1,0,20170701081839,20170701081839,unknown
113,Drehdichnichtumder,1,1,20080921081548,20080921081548,unknown
114,Cepheiden,1,1,20091114200652,20091114200652,unknown
115,Marcus Schätzle,1,1,20110121105520,20110121105520,unknown
116,217.252.175.162,1,0,20050718113652,20050718113652,unknown
117,77.188.41.152,1,0,20130821171803,20130821171803,unknown
118,217.232.21.221,1,0,20061215124309,20061215124309,unknown
119,Ch Kölbl,1,0,20150112102644,20150112102644,unknown
120,84.145.247.11,1,0,20070524142338,20070524142338,unknown
121,84.46.62.5,1,0,20080727211852,20080727211852,unknown
122,87.153.235.111,1,0,20101120111839,20101120111839,unknown
123,84.245.191.146,1,0,20050510195345,20050510195345,unknown
124,Michael Metzger,1,1,20111104200420,20111104200420,unknown
125,Doc.Heintz,1,0,20130408070307,20130408070307,unknown
126,Pendulin,1,1,20061107124028,20061107124028,unknown
127,Alfred Kiefer,1,1,20181215050159,20181215050159,unknown
128,Schwarzo,1,1,20160907120408,20160907120408,unknown
129,89.15.237.51,1,0,20180418153823,20180418153823,unknown
130,BuSchu,1,1,20090329120024,20090329120024,unknown
131,84.162.239.206,1,0,20100706235001,20100706235001,unknown
132,217.84.165.145,1,0,20050120173305,20050120173305,unknown
133,EmausBot,1,1,20110829003804,20110829003804,unknown
134,RJensch,1,0,20060130075601,20060130075601,unknown
135,MorbZ-Bot,1,1,20130224141454,20130224141454,unknown
136,80.130.85.71,1,0,20060920073435,20060920073435,unknown
137,84.169.65.42,1,0,20070329184802,20070329184802,unknown
138,Baumfreund-FFM,1,1,20160209050924,20160209050924,unknown
139,95.89.140.53,1,0,20180204132944,20180204132944,unknown
140,BKSlink,1,0,20090206202224,20090206202224,unknown
141,Normalo,1,0,20100430160642,20100430160642,unknown
142,Artyl,1,0,20120620082441,20120620082441,unknown
143,87.122.94.248,1,0,20060818133403,20060818133403,unknown
144,2.138.74.189,1,0,20140306225911,20140306225911,unknown
145,MBq,1,1,20150719113312,20150719113312,unknown
146,195.4.220.237,1,0,20071004172724,20071004172724,unknown
147,ApoStuffz,1,0,20081023111320,20081023111320,unknown
148,217.228.134.209,1,0,20040608203720,20040608203720,unknown
149,88.73.50.111,1,0,20110214003844,20110214003844,unknown
150,85.16.111.3,1,0,20120301185849,20120301185849,unknown
151,Wissentv,1,0,20150310174100,20150310174100,unknown
152,Liesel Müller,1,0,20070808173541,20070808173541,unknown
153,Reclus,1,0,20170421102130,20170421102130,unknown
154,81.173.150.117,1,0,20080812140217,20080812140217,unknown
155,Gilbert topaz,1,1,20090925105801,20090925105801,unknown
156,217.228.153.219,1,0,20040301220028,20040301220028,unknown
157,Robert Weemeyer,1,0,20050622095811,20050622095811,unknown
158,Goliath613,1,0,20120112205806,20120112205806,unknown
159,84.169.209.64,1,0,20060426200925,20060426200925,unknown
160,188.174.18.123,1,0,20130416115649,20130416115649,unknown
161,84.166.120.114,1,0,20070513191500,20070513191500,unknown
162,Boshomi,1,1,20161103223736,20161103223736,unknown
163,Druffeler,1,0,20080607100547,20080607100547,unknown
164,Squasher,1,0,20180712151357,20180712151357,unknown
165,Vliegenmepper,1,1,20100801174133,20100801174133,unknown
166,Scorpion2211,1,1,20050326152631,20050326152631,unknown
167,Richtest,1,1,20110920095028,20110920095028,unknown
168,KLBot2,1,1,20130322065014,20130322065014,unknown
169,FredericII,1,1,20061015021140,20061015021140,unknown
170,Shidata,1,1,20070412132245,20070412132245,unknown
171,80.154.28.178,1,0,20160803062353,20160803062353,unknown
172,Wyna,1,1,20080507065747,20080507065747,unknown
173,77.243.23.156,1,0,20180314105700,20180314105700,unknown
