,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,JFH-52,7,6,20120104141807,20181113175102,unknown
1,Benatrevqre,7,1,20090811185632,20100111035058,unknown
2,Pittimann,5,5,20110201090036,20130114081412,unknown
3,Horst Gräbner,4,3,20150120123254,20181123135910,unknown
4,141.91.210.155,4,0,20121105084514,20121105084857,unknown
5,77.20.119.200,4,0,20110911200544,20110911200755,unknown
6,80.143.83.57,4,0,20050520095328,20050520095535,unknown
7,Erdic,4,0,20170525002636,20170525155630,unknown
8,Magadan,4,1,20050820121904,20050820122846,unknown
9,Juliabackhausen,4,0,20101118183406,20101118183917,unknown
10,C.Löser,4,3,20051204095511,20060430181936,unknown
11,Zahnputzbecher,4,3,20170427062837,20180410090132,unknown
12,Nyks,3,1,20060313165858,20070305133905,unknown
13,87.139.166.81,3,0,20110201085907,20110201090025,unknown
14,Pelagus,3,2,20071229194843,20080827193959,unknown
15,Tönjes,3,1,20070426063058,20070817110016,unknown
16,Lung,3,0,20051013214522,20051013214948,unknown
17,89.247.105.59,3,0,20090913203827,20090913204505,unknown
18,Regi51,3,3,20081109134726,20171116143829,unknown
19,84.148.82.69,3,0,20060126095103,20060126095140,unknown
20,84.163.104.152,3,0,20061211085715,20061211085734,unknown
21,217.184.0.200,2,0,20051023233736,20051023233844,unknown
22,195.37.108.158,2,0,20170913083757,20170913083914,unknown
23,92.227.37.70,2,0,20081215174306,20081215174434,unknown
24,Karl Gruber,2,2,20051218100025,20051218100054,unknown
25,134.76.61.175,2,0,20070806084023,20070806084619,unknown
26,84.58.132.19,2,0,20060903165557,20060903165652,unknown
27,84.185.229.59,2,0,20060301111257,20060301111400,unknown
28,Redonebird,2,0,20120305123515,20120305124147,unknown
29,Schlesinger,2,1,20061110105128,20090121075643,unknown
30,62.227.98.71,2,0,20070627062338,20070627062445,unknown
31,Doppelback,2,1,20150212093609,20150212094110,unknown
32,Wikinger86,2,0,20060320212034,20060320212319,unknown
33,Coelna,2,0,20161021020032,20161021020502,unknown
34,Johann Wirten,2,1,20190127125728,20190127125943,unknown
35,Etc. gamma,2,2,20140420161911,20140420162143,unknown
36,80.140.226.182,2,0,20181001132339,20181001132407,unknown
37,Die Winterreise,2,2,20090913203317,20090913204113,unknown
38,EK Drops,2,2,20060903165619,20060903165943,unknown
39,Alnilam,2,2,20150109082756,20160604094520,unknown
40,Tsor,2,2,20060301111427,20060301133435,unknown
41,Aka,2,2,20060117112847,20060126095115,unknown
42,Howwi,2,2,20100715062635,20110323080931,unknown
43,Neun-x,2,0,20140214190332,20140214191813,unknown
44,84.182.122.7,2,0,20051125122315,20051125122527,unknown
45,Krawi,2,2,20070627062350,20070710085219,unknown
46,Peter200,2,2,20130827083057,20130912061805,unknown
47,92.231.32.42,2,0,20110121045435,20110121045824,unknown
48,77.11.86.34,2,0,20120902090316,20120902090346,unknown
