,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,PsY.cHo,13,13,20131217061736,20160814080658,unknown
1,JFH-52,12,9,20100604173538,20160713115536,unknown
2,C.Löser,12,5,20051204100025,20080912091504,unknown
3,HolgerB,10,6,20060118174423,20081016165443,unknown
4,193.27.50.86,6,0,20060418132108,20060418132655,unknown
5,Pm,5,3,20040326155000,20130422090140,unknown
6,Zwobot,5,5,20040331164918,20061001133639,unknown
7,Malabon,5,2,20111120144212,20151229212522,unknown
8,Kleiner Stampfi,4,0,20120902103734,20130214104535,unknown
9,Aka,4,4,20060101164248,20161015121525,unknown
10,91.34.86.135,4,0,20150416075732,20150416080233,unknown
11,Boschi75,4,0,20180315073918,20180315074109,unknown
12,Something Wicked~dewiki,4,4,20060607165832,20060607174316,unknown
13,Leonprimer,4,0,20081205075045,20081207202630,unknown
14,Chaddy,4,4,20110722124658,20120214183442,unknown
15,80.64.176.29,4,0,20070423085742,20070423090829,unknown
16,84.183.205.233,3,0,20061019200131,20061019200443,unknown
17,176.198.45.27,3,0,20140205144413,20140205145423,unknown
18,77.21.182.42,3,0,20180406094451,20180406094941,unknown
19,Pelz,3,0,20131217140129,20131217140754,unknown
20,80.226.0.1,3,0,20110418222720,20110418223953,unknown
21,Florian.Keßler,3,3,20050322012352,20050322012608,unknown
22,Helfmann,3,3,20150416075738,20150416080241,unknown
23,Duisdorfer,3,0,20090130170341,20090130170958,unknown
24,Hottentotte1,3,1,20180315145005,20180315150600,unknown
25,Asi~dewiki,3,0,20050627190037,20050627190159,unknown
26,87.160.181.107,3,0,20060718100043,20060718100344,unknown
27,217.194.34.112,3,0,20051220143955,20051220144323,unknown
28,Jackson,3,0,20090406182128,20090406183021,unknown
29,77.87.224.100,3,0,20080912084842,20140530144158,unknown
30,91.21.99.131,3,0,20111125110819,20111125111119,unknown
31,Wikinger86,3,3,20140128151622,20140128151754,unknown
32,84.173.246.181,3,0,20051217165201,20051217165530,unknown
33,91.37.117.78,3,0,20091028105542,20091028105726,unknown
