,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Sir James,11,7,20080217215152,20110221164446,unknown
1,GrandpaScott,9,2,20100709165728,20110512140133,unknown
2,Der Rene,8,0,20091126170039,20100622213358,unknown
3,Malabon,7,4,20111209202959,20140109195517,unknown
4,84.137.194.251,6,0,20050701180647,20050701183344,unknown
5,Mfgsu,6,3,20171215031455,20180831013230,unknown
6,Stefan Kühn,5,3,20030430171036,20040720173702,unknown
7,TMFS,5,2,20031104125726,20080118104621,unknown
8,Holger1974,5,0,20091028125003,20180314123214,unknown
9,JFH-52,5,4,20101109061202,20190116092306,unknown
10,PsY.cHo,4,4,20131219042517,20160814093348,unknown
11,Mogelzahn,4,2,20051127195721,20060816142921,unknown
12,93.209.85.77,4,0,20160711082933,20160711083629,unknown
13,FNDE,3,3,20160711083039,20160711083634,unknown
14,Mps,3,3,20130906195855,20130906200004,unknown
15,Cyve,3,0,20180319120649,20180319121850,unknown
16,PolskiNiemiec,3,1,20100604122847,20100604131455,unknown
17,Yoda1893,3,1,20091028123512,20131217123544,unknown
18,Skyman gozilla,3,2,20070102234836,20080118222258,unknown
19,El Kael,3,2,20080316140437,20100801145944,unknown
20,Chancen12,3,0,20120204221906,20120217143350,unknown
21,Hypnosekröte,3,3,20050218161846,20051231171005,unknown
22,217.85.131.169,2,0,20140831043937,20140831063705,unknown
23,Skriptor,2,2,20040219115022,20040323080331,unknown
24,TheGoldenRule,2,0,20091115014858,20091115015345,unknown
25,AndreasPraefcke,2,0,20070612170104,20070612184730,unknown
26,84.137.215.62,2,0,20050321134828,20050321134916,unknown
27,87.78.23.248,2,0,20090214150418,20090214162241,unknown
28,84.136.208.165,2,0,20051126172958,20051126173241,unknown
29,87.174.127.103,2,0,20070119225908,20070119230034,unknown
30,190.142.112.61,2,0,20100504220646,20100504220650,unknown
31,Ursula Goczol,2,0,20120829132307,20120829133144,unknown
32,Filterkaffee,2,2,20140901063505,20150301124439,unknown
33,94.79.138.130,2,0,20091108200941,20091108201254,unknown
