,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Gobalplayer,10,0,20180314123814,20180402140312,unknown
1,Gabel1960,9,1,20161009201454,20161010203031,unknown
2,Leit,8,1,20060501163120,20110404092707,unknown
3,77.87.224.100,7,0,20150825062856,20160311083736,unknown
4,PsY.cHo,6,6,20090218204332,20160814160119,unknown
5,GrandpaScott,6,2,20100708162709,20110512140112,unknown
6,Mogelzahn,5,1,20051027102106,20060129203654,unknown
7,Skyman gozilla,5,0,20060909111949,20070102233045,unknown
8,Mullinger,5,1,20091025121721,20091029161754,unknown
9,Yoda1893,4,1,20091028123003,20131217125223,unknown
10,PolskiNiemiec,4,0,20100604123210,20100604125009,unknown
11,Norschweden,4,3,20180301004436,20180623205248,unknown
12,Kandschwar,4,3,20060404174153,20060405185338,unknown
13,Gnom,4,3,20080826151945,20180316131848,unknown
14,Aka,4,4,20131228204514,20180315093317,unknown
15,Diopuld,3,3,20150808212523,20150808213003,unknown
16,Stefan Kühn,3,1,20030430173654,20030610154825,unknown
17,217.19.180.117,3,0,20060505122311,20060505123947,unknown
18,Miff~dewiki,3,1,20051129154206,20051129171751,unknown
19,Catansiedler,3,2,20140115232758,20140115234540,unknown
20,172.179.59.108,3,0,20061103200816,20061103201021,unknown
21,87.165.151.12,3,0,20131219162250,20131219183356,unknown
22,Intimidator,3,0,20060608214202,20081028224630,unknown
23,Bear,3,2,20030815194019,20031018113728,unknown
24,Zwobot,3,3,20041204210650,20070209040650,unknown
25,Cholo Aleman,3,0,20160605092438,20160605093000,unknown
26,Bautsch,3,1,20141217093208,20170105083631,unknown
27,TMFS,3,2,20031104125304,20060809075941,unknown
28,137.226.140.45,3,0,20051117133507,20051124115352,unknown
29,Rapober,3,2,20091103132248,20100115070804,unknown
30,194.95.177.101,3,0,20050104120301,20050131145037,unknown
31,Sproink,3,3,20060312190540,20060312190651,unknown
32,Benatrevqre,3,0,20140707161946,20140707162545,unknown
33,Willicher,3,2,20061231142545,20070216171507,unknown
34,84.153.45.47,2,0,20060127234335,20060127234433,unknown
35,Hans G. Oberlack,2,0,20130209135110,20131220204301,unknown
36,217.255.231.229,2,0,20061208101312,20061208101541,unknown
37,Guude,2,2,20110512110910,20110512165946,unknown
38,SuperDaryl,2,0,20131214183438,20131217182244,unknown
39,Popie,2,0,20041203192644,20041203193113,unknown
40,217.91.150.236,2,0,20110124143401,20110124143557,unknown
41,77.56.53.183,2,0,20150424150002,20150424150021,unknown
42,JFH-52,2,2,20120301125119,20171210193009,unknown
43,Informationswiedergutmachung,2,1,20160305204716,20170604212355,unknown
44,Horst Gräbner,2,1,20131213213344,20170701084108,unknown
45,79.246.129.98,2,0,20141212125408,20141212125509,unknown
46,Dtuk,2,1,20131223034314,20170701114829,unknown
47,Rabanusmaurus,2,0,20161010161231,20161010163347,unknown
48,87.123.33.210,2,0,20060819112539,20060819112703,unknown
49,Hasenläufer,2,1,20151206035939,20160121075945,unknown
50,Fish-guts,2,2,20110124143412,20110124143603,unknown
51,Mwka,2,1,20040315125737,20040315130533,unknown
52,Afrank99,2,1,20070527073118,20070527090016,unknown
53,Der Rene,2,0,20091119204936,20100622185721,unknown
54,194.95.179.179,2,0,20041230140824,20050413131256,unknown
55,93.212.108.47,2,0,20091027203802,20091027203848,unknown
56,JFKCom,2,2,20101102094424,20101102094440,unknown
57,79.192.221.153,2,0,20120117072059,20120117072120,unknown
58,79.215.16.93,2,0,20160103152114,20160103152432,unknown
59,Carl B aus W,2,0,20190221194959,20190221195035,unknown
60,Bujo,2,0,20180406110958,20180407135540,unknown
61,87.165.162.154,2,0,20131220180838,20131220181134,unknown
62,Frīheidasliova,2,0,20171029111200,20171029111301,unknown
63,Sandro Halank,2,0,20170327222411,20170327222801,unknown
64,84.137.242.69,2,0,20050812112436,20050812112627,unknown
65,Faber-Castell,2,0,20060925143040,20070102223852,unknown
66,192.124.238.242,2,0,20091107104455,20091110093229,unknown
67,Howwi,2,2,20110630062836,20120117072125,unknown
68,Inkowik,1,1,20110222141951,20110222141951,unknown
69,Jamaika-Koalition,1,0,20131213211845,20131213211845,unknown
70,Darkone,1,1,20040720170558,20040720170558,unknown
71,Natsu Dragoneel,1,1,20170527224228,20170527224228,unknown
72,Triebtäter,1,0,20060327233513,20060327233513,unknown
73,Stellvertretendes Commodum,1,1,20190303163130,20190303163130,unknown
74,Sportschuh,1,0,20070723092110,20070723092110,unknown
