,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Bungert55,88,33,20140109104446,20190221154518,unknown
1,KuK,34,8,20040502120338,20180726083953,unknown
2,Bf110,25,0,20120312192239,20150723211329,unknown
3,Catorom,25,3,20161005153443,20190228103227,unknown
4,GrandpaScott,21,3,20100708081353,20110512140507,unknown
5,Engeltr,20,7,20110308212517,20110830114230,unknown
6,Filterkaffee,18,9,20130903071409,20160325141602,unknown
7,Miltrak,16,0,20130524234411,20160119001429,unknown
8,TMFS,14,3,20031104130437,20080423134315,unknown
9,Aka,10,10,20051111094603,20180705084550,unknown
10,GrummelJS,10,1,20061231093447,20110301154144,unknown
11,137.226.140.45,9,0,20051026094432,20051124104114,unknown
12,Der Rene,8,1,20091124190301,20110402155426,unknown
13,Leit,8,2,20060413093549,20080118233635,unknown
14,194.95.179.130,8,0,20070403135037,20070509095721,unknown
15,LW-Pio,7,1,20140522184630,20180419104856,unknown
16,DLiebisch,6,2,20050307124652,20071213152756,unknown
17,Datenspecht,6,0,20120113173842,20120209205911,unknown
18,Duisdorfer,6,1,20081026130337,20110306114705,unknown
19,Florian.Keßler,6,5,20041226002047,20050322003137,unknown
20,Wilske,6,6,20110324153446,20110325131038,unknown
21,Natura,6,0,20050714120206,20050714121719,unknown
22,Benatrevqre,6,1,20100710160526,20140804193213,unknown
23,Holger1974,6,0,20091027203044,20131217173130,unknown
24,Pfieffer Latsch,5,1,20110302142428,20131218130829,unknown
25,Der Chronist,5,1,20060614235543,20060615004152,unknown
26,Asperatus,5,0,20110911164253,20190115145349,unknown
27,Berlinschneid,5,4,20070919142623,20170604211745,unknown
28,PsY.cHo,5,5,20131218163147,20160814184513,unknown
29,194.95.179.178,4,0,20050906061737,20050906062450,unknown
30,Jón,4,1,20091027212847,20110324165648,unknown
31,84.137.191.95,4,0,20050813124748,20050813132032,unknown
32,Seewolf,4,3,20060325173748,20110301222735,unknown
33,Ventslide,4,0,20180705054935,20180705055300,unknown
34,LIU,4,1,20111026094731,20140731130216,unknown
35,Wiegels,4,3,20070224175827,20190117223635,unknown
36,217.87.224.248,4,0,20060809150702,20060809151901,unknown
37,Willicher,4,4,20061231143443,20110301113220,unknown
38,TUBS,4,2,20070928150942,20080701205805,unknown
39,Stefan Kühn,3,2,20030430175417,20030610154307,unknown
40,80.226.0.1,3,0,20110418221028,20110418221225,unknown
41,Mogelzahn,3,1,20050725164953,20060806163917,unknown
42,Skyman gozilla,3,1,20070101135007,20070330192451,unknown
43,83.169.140.200,3,0,20050215113547,20050215114525,unknown
