,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Leit,8,5,20071113213007,20091127194627,unknown
1,PsY.cHo,7,7,20071121141157,20160820204842,unknown
2,Aka,7,7,20081117204608,20180224210704,unknown
3,Holger1974,7,0,20071113100235,20131217125948,unknown
4,Rivermix,6,0,20091127130327,20091128162849,unknown
5,Quasiteilchen,6,6,20091127131039,20091130113459,unknown
6,GrandpaScott,6,2,20100712171223,20110512140552,unknown
7,Schreibvieh,5,0,20080519090426,20080626165749,unknown
8,Slökmann,5,1,20141220215007,20170301114324,unknown
9,Kirschblut,5,2,20070221194701,20070827051508,unknown
10,Jklö,5,3,20080519073403,20080626154140,unknown
11,TUBS,4,1,20071121104653,20071123094512,unknown
12,217.92.235.121,4,0,20170216105942,20170222090554,unknown
13,Yoda1893,4,0,20091028124219,20091130083835,unknown
14,Olaf Kosinsky,3,0,20170928112237,20170928163402,unknown
15,AlexanderRahm,3,1,20070507153900,20120717172850,unknown
16,79.213.177.122,3,0,20071113154800,20071113154913,unknown
17,Aaaah,3,2,20071008070920,20071008074031,unknown
18,Dpmb,3,0,20070330065109,20070331110312,unknown
19,Blur4760,3,1,20071113102109,20071113183609,unknown
20,Catansiedler,3,2,20140115233128,20140115234418,unknown
21,Regi51,3,3,20091216192740,20161210112919,unknown
22,91.97.184.68,3,0,20091127155929,20091127160124,unknown
23,Kapitän Nemo,3,0,20091023214011,20091023214126,unknown
24,Sir James,3,2,20100405115718,20111102001702,unknown
25,Actany28,3,0,20180314180032,20180314180933,unknown
26,W!B:,3,2,20091008102215,20100310111344,unknown
27,Skyman gozilla,3,1,20070101141803,20090920135427,unknown
28,91.66.133.203,2,0,20091127142717,20091127142801,unknown
29,Rmcharb,2,1,20170216110327,20180221193441,unknown
30,84.227.3.110,2,0,20051019152503,20051019152534,unknown
31,Atamari,2,0,20071226160001,20110209214710,unknown
32,Jesi,2,0,20160915142335,20161205160412,unknown
33,80.187.102.139,2,0,20130721144557,20130721144946,unknown
34,88.153.2.3,2,0,20091127164112,20091127164646,unknown
35,GLGermann,2,0,20080129103321,20091027174650,unknown
36,Alex1011,2,0,20091010074608,20091010075654,unknown
37,Bubo bubo,2,1,20051211113912,20080905194311,unknown
38,PolskiNiemiec,2,0,20100604124216,20100604131712,unknown
39,Wiegels,2,2,20070303183844,20070323011631,unknown
40,Markobr,2,2,20160216094426,20161210112727,unknown
41,84.130.185.50,2,0,20111027075737,20111027075748,unknown
42,Mws.richter,2,2,20080209101102,20080209101154,unknown
43,Marcus.palapar,2,0,20110430205707,20110430205905,unknown
44,Rsddrs,2,0,20070406143055,20070406143654,unknown
45,Pro-phil,2,0,20091023213738,20091023214208,unknown
46,Rapober,2,1,20100323132203,20110905190526,unknown
47,Einar Moses Wohltun,2,1,20160209110138,20160209110200,unknown
48,Diopuld,2,2,20150808204145,20150808204445,unknown
49,Anmey101120,2,0,20170928162739,20170928180528,unknown
50,Kasselklaus,2,1,20060128154516,20060128154534,unknown
51,Elevel,2,0,20051122102616,20051122102822,unknown
52,Tönjes,2,1,20070521092007,20070704191617,unknown
53,Frank W. Matisse,2,0,20161207155325,20161223160044,unknown
54,145.254.240.132,2,0,20070322092635,20070322093151,unknown
55,89.52.150.119,2,0,20061225120533,20061225120627,unknown
56,Seewolf,2,1,20060325173740,20091024085346,unknown
57,Peter200,2,2,20111027075746,20111027075755,unknown
58,Rusti,2,0,20071121163940,20071121164300,unknown
59,194.95.179.129,2,0,20071113133815,20071113133908,unknown
60,Eintracht4ever,2,0,20070525115536,20070525115629,unknown
61,Gna,2,1,20101029082207,20101029082357,unknown
62,2003:DD:83CD:612:559D:7AEB:57B7:F391,2,0,20161210112722,20161210112859,unknown
63,77.177.5.14,1,0,20111031205440,20111031205440,unknown
64,Frank C. Müller,1,1,20150421145825,20150421145825,unknown
65,84.136.224.97,1,0,20051124192950,20051124192950,unknown
66,84.140.244.80,1,0,20070701220532,20070701220532,unknown
67,Druffeler,1,1,20080213080123,20080213080123,unknown
68,Mps,1,1,20110516161621,20110516161621,unknown
69,91.64.206.58,1,0,20140814085750,20140814085750,unknown
70,130.60.68.45,1,0,20091025130555,20091025130555,unknown
71,Karsten11,1,0,20100521082045,20100521082045,unknown
72,Connoisseur of politics,1,1,20131224154358,20131224154358,unknown
73,InternetArchiveBot,1,0,20180402180959,20180402180959,unknown
74,Proofreader,1,0,20070301125346,20070301125346,unknown
75,Zollernalb,1,0,20071114082810,20071114082810,unknown
76,Cleverboy,1,1,20090630205534,20090630205534,unknown
77,188.101.1.196,1,0,20091216192646,20091216192646,unknown
78,62.156.49.245,1,0,20160216094315,20160216094315,unknown
79,LW-Pio,1,0,20180205121841,20180205121841,unknown
80,Jirjen,1,0,20060928121218,20060928121218,unknown
81,Visi-bot,1,1,20090121163117,20090121163117,unknown
82,ZéroBot,1,1,20121024182249,20121024182249,unknown
83,EWriter,1,1,20150926015626,20150926015626,unknown
84,Frīheidasliova,1,0,20171029112002,20171029112002,unknown
85,Blaubahn,1,0,20060202125549,20060202125549,unknown
86,78.35.144.70,1,0,20111002112227,20111002112227,unknown
87,Invisigoth67,1,0,20170309154207,20170309154207,unknown
88,Stefan,1,1,20051122215957,20051122215957,unknown
89,Afrank99,1,0,20070527090235,20070527090235,unknown
90,Millbart,1,1,20101029082538,20101029082538,unknown
91,91.36.187.12,1,0,20140206074405,20140206074405,unknown
92,Scriptor introductionum,1,0,20170114160805,20170114160805,unknown
93,DBKritiker,1,0,20190119213357,20190119213357,unknown
94,84.58.221.107,1,0,20100323122955,20100323122955,unknown
95,Excolis,1,0,20131203184142,20131203184142,unknown
96,Reinhardhauke,1,1,20160701115019,20160701115019,unknown
97,Hbroeckel,1,0,20180312193556,20180312193556,unknown
98,84.148.98.244,1,0,20070201161621,20070201161621,unknown
99,Hanspeterknack,1,0,20071113192902,20071113192902,unknown
100,Sunbird,1,1,20090405115023,20090405115023,unknown
101,84.73.27.100,1,0,20091129192056,20091129192056,unknown
102,KLBot2,1,1,20130403020313,20130403020313,unknown
103,85.16.171.159,1,0,20160127194702,20160127194702,unknown
104,Oliver Ebbe Sørenson,1,1,20171212191333,20171212191333,unknown
105,Bernburgerin,1,0,20060831084037,20060831084037,unknown
106,Robbot,1,1,20081024193011,20081024193011,unknown
107,69.255.216.121,1,0,20091127144546,20091127144546,unknown
108,78.35.40.211,1,0,20120516162513,20120516162513,unknown
109,Cholo Aleman,1,0,20150626072237,20150626072237,unknown
110,87.179.149.127,1,0,20170928115729,20170928115729,unknown
111,89.182.156.15,1,0,20070704191603,20070704191603,unknown
112,Forevermore,1,0,20080331180503,20080331180503,unknown
113,Polokwane,1,0,20110527195120,20110527195120,unknown
114,Gemu2,1,0,20140904075915,20140904075915,unknown
115,Helfmann,1,1,20170216110437,20170216110437,unknown
116,134.109.132.160,1,0,20051019154447,20051019154447,unknown
117,81.14.179.221,1,0,20070521091937,20070521091937,unknown
118,84.130.144.81,1,0,20071227142449,20071227142449,unknown
119,Jón,1,1,20091027213039,20091027213039,unknown
120,87.176.148.193,1,0,20161104103536,20161104103536,unknown
121,77.186.107.160,1,0,20180517162009,20180517162009,unknown
122,83.77.216.22,1,0,20071114101954,20071114101954,unknown
123,Alexbot,1,1,20090906133102,20090906133102,unknown
124,93.208.96.187,1,0,20130823204211,20130823204211,unknown
125,178.12.118.65,1,0,20180221193319,20180221193319,unknown
126,217.83.99.123,1,0,20061207122114,20061207122114,unknown
127,Abh~dewiki,1,1,20071113155424,20071113155424,unknown
128,77.87.228.66,1,0,20090209091508,20090209091508,unknown
129,134.155.150.183,1,0,20091128085052,20091128085052,unknown
130,EmausBot,1,1,20121110125713,20121110125713,unknown
131,79.238.167.37,1,0,20151220140244,20151220140244,unknown
132,91.96.175.190,1,0,20171114071638,20171114071638,unknown
133,84.56.39.141,1,0,20060323172421,20060323172421,unknown
134,Berlinschneid,1,1,20071008202559,20071008202559,unknown
135,Iwoelbern,1,1,20080605115657,20080605115657,unknown
136,109.109.13.228,1,0,20150220114026,20150220114026,unknown
137,Reclus,1,0,20170430195334,20170430195334,unknown
138,Chrispgu,1,0,20051122232931,20051122232931,unknown
139,LangeNacht,1,1,20070601175444,20070601175444,unknown
140,Botulph,1,1,20140206074414,20140206074414,unknown
141,93.228.205.124,1,0,20190220122953,20190220122953,unknown
142,Pfieffer Latsch,1,0,20131218130342,20131218130342,unknown
143,Hadibe,1,1,20160808194929,20160808194929,unknown
144,Gobalplayer,1,0,20180314132857,20180314132857,unknown
145,89.217.140.82,1,0,20070217084206,20070217084206,unknown
146,RibotBOT,1,1,20090421090818,20090421090818,unknown
147,91.62.245.63,1,0,20091201104228,20091201104228,unknown
148,Inkowik,1,0,20130616123543,20130616123543,unknown
149,DragonRainbow,1,0,20180111004117,20180111004117,unknown
150,Intimidator,1,0,20060906112015,20060906112015,unknown
151,Triebtäter,1,0,20071113105701,20071113105701,unknown
152,77.176.69.48,1,0,20081116172333,20081116172333,unknown
153,Vanellus,1,0,20120912144631,20120912144631,unknown
154,HolgerB,1,1,20070722102742,20070722102742,unknown
155,Aligator2013,1,0,20080419224818,20080419224818,unknown
156,KCMO,1,1,20110528062048,20110528062048,unknown
157,87.183.25.98,1,0,20141110074011,20141110074011,unknown
158,RoBri,1,1,20170222090707,20170222090707,unknown
159,79.206.219.6,1,0,20080106173259,20080106173259,unknown
160,Hinterwäldler18,1,1,20140119184050,20140119184050,unknown
161,94.222.25.42,1,0,20181023163654,20181023163654,unknown
162,Andibrunt,1,0,20071114103646,20071114103646,unknown
163,94.216.10.192,1,0,20090916115427,20090916115427,unknown
164,Simpsonsfan2,1,0,20091222135257,20091222135257,unknown
165,31.17.153.69,1,0,20130904015836,20130904015836,unknown
166,77.23.164.217,1,0,20160519084223,20160519084223,unknown
167,YOG'TZE,1,0,20180224185654,20180224185654,unknown
168,Stepri2003,1,0,20071113175740,20071113175740,unknown
169,Lobservateur,1,0,20090209204802,20090209204802,unknown
170,Schmendrik881,1,0,20091128194418,20091128194418,unknown
171,Tobias1983,1,0,20121206180113,20121206180113,unknown
172,Markus A,1,0,20151220150010,20151220150010,unknown
173,Logograph,1,1,20171114071709,20171114071709,unknown
174,70.155.25.43,1,0,20071029030449,20071029030449,unknown
175,Sneecs,1,0,20080617135345,20080617135345,unknown
176,Zaphiro,1,1,20091127134327,20091127134327,unknown
177,193.22.166.88,1,0,20150401145129,20150401145129,unknown
178,Alstersegler,1,0,20170508165032,20170508165032,unknown
179,212.202.168.189,1,0,20051124181205,20051124181205,unknown
180,Heikoboettcher,1,0,20070613141017,20070613141017,unknown
181,87.245.32.223,1,0,20080213075914,20080213075914,unknown
182,Guude,1,1,20110512110121,20110512110121,unknown
183,Lektorat Cogito,1,0,20140506201431,20140506201431,unknown
184,HГq,1,1,20170216105951,20170216105951,unknown
185,Mcrass,1,1,20190303081526,20190303081526,unknown
186,80.135.166.190,1,0,20070429203252,20070429203252,unknown
187,Update,1,1,20131218212346,20131218212346,unknown
188,Stefan Bellini,1,0,20160827041400,20160827041400,unknown
189,84.136.131.251,1,0,20071114082717,20071114082717,unknown
190,77.23.225.191,1,0,20090508042531,20090508042531,unknown
191,Morimont,1,1,20091201114304,20091201114304,unknown
192,Matt1971,1,1,20130720135147,20130720135147,unknown
193,MitchOfBavaria,1,1,20160215094108,20160215094108,unknown
194,2003:E5:BBCC:DD29:E9F9:C076:AFD8:6B56,1,0,20180205113602,20180205113602,unknown
195,Faber-Castell,1,0,20060925162640,20060925162640,unknown
196,Tilla,1,0,20091127164007,20091127164007,unknown
197,Grossergott,1,0,20121008132806,20121008132806,unknown
198,Klaushausraus,1,0,20150901090211,20150901090211,unknown
199,2003:45:5D31:BB01:5D52:3826:5995:E5E1,1,0,20171020060334,20171020060334,unknown
200,84.58.22.85,1,0,20060202123918,20060202123918,unknown
201,70.156.245.142,1,0,20070827005247,20070827005247,unknown
202,Don Magnifico,1,0,20110719133125,20110719133125,unknown
203,Itti,1,1,20141110074039,20141110074039,unknown
204,193.22.73.199,1,0,20170228101302,20170228101302,unknown
205,84.227.53.246,1,0,20051122143808,20051122143808,unknown
206,RobotQuistnix,1,1,20080122195705,20080122195705,unknown
207,Dr. Otterbeck,1,0,20091101062534,20091101062534,unknown
208,92.72.101.85,1,0,20140121042830,20140121042830,unknown
209,178.5.91.42,1,0,20181024215220,20181024215220,unknown
210,145.254.237.191,1,0,20070329191117,20070329191117,unknown
211,Sir,1,1,20071114133945,20071114133945,unknown
212,VolkovBot,1,1,20100124115535,20100124115535,unknown
213,Clausewitz1924,1,0,20130909203607,20130909203607,unknown
214,Unscheinbar,1,1,20160519084306,20160519084306,unknown
215,Tmid,1,1,20180309105700,20180309105700,unknown
216,84.56.94.234,1,0,20071113182012,20071113182012,unknown
217,91.63.107.237,1,0,20090212123355,20090212123355,unknown
218,Saethwr,1,0,20091128203800,20091128203800,unknown
219,Matchboxler,1,0,20121210222602,20121210222602,unknown
220,Nameless23,1,1,20160104013803,20160104013803,unknown
221,JFH-52,1,1,20171210193249,20171210193249,unknown
222,84.153.83.17,1,0,20060827140721,20060827140721,unknown
223,SpBot,1,1,20080622192948,20080622192948,unknown
