,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Intimidator,17,0,20060525130926,20160429130304,unknown
1,Mogelzahn,14,6,20050929101113,20051127200106,unknown
2,Chemiewikibm,10,3,20090213123343,20090415160532,unknown
3,Leit,9,2,20060322191923,20141228111859,unknown
4,Natura,8,1,20050715115405,20050715193032,unknown
5,GS63,7,1,20130914132218,20141128120021,unknown
6,194.95.177.102,6,0,20050411094129,20050411100158,unknown
7,Gkai,5,5,20080624220913,20090215175022,unknown
8,Aka,5,5,20060530180905,20181229130450,unknown
9,Sproink,5,5,20060312191048,20060312191303,unknown
10,Cholo Aleman,5,1,20110801174837,20130208075055,unknown
11,194.94.133.9,5,0,20131212093606,20131212101747,unknown
12,PsY.cHo,4,4,20131218210333,20160814083221,unknown
13,Meeresforscherin,4,2,20160118101808,20170704094514,unknown
14,84.227.3.110,4,0,20051019141432,20051019145348,unknown
15,TMFS,4,3,20031104133542,20060809075646,unknown
16,87.183.85.98,4,0,20130209130437,20130209133252,unknown
17,Nina,4,3,20070606213651,20070606213904,unknown
18,GrandpaScott,4,0,20100714130450,20110315122312,unknown
19,Stefan Kühn,3,2,20030430180319,20030610154136,unknown
20,137.226.140.45,3,0,20051026094754,20051124091839,unknown
21,Spuk968,3,3,20110524204602,20140203120441,unknown
22,Aligator2013,3,0,20090213115405,20100702102115,unknown
23,141.50.8.117,3,0,20141017160454,20141017160738,unknown
24,FEXX,3,2,20050310201334,20050801151136,unknown
25,Zwobot,3,3,20041204210720,20081222093438,unknown
26,Boshomi,3,3,20141017184156,20141017193100,unknown
27,84.153.45.47,3,0,20060127234543,20060127234640,unknown
28,Slökmann,3,3,20070927005416,20160424065403,unknown
29,JFH-52,3,2,20101109060556,20171210193150,unknown
30,178.12.119.74,2,0,20180731115415,20180731121200,unknown
31,WikiBenutzer,2,0,20090228171811,20090722095155,unknown
32,Squasher,2,2,20130209130457,20130209130533,unknown
33,Poiuzz,2,1,20180419140453,20180502215022,unknown
34,MorbZ-Bot,2,2,20090612103024,20130312224303,unknown
35,Informationswiedergutmachung,2,2,20171126173839,20171231223004,unknown
36,91.64.88.5,2,0,20121011164304,20121011165226,unknown
37,Speaker,2,2,20090809085046,20090809085115,unknown
38,Afrank99,2,1,20070513113405,20070527085909,unknown
39,149.172.51.194,2,0,20130209131440,20130209131824,unknown
40,Dreibein,2,2,20060602131453,20060602131708,unknown
41,SieBot,2,2,20071102141603,20100820222328,unknown
42,CherryX,2,2,20130919092820,20130919092851,unknown
43,Diopuld,2,2,20150808204751,20150808205251,unknown
44,Foundert,2,0,20070208043414,20081213074831,unknown
45,Flominator,2,1,20081007143750,20090319174222,unknown
46,176.198.24.124,2,0,20130209133420,20130209133508,unknown
47,GrummelJS,2,1,20170825074715,20180525070400,unknown
48,Schee~dewiki,2,1,20131216094224,20131217113546,unknown
49,Günter Reuscher,2,0,20090720143000,20090723084314,unknown
50,87.122.155.4,2,0,20110524204552,20110524204616,unknown
51,PolskiNiemiec,2,0,20100604122749,20100604131748,unknown
52,Pfieffer Latsch,2,1,20110912190949,20131218124941,unknown
53,Wiegels,2,2,20070224175521,20070323013441,unknown
54,DavidG,2,1,20130209134359,20130209134927,unknown
55,Frīheidasliova,2,0,20171029110342,20171029112346,unknown
56,Goliath613,2,0,20120425081623,20120425082157,unknown
57,Skriptor,1,1,20040219115627,20040219115627,unknown
58,Nordberg~dewiki,1,0,20060128115023,20060128115023,unknown
59,193.174.133.20,1,0,20071002092326,20071002092326,unknown
60,RedBot,1,1,20090723140936,20090723140936,unknown
61,Gisela15,1,0,20111014124429,20111014124429,unknown
62,93.208.96.187,1,0,20130823205011,20130823205011,unknown
63,77.87.224.98,1,0,20151216125954,20151216125954,unknown
64,Actany28,1,0,20180314182247,20180314182247,unknown
65,134.95.91.13,1,0,20070425214626,20070425214626,unknown
66,79.205.86.191,1,0,20130228073913,20130228073913,unknown
