,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Frischepflanze,19,1,20080514112011,20080522135741,unknown
1,79.214.105.60,7,0,20091129082354,20091129082909,unknown
2,Quasiteilchen,7,4,20091130112628,20091130113242,unknown
3,GrandpaScott,7,2,20100707135217,20110512140614,unknown
4,217.229.57.66,7,0,20100209034310,20100209035152,unknown
5,137.226.140.45,7,0,20051026095257,20051124100605,unknown
6,Verzettelung,6,1,20160208213506,20170602100906,unknown
7,Awilms,5,0,20080309144350,20080606221158,unknown
8,Der Rene,4,0,20100618225659,20100618233042,unknown
9,Slökmann,4,3,20160202094510,20170801103038,unknown
10,W!B:,4,4,20120628185527,20120629183710,unknown
11,Cherub1974,4,0,20180314124123,20180314124527,unknown
12,Olaf Kosinsky,4,0,20170602084134,20180415100726,unknown
13,PsY.cHo,4,4,20131219041916,20160814092231,unknown
14,Muck31,3,1,20080522093213,20080522154756,unknown
15,Damei81,3,1,20091127214709,20100619220531,unknown
16,Carolin,3,1,20100223210101,20190212203637,unknown
17,Diopuld,3,2,20150808210048,20150808210424,unknown
18,Kixx~dewiki,3,0,20030430191834,20030430192106,unknown
19,Ralf Roletschek,3,1,20160903200925,20161023144415,unknown
20,Frīheidasliova,3,0,20171029110622,20171029110740,unknown
21,Matt1971,3,2,20110512153351,20130720135403,unknown
22,2003:E0:6707:22DB:5C49:567F:B4A:8B7F,3,0,20181101081443,20181101082152,unknown
23,Bear,3,1,20030816124039,20030816132222,unknown
24,Scooter,3,2,20080517212358,20111109222440,unknown
25,Studmult,3,2,20160921175122,20170702194554,unknown
26,Sir James,3,2,20080217214514,20090210182132,unknown
27,Pfieffer Latsch,3,2,20111002094919,20131218125646,unknown
28,193.170.67.56,3,0,20110609091622,20110609091746,unknown
29,Holger1974,3,0,20131217120810,20180314134018,unknown
30,Aka,3,3,20080914171238,20180314145528,unknown
31,Killerio,3,0,20110423031314,20110423031423,unknown
32,Mordechai,2,2,20040717185009,20040717190056,unknown
33,Leit,2,2,20060401194231,20060501162921,unknown
34,84.133.64.170,2,0,20091112193416,20091112193801,unknown
35,Der.Traeumer,2,2,20120601073845,20120601074057,unknown
36,145.254.212.206,2,0,20051017201636,20051017202353,unknown
37,ZéroBot,2,2,20111201063011,20121108200849,unknown
38,217.234.251.209,2,0,20041102123031,20041102123238,unknown
39,Cumtempore,2,0,20081223152956,20081223153008,unknown
40,TobiasGr,2,0,20091130190434,20091130190458,unknown
41,Kallewirsch,2,1,20170602085808,20170602090616,unknown
42,DBKritiker,2,2,20190103161427,20190103161842,unknown
43,91.0.212.15,2,0,20100906133339,20100906133402,unknown
44,217.187.98.7,2,0,20051105134728,20051105134922,unknown
45,Hafenbar,2,2,20050810230250,20050813154128,unknown
46,83.243.48.3,2,0,20070222093044,20070222093216,unknown
47,Geierkrächz,2,0,20090211134043,20090211134132,unknown
48,Yoda1893,2,0,20091130083909,20091130084246,unknown
49,Bad-reg,2,2,20091112193533,20091112193846,unknown
50,SuperFLoh,2,0,20051017201730,20051017213023,unknown
51,Skyman gozilla,2,1,20070101142311,20070103003157,unknown
52,62.157.153.246,2,0,20051118082437,20051118082636,unknown
53,Nina,2,1,20050911203151,20070331200923,unknown
54,Neun-x,2,0,20131216173424,20131216182155,unknown
55,193.17.232.2,2,0,20180122134540,20180122134620,unknown
56,217.238.145.102,2,0,20150311134351,20150311134437,unknown
57,PDCA,2,2,20080720202512,20080720230200,unknown
58,Reclus,2,0,20170501161728,20170501161841,unknown
59,217.185.119.40,2,0,20051022110147,20051022110209,unknown
60,Frank Doerry,2,0,20180329142009,20180329143808,unknown
61,93.211.128.12,2,0,20100316131001,20100316131021,unknown
62,Komischn,2,2,20180314154030,20180314154054,unknown
63,Mopskatze,2,2,20150719015830,20150719020019,unknown
64,Aligator2013,2,0,20080421175114,20090211161942,unknown
65,79.229.120.26,2,0,20120601073828,20120601074045,unknown
66,Bergedorfer,2,0,20100310110810,20100310114304,unknown
67,188.97.76.7,2,0,20130821143735,20130821143903,unknown
68,SamWinchester000,2,0,20161022013935,20161023140611,unknown
69,129.26.160.167,2,0,20120223130754,20120223131207,unknown
