,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,JFH-52,74,39,20100714105916,20181014171506,unknown
1,Leit,19,11,20060401112940,20140428121659,unknown
2,TMFS,10,4,20031104132258,20070829093115,unknown
3,GrandpaScott,9,1,20100713160338,20110512140910,unknown
4,Benste,9,0,20090930174216,20090930174905,unknown
5,Cyve,9,2,20131218233832,20131221214713,unknown
6,PsY.cHo,9,9,20131218162444,20160820204325,unknown
7,Mogelzahn,8,6,20050617102818,20061010195058,unknown
8,Holger1974,7,0,20091026184751,20180314145303,unknown
9,217.87.208.71,5,0,20060809074216,20060809074810,unknown
10,Aligator2013,5,0,20080502130338,20091028163302,unknown
11,Yoda1893,5,2,20091028124634,20131217100616,unknown
12,Matt1971,5,2,20130720140006,20140121163038,unknown
13,137.226.140.45,5,0,20051124092051,20051124094213,unknown
14,93.208.101.237,5,0,20130827142642,20130827143706,unknown
15,77.87.228.65,5,0,20090918084117,20110203163521,unknown
16,Komischn,4,4,20140528130551,20150329192543,unknown
17,195.37.166.250,4,0,20131216080107,20131216081043,unknown
18,84.137.216.212,4,0,20050814134110,20050814134859,unknown
19,Sir,4,3,20050824111332,20190204164710,unknown
20,91.89.82.158,4,0,20070617182530,20070617182609,unknown
21,Frīheidasliova,3,0,20171029111539,20171029111650,unknown
22,Bautsch,3,0,20170102150045,20170105113922,unknown
23,79.211.116.193,3,0,20080904132535,20080904133210,unknown
24,Forevermore,3,3,20041021175214,20041023164346,unknown
25,85.182.117.57,3,0,20070321193331,20070321193558,unknown
26,Plumpaquatsch,3,0,20180814115306,20180814115843,unknown
27,Diopuld,3,3,20150808213704,20150808214111,unknown
28,PolskiNiemiec,3,0,20100604123617,20100604124904,unknown
29,Bear,3,1,20030816134923,20030816140531,unknown
30,Lustiger seth,3,3,20080904133820,20080906135342,unknown
31,87.165.151.12,3,0,20131218223354,20131219204151,unknown
32,Bestoernesto,3,0,20160814121949,20160814123214,unknown
33,92.193.169.233,2,0,20181029130759,20181029130831,unknown
34,Stefan Kühn,2,1,20030430184939,20030610154233,unknown
35,W!B:,2,0,20120219145906,20120219150032,unknown
36,EBB,2,1,20051125195614,20051125200112,unknown
37,AKor4711,2,2,20150326151357,20150326151427,unknown
38,Faber-Castell,2,0,20060602141940,20060602142008,unknown
39,84.153.59.20,2,0,20060210222846,20060210222927,unknown
40,Zeno Gantner,2,2,20041206222511,20060315154245,unknown
41,84.157.95.163,2,0,20111111073547,20111111073827,unknown
42,84.163.3.74,2,0,20160817194316,20160817194345,unknown
43,Wuschelkopf9,2,1,20091027102610,20091027102632,unknown
44,87.78.169.131,2,0,20110115235728,20110115235743,unknown
45,194.95.177.124,2,0,20061130132358,20061130132452,unknown
46,Jmv,2,0,20131121103739,20180302205620,unknown
47,Boshomi,2,1,20150329201132,20170121075425,unknown
48,Leinwand,2,2,20130630201336,20130702090931,unknown
49,Philipp Wetzlar,2,2,20140621122559,20160824132832,unknown
