,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Muns,12,3,20110524222002,20181126074334,unknown
1,Holger1974,10,0,20091026184407,20180314132648,unknown
2,84.227.3.110,8,0,20051019151402,20051019153756,unknown
3,PsY.cHo,6,6,20131218163536,20160814185750,unknown
4,194.95.177.123,6,0,20060118153552,20070321091810,unknown
5,Cyve,5,0,20131218233307,20180423121030,unknown
6,GrandpaScott,5,2,20100712142409,20110512140005,unknown
7,Mogelzahn,5,0,20051122175326,20061010184208,unknown
8,JFH-52,5,5,20101109061536,20171210192906,unknown
9,77.56.53.183,5,0,20150218173215,20170124234341,unknown
10,Benedikt2008,4,0,20120318135706,20170127100922,unknown
11,Rusti,4,0,20071121164648,20071125164237,unknown
12,Yoda1893,4,1,20091028123741,20131217104319,unknown
13,Leit,4,1,20060531180302,20140428114947,unknown
14,Itti,3,3,20130228102241,20141007061243,unknown
15,MZM,3,0,20061116001217,20061116155721,unknown
16,Skyman gozilla,3,2,20070101141433,20070725105008,unknown
17,79.215.41.59,3,0,20140810130829,20140810131100,unknown
18,Aka,3,3,20070916174811,20180303083828,unknown
19,Wikingerx,3,1,20070615062506,20080211070043,unknown
20,PolskiNiemiec,3,0,20100604123751,20100604124713,unknown
21,Sir James,2,0,20100405122203,20100527214429,unknown
22,Horst Gräbner,2,2,20170125080623,20170125080834,unknown
23,194.95.177.101,2,0,20070927152212,20070927152317,unknown
24,91.9.214.113,2,0,20090209213713,20090209213733,unknown
25,Theredmonkey,2,0,20140708085802,20140708090112,unknown
26,77.188.72.158,2,0,20091217002158,20091217002331,unknown
27,Faber-Castell,2,0,20060925143334,20060925143350,unknown
28,Aligator2013,2,0,20080419224420,20090502230853,unknown
29,Regi51,2,2,20100915162416,20131105191619,unknown
30,Yellowcard,2,1,20070903170043,20070903170211,unknown
31,Frīheidasliova,2,0,20171029111748,20171029111819,unknown
32,WikiBenutzer,2,0,20090117183609,20090722101443,unknown
33,77.21.146.245,2,0,20100413085551,20100413085700,unknown
34,85.178.249.157,2,0,20051019152419,20051019152532,unknown
35,80.130.181.98,2,0,20091109072752,20091109072933,unknown
36,Cholo Aleman,2,0,20161028091118,20161202091502,unknown
37,80.179.167.50,2,0,20141007061215,20141007062351,unknown
38,Verzettelung,2,1,20120413003344,20160309222309,unknown
39,Rapober,2,2,20100118202844,20100320143102,unknown
40,Jergen,2,2,20060331082543,20070321092245,unknown
41,2003:E4:ABC4:78C0:BC99:7148:E5F0:38CF,2,0,20180314124131,20180314124204,unknown
42,217.76.102.66,2,0,20070915092707,20070916102907,unknown
43,Jivee Blau,2,2,20100413085554,20100413085706,unknown
44,Pampelonne,2,0,20170127110320,20170127112754,unknown
45,Diba,2,2,20091109072829,20091109073004,unknown
46,93.196.20.4,2,0,20160107104935,20160107105242,unknown
