,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,HolgerB,45,29,20050608165233,20090415172134,unknown
1,Naturgucker Illtal,36,26,20170803164042,20190306102746,unknown
2,195.126.85.141,28,0,20050807025705,20090910074054,unknown
3,Verzettelung,22,14,20150308202021,20190101163523,unknown
4,Henseleit,18,9,20050509145151,20050822095656,unknown
5,Namenlos.net,15,11,20060517194804,20130517202906,unknown
6,Zieshan,14,6,20081208185139,20120205214941,unknown
7,Aries~dewiki,14,7,20040508002607,20041122213856,unknown
8,Kolja21,12,5,20070321145014,20170514230630,unknown
9,Spear~dewiki,11,0,20050421123227,20070711215525,unknown
10,Matt1971,11,9,20050121051811,20140115180307,unknown
11,89.53.60.246,10,0,20070512082040,20070512134542,unknown
12,89.53.46.20,10,0,20070510154552,20070510185649,unknown
13,Kittelträger,9,0,20170826151611,20170826203714,unknown
14,FlugTurboFan,9,0,20130909114141,20150212200004,unknown
15,Sir James,9,2,20101119110030,20190113091456,unknown
16,Aka,9,9,20090326195744,20180321181419,unknown
17,Zielfahnder,9,5,20090226154700,20090301110524,unknown
18,195.126.85.201,8,0,20110116203548,20110824124458,unknown
19,89.53.5.1,8,0,20080216092314,20080216150750,unknown
20,Axt,8,3,20080308192333,20080308200120,unknown
21,Kandschwar,8,5,20050824180327,20170702170506,unknown
22,Hofres,8,2,20080217144410,20080301091736,unknown
23,Willicher,7,7,20060420221850,20071208012110,unknown
24,CeGe,7,0,20070608095003,20070629142912,unknown
25,GrummelJS,6,1,20060617095731,20080321114826,unknown
26,Christoph Buhlheller,6,5,20041104154817,20041104165312,unknown
27,Moe S.,6,2,20110116011000,20150131174313,unknown
28,Matthäus Wander,6,5,20040914232522,20090611182712,unknown
29,Homer Landskirty,5,1,20080530204957,20090815171954,unknown
30,Urdd15,5,3,20151031092738,20180127200358,unknown
31,Regi51,5,5,20080313192440,20190302181330,unknown
32,84.141.49.212,5,0,20050505084532,20050505093252,unknown
33,Mattes,5,1,20160708150307,20161118214054,unknown
34,Friedjof,5,0,20150519074114,20150519082345,unknown
35,Peter200,5,4,20070807121618,20121111173226,unknown
36,89.53.29.74,5,0,20080208122952,20080208125749,unknown
37,Tommi49,5,2,20060128161839,20070424100835,unknown
38,88.72.211.122,5,0,20070329080257,20070329080629,unknown
39,Caballero~dewiki,5,4,20040314183205,20090412083234,unknown
40,89.53.38.126,5,0,20080217085045,20080217142633,unknown
41,89.53.60.191,5,0,20070623005036,20070623005958,unknown
42,77.87.228.67,4,0,20080818132133,20130717060239,unknown
43,Feldstadtschwerin,4,4,20170624021838,20170624022527,unknown
44,Rollo rueckwaerts,4,4,20061210212450,20070114025959,unknown
45,Hypnosekröte,4,4,20050328170859,20050704004959,unknown
46,Andys,4,4,20070510154617,20070512154149,unknown
47,Kauziger,4,2,20170724113954,20170724120504,unknown
48,Dapete,4,3,20050225105007,20060723182807,unknown
49,Mephisto-Munic,4,3,20060305195032,20061021000643,unknown
50,Stefan Kühn,4,4,20030430160431,20160624141306,unknown
51,89.53.92.75,4,0,20070512152506,20070512160803,unknown
52,TadWohlrapp,4,1,20140305123406,20140305134004,unknown
