,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Benatrevqre,412,148,20090521140731,20190128150526,unknown
1,EBB,119,82,20040429152525,20120424100056,unknown
2,Vsop,63,6,20100601002451,20180824190520,unknown
3,Andreas Parker,49,10,20120721232200,20150926221957,unknown
4,Tfjt,47,30,20101017144106,20180218205340,unknown
5,Leit,38,23,20080830220500,20171125214812,unknown
6,Denis Barthel,31,1,20160607074043,20160624070355,unknown
7,Brodkey65,29,19,20100823110347,20190204072636,unknown
8,Ziko,25,0,20080402170500,20180729162932,unknown
9,Sir James,25,17,20080831230228,20150329051602,unknown
10,Southpark,23,20,20040304181120,20060621005145,unknown
11,Roentgenium111,23,11,20100201134935,20180921090908,unknown
12,80.226.0.1,20,0,20110812162133,20110815192416,unknown
13,Thommess,17,2,20040305150903,20040429164904,unknown
14,Aka,17,17,20051105094859,20180212151734,unknown
15,Wikinger86,17,5,20051230023351,20120319130436,unknown
16,Regi51,17,17,20090811161351,20180906174257,unknown
17,Rtc,17,11,20120217143012,20120222011111,unknown
18,Suirenn,15,11,20100411095852,20131112132145,unknown
19,Skyman gozilla,15,7,20061101233431,20100724132825,unknown
20,Calvin Ballantine,15,8,20051005113227,20070630094605,unknown
21,Hansbaer,14,4,20090622131102,20160211094553,unknown
22,Vertigo Man-iac,14,8,20100531164416,20120919193501,unknown
23,Benedikt2008,14,5,20120219054414,20160608130905,unknown
24,Cologinux,14,2,20100630214725,20120706224149,unknown
25,Interpretix,13,6,20040327161020,20060226100842,unknown
26,Zwobot,12,11,20031206025746,20050716045442,unknown
27,111Alpha,12,0,20120906210327,20130929152600,unknown
28,Cbarth,12,3,20061229114645,20070102170143,unknown
29,LKD,12,12,20060313101118,20101104120434,unknown
30,84.185.224.114,11,0,20060313100946,20060313102750,unknown
31,Pittimann,10,9,20100507065733,20181203123103,unknown
32,Spuk968,10,10,20100510113134,20111117112155,unknown
33,PsY.cHo,10,10,20070312130523,20161126111103,unknown
34,Natsu Dragoneel,10,4,20170216120606,20190117101627,unknown
35,ThomasMuentzer,9,6,20090514031652,20090601041352,unknown
36,Fehlerteufel,9,9,20070105100028,20070115123450,unknown
37,GS63,9,1,20170318124544,20180311165613,unknown
38,Jón,9,3,20100630212739,20120319070143,unknown
39,Pianist Berlin,9,7,20091231172210,20110105171333,unknown
40,Alnilam,9,9,20120220154239,20131014094531,unknown
41,78.35.16.104,8,0,20100706112221,20100706113012,unknown
42,Tbv,8,5,20040302135713,20040420130429,unknown
43,Snahlemmuh,8,1,20100603120937,20110812235338,unknown
44,J budissin,8,4,20170212133611,20171220182150,unknown
45,Achim Raschka,8,5,20050204231855,20120103190314,unknown
46,SchirmerPower,8,1,20100603101952,20121008220338,unknown
47,TUBS,8,0,20100701083856,20100701104432,unknown
48,Schopfheimer,8,8,20170311143241,20170723153124,unknown
49,Verzettelung,7,2,20120318202316,20120321174406,unknown
50,.Manu.,7,0,20040605213815,20120219225048,unknown
51,Kharon,7,7,20100623122809,20100625164217,unknown
52,Trainspotter,7,5,20040523115953,20040523125017,unknown
53,FinnlandFreund,7,0,20170912113602,20180113001720,unknown
54,Der Bischof mit der E-Gitarre,7,0,20071014113532,20071014120236,unknown
55,217.248.24.17,7,0,20051108100440,20051108101349,unknown
56,C.Löser,7,2,20060430174832,20080919200746,unknown
57,Koffer,7,3,20050528163452,20111011212431,unknown
58,Zoris Trömm,7,5,20080423095028,20090810155236,unknown
59,Wilske,7,3,20100629085600,20100726092338,unknown
60,Neun-x,7,2,20100509185850,20151206172737,unknown
61,Zipfelheiner,7,1,20120220080124,20120305141633,unknown
62,129.143.4.66,7,0,20050422080432,20050422082118,unknown
63,Berlin-Jurist,7,4,20051014060737,20060109171024,unknown
64,Urgelein,7,5,20100619001006,20160824183635,unknown
65,84.165.253.142,7,0,20060105152221,20060105155813,unknown
66,Frauke32,6,0,20120217121702,20121001171915,unknown
67,Stefan040780,6,0,20100531134005,20120318132045,unknown
68,Groupsixty,6,5,20090112150740,20090522084644,unknown
69,Luthermütze,6,1,20120220114334,20120320180352,unknown
70,Wangen,6,2,20100602125833,20120222125618,unknown
71,Konrad Lackerbeck,6,2,20100629065754,20100629082233,unknown
72,Rmcharb,6,5,20141128114631,20181005083046,unknown
73,Jobu0101,5,2,20120302142754,20150131215025,unknown
74,Jivee Blau,5,5,20100520152050,20130725194235,unknown
75,Freshman22,5,3,20100602214600,20100630200708,unknown
76,Xqbot,5,5,20090317132113,20160715151950,unknown
77,Horst Gräbner,5,4,20131025144003,20170216094706,unknown
78,Taxiarchos228,5,1,20071027192340,20080110111647,unknown
79,84.172.102.239,5,0,20050707085859,20050707090825,unknown
80,Wiki Gh!,5,2,20100519150856,20100531123129,unknown
81,Wurly-hh,5,0,20061024080645,20061029192225,unknown
82,Thijs!bot,5,5,20060801050954,20080127224820,unknown
83,195.243.47.34,5,0,20050701113115,20050919143511,unknown
84,80.142.117.39,5,0,20060504095147,20060504100222,unknown
85,Andruil,5,1,20040305152139,20040330231544,unknown
86,PortalBot,5,5,20051102042922,20070327000612,unknown
87,Schnabeltassentier,5,5,20171007142433,20190204075607,unknown
88,Oenie,5,3,20120626203721,20120626205244,unknown
89,Geierkrächz,5,5,20100705115342,20100706113013,unknown
90,Pne,5,5,20040524102615,20040524104353,unknown
91,Serols,5,5,20141207130721,20190123080017,unknown
92,Muns,5,3,20040317142119,20190221125145,unknown
93,Seewolf,5,3,20090817131306,20100630194656,unknown
94,Elwood j blues,5,3,20100509101621,20100509140713,unknown
95,172.183.206.103,5,0,20040302172757,20040302174307,unknown
96,Luckas-bot,5,5,20100530184750,20100810010730,unknown
97,Dirkpetsch,5,0,20070805214615,20110102225727,unknown
98,84.140.68.153,5,0,20060424072444,20060424073343,unknown
99,Itti,5,4,20130128115521,20150103173317,unknown
100,HaeB,5,5,20050421063617,20060317182329,unknown
101,Martin1978,5,5,20111013074650,20111216172311,unknown
102,W!B:,5,4,20070417104620,20120720130407,unknown
103,141.68.112.188,5,0,20170420131017,20170920140738,unknown
104,Diba,5,5,20100531203239,20120911071204,unknown
105,Nightflyer,5,3,20080323205029,20120220101603,unknown
106,XenonX3,4,2,20090812190455,20150201100320,unknown
107,Tsor,4,3,20050510202932,20120217211352,unknown
108,Köhler,4,0,20041102162931,20041102172314,unknown
109,Dr Möpuse,4,0,20071004175015,20071019124252,unknown
110,Anschub,4,0,20060109135927,20060612160054,unknown
111,Chjb,4,2,20120110085343,20120529072417,unknown
112,Dens-Nutrischa,4,0,20090811161344,20090812190444,unknown
113,217.227.202.32,4,0,20041119071919,20041119072247,unknown
114,EmausBot,4,4,20110918043947,20130125195146,unknown
115,Jahn Henne,4,0,20100629070327,20100724223624,unknown
116,Der.Traeumer,4,4,20100601103344,20131022083303,unknown
117,Bhuck,4,0,20050914083743,20061229124628,unknown
118,Güwy,4,1,20150525162550,20150525164705,unknown
119,Nixred,4,3,20070216193744,20070819071546,unknown
120,Tim-campo,4,2,20040302153600,20040302154039,unknown
121,Baikonur,4,4,20050421162429,20050421165522,unknown
