,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Axelvetter,14,1,20090820101330,20181026062601,unknown
1,Claus Ableiter,13,0,20090310225608,20090311002746,unknown
2,Retzepetzelewski,11,0,20070318142418,20110620090639,unknown
3,WeiterWeg,7,0,20181125085759,20181125125614,unknown
4,F2hg.amsterdam,7,5,20101117124008,20110923133209,unknown
5,Aka,7,7,20090325171754,20190225171358,unknown
6,88.72.212.196,6,0,20070213190845,20070213191330,unknown
7,Ralphbolliger,5,1,20110923114958,20110923132540,unknown
8,Luckas-bot,5,5,20100813040712,20111123015419,unknown
9,80.110.24.92,5,0,20140911090522,20140911090846,unknown
10,Blunt.,4,3,20101010162435,20110620180839,unknown
11,85.176.196.71,4,0,20100816074936,20100816075329,unknown
12,91.201.66.76,4,0,20110228064957,20110426023451,unknown
13,Philipp Wetzlar,3,3,20140911090553,20140911090729,unknown
14,Jodo,3,0,20100725220156,20100824175301,unknown
15,Dubl,3,0,20081206121218,20081206123207,unknown
16,Århus,3,3,20120626205250,20170610165405,unknown
17,Zinnmann,3,1,20040810165153,20091018133254,unknown
18,Arieswings,3,3,20190102073806,20190102074606,unknown
19,217.235.249.223,3,0,20141113114057,20141113114208,unknown
20,Henkob,3,3,20151117203013,20151117205643,unknown
21,XenonX3,3,3,20110119162250,20140129181547,unknown
22,93.218.69.131,3,0,20140313102402,20140313102818,unknown
23,Helium4,3,1,20180106120255,20180429151744,unknown
24,Nochmaaal,3,0,20100921191626,20100921192858,unknown
25,Lamilli,3,0,20070823205944,20090203201341,unknown
26,Leppus,2,1,20070107101410,20070107101436,unknown
27,EmausBot,2,2,20110910045257,20130116043815,unknown
28,LdlV,2,0,20140831085553,20140831085617,unknown
29,STBR,2,2,20070213215059,20070213215123,unknown
30,84.134.165.210,2,0,20141126164505,20141126164549,unknown
31,85.127.148.192,2,0,20070820225556,20070820225614,unknown
32,93.129.142.56,2,0,20110119162042,20110119162237,unknown
33,Kdkeller,2,2,20090901174759,20090901174853,unknown
34,91.43.176.231,2,0,20121201012155,20121201012610,unknown
35,Between the lines,2,2,20080215195220,20080215195645,unknown
36,Blaua,2,2,20140610055713,20180418084625,unknown
37,Church of emacs,2,1,20110907074055,20110908204538,unknown
38,Midget~dewiki,2,0,20080904100839,20080904100928,unknown
39,Sargoth,2,2,20080629231805,20090809071210,unknown
40,SilvonenBot,2,2,20080412114248,20090829104914,unknown
41,J-bay,2,0,20120210110200,20120210110533,unknown
42,Mkie,2,0,20061002220715,20061002220737,unknown
43,Bracher,2,0,20070908003502,20070908003606,unknown
44,Jakobius de,2,0,20150210114250,20150210114340,unknown
45,Groupsixty,2,2,20080712111308,20080712111414,unknown
46,85.181.82.255,2,0,20100210191911,20100210192318,unknown
47,Horst Gräbner,2,2,20160511165631,20180317225400,unknown
48,Hungchaka,2,2,20140628145346,20140628150250,unknown
49,The real Marcoman,2,2,20100723230218,20100723230237,unknown
50,VolkovBot,2,2,20080707084536,20100207221836,unknown
51,84.115.136.73,2,0,20070519184427,20070519184437,unknown
52,161.53.130.108,2,0,20070902162027,20070902162415,unknown
53,88.68.122.112,1,0,20101209174714,20101209174714,unknown
54,WissensDürster,1,1,20120527192129,20120527192129,unknown
55,67.124.118.186,1,0,20040907155252,20040907155252,unknown
56,Lord van Tasm,1,0,20160512170143,20160512170143,unknown
57,Invisigoth67,1,1,20080326210243,20080326210243,unknown
58,89.182.135.85,1,0,20111219153228,20111219153228,unknown
59,2.240.25.157,1,0,20140721093153,20140721093153,unknown
60,212.162.48.124,1,0,20040810153842,20040810153842,unknown
61,CamelCaseNick,1,0,20151206181819,20151206181819,unknown
62,87.174.139.115,1,0,20071029215011,20071029215011,unknown
63,217.7.195.57,1,0,20140219145907,20140219145907,unknown
64,89.15.238.89,1,0,20150607151201,20150607151201,unknown
65,85.178.83.7,1,0,20060710214238,20060710214238,unknown
66,Wigoo,1,0,20180606111424,20180606111424,unknown
67,77.64.176.170,1,0,20070902232104,20070902232104,unknown
68,Minderbinder,1,0,20080930134936,20080930134936,unknown
69,82.113.99.141,1,0,20110630184852,20110630184852,unknown
70,Jahfaby,1,0,20130815131742,20130815131742,unknown
71,Radiojunkie,1,1,20141231080715,20141231080715,unknown
72,Wst,1,1,20060124233236,20060124233236,unknown
73,92.214.201.74,1,0,20171201005222,20171201005222,unknown
74,Metalhead64,1,0,20070824084507,20070824084507,unknown
75,84.44.155.124,1,0,20080709020047,20080709020047,unknown
76,217.234.226.102,1,0,20091222012033,20091222012033,unknown
77,79.142.79.10,1,0,20110217175324,20110217175324,unknown
78,Tempel,1,0,20121127144346,20121127144346,unknown
79,217.186.112.125,1,0,20141104211732,20141104211732,unknown
80,Christoffel,1,0,20050725203105,20050725203105,unknown
81,Aristeas,1,0,20160925103639,20160925103639,unknown
82,AlleborgoBot,1,1,20070525213912,20070525213912,unknown
83,194.29.99.50,1,0,20080519085628,20080519085628,unknown
84,77.176.171.116,1,0,20090906195317,20090906195317,unknown
85,MiroII,1,1,20120308144439,20120308144439,unknown
86,Zbik,1,0,20040810204307,20040810204307,unknown
87,Dansker,1,1,20160225213842,20160225213842,unknown
88,2A02:908:108F:1400:8C14:94E3:B620:C7EE,1,0,20190303215254,20190303215254,unknown
89,Dachbewohner,1,1,20080126134020,20080126134020,unknown
90,LaaknorBot,1,1,20090711164508,20090711164508,unknown
91,77.20.56.68,1,0,20100824174105,20100824174105,unknown
92,77.21.73.140,1,0,20111015195315,20111015195315,unknown
93,Sinaspace,1,1,20140331105316,20140331105316,unknown
94,176.4.5.4,1,0,20150929190558,20150929190558,unknown
95,84.145.99.36,1,0,20061122182725,20061122182725,unknown
96,141.90.9.62,1,0,20180829055140,20180829055140,unknown
97,Fabfly,1,0,20070911204928,20070911204928,unknown
98,91.89.42.24,1,0,20110904080133,20110904080133,unknown
99,Papiere,1,0,20140126164149,20140126164149,unknown
100,Udo T.,1,1,20150227202533,20150227202533,unknown
101,Gardini,1,1,20060418224232,20060418224232,unknown
102,84.159.92.181,1,0,20180420101306,20180420101306,unknown
103,MarkusHagenlocher,1,1,20070902163128,20070902163128,unknown
104,Amlor,1,0,20080814151040,20080814151040,unknown
105,Textkorrektur,1,0,20100505134331,20100505134331,unknown
106,Armin P.,1,1,20110313010455,20110313010455,unknown
107,78.35.149.173,1,0,20130219144357,20130219144357,unknown
108,竹麦魚,1,1,20051119144832,20051119144832,unknown
109,Informationswiedergutmachung,1,0,20170610212520,20170610212520,unknown
110,Kai-Hendrik,1,0,20080610114238,20080610114238,unknown
111,80.134.124.184,1,0,20091205130519,20091205130519,unknown
112,Serols,1,1,20140911090856,20140911090856,unknown
113,Guety,1,1,20041216075637,20041216075637,unknown
114,Dirkb,1,0,20160520105912,20160520105912,unknown
115,Emgo,1,1,20070427100743,20070427100743,unknown
116,190.154.160.9,1,0,20080405215529,20080405215529,unknown
117,Troubleonfire,1,1,20101101220215,20101101220215,unknown
118,77.11.154.158,1,0,20120125195839,20120125195839,unknown
119,82.83.195.165,1,0,20140818221050,20140818221050,unknown
120,85.178.46.58,1,0,20160128202639,20160128202639,unknown
121,DodekBot,1,1,20070111170555,20070111170555,unknown
122,82.226.165.161,1,0,20071106225902,20071106225902,unknown
123,132.216.77.22,1,0,20140307210537,20140307210537,unknown
124,3eni,1,1,20150705154632,20150705154632,unknown
125,HH58,1,1,20060831153533,20060831153533,unknown
126,Quadricarinatus,1,0,20180721164520,20180721164520,unknown
127,87.172.106.222,1,0,20070903211355,20070903211355,unknown
128,80.187.117.29,1,0,20080930160143,20080930160143,unknown
129,Be44,1,1,20110714122007,20110714122007,unknown
130,DF5GO,1,0,20130820053611,20130820053611,unknown
131,CommonsDelinker,1,0,20150121010441,20150121010441,unknown
132,Eskimbot,1,1,20060131083348,20060131083348,unknown
133,Schreiber Licht,1,0,20171231090207,20171231090207,unknown
134,DHN-bot~dewiki,1,1,20070829171544,20070829171544,unknown
135,Dodo von den Bergen,1,1,20080712063013,20080712063013,unknown
136,85.177.203.238,1,0,20100117212835,20100117212835,unknown
137,Jivee Blau,1,1,20110217175330,20110217175330,unknown
138,Uwe Gille,1,1,20050804152013,20050804152013,unknown
139,TaxonBot,1,1,20170105184947,20170105184947,unknown
140,86.69.120.79,1,0,20070816215757,20070816215757,unknown
141,Dozor,1,0,20080530170338,20080530170338,unknown
142,King Kane,1,1,20091010134617,20091010134617,unknown
143,84.56.119.153,1,0,20101117145611,20101117145611,unknown
144,188.60.104.186,1,0,20120514202727,20120514202727,unknown
145,46.5.0.224,1,0,20140905150728,20140905150728,unknown
146,Rainer Zenz,1,1,20040810213601,20040810213601,unknown
147,2003:63:2E2F:A779:75C6:7076:FE65:18BA,1,0,20160511165605,20160511165605,unknown
148,Thijs!bot,1,1,20070223181637,20070223181637,unknown
149,92.225.34.6,1,0,20090802013910,20090802013910,unknown
150,79.245.156.73,1,0,20100921160131,20100921160131,unknown
