,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Pbhh1,26,4,20091005163047,20100127213502,unknown
1,78.55.158.97,13,0,20090928163125,20090928172527,unknown
2,Olaf Kosinsky,7,4,20150205131244,20190303201417,unknown
3,Okmijnuhb,6,3,20090918093847,20090928141730,unknown
4,78.55.176.32,4,0,20100203191507,20100203193733,unknown
5,Xxlillygracexx,4,0,20150411113731,20150411114343,unknown
6,R-E-AL,4,3,20130811101256,20130811180904,unknown
7,RoBri,3,1,20171031142940,20181210082413,unknown
8,77.8.25.204,3,0,20130616190505,20130616193809,unknown
9,BueroLinnemann,3,0,20151118102529,20151130165857,unknown
10,Marcus Cyron,3,3,20121102215731,20121102215820,unknown
11,InternetArchiveBot,3,0,20180325104132,20190309060628,unknown
12,Joe-Tomato,3,2,20100611131436,20130923175535,unknown
13,Zaphiro,3,3,20100203194041,20100203194350,unknown
14,Tsungam,3,2,20130618123741,20161128125723,unknown
15,Buchbibliothek,3,3,20180924210218,20180924210502,unknown
16,Howwi,3,1,20091005163222,20100116093018,unknown
17,Olliboot,3,1,20100528112358,20100607073826,unknown
18,Aka,2,2,20150714110748,20170618204316,unknown
19,D,2,1,20131009132029,20131009132138,unknown
20,87.138.127.56,2,0,20180816130148,20180917133517,unknown
21,Crazy1880,2,0,20170325181706,20171001065606,unknown
22,78.49.235.135,2,0,20130917161813,20130917182706,unknown
23,84.61.151.31,2,0,20090929084558,20090929131214,unknown
24,Casra,2,0,20140912163125,20140912163351,unknown
25,Sf67,2,2,20100522114528,20100607151949,unknown
26,2001:638:502:A003:BD8C:6E35:C283:F782,2,0,20130923170430,20130923170533,unknown
27,79.196.236.246,2,0,20090930112308,20090930112844,unknown
28,Hiddenhauser,2,0,20160206114058,20160206114144,unknown
29,93.104.162.2,2,0,20141211112105,20141211112140,unknown
30,Dateientlinkerbot,1,0,20181017162624,20181017162624,unknown
31,Felix Stember,1,1,20090928213102,20090928213102,unknown
32,Gymel,1,1,20120520215741,20120520215741,unknown
33,217.87.95.128,1,0,20090918084220,20090918084220,unknown
34,Akkakk,1,0,20110602175453,20110602175453,unknown
35,Kuebi,1,0,20141212124851,20141212124851,unknown
36,Ruhle,1,1,20100606092918,20100606092918,unknown
37,193.17.244.2,1,0,20140911072655,20140911072655,unknown
38,Blaua,1,1,20170718054553,20170718054553,unknown
39,2A02:8108:1BF:E088:E194:879:8FC6:C086,1,0,20170105193741,20170105193741,unknown
40,Euro2009,1,0,20091005101359,20091005101359,unknown
41,79.196.240.164,1,0,20090928104626,20090928104626,unknown
42,DaBroMfld,1,1,20111124082900,20111124082900,unknown
43,77.8.144.51,1,0,20110103192538,20110103192538,unknown
