,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Barb,33,28,20051230165648,20061009192229,unknown
1,Doku,9,9,20060317161922,20060320181842,unknown
2,94.77.172.31,8,0,20100512235721,20100513000023,unknown
3,Schwarze Feder,7,2,20130129185027,20140225152939,unknown
4,Theorie finden und löschen,7,0,20070212095556,20070212100150,unknown
5,Luckas-bot,6,6,20100421064323,20120416152005,unknown
6,RobotQuistnix,6,6,20060305153914,20070219215739,unknown
7,Regi51,5,5,20090428150839,20170906102325,unknown
8,Mazbln,5,1,20090206193627,20100728163009,unknown
9,SieBot,5,5,20070812104215,20100226113831,unknown
10,Stefan.lefnaer,4,3,20090615192755,20090615193128,unknown
11,EmausBot,4,4,20101026120924,20130203182127,unknown
12,0g1o2i3k4e5n6,4,1,20090205190903,20100409073918,unknown
13,84.141.78.14,4,0,20061213172355,20061213172800,unknown
14,Helmut Welger,4,2,20060211144523,20060707134410,unknown
15,Ute Erb,4,4,20100527111756,20100527112425,unknown
16,HV,4,2,20060709101644,20080522165232,unknown
17,WAH,4,2,20060328135206,20110116000316,unknown
18,Hens,4,4,20061222205559,20061222205719,unknown
19,Kängurutatze,3,1,20121202121728,20151113210334,unknown
20,193.170.250.70,3,0,20051201132039,20051202082121,unknown
21,84.153.99.221,3,0,20091008231313,20091008231449,unknown
22,Zaphiro,3,2,20081223210629,20091008232436,unknown
23,Jürgen Oetting,3,1,20140225143411,20140225152235,unknown
24,84.156.222.173,3,0,20060408105752,20060408111250,unknown
25,84.62.29.146,3,0,20061006192722,20061006202632,unknown
26,77.11.61.205,3,0,20110203181454,20110203183333,unknown
27,Pappenheim,3,1,20101206144749,20150311114552,unknown
28,79.244.161.48,3,0,20160224103956,20160224104158,unknown
29,Fiona B.,3,0,20130129234340,20130129235412,unknown
30,80.143.116.138,3,0,20051206120523,20051206120723,unknown
31,88.117.101.34,3,0,20110115235608,20110116001747,unknown
32,Pittimann,3,3,20091005085504,20161010083946,unknown
33,Andy king50,2,0,20060102151338,20061022171124,unknown
34,Der.Traeumer,2,2,20120412134320,20120412134528,unknown
35,Aka,2,2,20060324164114,20060428193144,unknown
36,MastiBot,2,2,20090707151846,20090729233426,unknown
37,85.178.98.200,2,0,20120609174130,20120609174202,unknown
38,Vagobot,2,2,20111110070511,20111220050514,unknown
39,Lukas0907,2,2,20070627141524,20070817012633,unknown
40,2A02:810A:8540:D88:6D0E:81F8:690F:5E51,2,0,20140224134105,20140224134140,unknown
41,GS63,2,0,20180211102943,20180530050123,unknown
42,83.189.61.71,2,0,20071212180053,20071212180215,unknown
43,84.178.116.246,2,0,20060512133216,20060512133704,unknown
44,84.143.243.111,2,0,20060630062242,20060630062310,unknown
45,141.24.51.117,2,0,20070106024733,20070106024850,unknown
46,83.236.50.79,2,0,20061121112630,20061121113553,unknown
47,188.99.83.105,2,0,20100407151306,20100407151548,unknown
48,Goliath613,2,1,20110810201903,20110810202340,unknown
49,87.122.54.230,2,0,20061213172502,20061213172728,unknown
50,Peter200,2,2,20071125194641,20080423073414,unknown
51,Ptbotgourou,2,2,20081227104752,20091006070050,unknown
52,194.39.104.12,2,0,20120412134312,20120412134522,unknown
53,Ilja Lorek,2,1,20141005072818,20150301074247,unknown
54,Zwobot,2,2,20060113211122,20060215140752,unknown
55,€pa,2,0,20070213014627,20090820095531,unknown
56,217.95.119.66,2,0,20071130145238,20071130145622,unknown
57,172.181.158.139,2,0,20060518141715,20060518141742,unknown
58,Eul of Olaf,2,0,20061004193604,20061005140904,unknown
59,Roxbury,2,2,20060825142235,20060825142952,unknown
60,87.147.105.126,1,0,20101105232458,20101105232458,unknown
61,PieRat,1,1,20160224104255,20160224104255,unknown
62,Jed,1,1,20060706115326,20060706115326,unknown
63,89.12.33.2,1,0,20070128232702,20070128232702,unknown
64,Culture fair,1,0,20071212072842,20071212072842,unknown
65,Dullnraamer,1,1,20100727071502,20100727071502,unknown
66,91.61.245.15,1,0,20151113205159,20151113205159,unknown
67,80.145.77.72,1,0,20060611083953,20060611083953,unknown
68,84.128.116.135,1,0,20061209135218,20061209135218,unknown
69,128.176.103.89,1,0,20071123150443,20071123150443,unknown
70,T.M.L.-KuTV,1,1,20090210095550,20090210095550,unknown
71,Dan-yell,1,1,20100413052219,20100413052219,unknown
72,93.215.59.96,1,0,20110820223839,20110820223839,unknown
73,Louis Wu,1,0,20141113191107,20141113191107,unknown
74,Irene1949,1,0,20060414004013,20060414004013,unknown
75,Count Count,1,0,20180822074813,20180822074813,unknown
76,DerHexer,1,1,20061012214016,20061012214016,unknown
77,81.183.132.202,1,0,20070828194518,20070828194518,unknown
78,Dr. Manuel,1,0,20081220205300,20081220205300,unknown
79,24karamea,1,1,20110220094431,20110220094431,unknown
80,84.187.107.226,1,0,20140225142213,20140225142213,unknown
81,Wheeke,1,1,20180220074410,20180220074410,unknown
82,194.8.96.68,1,0,20060914070301,20060914070301,unknown
83,Jordi Roqué,1,0,20070606134211,20070606134211,unknown
84,Klaeren,1,0,20081005101027,20081005101027,unknown
85,79.192.200.185,1,0,20091009085631,20091009085631,unknown
86,109.43.0.4,1,0,20101205182847,20101205182847,unknown
87,KLBot2,1,1,20130403195649,20130403195649,unknown
88,Skilled sniper,1,1,20060211143429,20060211143429,unknown
89,BlaueBlüte,1,1,20170410023325,20170410023325,unknown
90,80.141.13.211,1,0,20060726123333,20060726123333,unknown
91,DianeAnna,1,1,20070213164059,20070213164059,unknown
92,217.88.188.62,1,0,20080423073129,20080423073129,unknown
93,Cherubino,1,1,20051207182313,20051207182313,unknown
94,Ordnungsgemäß,1,0,20160104125504,20160104125504,unknown
95,Gnu1742,1,1,20060629091900,20060629091900,unknown
96,Affinity,1,1,20061223214052,20061223214052,unknown
97,TheWolf,1,1,20071130145251,20071130145251,unknown
98,91.33.225.58,1,0,20090428150733,20090428150733,unknown
99,Christian Lindecke,1,1,20100513000058,20100513000058,unknown
100,Jossekl,1,0,20150311105249,20150311105249,unknown
101,89.51.17.145,1,0,20060521003118,20060521003118,unknown
102,213.188.55.28,1,0,20181008154837,20181008154837,unknown
103,W!B:,1,0,20061115180757,20061115180757,unknown
104,172.179.208.236,1,0,20070925190511,20070925190511,unknown
105,Eisbaer44,1,1,20100324114941,20100324114941,unknown
106,217.186.52.145,1,0,20110517162315,20110517162315,unknown
107,Codc,1,1,20140615003700,20140615003700,unknown
108,Mons Maenalus,1,1,20060405043740,20060405043740,unknown
109,80.228.93.178,1,0,20180529142423,20180529142423,unknown
110,149.225.68.57,1,0,20061006083552,20061006083552,unknown
111,Chesk,1,0,20081212171055,20081212171055,unknown
112,Logograph,1,1,20110116003828,20110116003828,unknown
113,82.67.116.116,1,0,20060315011439,20060315011439,unknown
114,YurikBot,1,1,20060825195858,20060825195858,unknown
115,F.Bulla,1,1,20070523154315,20070523154315,unknown
116,HaSee,1,0,20080702172923,20080702172923,unknown
117,1971markus,1,1,20101105232715,20101105232715,unknown
118,84.166.231.118,1,0,20130124174847,20130124174847,unknown
119,Weiße Rose,1,0,20060102170630,20060102170630,unknown
120,84.173.28.226,1,0,20161010083851,20161010083851,unknown
121,84.63.161.109,1,0,20060707085623,20060707085623,unknown
122,Aditu,1,0,20070201151708,20070201151708,unknown
123,Olag,1,0,20090615205919,20090615205919,unknown
124,HJJHolm,1,0,20101014083853,20101014083853,unknown
125,Elendsredder,1,0,20120501001602,20120501001602,unknown
126,Tk,1,0,20051202141933,20051202141933,unknown
127,2A02:908:FD32:1D80:D5A7:C605:2D28:2F3D,1,0,20151121143715,20151121143715,unknown
128,Thijs!bot,1,1,20060618044127,20060618044127,unknown
129,217.232.101.124,1,0,20071125194633,20071125194633,unknown
130,Schuhpuppe,1,1,20090222225355,20090222225355,unknown
131,Kaisersoft,1,1,20110820223955,20110820223955,unknown
132,2A02:8109:A0C0:1C3C:A479:8FF:6C7B:D991,1,0,20150118014649,20150118014649,unknown
133,62.178.214.25,1,0,20180831184725,20180831184725,unknown
134,.anacondabot,1,1,20061015200245,20061015200245,unknown
135,DHN-bot~dewiki,1,1,20070830084333,20070830084333,unknown
