,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,J. Patrick Fischer,43,10,20090728130113,20171129195114,unknown
1,Seelefant,20,7,20110217044531,20120826142607,unknown
2,Mojoaxel,15,5,20100810101129,20131220202404,unknown
3,Feldwebel,15,0,20070711003512,20070802235927,unknown
4,GiordanoBruno,15,3,20110702163611,20180905160517,unknown
5,Legalides,11,1,20070705074812,20070722220700,unknown
6,Schotterebene,7,6,20160515103306,20171128062242,unknown
7,Qualiabavariae,7,0,20150224160654,20170517120851,unknown
8,84.148.79.225,7,0,20070616205401,20070616223407,unknown
9,Aka,6,6,20130115192435,20171129205308,unknown
10,Kasa Fue,6,4,20140217110344,20171023153003,unknown
11,Andol,6,0,20171128142842,20171129135721,unknown
12,RoBri,5,2,20171127221836,20171203101220,unknown
13,149.225.54.226,5,0,20070723001506,20070723002555,unknown
14,80.132.142.51,5,0,20140217153109,20140217210020,unknown
15,Pelz,4,2,20070714220944,20141111230154,unknown
16,MAY,4,0,20120105152327,20181121001014,unknown
17,Túrelio,4,2,20140903100723,20140903140529,unknown
18,2003:4C:696E:9400:2D6B:B04A:B2E5:AAF3,4,0,20171128192030,20171128194647,unknown
19,Olaf Kosinsky,4,2,20160319171948,20180418111620,unknown
20,Malabon,4,3,20120323205806,20140112190619,unknown
21,Jensbest,3,0,20171129193942,20171203203902,unknown
22,Max Plenert,3,1,20051013094916,20051013140845,unknown
23,LIU,3,1,20140217183554,20140217183758,unknown
24,Bigbug21,3,1,20171024200235,20180314193352,unknown
25,Gripweed,3,3,20171129200443,20171201141403,unknown
26,AlexanderRahm,3,2,20100802125141,20100802125246,unknown
27,Saloa,3,0,20140217204237,20140217210221,unknown
28,Reinold M3i3r,3,3,20170228150729,20170228151106,unknown
29,Florian Scheel,3,3,20171128155133,20171128193558,unknown
30,Bastian Gebhardt,3,3,20180905131126,20180905132410,unknown
31,Lettres,3,0,20171128193636,20171203201810,unknown
32,Spuk968,2,1,20120801114745,20120801115008,unknown
33,Des Wolfes Stimme,2,0,20170721232043,20170721232348,unknown
34,217.238.33.2,2,0,20070812104538,20070812104607,unknown
35,Krauterer,2,1,20110302154504,20110302154547,unknown
36,StagiaireMGIMO,2,0,20140902202314,20140906000325,unknown
37,91.47.194.237,2,0,20161006082156,20161006082242,unknown
38,Krdbot,2,1,20110706181734,20140218154536,unknown
39,89.247.84.53,2,0,20110301135232,20110301135309,unknown
40,Feloscho,2,1,20140218154444,20140218154612,unknown
41,Horst Gräbner,2,2,20160103092946,20161006082317,unknown
42,Veremundus,2,1,20070319192539,20070319192645,unknown
43,Ngowatchtransparent,2,0,20090312154226,20100727145006,unknown
44,Indeedous,2,0,20130717170052,20130921170224,unknown
45,Malki1211,2,0,20140221123226,20140221123510,unknown
46,Safralu,2,1,20130127135344,20130226165509,unknown
47,176.74.57.162,2,0,20171025153636,20171025154240,unknown
48,NoCultureIcons,2,1,20110301163204,20140217081654,unknown
49,TheK,2,0,20070802235230,20070803000131,unknown
50,Triebtäter,2,0,20070710171707,20070711054652,unknown
51,Michelhausen,2,0,20120130192022,20120130192154,unknown
52,193.25.119.79,2,0,20051106091727,20051106091840,unknown
53,V4len,2,0,20140903112134,20140903112441,unknown
54,2003:65:EE15:4E01:E98E:499F:E620:7E5D,2,0,20131021081242,20131021081316,unknown
55,Natsu Dragoneel,2,0,20151228072436,20160710123730,unknown
56,TK-lion,2,0,20120721111021,20120721111533,unknown
57,Baumfreund-FFM,2,1,20140217111733,20140217111827,unknown
58,JFH-52,2,1,20171026101751,20171201150608,unknown
59,Miltrak,2,0,20111011190647,20130526124054,unknown
60,Gunnarspandau,2,2,20140217085736,20140217085842,unknown
61,Arieswings,2,0,20140911133013,20140911133255,unknown
62,93.233.89.103,2,0,20130625180315,20130625180442,unknown
63,Chire,2,1,20171128170200,20171128171051,unknown
64,62.65.107.110,2,0,20171127220907,20171127232912,unknown
65,Hardenacke,2,2,20090521182220,20091031203759,unknown
66,Gut informiert,2,2,20140217100605,20140217153052,unknown
67,139.18.1.5,2,0,20051124080952,20051124081026,unknown
68,To11,2,0,20140217080012,20140217080421,unknown
69,Supermartl,1,0,20091025100758,20091025100758,unknown
70,Momo91,1,0,20140217133208,20140217133208,unknown
71,Boshomi,1,0,20151023144435,20151023144435,unknown
72,Frīheidasliova,1,0,20171126102652,20171126102652,unknown
73,BMG12,1,0,20180111121658,20180111121658,unknown
74,Nixred,1,1,20070211121804,20070211121804,unknown
75,Webverbesserer,1,1,20090205101838,20090205101838,unknown
76,87.165.107.63,1,0,20111218203815,20111218203815,unknown
77,Komischn,1,1,20140217085858,20140217085858,unknown
78,217.85.158.162,1,0,20140914075020,20140914075020,unknown
79,77.12.61.172,1,0,20140101034020,20140101034020,unknown
80,Karim,1,1,20171128203828,20171128203828,unknown
81,Liberaler Bayer,1,1,20101102054001,20101102054001,unknown
82,Pittimann,1,1,20130625180453,20130625180453,unknown
83,Bungert55,1,0,20140220135439,20140220135439,unknown
84,79.205.74.104,1,0,20160226094049,20160226094049,unknown
85,César,1,0,20171128172028,20171128172028,unknown
86,Dewritech,1,1,20100712105926,20100712105926,unknown
87,Centenier,1,1,20151127170013,20151127170013,unknown
88,InternetArchiveBot,1,0,20180325104534,20180325104534,unknown
89,217.225.25.39,1,0,20070607225906,20070607225906,unknown
90,178.9.58.9,1,0,20120517220309,20120517220309,unknown
91,84.157.119.62,1,0,20140217104940,20140217104940,unknown
92,Gödeke,1,1,20150123145710,20150123145710,unknown
93,Otberg,1,1,20171203103809,20171203103809,unknown
94,TMFS,1,0,20051126150840,20051126150840,unknown
