,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Pinneberg,105,44,20120108115831,20120306210345,unknown
1,Qualiabavariae,95,5,20111219145407,20140904194307,unknown
2,Neun-x,67,7,20100814055804,20140610202001,unknown
3,Zaphiro,61,60,20050527163313,20100630232748,unknown
4,Frauke32,50,4,20111228142358,20130827110728,unknown
5,Meier99,43,35,20120104162254,20140301112252,unknown
6,TMFS,42,9,20031117124645,20080614132333,unknown
7,Enemenemu,38,11,20100603165244,20120304140714,unknown
8,Luckas-bot,29,29,20100603163647,20120325132011,unknown
9,In dubio pro dubio,27,25,20110201211452,20120221142559,unknown
10,Torsten Bätge,24,11,20070214175611,20080226123836,unknown
11,PsY.cHo,22,22,20100630193915,20130828013003,unknown
12,Brodkey65,20,10,20100604210559,20161028082108,unknown
13,Simplicius,20,3,20111224194930,20120221083552,unknown
14,Berlin-Jurist,18,6,20050527141651,20080412104856,unknown
15,Aveexoo,18,8,20111220223406,20120115215731,unknown
16,ChoG,18,3,20110124075644,20141104064640,unknown
17,Meinungsfreiheit,17,5,20111220155108,20120215083247,unknown
18,Alkim Y,17,11,20120121213235,20130410062856,unknown
19,Zollstock,17,0,20050525212554,20051030101556,unknown
20,Gary Dee,16,15,20120105182712,20120203072933,unknown
21,Mogelzahn,16,3,20110417195725,20181219065743,unknown
22,Nielsiii,15,0,20060220191509,20061114014054,unknown
23,Toerbchen,15,7,20041001212816,20110116231611,unknown
24,Pittimann,15,14,20110208184747,20170907101000,unknown
25,Qaswed,14,8,20111218191445,20120209110734,unknown
26,Sol1,14,8,20120106213553,20120118193203,unknown
27,Wilske,14,4,20111221155745,20120325225037,unknown
28,Chianti,13,2,20140227095241,20140613112428,unknown
29,Micha2564,13,3,20060606225431,20100208190535,unknown
30,Mrdaemon,13,3,20100702121727,20111122091758,unknown
31,Martina Nolte,13,1,20091127150957,20120829204550,unknown
32,Zipfelheiner,12,3,20120102103826,20140227114831,unknown
33,CrazyForce,12,0,20061109125624,20070410111854,unknown
34,Aka,12,12,20050705174013,20180404201749,unknown
35,Jwollbold,12,7,20111228170510,20120130224519,unknown
36,Jocian,11,10,20100630215549,20120910164508,unknown
37,Judith M-S,11,0,20100605091426,20120110091559,unknown
38,Schotterebene,11,8,20130630193738,20181030173356,unknown
39,GLGerman,10,6,20060623133612,20070412014648,unknown
40,AxelHH,10,5,20090307222640,20111231133002,unknown
41,Däädaa,10,3,20120104213937,20120223021333,unknown
42,Korfuzius,10,0,20141103182252,20150210134548,unknown
43,Wangen,10,1,20100607210928,20120715154118,unknown
44,Politics,9,2,20100603171738,20100629203722,unknown
45,Michelhausen,9,0,20120110133431,20120220163159,unknown
46,Vsop,9,2,20120325130315,20151020221415,unknown
47,Zipferlak,9,5,20071004074943,20120915200017,unknown
48,Roentgenium111,9,2,20120110173133,20170110172411,unknown
49,146.52.167.148,9,0,20140323113859,20140323130451,unknown
50,Bhuck,9,1,20100701161759,20110621122622,unknown
51,WinfriedSchneider,9,6,20120103185536,20120110185024,unknown
52,LKD,8,8,20070508095652,20121011103722,unknown
53,Sportreport,8,4,20080831195823,20100603185449,unknown
54,Havaube,8,5,20100605070006,20111220112720,unknown
55,DerHexer,8,8,20070306093749,20100630191830,unknown
56,Dina L.,8,1,20120217142937,20120219205259,unknown
57,Matt W. Rehm,8,0,20120104183755,20120105163741,unknown
58,Notebook,8,0,20060624025340,20061125125336,unknown
59,Gustav von Aschenbach,8,6,20100622100534,20180220002249,unknown
60,Seewolf,8,8,20100630191656,20130606223519,unknown
61,DavidG,8,4,20100625210658,20120110094337,unknown
62,WeiterWeg,7,2,20150812022127,20181101150018,unknown
63,Vwpolonia75,7,3,20120103144601,20120311171414,unknown
64,Ute Erb,7,7,20100604094442,20160630123241,unknown
65,Unscheinbar,7,1,20050526140459,20050916142256,unknown
66,Cvb3,7,0,20120217115907,20120217125129,unknown
67,Boshomi,7,3,20130119221524,20161129193517,unknown
68,HeinzWörth,7,3,20100604140858,20120719145920,unknown
69,Virtualiter,7,4,20111219133017,20120205161608,unknown
70,Jón,7,0,20100630211748,20120218145755,unknown
71,Phi,7,1,20140102183315,20150207194721,unknown
72,Kuebi,6,4,20111218125750,20120217104638,unknown
73,Agatha Bauer,6,1,20111222192613,20130809190457,unknown
74,Regi51,6,6,20080218180338,20150322161122,unknown
75,93.104.12.179,6,0,20120117002308,20120117003615,unknown
76,Itti,6,5,20130606223650,20170316072908,unknown
77,Artmax,6,2,20111217125345,20141111164848,unknown
78,Freak78,6,1,20120127132428,20120208195248,unknown
79,F.Blaubiget,6,0,20140609215532,20171120110242,unknown
80,Tobias1983,6,3,20080218211019,20150726144034,unknown
81,Pierre Menard,6,1,20120117003509,20120326010210,unknown
82,TXiKiBoT,6,6,20100630203850,20101113001313,unknown
83,Otberg,6,2,20110531125324,20120719075435,unknown
84,LSDSL,6,3,20111220103339,20120103102153,unknown
85,Nolo,6,0,20120106182311,20120116190244,unknown
86,Bernd Schwabe in Hannover,6,0,20140227133103,20160503103300,unknown
87,Afforever,6,6,20120107095058,20120225000227,unknown
88,Jobu0101,6,5,20120218135129,20140228171927,unknown
89,Miebner,6,2,20100603181712,20100630193236,unknown
90,Uwe Lück,6,3,20150330202737,20150401125422,unknown
91,79.198.127.168,6,0,20110717094135,20110717100606,unknown
92,Howwi,5,3,20091120163532,20130606193441,unknown
93,Spuk968,5,5,20100630191559,20141212152934,unknown
94,Túrelio,5,1,20100702151112,20100714072904,unknown
95,Alnilam,5,5,20120502094739,20150618091216,unknown
96,Eandré,5,2,20130323054614,20130323060354,unknown
97,Operation Saba,5,0,20120627235330,20120916180107,unknown
98,91.64.227.6,5,0,20080619031223,20080619032439,unknown
99,Nescio*,5,0,20120217213901,20120218145937,unknown
100,Liekedeeler,5,1,20111218143955,20120124200439,unknown
101,Willibaldus,5,5,20120219154255,20120219165905,unknown
102,Aschmidt,5,0,20120217144449,20120220203144,unknown
103,SchirmerPower,5,0,20100603202814,20131115102200,unknown
104,Theophilus77,5,4,20120217100408,20120302215754,unknown
105,Webverbesserer,5,3,20111213071044,20111223061341,unknown
106,Funkruf,5,5,20121011102835,20160104011455,unknown
107,Roland1952,5,1,20100630133054,20110612164503,unknown
108,Inkowik,5,5,20100603134559,20120217121734,unknown
109,Andropov,5,2,20150221182133,20160731192441,unknown
110,Trigonomie,4,4,20110413135433,20120423091417,unknown
111,Strombomboli,4,4,20111218145338,20120103213923,unknown
112,172.179.29.247,4,0,20060908123113,20060908123639,unknown
113,InternetArchiveBot,4,0,20180321044833,20190310051805,unknown
114,Wikifreund,4,2,20120102171203,20120403231150,unknown
115,FDMS4,4,2,20140227231307,20140729205103,unknown
116,CherryX,4,3,20121119145034,20131209130400,unknown
117,Giftmischer,4,3,20110620092949,20131212190120,unknown
118,He3nry,4,4,20050627070714,20120217193926,unknown
119,91.57.25.78,4,0,20110222065140,20110222065329,unknown
120,WIKImaniac,4,4,20060624001304,20140125182034,unknown
121,Offenbacherjung,4,4,20130827102541,20130829105630,unknown
122,ZéroBot,4,4,20111116023150,20121110164412,unknown
123,Diba,4,4,20110226131819,20131013175056,unknown
124,84.178.27.109,4,0,20110516122808,20110516124513,unknown
125,212.65.1.102,4,0,20100611084748,20140227101847,unknown
126,Southpark,4,3,20050526143151,20050620163647,unknown
127,Grip99,4,1,20120117010451,20141202000016,unknown
128,Tönjes,4,4,20070225135146,20070426112150,unknown
129,84.162.28.212,4,0,20080513112948,20080513114848,unknown
130,Leit,4,2,20080126223732,20110104200107,unknown
131,Boobarkee,4,3,20120104214152,20120223101727,unknown
132,Pfieffer Latsch,4,1,20110205091346,20110717094517,unknown
133,Benatrevqre,4,3,20100608140625,20100608140910,unknown
