,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,AF666,190,12,20050405213752,20190301090628,unknown
1,Lettres,160,27,20090218102239,20160422175422,unknown
2,Zaphiro,61,58,20050720203533,20100707003905,unknown
3,Berlin-Jurist,45,14,20050605163220,20080504180922,unknown
4,Olaf Kosinsky,40,5,20090517194639,20181029095716,unknown
5,Robert Weemeyer,38,2,20060405151542,20150105135237,unknown
6,Jukebox,32,0,20080206071455,20080601115234,unknown
7,GiordanoBruno,30,8,20101121173137,20171206174323,unknown
8,Eishöhle,27,22,20140312192739,20151204183140,unknown
9,Kleiner Stampfi,25,5,20120612125655,20140615181025,unknown
10,Hardenacke,25,18,20081102181114,20180901171339,unknown
11,Hansele,23,5,20050223011433,20060717000354,unknown
12,Unscheinbar,23,19,20041124090719,20170116133754,unknown
13,Regi51,22,22,20080425180758,20180123191223,unknown
14,Karsten11,21,5,20060502123445,20171007132944,unknown
15,Gustav von Aschenbach,20,16,20080417182204,20181020165539,unknown
16,Frīheidasliova,20,0,20161223202508,20171004144605,unknown
17,Pittimann,19,17,20100214183643,20170113110503,unknown
18,DerSalamander,18,8,20110112205239,20130923184639,unknown
19,Bücherhexe,17,7,20060921153713,20070224054521,unknown
20,Malcolm77,17,12,20121206155959,20190217091004,unknown
21,Felix König,17,8,20110114185039,20140617205912,unknown
22,Rademacher2015,17,9,20150930115418,20181129065236,unknown
23,217.80.79.116,16,0,20060107085757,20060107133745,unknown
24,Zwobot,16,16,20031206040122,20060202202944,unknown
25,Southpark,16,15,20040325231751,20090716174253,unknown
26,ABF,15,1,20061210110752,20061229154957,unknown
27,Aka,15,15,20050602091049,20170528143746,unknown
28,Skriptor,15,10,20050629190521,20050919120751,unknown
29,Mogelzahn,14,5,20040824203407,20130311151029,unknown
30,Carol.Christiansen,14,9,20080315152335,20120525104230,unknown
31,Altsprachenfreund,13,6,20140119172011,20180219155949,unknown
32,Scooter,12,10,20050820213501,20150630080920,unknown
33,Yoda1893,12,3,20051122181607,20181207155716,unknown
34,Rapober,12,3,20091027193534,20111205075231,unknown
35,Zollstock,12,0,20050520113423,20050725161548,unknown
36,Jergen,12,4,20050227104202,20100428070715,unknown
37,D,11,7,20040819210912,20051206013610,unknown
38,Torsten Bätge,11,8,20070303213759,20080124092202,unknown
39,CommonsDelinker,11,10,20070621154648,20180220090635,unknown
40,Serols,11,11,20140924071624,20170503071751,unknown
41,Complex,10,9,20061221134907,20100304005226,unknown
42,Samweis,10,3,20060410105348,20060813095018,unknown
43,Itti,10,10,20130602150347,20180603140516,unknown
44,FritzG,10,9,20070227194855,20081110184057,unknown
45,80.136.159.93,10,0,20060108002233,20060108005225,unknown
46,Leit,10,4,20081229114351,20161208215526,unknown
47,Ngowatchtransparent,9,1,20090307095853,20111115095717,unknown
48,Tenorhornist5798,9,0,20171012100651,20181207185937,unknown
49,Benatrevqre,9,4,20090829052010,20101014104219,unknown
50,Neuroca,9,0,20060925200355,20090623140958,unknown
51,MAK,9,2,20041120225952,20051203101457,unknown
52,Feliks,9,1,20140828135305,20150108103530,unknown
53,Spuk968,9,9,20100416125112,20150223111055,unknown
54,Nere,9,9,20100330150319,20160502234348,unknown
55,Notebook,9,0,20060711162104,20061012005424,unknown
56,AshSert,9,3,20040731000817,20040801062637,unknown
57,ElTres,9,1,20100106152611,20170115133429,unknown
58,DerHexer,9,8,20070103105259,20131223021157,unknown
59,Logograph,8,7,20080428063813,20170428061341,unknown
60,Diba,8,8,20061109120844,20130118075502,unknown
61,Dioskorides,8,0,20181118191732,20181207225243,unknown
62,217.80.72.152,8,0,20060110103257,20060110153201,unknown
63,Gunsen,8,0,20100214181232,20100214184425,unknown
64,HaeB,8,7,20050419091032,20051207144254,unknown
65,194.95.93.10,8,0,20041210102643,20050909082109,unknown
66,Pamuk,8,0,20150707093325,20150720054534,unknown
67,SanFran Farmer,8,0,20130803191813,20130810153823,unknown
68,33cln33,8,5,20151231160050,20160711155443,unknown
69,Leipnizkeks,8,1,20050102221845,20061109153333,unknown
70,Excolis,8,3,20140813150509,20161016153300,unknown
71,80.171.190.107,7,0,20050809065841,20050809074719,unknown
72,134.100.1.174,7,0,20040818111724,20041012114959,unknown
73,KastusK,7,0,20130402101721,20160716164610,unknown
74,91.54.215.20,7,0,20090213184750,20090213190031,unknown
75,Enyavar,7,1,20060319094131,20060618125601,unknown
76,Dachris,7,0,20050829095839,20051027091223,unknown
77,Phi,7,1,20140408134254,20180627070612,unknown
78,Axt,7,5,20080312135714,20130923123734,unknown
79,Jamaika-Koalition,7,0,20131225193224,20180819112631,unknown
80,Bhuck,7,1,20041220101754,20060903202646,unknown
81,84.132.251.132,7,0,20050906191434,20050906193749,unknown
82,Kurt seebauer,7,1,20050601122202,20051107142532,unknown
83,59 Minuten,7,2,20091202175421,20100109081258,unknown
84,165.138.113.252,7,0,20061127141435,20061215172014,unknown
85,Felix Stember,7,4,20050922064711,20180402152621,unknown
86,Schnabeltassentier,7,4,20150226071436,20170401123107,unknown
87,Woertche.Leo,7,3,20100603203545,20100714151206,unknown
88,Zugang AP 42,7,0,20071207110206,20071219231758,unknown
89,RobotQuistnix,7,7,20050827064226,20070728153814,unknown
90,Magnus Nufer,7,2,20050525190812,20050612130336,unknown
91,89.247.28.108,7,0,20100304004305,20100304004905,unknown
92,Le petit prince,7,6,20061201235245,20070625070151,unknown
93,Verum,7,1,20130711090104,20180423130817,unknown
94,134.100.32.73,6,0,20040331090020,20041213175843,unknown
95,E-qual,6,3,20050527020800,20050704151926,unknown
96,Ot,6,5,20061031094943,20131207092338,unknown
97,Saarland4ever,6,6,20070401101528,20130203182003,unknown
98,Horst Gräbner,6,5,20130116111837,20180315100741,unknown
99,Connoisseur of politics,6,2,20131104162116,20160711234922,unknown
100,Der-Wir-Ing,6,1,20140914212407,20180118155509,unknown
101,Dr Möpuse,6,2,20070805112728,20070822102003,unknown
102,Casra,6,4,20100209144517,20100407220128,unknown
103,80.138.87.52,6,0,20060111180849,20060111182317,unknown
104,Rita2008,6,0,20090408143436,20130528133554,unknown
105,Natsu Dragoneel,6,6,20160421124430,20170829193247,unknown
106,SieBot,6,6,20070812171853,20100626130556,unknown
107,Faber-Castell,6,0,20060413092326,20061010192012,unknown
