,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,DerSalamander,193,91,20101227040353,20151101172836,unknown
1,Q'Alex,158,57,20040619125531,20131004144802,unknown
2,AF666,106,3,20050403153244,20151222225400,unknown
3,Qualiabavariae,57,0,20110811091134,20180227101331,unknown
4,J. Patrick Fischer,28,11,20090916144929,20150331192641,unknown
5,Gustav von Aschenbach,22,18,20081012101539,20180306183302,unknown
6,Olaf Kosinsky,19,4,20090525013434,20171107150302,unknown
7,Horst Gräbner,17,14,20121130100119,20180623083645,unknown
8,Neun-x,16,0,20101117014009,20190203151531,unknown
9,ElTres,16,1,20110331160900,20140701085529,unknown
10,Felix König,16,4,20101227110743,20140207160642,unknown
11,Aka,15,15,20051111095144,20180707193455,unknown
12,Natsu Dragoneel,12,10,20151228072313,20180930195821,unknown
13,Mogelzahn,12,7,20040815100018,20130311181549,unknown
14,Freud,11,2,20120229185628,20131113193531,unknown
15,Tolentino,11,6,20080929140029,20100109133957,unknown
16,Braveheart,11,3,20080928161705,20181009122800,unknown
17,Nixx,11,1,20070713121727,20110623112949,unknown
18,Regi51,11,11,20090103172157,20180618105038,unknown
19,Bmstr,11,0,20180427191334,20190113091336,unknown
20,Rusti,11,0,20080216185113,20081101080324,unknown
21,Jivee Blau,10,7,20100430190814,20180926181318,unknown
22,Klios,10,0,20080329094546,20171203212632,unknown
23,Peter200,10,10,20080425054121,20130923064158,unknown
24,Diba,9,8,20060214111858,20120113090947,unknown
25,Ramsau,9,0,20060307215711,20061205192121,unknown
26,Pittimann,9,8,20090603080617,20170907082620,unknown
27,Nothere,8,7,20110329073556,20121104145336,unknown
28,Miiichale,8,5,20180207145503,20180804103726,unknown
29,Howwi,8,8,20090102204753,20130527084913,unknown
30,Dateientlinkerbot,8,6,20140119172651,20140715113559,unknown
31,Wetterwolke,8,7,20140707220639,20180318135802,unknown
32,DerHexer,8,8,20070313111956,20130702084348,unknown
33,77.58.249.16,8,0,20180209200014,20181018182303,unknown
34,KastusK,8,0,20120717185221,20160716170619,unknown
35,Kleiner Stampfi,7,1,20120614154320,20140615181722,unknown
36,78.34.53.74,7,0,20081231130740,20090103173949,unknown
37,Der.Traeumer,7,6,20090212145044,20180627192258,unknown
38,Unscheinbar,7,5,20050130225643,20160525095901,unknown
39,Slökmann,7,5,20071005022233,20180504120949,unknown
40,Rmcharb,7,5,20140210133831,20190203190222,unknown
41,Berlinschneid,7,1,20070815105542,20190129142151,unknown
42,Alnilam,7,7,20111202094028,20160303080849,unknown
43,Informationswiedergutmachung,6,6,20161114003147,20180102111456,unknown
44,Internetcafe,6,6,20051207210325,20051207211126,unknown
45,Connoisseur of politics,6,0,20131228103445,20180706172112,unknown
46,213.183.13.13,6,0,20111129144938,20171013133531,unknown
47,Isjc99,6,1,20120330201705,20131216141716,unknown
48,Qaswed,6,2,20110926090849,20160319094732,unknown
49,87.173.222.52,6,0,20081205100118,20081205100624,unknown
50,Buchbibliothek,6,3,20151101110645,20180914222601,unknown
51,MrPtroll,6,1,20130927094904,20131004075248,unknown
52,Bayernparteiler,6,5,20061106114317,20080117154654,unknown
53,Southpark,6,5,20040302085936,20090716174252,unknown
54,Ampfinger,6,6,20080712144010,20181221140129,unknown
55,Ngowatchtransparent,6,1,20090309105419,20111102172415,unknown
56,Usquam,5,3,20081202175817,20090221164559,unknown
57,Der-Wir-Ing,5,0,20140906140513,20160222164613,unknown
58,Complex,5,5,20070311194955,20091022195528,unknown
59,Roehrensee,5,0,20120330190652,20120401155839,unknown
60,JuTe CLZ,5,3,20151111195854,20180623093744,unknown
61,91.54.229.52,5,0,20090211160309,20090211161232,unknown
62,Inkowik,5,5,20100624121050,20130204105329,unknown
63,Kuebi,5,4,20150211191750,20150211193350,unknown
64,Eishöhle,5,3,20140312195950,20151224103926,unknown
65,Shekko,5,2,20040402215025,20090711110548,unknown
66,RobotQuistnix,5,5,20050812145629,20051229160404,unknown
67,93.104.178.167,5,0,20131231173343,20131231173921,unknown
68,Baumfreund-FFM,5,0,20070119190359,20080222113802,unknown
69,131.220.96.92,5,0,20050916132708,20050916133853,unknown
70,M.L,5,4,20081229040940,20090212144712,unknown
71,APPER,4,4,20050918233858,20150202194416,unknown
72,Logograph,4,4,20090812081534,20160513062436,unknown
73,Boshomi,4,1,20150912110834,20180402165556,unknown
74,Sinn,4,3,20070216151952,20080111100627,unknown
75,CML Kodykody,4,4,20190112192746,20190112194105,unknown
76,89.132.60.228,4,0,20070120161554,20070120162525,unknown
77,Be11,4,0,20151101183148,20160412160436,unknown
78,Gamma9,4,3,20081002214404,20090213234900,unknown
79,Jergen,4,3,20050927192246,20171109085720,unknown
80,Benatrevqre,4,1,20100608121410,20180617124501,unknown
81,KomDok,4,0,20141206020532,20150218042703,unknown
82,Centenier,4,4,20151105071235,20170712160825,unknown
83,91.50.73.77,4,0,20080828062344,20080828063317,unknown
84,Bayern,4,0,20061011093831,20061012070537,unknown
85,Schnabeltassentier,4,1,20150305073950,20181203065258,unknown
86,213.6.60.19,4,0,20051202142106,20051202143754,unknown
87,Itti,4,4,20121022062434,20140525172706,unknown
88,SFfmL,4,0,20130901220610,20141206213528,unknown
89,RoBri,4,4,20170728180158,20181012112914,unknown
90,Niggo911,4,2,20120316193450,20170528180624,unknown
91,KeinKommentar,4,0,20131011141911,20131011142450,unknown
92,Wahldresdner,4,4,20140713184819,20161006121222,unknown
93,CommonsDelinker,4,4,20070819084646,20140907084747,unknown
94,Wikinger86,4,1,20100628022900,20110329232257,unknown
95,Zwobot,4,4,20040222131011,20090829181836,unknown
96,Theredmonkey,4,1,20130221143813,20130221150545,unknown
97,Georg Hügler,4,0,20180121113956,20180505094621,unknown
98,Skriptor,4,3,20050202080453,20050907165337,unknown
99,84.142.217.139,4,0,20090603075955,20090603081331,unknown
100,PsY.cHo,4,4,20070619155534,20160814151655,unknown
101,85.74.197.227,4,0,20051113202706,20051113210853,unknown
102,Hadibe,4,4,20151104105113,20180728082928,unknown
103,Lukpera,4,3,20181016105629,20181126174523,unknown
104,Thommess,4,1,20040606114735,20041031132134,unknown
105,84.143.63.226,4,0,20090624110917,20090624111045,unknown
106,Vogone,4,2,20160319022411,20171122121915,unknown
107,Tenorhornist5798,4,0,20170927130635,20181029212116,unknown
108,Langec,4,3,20041019212443,20041123181949,unknown
109,Filterkaffee,4,3,20141212110918,20151229072614,unknown
110,Intheusa,4,4,20050723211338,20050724002617,unknown
111,Scooter,4,3,20070113182643,20080609140508,unknown
112,Pinguin55,4,1,20141101225335,20180916222524,unknown
113,178.7.233.91,3,0,20120323211211,20120323213821,unknown
114,Hkoeln,3,3,20130123095248,20130123095737,unknown
115,Hubertl,3,3,20090212144206,20090305132245,unknown
116,Jed,3,3,20051223145636,20120910211309,unknown
117,79.198.192.38,3,0,20160125090606,20160125090820,unknown
118,Iwesb,3,3,20170505045249,20180208043509,unknown
119,Entlinkt,3,3,20070508174951,20101122111523,unknown
120,Hahnenkleer,3,2,20151223144213,20170213113839,unknown
121,Avoided,3,3,20081105112719,20081108150635,unknown
122,80.129.138.140,3,0,20060928172425,20060928172559,unknown
123,91.54.173.195,3,0,20121022062148,20121022062439,unknown
124,TomK32,3,1,20030702071116,20040216095327,unknown
125,SpesBona,3,3,20100930182754,20111104194031,unknown
126,Nere,3,3,20141117222701,20160124005201,unknown
127,Geitost,3,3,20090718191304,20130427235450,unknown
128,188.174.86.96,3,0,20131231090423,20131231090956,unknown
129,84.153.108.36,3,0,20090312190212,20090312190438,unknown
130,DF5GO,3,3,20120405233319,20121104190056,unknown
131,Wikiolo,3,2,20150725211544,20160701163803,unknown
132,Sebastianvader,3,3,20071018064633,20100203210003,unknown
133,79.249.108.13,3,0,20150604120119,20150604121402,unknown
134,Zugang AP 42,3,0,20071219170056,20071219232703,unknown
135,Felix Stember,3,3,20121002090154,20160224104643,unknown
136,Spuk968,3,3,20100302201929,20160519123524,unknown
137,Tobias1983,3,1,20100917210542,20130710020235,unknown
138,88.66.108.133,3,0,20070929123713,20070929133707,unknown
139,62.46.195.170,3,0,20180618104935,20180618105926,unknown
140,Se4598,3,3,20130527085027,20140128080110,unknown
141,Matthäus Wander,3,1,20040325154727,20040417042916,unknown
142,Florian.Keßler,3,3,20050325115304,20090812203041,unknown
143,87.147.15.76,3,0,20120113090847,20120113090935,unknown
144,SchirmerPower,3,0,20130916151149,20131020113627,unknown
145,Severin1999,3,0,20150106130129,20150106131332,unknown
146,Tönjes,3,2,20070407151354,20080611091951,unknown
147,Erarehumanumest,3,2,20111102155012,20111102160350,unknown
148,Jadadoo,3,0,20081202103349,20081203075528,unknown
149,213.183.13.20,3,0,20051219120232,20070419110830,unknown
150,Serols,3,3,20161006115647,20180618105954,unknown
151,Göte,3,3,20140129224038,20151123193003,unknown
152,217.227.82.21,3,0,20050414060841,20050414061221,unknown
153,Mannerheim,3,1,20090928080903,20090928081249,unknown
154,USt,3,2,20131231090509,20131231091044,unknown
155,Xqbot,3,3,20101214232454,20120616202605,unknown
156,Kris Kaiser,3,0,20030820022232,20040326010300,unknown
157,Ziko,3,0,20090213231700,20180617000821,unknown
158,Schlurcher,3,3,20050630071558,20050922130653,unknown
159,91.37.114.205,3,0,20100929062759,20100929063247,unknown
160,Bujan,3,0,20070929124104,20070929124154,unknown
161,Abelzabel,3,0,20090201144130,20090201144250,unknown
162,213.160.19.74,3,0,20040216084307,20040219075524,unknown
163,AHZ,3,2,20040919104103,20050923110418,unknown
164,80.145.101.154,3,0,20111202094018,20111202094328,unknown
165,Arabsalam,3,1,20120330202510,20120330205727,unknown
166,Tomcat0815,3,2,20050921195742,20050921202114,unknown
167,Tohma,3,3,20090915073509,20161116115958,unknown
168,85.180.34.106,3,0,20080919114407,20080919114548,unknown
169,Oenie,3,3,20110411095136,20110616060100,unknown
170,195.93.60.135,3,0,20060516203259,20070620171052,unknown
171,91.54.205.31,3,0,20090212144154,20090212144930,unknown
172,84.161.173.220,3,0,20070116191042,20070116192231,unknown
173,Snoopy1964,3,3,20141118080514,20170109073051,unknown
174,80.128.124.34,3,0,20090812080432,20090812081252,unknown
175,84.167.220.129,3,0,20070524200052,20070524200152,unknown
176,80.138.90.161,3,0,20080818111320,20080818111633,unknown
177,WAH,3,2,20070911121325,20180316173829,unknown
178,Mlucan,3,1,20051220104656,20120205230857,unknown
179,Zipfelheiner,3,3,20080930090511,20080930093659,unknown
180,84.134.208.240,3,0,20170505045145,20170505045340,unknown
181,Yoda1893,3,0,20090209104026,20131215172102,unknown
182,87.177.238.85,3,0,20150304203502,20150304203657,unknown
183,89.55.14.46,3,0,20070508173329,20070508180521,unknown
184,PassePorte,3,3,20060328194931,20080511114030,unknown
185,TMFS,3,1,20061206094425,20070521184453,unknown
186,Wolfgang H.,3,3,20071120104031,20101004173602,unknown
187,217.85.164.143,3,0,20151111195818,20151111200453,unknown
188,91.41.109.13,3,0,20161223133841,20161223134246,unknown
189,Johnny Controletti,3,3,20081205100524,20090402084818,unknown
190,Sambal94,3,0,20110402180736,20110402181022,unknown
191,Fiat tux,3,1,20090817105047,20090817111444,unknown
192,89.60.174.221,3,0,20070927205155,20070927210547,unknown
193,Julian Schnell,3,1,20160131172407,20160421181342,unknown
194,84.56.55.45,3,0,20110323122545,20110323122729,unknown
195,Wiegels,3,3,20050515134315,20170630070331,unknown
196,Zaphiro,3,2,20051009192535,20070927211852,unknown
197,87.148.69.69,3,0,20140126173742,20140126175358,unknown
198,Pfieffer Latsch,3,0,20110809104636,20110809105329,unknown
199,Schoos,3,0,20040216093146,20040219080752,unknown
200,80.187.102.196,3,0,20131121150033,20131121151702,unknown
201,Torsten Bätge,2,1,20070403084544,20070408181602,unknown
202,91.40.248.134,2,0,20080402072611,20080402072629,unknown
203,87.174.34.11,2,0,20070616212228,20070616212318,unknown
204,91.60.175.162,2,0,20121005102433,20121005102606,unknown
205,Parodos,2,1,20160212100139,20160212100645,unknown
206,Der Förster,2,2,20130817172750,20130918131637,unknown
207,91.186.32.12,2,0,20170712160423,20170712160759,unknown
208,Hannover86,2,0,20171127125547,20171127130338,unknown
209,138.245.220.88,2,0,20070118150349,20070321205551,unknown
210,TXiKiBoT,2,2,20071217031808,20080520160115,unknown
211,91.58.216.101,2,0,20121002090113,20121002090343,unknown
212,212.6.108.140,2,0,20040608182723,20040608183023,unknown
213,Hinterwäldler18,2,0,20081114211328,20081114211932,unknown
214,149.225.208.213,2,0,20061008203130,20061008203440,unknown
215,He3nry,2,2,20110318073419,20120223081345,unknown
216,91.54.197.202,2,0,20090210162308,20090210162443,unknown
217,Titanius Anglesmith,2,2,20090410124035,20090410124553,unknown
218,88.76.173.196,2,0,20071202164615,20071202164709,unknown
219,Leit,2,0,20080301121612,20181116115622,unknown
220,Jón,2,0,20091006185422,20100209204631,unknown
221,2003:51:AE7D:B1E3:E978:EEC6:1922:BC73,2,0,20160929125549,20160929125839,unknown
222,84.169.16.128,2,0,20130527084824,20130527085019,unknown
223,Derteaser,2,1,20040318080409,20040318080448,unknown
224,Klaus800,2,0,20110210193026,20110210193756,unknown
225,Lambada,2,2,20090126165753,20090126165845,unknown
226,Hvd69,2,2,20140103104405,20140103104603,unknown
227,ABF,2,0,20061210101606,20061210102204,unknown
228,Anaxagoras13,2,2,20180209200514,20180209201026,unknown
229,95.90.194.82,2,0,20140704072435,20140704072726,unknown
230,DaHe,2,1,20050923090927,20050923105759,unknown
231,Rolf H.,2,2,20160914093347,20160920124822,unknown
232,Klausmach,2,2,20060219115831,20060219120419,unknown
233,79.248.0.230,2,0,20170213113732,20170213114025,unknown
234,62.143.26.101,2,0,20040215204942,20040218192516,unknown
235,Krawi,2,2,20090603081015,20090603081342,unknown
236,84.137.252.145,2,0,20090911071116,20090911071155,unknown
237,VolkovBot,2,2,20080409175759,20120222142636,unknown
238,130.180.18.14,2,0,20160705110408,20160705110501,unknown
239,Migebert,2,2,20170108165028,20170108165340,unknown
240,79.249.125.210,2,0,20160215131740,20160215132231,unknown
241,Kaffeefan,2,0,20040810145352,20050428125801,unknown
242,Tennistz,2,0,20171216125145,20171217000753,unknown
243,87.168.127.228,2,0,20110408070137,20110408070220,unknown
244,217.83.15.220,2,0,20050129180423,20050129180536,unknown
245,93.194.183.146,2,0,20180404130751,20180404130901,unknown
246,93.104.172.206,2,0,20150415213814,20150415214807,unknown
247,91.15.21.140,2,0,20181114111752,20181114112412,unknown
248,Jesi,2,0,20130115135420,20141218162105,unknown
249,Mons Maenalus,2,2,20060105170028,20060105170146,unknown
250,136.199.8.42,2,0,20081125133611,20081125133731,unknown
251,84.160.24.121,2,0,20070929130019,20070929130209,unknown
252,TillF,2,0,20150325220239,20160125211703,unknown
253,Musikhörer,2,0,20070521175836,20070521184003,unknown
254,131.173.27.153,2,0,20181015085848,20181015090059,unknown
255,Andibrunt,2,2,20091019120656,20091105134754,unknown
256,Rasko,2,2,20070907182933,20071121165327,unknown
257,91.59.113.180,2,0,20161006115641,20161006121059,unknown
258,212.144.89.34,2,0,20040424144825,20040424145430,unknown
259,78.34.41.23,2,0,20081108150622,20081110104525,unknown
260,94.217.195.33,2,0,20171022230522,20171022230637,unknown
261,79.203.213.164,2,0,20140128075521,20140128080102,unknown
262,SchwarzerKrauser,2,2,20061226231545,20061226232221,unknown
263,Rochie,2,2,20050413155551,20050414212925,unknown
264,80.144.251.210,2,0,20100112172332,20100112172416,unknown
265,Schlesinger,2,2,20081102103957,20081105173230,unknown
266,91.12.178.110,2,0,20130919072405,20130919072852,unknown
267,Stefanbw,2,0,20170926162324,20170926163004,unknown
268,92.116.130.22,2,0,20110109194805,20110109195225,unknown
269,Captain-C,2,1,20041013074315,20050906060357,unknown
270,217.227.152.206,2,0,20050316105439,20050316110157,unknown
271,HH58,2,1,20050828150626,20050828150746,unknown
272,84.138.237.22,2,0,20090921150157,20090921150230,unknown
273,Holger1974,2,0,20190119133610,20190119133709,unknown
274,Nillurcheier,2,0,20160818080443,20180711072536,unknown
275,2003:62:4627:5901:10E9:E606:240:79BF,2,0,20160218164623,20160218171323,unknown
276,85.178.2.95,2,0,20060722100845,20060722100943,unknown
277,Luckas-bot,2,2,20111105150152,20120224211610,unknown
