,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Eleineweber,28,10,20120318144839,20151101175847,unknown
1,RikVII,17,7,20110609052617,20150319074810,unknown
2,Janjonas,12,11,20140209202116,20160219212224,unknown
3,Wikijunkie,11,1,20090706035703,20171124131732,unknown
4,Tommes,9,1,20111202215230,20150318220747,unknown
5,Pinoccio,8,8,20091123071839,20100302190401,unknown
6,Sk@te,6,4,20080301161232,20130814134044,unknown
7,Stahlfresser,6,2,20111006140005,20121121091222,unknown
8,KurtR,6,1,20101106230914,20140113144341,unknown
9,178.2.113.238,6,0,20101223152318,20101223154842,unknown
10,Aka,6,6,20110711203825,20180224141950,unknown
11,Trekkie2003,6,0,20090704212916,20090704214358,unknown
12,Jo.Fruechtnicht,5,0,20170211104000,20180217065713,unknown
13,85.216.16.10,5,0,20120222173930,20120222175635,unknown
14,Lorielle,5,0,20101006193719,20101109210347,unknown
15,César,5,0,20090703171054,20120804170850,unknown
16,Treal,4,4,20141202204627,20150213201054,unknown
17,Frank63,4,4,20111115200534,20180531072704,unknown
18,Martin67,4,0,20090704121718,20101005115637,unknown
19,Stefan,4,4,20060219114239,20070112204744,unknown
20,Mick149,4,4,20180216121440,20180224130420,unknown
21,Dahlmann,4,1,20120222131548,20120416164741,unknown
22,Toni Müller,4,0,20171119175531,20171119180752,unknown
23,91.32.47.29,4,0,20150111200114,20150111213919,unknown
24,Boshomi,4,0,20130221223622,20151017194600,unknown
25,Hacklberry,4,1,20110219023853,20110304081900,unknown
26,Über-Blick,3,0,20180211184552,20180212064237,unknown
27,Turnbeutel,3,0,20110220084823,20120312183621,unknown
28,Klausmach,3,3,20090704223637,20100914150750,unknown
29,Hic et nunc,3,3,20100401142217,20100401142609,unknown
30,MerlIwBot,3,3,20120901021331,20120911002429,unknown
31,Kaisersoft,3,3,20090703164853,20090703222224,unknown
32,Ranxerx,3,0,20170211141048,20170214161148,unknown
33,Finanzer,3,2,20051022235956,20051023000248,unknown
34,Happolati,3,1,20091208100125,20091208100240,unknown
35,87.122.71.35,3,0,20070112204307,20070112204650,unknown
36,UW,3,2,20090705205948,20090705212555,unknown
37,149.172.100.255,3,0,20131109084931,20131109085238,unknown
38,Gustav von Aschenbach,3,3,20090703174740,20140219140213,unknown
39,Carlos Eggenstein,3,2,20150317232254,20151026165918,unknown
40,62.246.60.68,3,0,20070312103622,20070312103750,unknown
41,Bingo123,3,1,20150604101243,20171119201229,unknown
42,Suede,3,2,20090705213354,20090706120433,unknown
43,84.159.193.240,3,0,20140209215547,20140209215900,unknown
44,Scheppi80,3,3,20090706062227,20100304192309,unknown
45,Oliver S.Y.,3,0,20110207195552,20150318092107,unknown
46,217.189.233.212,3,0,20090703202000,20090703221657,unknown
47,Luckas-bot,2,2,20100716121527,20111119210130,unknown
48,Adornix,2,1,20121203192026,20121203192229,unknown
49,84.63.32.246,2,0,20090703165344,20090703165818,unknown
50,Gunilla,2,1,20100816204646,20100816204723,unknown
51,Falo Bel,2,2,20111130135227,20111130135423,unknown
52,Goodgirl,2,2,20110306065400,20110315104400,unknown
53,Dmicha,2,2,20150116113803,20160711091157,unknown
54,Horst Gräbner,2,1,20130321180446,20160316171202,unknown
55,Gödeke,2,2,20100816221310,20131124151128,unknown
56,86.133.13.241,2,0,20051211232754,20051211234235,unknown
57,Pakeha,2,2,20111202001040,20111202085440,unknown
58,Unfugsbeseitiger,2,2,20170216085007,20170216085319,unknown
59,Phil41,2,1,20090104174304,20090105161141,unknown
60,62.220.2.3,2,0,20060216182810,20060216182839,unknown
61,Sebbot,2,0,20120808065915,20120926151023,unknown
62,Alexbot,2,2,20081104144719,20091119111007,unknown
63,194.120.84.9,2,0,20150420190443,20170209150801,unknown
64,217.7.218.24,2,0,20101108164909,20101108165014,unknown
65,Wiegels,2,1,20090703172057,20090705132551,unknown
66,Hartmuoth,2,0,20100315161649,20100315161734,unknown
67,BKSlink,2,1,20090703170554,20090703203711,unknown
68,79.197.126.229,2,0,20090703174649,20090703174917,unknown
69,Nassauer27,2,1,20141102111501,20141102111547,unknown
70,195.145.160.193,2,0,20080328034105,20080328034724,unknown
71,Christia55,2,1,20171119185603,20171119185802,unknown
72,77.56.53.183,2,0,20150117221421,20150117221816,unknown
73,Rybak,2,1,20080317170257,20081108080228,unknown
74,Ralf Roletschek,2,0,20171119191703,20180211204729,unknown
75,Bene66,2,0,20180213095843,20180216193650,unknown
76,2001:4DD6:32E4:0:1:FF:FE00:2,2,0,20170216084954,20170216085300,unknown
77,Arpinium,2,1,20150131184328,20150131184611,unknown
78,Nuuk,2,1,20121209135523,20180212180046,unknown
79,APPER,2,2,20100817191747,20150929181627,unknown
80,84.190.233.8,2,0,20060130183353,20060130195949,unknown
81,79.212.59.3,2,0,20170211101554,20170211101853,unknown
82,Trickstar,2,2,20060213091212,20060302085110,unknown
83,Sk!d,2,1,20120901120826,20121003122128,unknown
84,Wiki Juliane,2,0,20130129205432,20151213193951,unknown
85,Citius Altius Fortius,1,0,20180211120528,20180211120528,unknown
86,Konrad Lackerbeck,1,0,20170212084418,20170212084418,unknown
87,Seveny,1,1,20090107153912,20090107153912,unknown
88,172.180.76.224,1,0,20061211175326,20061211175326,unknown
89,77.4.87.219,1,0,20100726064004,20100726064004,unknown
90,37.5.23.101,1,0,20140610174226,20140610174226,unknown
91,Zwobot,1,1,20070126214149,20070126214149,unknown
92,Firefox13,1,1,20091128185319,20091128185319,unknown
93,Rainer Lippert,1,1,20080112230301,20080112230301,unknown
94,VolkovBot,1,1,20081018103402,20081018103402,unknown
95,62.104.210.78,1,0,20040822174708,20040822174708,unknown
96,Rolf acker,1,1,20121129230615,20121129230615,unknown
97,91.2.122.201,1,0,20100209202106,20100209202106,unknown
98,87.160.218.240,1,0,20130323163505,20130323163505,unknown
99,88.217.104.73,1,0,20181118123147,20181118123147,unknown
100,Nbv8,1,0,20091223181518,20091223181518,unknown
101,Hödel,1,1,20091209224323,20091209224323,unknown
102,85.0.163.55,1,0,20091128185256,20091128185256,unknown
103,InternetArchiveBot,1,0,20180325152651,20180325152651,unknown
104,2003:DB:53DB:7A41:20F4:E57:E15C:5703,1,0,20171109234741,20171109234741,unknown
105,Andante,1,0,20100315170005,20100315170005,unknown
106,Nosgart,1,0,20090703211549,20090703211549,unknown
107,Juragraf,1,0,20091123022943,20091123022943,unknown
108,ZéroBot,1,1,20110926165217,20110926165217,unknown
109,217.84.53.238,1,0,20110317181743,20110317181743,unknown
110,Mupa280868,1,1,20181118123156,20181118123156,unknown
111,2A02:8070:4B7:9D00:58C4:C8A4:5C7D:C5F0,1,0,20160316171132,20160316171132,unknown
112,Jobu0101,1,1,20111212182905,20111212182905,unknown
113,87.173.94.67,1,0,20080113140855,20080113140855,unknown
114,DerPaulianer,1,1,20140216151018,20140216151018,unknown
115,88.75.239.244,1,0,20110212155329,20110212155329,unknown
116,JYBot,1,1,20120821031111,20120821031111,unknown
117,91.32.0.6,1,0,20150113182944,20150113182944,unknown
118,Voyager,1,1,20060227111832,20060227111832,unknown
119,Gunnar1m,1,1,20110221110123,20110221110123,unknown
120,AlleborgoBot,1,1,20080930091643,20080930091643,unknown
121,84.174.105.171,1,0,20060212210130,20060212210130,unknown
122,Dancer,1,1,20100725192727,20100725192727,unknown
123,92.224.153.54,1,0,20100316044934,20100316044934,unknown
124,92.76.248.156,1,0,20140219140201,20140219140201,unknown
125,AxelBoldt,1,0,20101005112547,20101005112547,unknown
126,89.14.127.213,1,0,20091212220305,20091212220305,unknown
127,217.250.227.128,1,0,20130321153359,20130321153359,unknown
128,83.218.179.216,1,0,20180803182459,20180803182459,unknown
129,Magnummandel,1,1,20060216181537,20060216181537,unknown
130,Matthiasb,1,1,20120607220218,20120607220218,unknown
131,92.203.111.93,1,0,20090703235101,20090703235101,unknown
132,195.200.70.42,1,0,20111102070048,20111102070048,unknown
133,Poliglott,1,1,20180224124410,20180224124410,unknown
134,62.216.209.32,1,0,20170211110806,20170211110806,unknown
135,Euku,1,1,20051213221522,20051213221522,unknown
136,80.131.147.225,1,0,20090703164021,20090703164021,unknown
137,Abstimmpocke,1,0,20100228005151,20100228005151,unknown
138,217.250.225.82,1,0,20110312160018,20110312160018,unknown
139,84.168.22.81,1,0,20150213200655,20150213200655,unknown
140,Alexscho,1,0,20100510231024,20100510231024,unknown
141,Nfreaker91,1,1,20090704062131,20090704062131,unknown
142,Morre.meyer,1,1,20101023145811,20101023145811,unknown
143,62.203.137.6,1,0,20100726072638,20100726072638,unknown
144,Gps-for-five,1,0,20171212110545,20171212110545,unknown
145,80.226.24.14,1,0,20141029152217,20141029152217,unknown
146,Triebtäter,1,0,20071024165741,20071024165741,unknown
147,Memnon335bc,1,1,20100526234738,20100526234738,unknown
148,Hannes Röst,1,0,20100302173107,20100302173107,unknown
149,Pölkkyposkisolisti,1,0,20140211105854,20140211105854,unknown
150,91.50.86.106,1,0,20100228122147,20100228122147,unknown
151,2003:CC:7BD3:DA00:285C:E68C:AB03:460E,1,0,20181201165312,20181201165312,unknown
152,Mihewag,1,1,20110221121947,20110221121947,unknown
153,ALMundy,1,0,20090111161442,20090111161442,unknown
154,Bwbuz,1,1,20171215125336,20171215125336,unknown
155,92.206.46.185,1,0,20091129132647,20091129132647,unknown
156,Critican.kane,1,0,20110630180522,20110630180522,unknown
157,88.130.198.165,1,0,20120222195609,20120222195609,unknown
158,Contrast-Christian,1,0,20180106070633,20180106070633,unknown
159,217.92.48.113,1,0,20171213111143,20171213111143,unknown
160,Onkelkoeln,1,1,20081217222115,20081217222115,unknown
161,Andy king50,1,1,20170211110923,20170211110923,unknown
162,Murfatlar123,1,1,20150116165129,20150116165129,unknown
163,Sprachpfleger,1,1,20160517095514,20160517095514,unknown
164,92.73.109.189,1,0,20090703170044,20090703170044,unknown
165,Neun-x,1,0,20140226203653,20140226203653,unknown
166,91.52.158.158,1,0,20110425160913,20110425160913,unknown
167,77.87.228.69,1,0,20160404101315,20160404101315,unknown
168,Kriddl,1,0,20130129212225,20130129212225,unknown
169,Blubblee,1,0,20110710131646,20110710131646,unknown
170,80.132.163.149,1,0,20080113202646,20080113202646,unknown
171,77.4.47.195,1,0,20110212162725,20110212162725,unknown
172,Caisare,1,1,20150906080031,20150906080031,unknown
173,92.76.92.161,1,0,20150114192355,20150114192355,unknown
174,Jensre,1,1,20060219145648,20060219145648,unknown
175,WikiPimpi,1,0,20091125191337,20091125191337,unknown
176,Archwizard,1,1,20100315142126,20100315142126,unknown
177,Jivee Blau,1,1,20110217114138,20110217114138,unknown
178,89.0.160.209,1,0,20100316164130,20100316164130,unknown
179,Abzo,1,0,20160607182616,20160607182616,unknown
180,84.140.198.19,1,0,20140222194917,20140222194917,unknown
181,Herrick,1,0,20061116174001,20061116174001,unknown
182,Kurpälzer,1,0,20100527085321,20100527085321,unknown
183,Klapper,1,1,20091129184113,20091129184113,unknown
184,Robert 94,1,1,20081123154457,20081123154457,unknown
185,78.50.247.99,1,0,20100126121453,20100126121453,unknown
186,Mikered,1,0,20140621175914,20140621175914,unknown
187,84.170.4.108,1,0,20130321175359,20130321175359,unknown
188,2003:E3:E3DD:A199:8545:5ABC:632:A9BB,1,0,20181104060503,20181104060503,unknown
189,Mikemodanoxxx,1,0,20060225172050,20060225172050,unknown
190,32X,1,0,20070716141536,20070716141536,unknown
191,APPERbot,1,0,20090621170246,20090621170246,unknown
192,91.48.70.47,1,0,20090706130831,20090706130831,unknown
193,RonMeier,1,1,20180712140712,20180712140712,unknown
194,89.14.98.36,1,0,20120208203930,20120208203930,unknown
195,ALEX.SAL,1,1,20170211211610,20170211211610,unknown
196,79.212.24.198,1,0,20170213221157,20170213221157,unknown
197,YurikBot,1,1,20060318124837,20060318124837,unknown
198,84.176.118.81,1,0,20090703164718,20090703164718,unknown
199,79.231.52.166,1,0,20110313150439,20110313150439,unknown
200,Chrilli,1,1,20150626131105,20150626131105,unknown
201,Cepheiden,1,1,20150119234958,20150119234958,unknown
202,STBR,1,1,20061211175500,20061211175500,unknown
203,S.Didam,1,1,20181009164326,20181009164326,unknown
204,Engie,1,1,20080113202712,20080113202712,unknown
205,Desgphoto,1,0,20091121230702,20091121230702,unknown
206,37.120.78.145,1,0,20141121095130,20141121095130,unknown
207,Marcus Cyron,1,1,20081011152625,20081011152625,unknown
208,84.144.93.165,1,0,20060115190543,20060115190543,unknown
209,62.25.53.65,1,0,20100302094512,20100302094512,unknown
210,Flatland,1,0,20160609074151,20160609074151,unknown
211,217.81.99.237,1,0,20140112231601,20140112231601,unknown
212,194.151.205.251,1,0,20181211102316,20181211102316,unknown
213,Alma,1,1,20091208095325,20091208095325,unknown
214,Jü,1,1,20150117075716,20150117075716,unknown
215,83.78.53.26,1,0,20091129184056,20091129184056,unknown
216,L. aus W.,1,1,20180227171903,20180227171903,unknown
217,194.120.88.1,1,0,20120326073703,20120326073703,unknown
218,DragonRainbow,1,0,20181009125431,20181009125431,unknown
219,87.173.103.28,1,0,20180217024641,20180217024641,unknown
220,Igge,1,1,20060214084437,20060214084437,unknown
221,Duki,1,0,20100304140139,20100304140139,unknown
222,Fbahr,1,0,20100716095640,20100716095640,unknown
223,Oberlaender,1,1,20100726051732,20100726051732,unknown
224,Sinuhe20,1,0,20151027062337,20151027062337,unknown
225,46.115.0.116,1,0,20110710124453,20110710124453,unknown
226,2003:42:2E06:1B00:7D17:29AB:138:9BF6,1,0,20160908064547,20160908064547,unknown
227,Elvaube,1,0,20101030214751,20101030214751,unknown
228,Ben Ben,1,1,20111009114159,20111009114159,unknown
229,EmausBot,1,1,20130331025231,20130331025231,unknown
230,217.110.53.13,1,0,20110217114130,20110217114130,unknown
231,Shurakai,1,1,20180216163933,20180216163933,unknown
232,Parvus7,1,1,20091209051827,20091209051827,unknown
233,ChrisHamburg,1,0,20080104094205,20080104094205,unknown
234,217.185.155.62,1,0,20060218134810,20060218134810,unknown
235,Serols,1,1,20181211102349,20181211102349,unknown
236,134.99.125.168,1,0,20100329112348,20100329112348,unknown
237,Loper12321,1,1,20180126213837,20180126213837,unknown
238,2.245.83.219,1,0,20140301221140,20140301221140,unknown
239,Itti,1,1,20081207165653,20081207165653,unknown
240,FredericII,1,1,20090530070908,20090530070908,unknown
241,ANKAWÜ,1,1,20090706053524,20090706053524,unknown
242,91.32.117.115,1,0,20100127134321,20100127134321,unknown
243,84.163.115.50,1,0,20130323152926,20130323152926,unknown
244,194.149.241.3,1,0,20181107145126,20181107145126,unknown
245,MBq,1,1,20101109211500,20101109211500,unknown
246,Rolf H.,1,1,20100316164216,20100316164216,unknown
247,Wo st 01,1,1,20090111161004,20090111161004,unknown
248,Zorrobot,1,1,20090319063913,20090319063913,unknown
249,80.129.96.154,1,0,20090714122018,20090714122018,unknown
250,Satansfreund,1,0,20101214092207,20101214092207,unknown
251,93.203.184.136,1,0,20120222140924,20120222140924,unknown
252,Bundesgerichtshof112,1,1,20160617170639,20160617170639,unknown
253,Florean Fortescue,1,0,20120108152413,20120108152413,unknown
254,Michael Kühntopf,1,0,20090703180721,20090703180721,unknown
255,89.54.181.78,1,0,20090703165055,20090703165055,unknown
256,NessaTelemmaite,1,1,20111130135818,20111130135818,unknown
257,77.1.145.49,1,0,20110315102214,20110315102214,unknown
258,Freesport,1,0,20140226094537,20140226094537,unknown
259,149.154.151.21,1,0,20150607192231,20150607192231,unknown
260,Alfred Grudszus,1,0,20090726094409,20090726094409,unknown
261,PsY.cHo,1,1,20091208210233,20091208210233,unknown
262,217.111.83.9,1,0,20080104094032,20080104094032,unknown
263,Max-78,1,1,20150117222914,20150117222914,unknown
264,Chianti,1,0,20160908141624,20160908141624,unknown
265,Ennimate,1,1,20150118201758,20150118201758,unknown
266,LucienBOT,1,1,20090706200523,20090706200523,unknown
267,188.192.52.25,1,0,20100315134501,20100315134501,unknown
268,Nicola,1,0,20131214214245,20131214214245,unknown
269,Lexabot,1,0,20080104164802,20080104164802,unknown
270,78.55.126.137,1,0,20091211220520,20091211220520,unknown
271,Krdbot,1,1,20181128002542,20181128002542,unknown
272,94.222.239.239,1,0,20120415100548,20120415100548,unknown
273,Olymkore,1,1,20180210033453,20180210033453,unknown
274,198.96.95.209,1,0,20180224124348,20180224124348,unknown
275,Johnny Controletti,1,1,20101108165023,20101108165023,unknown
276,Ne discere cessa!,1,1,20110317181812,20110317181812,unknown
277,2.210.85.124,1,0,20110711165247,20110711165247,unknown
278,Luke081515Bot,1,0,20161119192514,20161119192514,unknown
279,Taratonga,1,1,20090703235307,20090703235307,unknown
280,Wikkipäde,1,1,20180216100444,20180216100444,unknown
281,89.247.66.106,1,0,20090111161013,20090111161013,unknown
282,217.9.112.66,1,0,20110221104539,20110221104539,unknown
283,84.20.160.102,1,0,20150121113727,20150121113727,unknown
284,Störfix,1,0,20140313190646,20140313190646,unknown
