,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Thorbjoern,34,12,20050411084413,20090405083030,unknown
1,Lley,27,2,20080922182219,20160321112722,unknown
2,Bene16,27,15,20070208235623,20101122050210,unknown
3,TMFS,24,3,20050826102306,20080227181959,unknown
4,Holiday,14,0,20121110133543,20121201155800,unknown
5,Sommerkom,14,5,20080116123839,20090128040003,unknown
6,ChrisM,13,13,20041003123014,20041003131716,unknown
7,Über-Blick,13,0,20130603052604,20180222121315,unknown
8,Braveheart,13,3,20070525211608,20160310171325,unknown
9,JosFritz,12,10,20121130163504,20160619124744,unknown
10,Nicolai P.,10,1,20110427074311,20140114101244,unknown
11,Zeno Gantner,10,9,20030103014745,20050108184306,unknown
12,Qualiabavariae,10,0,20170509115927,20170509145320,unknown
13,BlaueWunder,10,3,20130228222445,20130618193539,unknown
14,Nachtwächter90,9,1,20080722235919,20081122213349,unknown
15,Pappenheim,8,2,20091013045254,20130826103705,unknown
16,137.250.62.102,8,0,20050331133447,20050421155224,unknown
17,Gustav von Aschenbach,8,8,20110604111832,20160618205344,unknown
18,80.128.220.79,8,0,20060607121304,20060607124338,unknown
19,Sue107,7,0,20070309201217,20080730105123,unknown
20,82.113.106.132,7,0,20150118203455,20150118205503,unknown
21,Regi51,7,7,20110213115047,20170802204425,unknown
22,Scooter,7,1,20050902190707,20080216102302,unknown
23,Valentin Dietrich,7,5,20050417083246,20051015140230,unknown
24,Hardenacke,7,6,20120107174452,20181211191822,unknown
25,217.94.25.166,7,0,20140114094042,20140114123458,unknown
26,81.173.186.213,7,0,20061126115556,20061126140846,unknown
27,Eusc,6,2,20130529002956,20130530162657,unknown
28,Rosa Liebknecht,6,0,20070525171151,20070525172916,unknown
29,Richarddd,6,4,20080112161936,20080215155031,unknown
30,Complex,6,6,20071021221255,20080114213514,unknown
31,Horst Gräbner,6,5,20130207164857,20180611165340,unknown
32,Blunt.,6,6,20081118223223,20090127121816,unknown
33,Slökmann,6,3,20160204152019,20171128163925,unknown
34,Robocop1,5,3,20060819151134,20060821182403,unknown
