,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Feliks,111,5,20130601165801,20180509064836,unknown
1,HvH100,111,63,20151202225305,20161120203955,unknown
2,Über-Blick,38,1,20131031035334,20190113123713,unknown
3,Kopilot,36,6,20160729143059,20190113125117,unknown
4,Miltrak,32,1,20131106193605,20160604140110,unknown
5,Berichtbestatter,26,7,20140517233520,20160904201118,unknown
6,Perfect Tommy,25,0,20130918090759,20160813121506,unknown
7,Phi,22,4,20131001174850,20180519123549,unknown
8,JosFritz,13,3,20130916122214,20160809220330,unknown
9,Tohma,12,2,20150407100245,20161227102046,unknown
10,Aka,12,12,20130319190439,20181228142221,unknown
11,62.204.165.222,11,0,20160717210055,20171003161603,unknown
12,Alkim Y,11,1,20130321075347,20130918115254,unknown
13,Nuuk,10,4,20130828134211,20190113124421,unknown
14,RoBri,8,7,20161022143001,20180922161743,unknown
15,Friedjof,7,0,20160209133944,20160322135737,unknown
16,Horst Gräbner,6,6,20151023081753,20180725141251,unknown
17,Mungo68b,6,1,20130402163141,20131201123952,unknown
18,Hardenacke,6,3,20130411165941,20170115154133,unknown
19,Sänger,5,2,20161104150036,20181204220655,unknown
20,BiancaW8,5,0,20151027163001,20151104095233,unknown
21,195.200.70.53,5,0,20160726055923,20160726074829,unknown
22,Max Vallender,5,3,20160415104907,20160716091755,unknown
23,MannfürsGrobe,5,0,20130318215515,20130322155457,unknown
24,Ot,5,1,20150828051725,20171208042851,unknown
25,Chricho,5,0,20130907165615,20140627194151,unknown
26,Andropov,5,1,20150821113606,20160728072259,unknown
27,91.115.165.199,5,0,20180725140905,20180725141250,unknown
28,Antemister,5,1,20130318224657,20150423173103,unknown
29,Icewurfel,5,3,20151231175308,20161121094437,unknown
30,88.64.11.205,5,0,20160723083952,20160723215717,unknown
31,Docmartinfan,4,3,20141013142037,20150225100427,unknown
32,Nefud,4,0,20171220134937,20171227120139,unknown
33,El Sasser Wint,4,0,20130411132520,20130411134024,unknown
34,188.155.178.183,4,0,20151202235415,20151210073933,unknown
35,Vincent Amadeus von Goethe,4,1,20161226213236,20161226213800,unknown
36,Nobody perfect,4,1,20151124201045,20160713150030,unknown
37,85.238.99.127,4,0,20180725140541,20180725140742,unknown
38,91.61.75.91,3,0,20131101143011,20131101143509,unknown
39,Jürgen Oetting,3,0,20130328203923,20130328221043,unknown
40,Keramik Zahnarzt,3,0,20150828051201,20150828052307,unknown
41,Centenier,3,3,20151030150125,20161109075031,unknown
42,Petruz,3,2,20160327221930,20170906214747,unknown
43,Niedergrund,3,0,20130320233005,20130521045221,unknown
44,Nolispanmo,3,3,20180725140754,20180725141308,unknown
45,93.133.188.146,3,0,20151122205136,20151122205419,unknown
46,Doc.Heintz,3,0,20130908102738,20130908151628,unknown
47,Pittimann,3,3,20170127093926,20170223090934,unknown
48,In dubio pro dubio,3,3,20130915234715,20170721214043,unknown
49,KurtR,3,1,20151024042859,20180612024807,unknown
50,Honsfenzl,3,2,20160426201117,20160426215518,unknown
51,Goliath613,3,0,20130919203141,20130920044918,unknown
52,TheoHermann,3,0,20160813121937,20160816151633,unknown
53,Fiona B.,3,0,20130519114635,20160904205458,unknown
54,Kabob,2,1,20151122004100,20151122211708,unknown
55,ThisIsForEveryone,2,0,20160407084400,20160408174119,unknown
56,Schilderwaldmeister,2,0,20180418170036,20180418170643,unknown
57,95.91.90.10,2,0,20171204112736,20171204112804,unknown
