,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,In dubio pro dubio,22,20,20170508133452,20170508232326,unknown
1,Lautfrosch13,18,3,20150921143240,20170307130611,unknown
2,Jan Tietje,8,4,20110619222051,20170524141606,unknown
3,Sciurus,6,1,20091027210539,20100125213007,unknown
4,Aka,5,5,20120715143342,20181231130957,unknown
5,Erzilumni,5,0,20170701101744,20170810205553,unknown
6,Olaf Kosinsky,5,0,20130531220759,20180310235924,unknown
7,N.Eschenhagen,5,3,20161108233441,20161108235300,unknown
8,Yoda1893,5,0,20170628085153,20181103040617,unknown
9,217.70.194.99,4,0,20100125152200,20100126125923,unknown
10,Mef.ellingen,4,0,20170509205710,20170509210406,unknown
11,Rabanusmaurus,4,0,20170224063547,20170224064233,unknown
12,DaVinci70,3,2,20161122123909,20181023102403,unknown
13,Felix König,3,1,20110815080541,20141012085211,unknown
14,Kalorie,3,0,20141012083923,20170628182321,unknown
15,Bonnexpert,3,0,20190205090550,20190205092253,unknown
16,Alstersegler,3,0,20170628153706,20170628153826,unknown
17,Hennx,3,0,20190124130921,20190206132800,unknown
18,Erzalumnus,3,1,20091210120340,20141023154540,unknown
19,Iiigel,2,0,20180128143007,20180128190915,unknown
20,Stefanbw,2,0,20170628154923,20170628154939,unknown
21,2.247.254.134,2,0,20170524104613,20170524111207,unknown
22,Kolja21,2,2,20170507234211,20170507234343,unknown
23,Baronomingo,2,0,20170323151759,20170509153043,unknown
24,194.242.20.98,2,0,20150924090855,20150924090920,unknown
25,2.247.251.125,2,0,20170616110523,20170616110607,unknown
26,Rob Irgendwer,2,1,20130825161518,20130825161606,unknown
27,Pyaet,2,1,20170327144650,20170510082057,unknown
28,193.175.223.118,2,0,20161118062626,20161118062822,unknown
29,Kresspahl,2,2,20161203190612,20170607103601,unknown
30,Guffi,2,0,20091028073506,20091028073620,unknown
31,Erich Volck,2,0,20141006174904,20141006181432,unknown
32,Schnabeltassentier,2,0,20170725001931,20180710050708,unknown
33,94.79.145.82,2,0,20140306094337,20140306094830,unknown
34,FinnlandFreund,2,0,20181031232641,20181031233023,unknown
35,Striga,1,1,20100419013725,20100419013725,unknown
36,GünniX,1,1,20160302045030,20160302045030,unknown
37,Christian aus Neumünster,1,0,20141009154648,20141009154648,unknown
38,2A02:8109:8340:3D08:F10A:8E7D:25B8:F331,1,0,20190131214524,20190131214524,unknown
39,Bahnmoeller,1,0,20130821104932,20130821104932,unknown
40,79.205.90.106,1,0,20181014035711,20181014035711,unknown
41,YourEyesOnly,1,1,20180813053937,20180813053937,unknown
42,Samiclaus,1,1,20161113000251,20161113000251,unknown
43,Corvus2016,1,0,20170913062218,20170913062218,unknown
44,193.16.163.243,1,0,20170628115330,20170628115330,unknown
45,Alnilam,1,1,20140306094346,20140306094346,unknown
46,Hans Haase,1,0,20181108052526,20181108052526,unknown
47,188.105.190.252,1,0,20170507215740,20170507215740,unknown
