,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Jergen,34,15,20150804162913,20190206105351,unknown
1,Friedjof,12,0,20150804183642,20151014203348,unknown
2,Superikonoskop,10,2,20150831094924,20161015190227,unknown
3,Jocian,10,5,20160311101039,20160609165010,unknown
4,33cln33,8,6,20150914145538,20170110164922,unknown
5,ElTres,6,2,20150715134329,20160720191109,unknown
6,Häuslebauer,6,2,20160316221953,20170804163146,unknown
7,Schilderwaldmeister,5,1,20180417162515,20181014183331,unknown
8,62.204.165.222,5,0,20160320092047,20170423163808,unknown
9,Löschpapier,4,2,20151130142502,20151130144146,unknown
10,2003:6:5376:CC93:E44B:E42A:45AC:407A,4,0,20180419123358,20180419123607,unknown
11,Ot,4,1,20150901190909,20160301205656,unknown
12,Ayla Koçar,4,0,20150916201442,20150916202122,unknown
13,Horst Gräbner,3,2,20160925084916,20180202224417,unknown
14,Lutheraner,3,1,20150715135812,20160317153416,unknown
15,93.203.71.205,3,0,20170717102922,20170717103153,unknown
16,AF666,3,0,20150717101809,20160212131652,unknown
17,Torana,3,1,20160304193833,20161006123529,unknown
18,2003:D7:BCE:3400:7048:C6B0:166A:9A1D,3,0,20170818121144,20170818121706,unknown
19,Verzettelung,3,1,20170624224837,20170818122038,unknown
20,KastusK,2,0,20150725204654,20160314161651,unknown
21,Didionline,2,1,20181120002534,20190309091230,unknown
22,95.90.225.146,2,0,20150817174541,20150817174726,unknown
23,House1630,2,0,20160214223736,20160214223851,unknown
24,5.146.77.100,2,0,20180611194028,20180617161946,unknown
25,91.4.132.25,2,0,20150901151056,20150901151212,unknown
26,Innobello,2,0,20151130142645,20151130143525,unknown
27,134.76.174.12,2,0,20180108193333,20180108193416,unknown
28,Wlanowski,2,0,20150822174150,20150822174406,unknown
29,2003:7A:2D15:7300:59F8:DE48:9CAB:833B,2,0,20150804201536,20150804201621,unknown
30,91.65.224.178,2,0,20181115133809,20181115134129,unknown
31,AnnaS.aus I.,2,2,20150805162834,20150807133901,unknown
32,Luke081515Bot,2,0,20161126215052,20161129220108,unknown
33,129.143.111.98,2,0,20160720153925,20160823172833,unknown
34,Runologe,2,0,20180918170255,20180918212317,unknown
35,Filterkaffee,2,1,20150804203400,20150804203436,unknown
36,Fritz.Schröder,2,2,20160320195224,20160710093155,unknown
37,Berichtbestatter,2,0,20170423172010,20170423172352,unknown
38,Miltrak,1,0,20160118220910,20160118220910,unknown
39,79.250.51.140,1,0,20170202132416,20170202132416,unknown
40,Aka,1,1,20180430205935,20180430205935,unknown
41,Alnilam,1,1,20151130144858,20151130144858,unknown
42,84.128.248.143,1,0,20160819224642,20160819224642,unknown
43,InternetArchiveBot,1,0,20180406024658,20180406024658,unknown
44,93.130.62.122,1,0,20150921002542,20150921002542,unknown
45,92.78.239.141,1,0,20160513092147,20160513092147,unknown
46,Werner von Basil,1,1,20170818123936,20170818123936,unknown
47,2A02:2450:1062:5B1:7917:F388:CFAA:3B,1,0,20190206103517,20190206103517,unknown
48,Dennis123454321,1,0,20160318052856,20160318052856,unknown
49,Jonsger,1,1,20170706172758,20170706172758,unknown
50,Stenograf,1,1,20180918170716,20180918170716,unknown
51,Amtiss,1,1,20150901100009,20150901100009,unknown
52,85.179.29.73,1,0,20160301200031,20160301200031,unknown
53,87.151.231.219,1,0,20170413154537,20170413154537,unknown
54,Bionadebourgeoisie,1,1,20180625143105,20180625143105,unknown
55,2003:84:AF5C:A00:C64:B63E:104:9EB7,1,0,20150804220742,20150804220742,unknown
56,88.73.181.69,1,0,20151215144651,20151215144651,unknown
57,Wiesebohm,1,0,20180419123652,20180419123652,unknown
58,109.45.2.255,1,0,20160711181536,20160711181536,unknown
59,185.99.56.118,1,0,20170923094600,20170923094600,unknown
60,87.135.21.77,1,0,20160330105523,20160330105523,unknown
61,Icodense99,1,1,20170717103208,20170717103208,unknown
62,Elisabeth59,1,1,20160312004405,20160312004405,unknown
63,2A01:598:90A3:5A2B:1:2:CBFE:1EE,1,0,20170602071722,20170602071722,unknown
64,87.184.207.167,1,0,20180827204223,20180827204223,unknown
65,MyContribution,1,1,20170202132544,20170202132544,unknown
66,Kolja21,1,0,20150804194732,20150804194732,unknown
67,MX8,1,1,20151202220136,20151202220136,unknown
68,Kopilot,1,0,20160922115722,20160922115722,unknown
69,Bahrmatt,1,1,20151016132927,20151016132927,unknown
70,SmartAssLevelPro,1,1,20160609163235,20160609163235,unknown
71,Ute Erb,1,1,20170818150429,20170818150429,unknown
72,195.200.70.50,1,0,20190211144832,20190211144832,unknown
73,Pentachlorphenol,1,1,20160318055332,20160318055332,unknown
74,HeinzWörth,1,0,20181102195732,20181102195732,unknown
75,Leser 2013,1,0,20160304182910,20160304182910,unknown
76,Tohma,1,0,20170421193255,20170421193255,unknown
77,Rufus46,1,1,20180625150520,20180625150520,unknown
78,Partynia,1,0,20150805071505,20150805071505,unknown
79,Sportschauer,1,1,20151215144713,20151215144713,unknown
80,2A01:598:8981:C373:5D61:C6B9:18DC:EC10,1,0,20161006123314,20161006123314,unknown
81,Dk1909,1,1,20180421085411,20180421085411,unknown
82,Luthermütze,1,1,20150804142239,20150804142239,unknown
83,95.88.160.22,1,0,20160715122823,20160715122823,unknown
84,89.204.138.86,1,0,20160411094458,20160411094458,unknown
85,88.88.161.18,1,0,20170804151414,20170804151414,unknown
86,Gripweed,1,1,20181125183348,20181125183348,unknown
87,188.96.71.85,1,0,20150916123737,20150916123737,unknown
88,87.167.154.5,1,0,20160316221403,20160316221403,unknown
89,Serols,1,1,20170602071732,20170602071732,unknown
90,188.192.215.12,1,0,20180829095547,20180829095547,unknown
91,Komischn,1,1,20160217151906,20160217151906,unknown
92,217.232.83.242,1,0,20170221175857,20170221175857,unknown
93,Khatschaturjan,1,1,20180614061839,20180614061839,unknown
94,KorrekTOM,1,1,20151203160951,20151203160951,unknown
95,Crazy1880,1,1,20160923045440,20160923045440,unknown
96,Túrelio,1,0,20151029115151,20151029115151,unknown
97,Flavia67,1,0,20160615100928,20160615100928,unknown
98,2003:DF:3D1:9989:5537:80D:81B5:9E09,1,0,20170922210759,20170922210759,unknown
99,Regi51,1,1,20170717102928,20170717102928,unknown
100,Andy king50,1,1,20170423163911,20170423163911,unknown
101,Omerzu,1,0,20180728191453,20180728191453,unknown
102,Eder Orozco,1,0,20151216172813,20151216172813,unknown
103,Mensur14,1,1,20180428075011,20180428075011,unknown
104,Jonathan Data,1,0,20151130144044,20151130144044,unknown
105,2A02:810D:943F:CE17:2883:B360:7835:D2D4,1,0,20180202221145,20180202221145,unknown
106,Pittimann,1,1,20160411094513,20160411094513,unknown
107,TaxonKatBot,1,1,20190128004307,20190128004307,unknown
