,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Blubbdidupp,35,11,20180701143648,20190309084558,unknown
1,Über-Blick,13,1,20180405224827,20181225183349,unknown
2,KaiMartin,10,0,20180418224601,20190106125916,unknown
3,Tohma,10,3,20181225101233,20190202103854,unknown
4,Dopaminabscheider,9,0,20180123152541,20180129085616,unknown
5,Aka,7,7,20180429140835,20190308232314,unknown
6,Spitzahorn,7,1,20180304150748,20180701114907,unknown
7,Diwata,4,1,20181011073047,20190111085238,unknown
8,Rita2008,4,0,20180701131028,20190131161808,unknown
9,AnnaS.aus I.,4,1,20181208065235,20190122042454,unknown
10,Tokota,4,0,20180630185547,20180630201133,unknown
11,NellsPort,4,1,20180320122858,20180321200837,unknown
12,Karsten11,3,0,20180524095004,20190103092129,unknown
13,78.54.156.40,3,0,20181227112347,20181227143211,unknown
14,JL Voltaire,3,2,20180717095130,20180811233744,unknown
15,77.11.131.107,3,0,20181231113644,20181231173118,unknown
16,Robberey1705,3,0,20180206025003,20180701152754,unknown
17,77.13.184.26,3,0,20190106111900,20190106152116,unknown
18,77.54.150.46,2,0,20190131153939,20190131154105,unknown
19,Wheeke,2,1,20180123153758,20180414113312,unknown
20,77.191.49.250,2,0,20181229133022,20181229221922,unknown
21,89.12.150.33,2,0,20190112154813,20190112175643,unknown
22,Trollflöjten,2,1,20180206003101,20180206004918,unknown
23,RoBri,2,2,20190131161613,20190202114221,unknown
24,Lutheraner,2,0,20180731120249,20181229184248,unknown
25,Parvolus,2,1,20180128213000,20180420133903,unknown
26,Girus,2,2,20180730055451,20181230081437,unknown
27,90.126.75.239,2,0,20180123225100,20180123225128,unknown
28,Arne,2,1,20180909031535,20180909033428,unknown
29,80.187.115.59,2,0,20180304180254,20180304180849,unknown
30,Vanvaro,1,1,20180131162748,20180131162748,unknown
31,80.187.99.88,1,0,20180701081241,20180701081241,unknown
32,Gripweed,1,1,20190131062328,20190131062328,unknown
33,Enzyian,1,1,20181206193056,20181206193056,unknown
34,Mattes,1,1,20180325211004,20180325211004,unknown
35,AfDRheinbach,1,1,20180730151821,20180730151821,unknown
36,62.204.165.222,1,0,20180212171236,20180212171236,unknown
37,Schilderwaldmeister,1,0,20180701155444,20180701155444,unknown
38,112.71.248.166,1,0,20190202113528,20190202113528,unknown
39,Blutorange2005,1,0,20180124075308,20180124075308,unknown
40,Fondamin,1,0,20180623164430,20180623164430,unknown
41,Dandelo,1,0,20190106131821,20190106131821,unknown
42,Ot,1,1,20180519042420,20180519042420,unknown
43,Codc,1,1,20181220195348,20181220195348,unknown
44,Honsfenzl,1,1,20180305002334,20180305002334,unknown
45,2003:E5:ABCC:67C8:DFF:FC92:7FFA:EB55,1,0,20180717063859,20180717063859,unknown
46,Squasher,1,1,20180131211046,20180131211046,unknown
47,109.192.38.109,1,0,20180701103339,20180701103339,unknown
48,Perrak,1,0,20180525202635,20180525202635,unknown
49,Basic Content Provider,1,0,20180513204044,20180513204044,unknown
50,87.166.89.16,1,0,20181207215513,20181207215513,unknown
51,LexICon,1,1,20180730152959,20180730152959,unknown
52,Stefanbw,1,0,20180705215332,20180705215332,unknown
53,TorAc,1,1,20190213002244,20190213002244,unknown
54,Altsprachenfreund,1,0,20180124173143,20180124173143,unknown
55,46.183.103.8,1,0,20180625125953,20180625125953,unknown
56,2A01:598:8881:3508:ED66:3D72:F5B7:1820,1,0,20180524073733,20180524073733,unknown
57,77.13.11.254,1,0,20181224071246,20181224071246,unknown
58,Haage42,1,0,20180425120138,20180425120138,unknown
59,Schnabeltassentier,1,0,20181014152408,20181014152408,unknown
60,Slaysel,1,0,20180307112227,20180307112227,unknown
61,Bormaschine,1,1,20180123155046,20180123155046,unknown
62,SamWinchester000,1,0,20180530183305,20180530183305,unknown
63,Seewolf,1,1,20180513211031,20180513211031,unknown
64,JFM01,1,1,20180414132353,20180414132353,unknown
65,Seilbahn121,1,0,20180304171728,20180304171728,unknown
66,Leuni,1,1,20180710144042,20180710144042,unknown
67,Derim Hunt,1,1,20190306075928,20190306075928,unknown
68,Agathenon,1,0,20190118102944,20190118102944,unknown
69,Zxmt,1,0,20180524080441,20180524080441,unknown
70,Marcus Cyron,1,1,20180427060814,20180427060814,unknown
71,Sinuhe20,1,0,20181026110353,20181026110353,unknown
72,115.74.205.174,1,0,20190131163818,20190131163818,unknown
73,Poseidon2,1,1,20180603200157,20180603200157,unknown
74,186.159.181.2,1,0,20180519024012,20180519024012,unknown
75,217.228.113.80,1,0,20181220195244,20181220195244,unknown
76,Wibramuc,1,0,20180416234131,20180416234131,unknown
77,Gak69,1,1,20180716221431,20180716221431,unknown
78,Erdnuzz,1,0,20190308113321,20190308113321,unknown
