,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Ulitz,31,11,20050922202723,20140224112625,unknown
1,Nordhesse76,27,9,20090725111948,20100513092732,unknown
2,H2SO4,22,8,20071126221716,20130706225254,unknown
3,Hardenacke,14,12,20091127091522,20181217172613,unknown
4,Ziko,9,0,20090715195517,20101215210704,unknown
5,Mogelzahn,9,3,20070515135229,20151224151206,unknown
6,Knud Klotz,8,2,20040717153350,20161126194138,unknown
7,Alexander Fischer,7,0,20050524162928,20100516104710,unknown
8,Qhx,7,4,20100217105038,20101028140910,unknown
9,Gaga,6,0,20030326101228,20030327091554,unknown
10,Kängurutatze,6,1,20130211085837,20180731045218,unknown
11,88.72.20.115,6,0,20070412183803,20070412190751,unknown
12,Pittimann,5,5,20120223094441,20140110143926,unknown
13,Kagul,5,1,20090212102709,20090219160420,unknown
14,Mosellife,5,0,20100502220422,20100502222711,unknown
15,Markus Giersch,5,2,20090504065210,20100310200809,unknown
16,88.72.14.55,4,0,20070510161158,20070510170107,unknown
17,Stolp,4,0,20070403204605,20130601102259,unknown
18,Thijs!bot,4,4,20070129063935,20081116174644,unknown
19,84.180.48.68,4,0,20120131122013,20120131122452,unknown
20,Fossa,4,0,20100310192115,20110130131938,unknown
21,Orik,4,0,20081212225522,20121031233142,unknown
22,84.134.220.227,3,0,20051103075433,20051103075755,unknown
23,Aka,3,3,20111109213029,20180225185256,unknown
24,Siechfred,3,2,20090527144617,20090828060542,unknown
25,Luckas-bot,3,3,20100506200949,20120203230058,unknown
26,Horst Gräbner,3,2,20120915150703,20170918081411,unknown
27,212.99.204.33,3,0,20060704134623,20060704134848,unknown
28,Pwagenblast,3,2,20120221211012,20120221212953,unknown
29,House1630,3,1,20091003092028,20091003094244,unknown
30,Seewolf,3,3,20100502220448,20101212220816,unknown
31,Prüm,3,3,20110812094023,20161029151407,unknown
32,Björn Siebke,3,2,20040409124223,20040409125732,unknown
33,84.136.165.30,3,0,20110314112012,20110314113142,unknown
34,Nightflyer,3,3,20120131122028,20120223094550,unknown
35,Timbo1980,2,0,20120529194428,20120530130314,unknown
36,Leithian,2,1,20090413193723,20090413204427,unknown
37,Sf67,2,1,20100310094935,20100418181142,unknown
38,Akl,2,2,20031023182812,20031023182930,unknown
39,91.9.207.70,2,0,20101212230347,20101212230517,unknown
40,Le Schtroumpf,2,2,20110625085619,20110625085725,unknown
41,172.181.217.45,2,0,20040628173651,20040628173918,unknown
42,DerSalamander,2,1,20110324190552,20110424123018,unknown
43,Southpark,2,0,20040208125140,20040212165028,unknown
44,Zwobot,2,2,20041112133554,20080110015746,unknown
45,RobotQuistnix,2,2,20051226221718,20060718151106,unknown
46,109.192.151.120,2,0,20101130213927,20101130214019,unknown
47,91.56.239.161,2,0,20141128120245,20141128120408,unknown
48,212.29.189.72,2,0,20040720165106,20040801100259,unknown
49,Dixi.241,2,1,20050831103453,20050831103725,unknown
50,Sirdon,2,1,20060829172546,20070215145313,unknown
51,Hablu,2,0,20060617063540,20060617064726,unknown
52,2A02:908:FD33:3000:C419:3E4A:7A6B:AA76,2,0,20161126143604,20161126143736,unknown
53,El Duende,2,0,20100310190208,20100310190808,unknown
54,Memorino,2,1,20110314113207,20110314113250,unknown
55,Emmridet,2,2,20130707144732,20130707145029,unknown
56,Zeno Gantner,2,2,20030326194816,20041206221422,unknown
57,81.225.112.37,2,0,20180730232501,20180730232531,unknown
58,Neun-x,2,0,20121115221353,20160105163234,unknown
59,Noip,2,2,20051006193651,20051006194058,unknown
60,DerHexer,2,2,20060920122725,20131018084319,unknown
61,79.195.237.181,2,0,20090907204508,20090907204540,unknown
62,217.88.213.112,2,0,20040712163742,20040712165032,unknown
63,84.188.134.134,2,0,20050828143550,20050828143650,unknown
64,TMFS,2,1,20040329141925,20040330094407,unknown
65,88.72.3.140,2,0,20070416152610,20070416152805,unknown
66,Regi51,2,2,20100301163508,20151019082007,unknown
67,Gail~dewiki,2,2,20030908093508,20030908093533,unknown
68,Josowolf,2,0,20130201141234,20130201141323,unknown
69,Rmcharb,2,2,20141128120301,20190126124435,unknown
70,79.239.22.132,2,0,20180315080741,20180315080858,unknown
71,Xqbot,2,2,20100807144235,20110114211024,unknown
72,Kunani,2,2,20111101222559,20111107091233,unknown
73,62.131.140.230,2,0,20040729161647,20050422175749,unknown
74,Miraki,2,1,20120921062539,20151130073005,unknown
75,Johung,2,1,20120709172507,20121031160352,unknown
76,80.134.191.166,2,0,20050323191703,20050323191854,unknown
77,Ennimate,2,2,20130707151704,20130707151848,unknown
78,80.141.16.157,2,0,20060227213932,20060227214300,unknown
79,93.104.82.68,2,0,20150406184207,20150406184348,unknown
80,Spinne,2,2,20051007003316,20051007003540,unknown
81,84.144.215.136,2,0,20060929200529,20060929200837,unknown
82,ChrisM,2,2,20040714163332,20040717213440,unknown
83,84.141.170.175,2,0,20050829114431,20050829115639,unknown
84,Reval,2,0,20060828190731,20060829140157,unknown
85,84.181.210.37,2,0,20170918080405,20170918081139,unknown
86,91.9.250.190,2,0,20100324215718,20100324215952,unknown
87,Swiss Energy,2,0,20110424091040,20110424094642,unknown
88,91.42.206.124,2,0,20131018084002,20131018084214,unknown
89,ErikDunsing,2,2,20031001124637,20050719065613,unknown
90,Kresspahl,2,2,20060221200358,20060303000922,unknown
91,SamWinchester000,2,0,20151204213014,20180106051717,unknown
92,188.102.130.10,2,0,20101212220524,20101212220743,unknown
93,Serols,2,2,20180315080752,20180315080924,unknown
94,Ivla,2,1,20111106182329,20111116102024,unknown
95,HeBB,2,1,20140413162709,20140421131654,unknown
96,85.181.29.116,2,0,20060908234446,20060908234900,unknown
97,David Wintzer,2,2,20040623170242,20040623170520,unknown
98,K41f1r,2,2,20090513070426,20090513070834,unknown
99,DaB.,2,1,20031221135359,20060908234736,unknown
100,93.217.73.31,2,0,20120223094426,20120223094537,unknown
