,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,AF666,165,4,20050408155753,20150401194855,unknown
1,DerSalamander,67,37,20110201143501,20130103213054,unknown
2,Mogelzahn,65,32,20040620091929,20170607171046,unknown
3,194.25.143.58,40,0,20070418094126,20080514110801,unknown
4,Machahn,36,15,20060221225911,20151011164739,unknown
5,ElTres,28,2,20110318110238,20171004114016,unknown
6,Q'Alex,22,8,20040725131555,20090710083728,unknown
7,Bhuck,18,2,20080526072703,20100820080428,unknown
8,Matthias erzberger,17,3,20090522200118,20120107143343,unknown
9,217.50.17.157,17,0,20161007073740,20161007204459,unknown
10,H7,17,7,20140502133633,20181119085234,unknown
11,89.247.39.14,14,0,20080705044101,20080705051310,unknown
12,Felix König,13,9,20100527155354,20140128171418,unknown
13,Altaripensis,10,6,20110416141740,20140526191449,unknown
14,Ninety Mile Beach,10,0,20070615213933,20100620162255,unknown
15,Aka,9,9,20071125122256,20160110153638,unknown
16,77.20.194.121,9,0,20081105132215,20090225141316,unknown
17,Sodtke,9,2,20120120144352,20140320212707,unknown
18,Qhx,8,6,20091206192834,20101105220245,unknown
19,Benatrevqre,8,1,20090920135934,20110404164448,unknown
20,88.134.101.134,7,0,20071204084320,20071204130110,unknown
21,House1630,7,4,20160509115430,20160908200704,unknown
22,77.7.19.53,7,0,20161008093355,20161008114041,unknown
23,Perrak,6,1,20131008152948,20170217121445,unknown
24,195.227.140.7,6,0,20090224081802,20090225084211,unknown
25,84.128.128.221,6,0,20050305175544,20050305180919,unknown
26,Jkü,6,6,20060408063555,20060408070556,unknown
27,212.6.125.90,6,0,20130128104655,20161212072028,unknown
28,Boshomi,6,1,20150208064831,20161008124332,unknown
29,Cvf-ps,5,1,20091119091601,20100119183659,unknown
30,Zwobot,5,5,20040319151830,20061001140314,unknown
31,Pittimann,5,5,20110915122210,20171130110745,unknown
32,Snoopy1964,5,5,20151028124015,20151202072729,unknown
33,213.148.129.70,5,0,20050424143604,20050424144406,unknown
