,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,BurghardRichter,39,29,20070608081001,20190224123328,unknown
1,Phi,39,12,20070408134410,20190224192935,unknown
2,K.Karlo,30,0,20061006073106,20061006142158,unknown
3,Dinarsad,12,1,20120110110820,20120114202143,unknown
4,MicBy67,10,6,20110108180255,20190216113058,unknown
5,81.210.179.230,9,0,20061006102342,20061006140524,unknown
6,Urgelein,8,3,20130421112618,20180705143920,unknown
7,Scooter,7,7,20060205004854,20080820083424,unknown
8,Barbro Taler,7,1,20080309035029,20080309035848,unknown
9,Altaripensis,7,4,20120220173427,20130608164756,unknown
10,Tammany2012,7,3,20190207101807,20190216111232,unknown
11,Elwood j blues,4,1,20040504181255,20050228134834,unknown
12,Xqbot,4,4,20090813225920,20100807175528,unknown
13,Mogelzahn,4,2,20041117011125,20061231155852,unknown
14,84.137.159.21,4,0,20110929125042,20110929125405,unknown
15,Peter200,4,4,20061125133003,20100929124908,unknown
16,Steschke,4,0,20061006155414,20061006163343,unknown
17,80.145.116.207,4,0,20050914201823,20050914203105,unknown
18,Orik,4,0,20140213101458,20140213194302,unknown
19,DieSachsen,3,3,20150419135337,20150419171410,unknown
20,Koschi73,3,0,20170711050225,20190217160627,unknown
21,Wilske,3,2,20110712203147,20110722161037,unknown
22,84.135.124.38,3,0,20070608081030,20070608081421,unknown
23,Merkið,3,1,20130211231154,20151230171631,unknown
24,Regi51,3,3,20150419135740,20160120154534,unknown
25,Southpark,3,1,20040204222428,20081204111711,unknown
26,Catrin,3,1,20070507104930,20130711040203,unknown
27,Sambalolec,3,2,20080309040532,20080309044359,unknown
28,Postmann Michael,3,3,20040429202319,20040716185658,unknown
29,Aka,3,3,20051118100114,20190224171022,unknown
30,Widerborst,3,0,20110609131922,20111223135929,unknown
31,Anaqonda,3,0,20070602182804,20070609183239,unknown
32,80.136.186.33,3,0,20091116140607,20091116140931,unknown
33,Schoener alltag,3,2,20131116220351,20131116221137,unknown
34,82.139.193.5,3,0,20051115113735,20051116081808,unknown
35,87.174.209.39,3,0,20150323081146,20150323081454,unknown
36,Millfield,3,1,20060708124839,20060723133536,unknown
37,78.52.243.34,3,0,20120319174053,20120319175256,unknown
38,217.83.14.48,3,0,20050318113934,20050318114029,unknown
39,93.210.106.153,2,0,20150419135247,20150419135349,unknown
40,Hoszy,2,1,20051017063042,20051017134732,unknown
41,Centenier,2,2,20181206073006,20181206073154,unknown
42,Jivee Blau,2,2,20091116140615,20091116140833,unknown
43,84.142.194.71,2,0,20080229080552,20080229080955,unknown
44,84.144.122.62,2,0,20120203054837,20120203054855,unknown
45,91.6.5.196,2,0,20111031215010,20111031215117,unknown
46,Martin Bahmann,2,2,20150609095812,20150609095924,unknown
47,217.88.169.78,2,0,20070914071106,20070914071307,unknown
48,78.43.131.142,2,0,20090107130200,20090107130238,unknown
49,Simeon Kienzle,2,0,20040328113444,20040328113521,unknown
50,Snoopy1964,2,2,20150323081205,20150323081416,unknown
51,Tomkater,2,2,20080803122336,20080803122523,unknown
52,84.137.83.168,2,0,20060708202443,20060708202831,unknown
53,SamWinchester000,2,0,20170126202857,20170126212430,unknown
54,Slökmann,2,1,20080319111048,20131107192041,unknown
55,RedBot,2,2,20120327094024,20120506190726,unknown
56,Florian.Keßler,2,2,20050324141601,20090728211705,unknown
57,Bessawissa94,2,1,20090602160037,20090603175723,unknown
58,91.57.197.141,2,0,20100924151401,20100924162538,unknown
59,172.177.32.93,2,0,20040613084847,20040613084957,unknown
60,Richard Lenzen,2,2,20130815093349,20130815093736,unknown
61,MarcoBorn,2,2,20051208081340,20051222102831,unknown
62,Seriousness,2,2,20081019164855,20081019165006,unknown
63,84.132.204.195,2,0,20051017122551,20051017153019,unknown
64,Wheeke,2,0,20140626074715,20170909172636,unknown
65,141.10.68.18,2,0,20060509092925,20060509092955,unknown
66,84.161.137.150,2,0,20101122075430,20101122075535,unknown
67,Tönjes,2,2,20070205193053,20170301105519,unknown
68,Singsangsung,2,2,20111031215033,20111031215137,unknown
