,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Ulitz,98,39,20050310234722,20160627181938,unknown
1,Rita2008,8,1,20070705135421,20160626163618,unknown
2,Jergen,7,1,20050206132959,20070919094240,unknown
3,RobotQuistnix,7,7,20050819064804,20070629185056,unknown
4,Aberglaube,5,5,20100202195806,20100202200935,unknown
5,Luckas-bot,5,5,20100414093116,20110518083040,unknown
6,Zwobot,5,5,20031206210145,20040714024142,unknown
7,84.73.153.248,4,0,20060508000455,20060509164648,unknown
8,Hubertl,4,1,20120430065419,20150430181151,unknown
9,Mfgsu,4,1,20161105002425,20170127233616,unknown
10,Rogi.Official,4,1,20150914155007,20150914165359,unknown
11,Thijs!bot,4,4,20060828194739,20070529220621,unknown
12,Rtc,4,4,20070614043733,20070614052305,unknown
13,212.98.33.82,3,0,20031201144501,20031201144930,unknown
14,178.190.55.168,3,0,20160626084224,20160626171749,unknown
15,Xqbot,3,3,20101022035844,20111225023345,unknown
16,Aka,3,2,20050310083425,20150802205648,unknown
17,Ausputzer,3,0,20080618200037,20151124125241,unknown
18,Rote Garde,3,0,20090517192851,20090517193612,unknown
19,62.178.153.188,3,0,20040702213317,20040702214218,unknown
20,Jacun,3,0,20120402122413,20120402122747,unknown
21,Martin-vogel,3,1,20040809003007,20060102231936,unknown
22,84.73.159.47,3,0,20060615110638,20060816141857,unknown
23,Dundak,3,2,20070913231125,20080413221136,unknown
24,Horst Gräbner,3,2,20121217135709,20180205150649,unknown
25,SpesBona,3,2,20081012132901,20110920183245,unknown
26,Karl-Henner,3,3,20040823130400,20050613002618,unknown
27,88.77.232.76,3,0,20100602164111,20100602190838,unknown
28,GuterSoldat,3,0,20060418173628,20060611001636,unknown
29,84.161.143.220,3,0,20110920172414,20110920174011,unknown
30,Feldwebel,3,0,20070913162106,20070916175820,unknown
31,EmausBot,3,3,20110805202555,20161030175529,unknown
32,89.97.35.72,2,0,20080912000815,20080928183341,unknown
33,HansivomDock,2,0,20100319223607,20100319223634,unknown
34,DHN-bot~dewiki,2,2,20060225142811,20060604115255,unknown
35,Parakletes,2,1,20091124143816,20100202204137,unknown
36,84.61.198.9,2,0,20051105161351,20051105162151,unknown
37,Hahnenkleer,2,0,20130107123142,20130107123322,unknown
38,87.165.209.35,2,0,20170217095747,20170217095841,unknown
39,MerlIwBot,2,2,20111221065648,20120729024116,unknown
40,87.160.236.64,2,0,20070913203341,20070913231517,unknown
41,Little boy lost,2,1,20130514110756,20130514110911,unknown
42,83.64.137.106,2,0,20051011161928,20051011162218,unknown
43,217.86.184.65,2,0,20121217135537,20121217135747,unknown
44,83.148.5.206,2,0,20050721185221,20050721185740,unknown
45,217.68.163.112,2,0,20090222220606,20090222220629,unknown
46,TuHan-Bot,2,2,20100602223943,20120628224138,unknown
47,Marcus Weckenmann,2,0,20050429164527,20050429164619,unknown
48,Gonzo Greyskull,2,1,20100319235009,20121106152254,unknown
49,Wst,2,1,20030822123652,20050609060039,unknown
50,YurikBot,2,2,20051126163440,20060319042204,unknown
51,Deirdre,2,0,20171003210342,20171211213040,unknown
52,Gpvosbot,2,2,20060327152140,20061129055526,unknown
53,Rohieb,2,2,20080823113356,20080823113522,unknown
54,80.130.36.170,2,0,20100223112059,20100223112438,unknown
55,217.234.32.23,2,0,20050107202725,20050107203104,unknown
56,2001:A61:260D:6E01:B5CE:2B13:9CB9:1DDA,2,0,20180205150526,20180205150602,unknown
57,Katharina,2,1,20040320181545,20041122100325,unknown
58,ThurnerRupert,2,0,20150823131144,20150823131422,unknown
59,Königsberg~dewiki,2,0,20060509121756,20060511101754,unknown
60,93.196.45.6,2,0,20100126100102,20100126100231,unknown
61,192.35.241.134,2,0,20060104232735,20060104233226,unknown
62,Markobr,2,2,20160830110126,20170217095844,unknown
63,195.230.178.230,2,0,20061014133741,20061014134027,unknown
64,Usquam,2,1,20091011195907,20091011200008,unknown
65,Loveless,2,2,20070722165319,20080719213907,unknown
66,81.0.84.159,2,0,20050420212321,20050420212611,unknown
67,Der.Traeumer,2,2,20100223112224,20100223112450,unknown
68,Peacemaker,2,1,20050107203228,20050107204214,unknown
69,FordPrefect42,2,1,20091121105505,20091121225208,unknown
70,RobotE,2,2,20050811194724,20050811202110,unknown
71,X~dewiki,2,1,20060511235952,20060512023030,unknown
72,YonaBot,2,2,20070416071646,20070418134108,unknown
73,ZielonyGrzyb,2,2,20141109083731,20141109083845,unknown
74,Diba,2,2,20100126100110,20100126100240,unknown
75,WikitanvirBot,2,2,20110504215425,20111223064931,unknown
76,Ottomanisch,2,1,20100602164236,20100603123554,unknown
77,JGalt,2,0,20070223055834,20070223061401,unknown
78,79.196.176.246,1,0,20120222064648,20120222064648,unknown
79,62.154.206.84,1,0,20050125150842,20050125150842,unknown
80,Koffeeinist,1,1,20140512152421,20140512152421,unknown
81,Luke081515Bot,1,0,20161119121123,20161119121123,unknown
82,Tets,1,1,20061228054231,20061228054231,unknown
83,Revolus,1,1,20070914231829,20070914231829,unknown
84,Tiko,1,1,20080710170053,20080710170053,unknown
85,193.170.250.70,1,0,20030822115750,20030822115750,unknown
86,ZéroBot,1,1,20110922175451,20110922175451,unknown
87,Explendido Rocha,1,1,20041005233000,20041005233000,unknown
88,Gungir1983,1,0,20131103101540,20131103101540,unknown
89,84.139.80.214,1,0,20060918123648,20060918123648,unknown
90,89.61.155.195,1,0,20070820142240,20070820142240,unknown
91,84.176.178.180,1,0,20080426092715,20080426092715,unknown
92,SchirmerPower,1,0,20090918200304,20090918200304,unknown
93,HRoestBot,1,1,20110705085058,20110705085058,unknown
94,Togo~dewiki,1,0,20040805082101,20040805082101,unknown
95,Flominator,1,0,20050813231159,20050813231159,unknown
96,JD,1,1,20151102150803,20151102150803,unknown
97,Manecke,1,0,20060816150207,20060816150207,unknown
98,InternetArchiveBot,1,0,20180406142828,20180406142828,unknown
99,Ticketautomat,1,1,20071216163541,20071216163541,unknown
100,TobiasGr,1,1,20090328230513,20090328230513,unknown
101,Langec,1,1,20040329132702,20040329132702,unknown
102,CommonsDelinker,1,1,20120908093727,20120908093727,unknown
103,Wallnerm,1,1,20050430175411,20050430175411,unknown
104,2003:51:471B:BC01:F4DD:F823:9C50:AC50,1,0,20150919233822,20150919233822,unknown
105,Eskimbot,1,1,20060609093132,20060609093132,unknown
106,Solomon Dandy,1,0,20170926173321,20170926173321,unknown
107,Ibn Battuta,1,1,20070505034502,20070505034502,unknown
108,BotMultichill,1,1,20071013081622,20071013081622,unknown
109,ArthurBot,1,1,20081104141751,20081104141751,unknown
110,VolkovBot,1,1,20100418201952,20100418201952,unknown
111,ErikDunsing,1,1,20040122133155,20040122133155,unknown
112,GelöschterBenutzer77977,1,1,20120627150044,20120627150044,unknown
113,Tommes,1,0,20141203021356,20141203021356,unknown
114,PortalBot,1,1,20060324011859,20060324011859,unknown
115,Ratatosk,1,1,20070203171203,20070203171203,unknown
116,SashatoBot,1,1,20080727032541,20080727032541,unknown
117,Bemoeial,1,0,20031010202927,20031010202927,unknown
118,217.197.73.19,1,0,20041129180002,20041129180002,unknown
119,SFfmL,1,1,20140310225308,20140310225308,unknown
120,88.130.125.67,1,0,20060208155341,20060208155341,unknown
121,R88D88,1,1,20161003074538,20161003074538,unknown
122,217.246.24.63,1,0,20061210191652,20061210191652,unknown
123,Jan Marc,1,0,20091111192022,20091111192022,unknown
124,Duschgeldrache2,1,0,20110821203910,20110821203910,unknown
125,212.81.29.184,1,0,20040922032915,20040922032915,unknown
126,Opernkomponist,1,0,20160305190132,20160305190132,unknown
127,Robbot,1,1,20060829090725,20060829090725,unknown
128,94.134.89.141,1,0,20190209102448,20190209102448,unknown
129,88.134.148.152,1,0,20070807150311,20070807150311,unknown
130,HuckTwain,1,0,20080125212054,20080125212054,unknown
131,93.46.198.199,1,0,20110505012515,20110505012515,unknown
132,-jkb-,1,1,20151102145024,20151102145024,unknown
133,Chobot,1,1,20060808183453,20060808183453,unknown
134,Rarus,1,0,20180110195429,20180110195429,unknown
135,IGEL,1,1,20070614044024,20070614044024,unknown
136,137.99.43.172,1,0,20071130001336,20071130001336,unknown
137,Filip nohe,1,1,20040320165839,20040320165839,unknown
138,81.36.144.199,1,0,20120727110149,20120727110149,unknown
139,Stefanbw,1,0,20150616221421,20150616221421,unknown
140,2.247.255.61,1,0,20170503110907,20170503110907,unknown
141,Fräggel,1,0,20070223114226,20070223114226,unknown
142,Nallimbot,1,1,20080913185715,20080913185715,unknown
143,217.162.128.143,1,0,20031201175215,20031201175215,unknown
144,178.26.39.31,1,0,20141017131016,20141017131016,unknown
145,83.176.54.11,1,0,20060306230256,20060306230256,unknown
146,91.113.49.139,1,0,20161125115032,20161125115032,unknown
147,84.168.81.21,1,0,20070118163325,20070118163325,unknown
148,Tets-Bot~dewiki,1,0,20070915221401,20070915221401,unknown
149,91.0.214.22,1,0,20080712205428,20080712205428,unknown
150,85.3.191.36,1,0,20100120210908,20100120210908,unknown
151,79.240.238.230,1,0,20111031164618,20111031164618,unknown
152,62.8.133.162,1,0,20041105124308,20041105124308,unknown
153,GünniX,1,1,20131103104302,20131103104302,unknown
154,77.23.38.190,1,0,20160830110121,20160830110121,unknown
155,SoWhy,1,0,20061002123204,20061002123204,unknown
156,151.37.68.141,1,0,20070910213851,20070910213851,unknown
157,Positiv,1,0,20080429145942,20080429145942,unknown
158,Victor Eremita,1,1,20091009182217,20091009182217,unknown
159,193.196.8.102,1,0,20110707071531,20110707071531,unknown
160,Piflaser,1,0,20130223185250,20130223185250,unknown
161,2001:0:53AA:64C:14EC:5AF4:6D87:90D5,1,0,20151124014734,20151124014734,unknown
162,83.180.90.65,1,0,20060816231425,20060816231425,unknown
163,138.246.2.234,1,0,20181210130157,20181210130157,unknown
164,STBot~dewiki,1,1,20070709002529,20070709002529,unknown
165,PipepBot,1,1,20071223002520,20071223002520,unknown
166,Admiral~dewiki,1,1,20090329152529,20090329152529,unknown
167,95.114.15.190,1,0,20110105180108,20110105180108,unknown
168,217.78.139.75,1,0,20040405115333,20040405115333,unknown
169,Ninxit,1,1,20120913095415,20120913095415,unknown
170,84.56.225.4,1,0,20050507090730,20050507090730,unknown
171,Giftmischer,1,1,20150929144510,20150929144510,unknown
172,80.133.132.147,1,0,20070522205231,20070522205231,unknown
173,Gregor Zattler,1,0,20071016101546,20071016101546,unknown
174,Boenki,1,1,20081203132205,20081203132205,unknown
175,Ptbotgourou,1,1,20100517101245,20100517101245,unknown
176,82.82.147.189,1,0,20040204005505,20040204005505,unknown
177,80.137.42.54,1,0,20120710064440,20120710064440,unknown
178,95.119.235.131,1,0,20150101000821,20150101000821,unknown
179,Tönjes,1,1,20170217095759,20170217095759,unknown
180,84.143.191.38,1,0,20070211152401,20070211152401,unknown
181,Elian,1,1,20031010205750,20031010205750,unknown
182,Gerakibot,1,1,20111231194713,20111231194713,unknown
183,Donna Juana,1,0,20140406164804,20140406164804,unknown
184,Chlewbot,1,1,20060209033404,20060209033404,unknown
185,Manuela,1,1,20161010135942,20161010135942,unknown
186,SpBot,1,1,20061223115256,20061223115256,unknown
187,OKBot,1,1,20080620173242,20080620173242,unknown
188,Cartinal,1,1,20091111203234,20091111203234,unknown
189,93.196.211.198,1,0,20110913230912,20110913230912,unknown
190,Schubertfreak,1,1,20040922094541,20040922094541,unknown
191,Knochen,1,0,20130706021424,20130706021424,unknown
192,Wiegels,1,1,20051022121827,20051022121827,unknown
193,Dateientlinkerbot,1,0,20160323113809,20160323113809,unknown
194,89.55.151.62,1,0,20060904223447,20060904223447,unknown
195,Peter200,1,1,20070807150408,20070807150408,unknown
196,88.70.171.236,1,0,20080326140235,20080326140235,unknown
197,SieBot,1,1,20090524115923,20090524115923,unknown
198,CocuBot,1,1,20110621010539,20110621010539,unknown
199,217.234.198.219,1,0,20040704191505,20040704191505,unknown
200,213.7.47.137,1,0,20050808180441,20050808180441,unknown
201,179.235.64.217,1,0,20151102150259,20151102150259,unknown
202,89.56.131.124,1,0,20060809205922,20060809205922,unknown
203,91.0.215.161,1,0,20070616080312,20070616080312,unknown
204,Graf KoKS1,1,1,20071201215226,20071201215226,unknown
205,Schuhpuppe,1,0,20090228231824,20090228231824,unknown
206,RibotBOT,1,1,20100702091137,20100702091137,unknown
207,Cymothoa exigua,1,1,20120727110310,20120727110310,unknown
208,217.251.39.22,1,0,20050430082007,20050430082007,unknown
209,Asav,1,1,20170527065625,20170527065625,unknown
210,AlnoktaBOT,1,1,20070318005340,20070318005340,unknown
211,142.177.204.218,1,0,20031206135110,20031206135110,unknown
212,Stoerte,1,1,20050305233156,20050305233156,unknown
213,2.242.149.59,1,0,20141108200115,20141108200115,unknown
214,83.181.123.157,1,0,20060319212945,20060319212945,unknown
215,Nuwv,1,1,20161125115752,20161125115752,unknown
216,195.126.85.141,1,0,20070123153051,20070123153051,unknown
217,84.147.96.251,1,0,20071009204306,20071009204306,unknown
218,TXiKiBoT,1,1,20080714100405,20080714100405,unknown
219,WeißNix,1,1,20030822141459,20030822141459,unknown
220,Pittimann,1,1,20111031164626,20111031164626,unknown
221,217.231.182.104,1,0,20041113020824,20041113020824,unknown
222,Tony Mach,1,1,20131124180600,20131124180600,unknown
223,Wangen,1,0,20070910213941,20070910213941,unknown
224,Rei-bot,1,1,20080518103503,20080518103503,unknown
225,ChuispastonBot,1,1,20110729014629,20110729014629,unknown
226,109.90.5.55,1,0,20130301070356,20130301070356,unknown
227,Antaios,1,1,20050917210143,20050917210143,unknown
228,Achim Raschka,1,1,20151202102306,20151202102306,unknown
229,Triebtäter,1,0,20060828061111,20060828061111,unknown
230,77.20.14.8,1,0,20181211085027,20181211085027,unknown
231,78.53.97.161,1,0,20080116221812,20080116221812,unknown
232,79.212.92.168,1,0,20090424123010,20090424123010,unknown
233,79.205.25.78,1,0,20110126211005,20110126211005,unknown
234,Schnargel,1,0,20040417212553,20040417212553,unknown
235,Smokey 31,1,1,20121010075855,20121010075855,unknown
236,81.63.78.231,1,0,20050510020057,20050510020057,unknown
237,Merkið,1,0,20151013144159,20151013144159,unknown
238,84.56.145.200,1,0,20060709063051,20060709063051,unknown
239,2003:D2:63D2:6900:E22A:82FF:FEA0:3113,1,0,20171202150942,20171202150942,unknown
240,88.73.13.41,1,0,20070604144904,20070604144904,unknown
241,151.38.79.81,1,0,20071018214953,20071018214953,unknown
242,Dirkb,1,1,20081205164737,20081205164737,unknown
243,LosHawlos,1,1,20040220091234,20040220091234,unknown
244,Rolf acker,1,0,20120710065053,20120710065053,unknown
